OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.92,26620.0,1.9,2009-08-07,1.92,1.9
2.04,6120.0,2.04,2009-08-12,2.04,2.04
1.9,19000.0,1.9,2009-09-17,1.9,1.9
1.92,3840.0,1.92,2010-02-08,1.92,1.92
2.4,24000.0,2.4,2010-03-15,2.4,2.4
2.48,50660.0,2.6,2010-06-16,2.6,2.48
2.65,391500.0,3.0,2010-06-21,3.0,2.65
3.25,31250.0,3.0,2010-06-22,3.25,3.0
3.25,18300.0,2.85,2010-06-23,3.25,2.85
2.85,11400.0,2.85,2010-06-24,2.85,2.85
2.6,145550.0,2.9,2010-07-09,2.9,2.6
3.2,96000.0,3.2,2010-07-16,3.2,3.2
3.2,387200.0,3.2,2010-10-14,3.2,3.2
3.0,223950.0,2.85,2010-11-10,3.0,2.85
3.34,3340.0,3.34,2010-11-17,3.34,3.34
2.8,89600.0,2.8,2010-11-19,2.8,2.8
2.7,5400.0,2.7,2010-11-23,2.7,2.7
2.7,121500.0,2.7,2010-12-01,2.7,2.7
2.72,81600.0,2.72,2010-12-03,2.72,2.72
2.7,54000.0,2.7,2010-12-06,2.7,2.7
2.65,13250.0,2.65,2010-12-07,2.65,2.65
2.65,34450.0,2.65,2010-12-16,2.65,2.65
2.55,51000.0,2.55,2011-01-20,2.55,2.55
2.55,51000.0,2.55,2011-01-20,2.55,2.55
2.55,80100.0,2.5,2011-02-16,2.55,2.5
2.55,80100.0,2.5,2011-02-16,2.55,2.5
2.5,67500.0,2.5,2011-03-16,2.5,2.5
2.46,142320.0,2.44,2011-03-21,2.46,2.44
2.46,207480.0,2.4,2011-04-13,2.46,2.4
2.4,48000.0,2.4,2011-04-15,2.4,2.4
2.3,27600.0,2.3,2011-05-05,2.3,2.3
2.3,18400.0,2.3,2011-05-12,2.3,2.3
2.35,152750.0,2.35,2011-06-06,2.35,2.35
2.6,26500.0,2.7,2011-06-07,2.7,2.6
2.7,54000.0,2.7,2011-06-08,2.7,2.7
2.5,125000.0,2.5,2011-06-28,2.5,2.5
2.85,48500.0,2.9,2011-07-07,2.9,2.85
2.31,4620.0,2.31,2011-07-26,2.31,2.31
2.31,57750.0,2.31,2011-07-28,2.31,2.31
2.9,132900.0,3.32,2011-08-01,3.32,2.9
3.4,34000.0,3.4,2011-08-02,3.4,3.4
3.3,96800.0,3.5,2011-08-12,3.5,3.3
3.0,93850.0,3.69,2011-08-15,3.69,3.0
3.85,81350.0,3.9,2011-08-16,3.9,3.85
3.7,29600.0,3.7,2011-09-09,3.7,3.7
3.09,190640.0,3.02,2011-09-13,3.47,3.02
3.65,32880.0,3.68,2011-09-16,3.68,3.65
3.65,178800.0,3.8,2011-09-19,3.8,3.65
3.8,45600.0,3.8,2011-09-20,3.8,3.8
3.3,3300.0,3.3,2011-09-26,3.3,3.3
3.24,3240.0,3.24,2011-09-28,3.24,3.24
3.8,95000.0,3.8,2011-09-29,3.8,3.8
3.5,350000.0,3.5,2011-10-06,3.5,3.5
3.5,24500.0,3.5,2011-10-10,3.5,3.5
3.6,126000.0,3.6,2011-10-12,3.6,3.6
3.25,233000.0,3.4,2011-10-20,3.4,3.25
3.35,50000.0,3.3,2011-10-21,3.35,3.3
3.69,141900.0,3.5,2011-11-15,3.69,3.5
3.5,35800.0,3.6,2011-11-16,3.6,3.5
