OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.3,801300.0,1.28,2009-08-20,1.3,1.28
1.6,83200.0,1.6,2009-08-25,1.6,1.6
1.58,463740.0,1.7,2009-08-26,1.7,1.58
1.42,96560.0,1.42,2009-09-30,1.42,1.42
1.42,430260.0,1.42,2009-10-02,1.42,1.42
1.46,1460.0,1.46,2009-10-05,1.46,1.46
1.5,39000.0,1.5,2009-10-06,1.5,1.5
1.46,11680.0,1.46,2009-10-14,1.46,1.46
1.46,14680.0,1.5,2009-10-16,1.5,1.46
1.56,1560.0,1.56,2009-10-20,1.56,1.56
1.56,3120.0,1.56,2009-10-21,1.56,1.56
1.44,10680.0,1.54,2009-10-22,1.54,1.44
1.4,14000.0,1.4,2009-12-18,1.4,1.4
1.4,7000.0,1.4,2009-12-22,1.4,1.4
1.28,7680.0,1.28,2010-01-05,1.28,1.28
1.42,28160.0,1.4,2010-01-06,1.42,1.4
1.4,32060.0,1.38,2010-01-07,1.4,1.38
1.36,5440.0,1.36,2010-01-08,1.36,1.36
1.4,68600.0,1.4,2010-01-14,1.4,1.4
1.3,41600.0,1.3,2010-01-28,1.3,1.3
1.4,15400.0,1.4,2010-02-03,1.4,1.4
1.42,14200.0,1.42,2010-03-31,1.42,1.42
1.64,4920.0,1.64,2010-04-30,1.64,1.64
1.5,35500.0,1.6,2010-05-04,1.6,1.5
1.5,16500.0,1.5,2010-05-05,1.5,1.5
1.54,15400.0,1.54,2010-05-14,1.54,1.54
1.6,48920.0,1.68,2010-05-18,1.68,1.6
1.64,9840.0,1.64,2010-05-19,1.64,1.64
1.7,94600.0,1.68,2010-05-20,1.7,1.68
1.68,18480.0,1.68,2010-05-21,1.68,1.68
1.68,52080.0,1.68,2010-05-24,1.68,1.68
1.64,39520.0,1.68,2010-05-25,1.68,1.64
1.68,16820.0,1.7,2010-05-26,1.7,1.68
1.7,23800.0,1.7,2010-05-27,1.7,1.7
1.68,22020.0,1.7,2010-06-02,1.7,1.68
1.7,15300.0,1.7,2010-06-03,1.7,1.7
1.8,57600.0,1.8,2010-06-04,1.8,1.8
1.86,37200.0,1.86,2010-06-07,1.86,1.86
1.86,3720.0,1.86,2010-06-08,1.86,1.86
1.9,38300.0,1.82,2010-06-09,1.9,1.82
1.32,627000.0,1.32,2010-07-15,1.32,1.32
1.42,57600.0,1.4,2010-07-20,1.42,1.4
1.4,22400.0,1.4,2010-07-21,1.4,1.4
1.42,19880.0,1.42,2010-07-23,1.42,1.42
1.5,54100.0,1.6,2010-09-20,1.6,1.5
1.55,31000.0,1.55,2010-09-22,1.55,1.55
1.5,30000.0,1.5,2010-09-27,1.5,1.5
1.5,13500.0,1.5,2010-09-28,1.5,1.5
1.52,60800.0,1.52,2010-09-29,1.52,1.52
1.55,185560.0,1.52,2010-10-05,1.55,1.52
1.5,110840.0,1.52,2010-10-06,1.52,1.41
1.5,75000.0,1.5,2010-10-07,1.5,1.5
1.5,105000.0,1.5,2010-10-08,1.5,1.5
1.44,18080.0,1.52,2010-10-18,1.52,1.44
1.5,34500.0,1.5,2010-10-19,1.5,1.5
1.49,29900.0,1.5,2010-10-20,1.5,1.49
1.5,33200.0,1.7,2010-10-22,1.7,1.5
1.5,65520.0,1.48,2010-10-26,1.5,1.48
1.5,60000.0,1.5,2010-10-29,1.5,1.5
1.5,30000.0,1.5,2010-11-02,1.5,1.5
