OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.8,3007100.0,5.2,2009-08-06,5.8,5.1
6.1,61000.0,6.1,2009-08-10,6.1,6.1
5.4,5940000.0,5.4,2009-08-13,5.4,5.4
7.7,113900.0,7.6,2009-08-20,7.7,7.5
7.6,7600.0,7.6,2009-08-24,7.6,7.6
7.6,7600.0,7.6,2009-08-25,7.6,7.6
6.0,24000.0,6.0,2009-09-04,6.0,6.0
5.8,1160000.0,5.8,2009-09-17,5.8,5.8
5.8,1223600.0,8.6,2009-10-02,8.6,5.8
8.6,51600.0,8.6,2009-10-06,8.6,8.6
8.0,8000.0,8.0,2009-10-09,8.0,8.0
8.5,94100.0,8.6,2009-10-16,8.6,8.5
8.0,51400.0,8.8,2009-10-26,8.8,8.0
9.0,45000.0,9.0,2009-10-27,9.0,9.0
9.2,187150.0,11.75,2009-11-09,11.75,9.2
13.0,1419875.0,14.75,2009-11-10,17.0,11.75
13.0,359500.0,12.75,2009-11-11,13.0,12.75
13.0,13000.0,13.0,2009-12-15,13.0,13.0
11.0,22000.0,11.0,2009-12-18,11.0,11.0
12.0,112100.0,12.25,2010-01-12,12.25,12.0
10.0,4000.0,10.0,2010-01-27,10.0,10.0
10.0,67100.0,9.0,2010-01-29,10.0,8.1
8.0,8000.0,8.0,2010-02-01,8.0,8.0
8.0,78100.0,9.5,2010-04-29,9.5,8.0
9.0,45000.0,9.0,2010-04-30,9.0,9.0
6.8,27200.0,6.8,2010-06-03,6.8,6.8
6.8,27600.0,7.0,2010-06-04,7.0,6.8
7.1,76100.0,9.0,2010-06-16,9.0,7.1
10.0,459000.0,10.5,2010-06-21,11.75,10.0
10.5,10500.0,10.5,2010-06-28,10.5,10.5
8.0,6400.0,8.0,2010-07-19,8.0,8.0
6.1,30100.0,6.0,2010-09-21,6.1,6.0
6.75,33750.0,6.75,2010-09-30,6.75,6.75
6.12,612.0,6.12,2010-10-06,6.12,6.12
6.15,18804.0,7.0,2010-10-20,7.0,6.15
7.0,3500.0,7.0,2010-11-04,7.0,7.0
8.5,1700.0,8.5,2011-01-26,8.5,8.5
7.0,10500.0,7.0,2011-02-23,7.0,7.0
7.0,10500.0,7.0,2011-02-23,7.0,7.0
6.12,5508.0,6.12,2011-03-23,6.12,6.12
6.12,6120.0,6.12,2011-04-13,6.12,6.12
6.13,4291.0,6.13,2011-04-15,6.13,6.13
6.12,15912.0,6.12,2011-05-12,6.12,6.12
8.5,338600.0,9.1,2011-07-21,9.1,8.0
9.16,18320.0,9.16,2011-07-22,9.16,9.16
6.12,12240.0,6.12,2011-07-25,6.12,6.12
9.1,9100.0,9.1,2011-07-28,9.1,9.1
9.1,3640.0,9.1,2011-07-29,9.1,9.1
13.0,63700.0,13.0,2011-08-01,13.0,13.0
13.0,9652100.0,12.0,2011-08-02,13.0,12.0
6.31,27133.0,6.31,2011-08-22,6.31,6.31
9.0,900.0,9.0,2011-09-07,9.0,9.0
9.0,34200.0,9.0,2011-09-09,9.0,9.0
6.56,42500.0,6.52,2011-09-23,6.56,6.52
6.56,45760.0,6.52,2011-10-04,6.56,6.52
6.54,65096.0,5.8,2011-10-19,6.54,5.8
8.7,133110.0,8.7,2011-11-15,8.7,8.7
8.7,1965139.0,11.9,2011-11-16,13.04,8.7
11.92,527244.0,9.4,2011-11-17,11.92,8.37
9.9,3002566.0,12.0,2011-11-18,13.9,9.9
12.4,13713184.0,18.0,2011-11-21,18.0,12.4
20.3,8627207.0,12.5,2011-11-22,25.0,12.0
13.7,1475952.0,11.1,2011-11-23,15.0,11.0
11.0,643399.0,11.28,2011-11-24,12.0,9.41
10.04,321770.0,9.9,2011-11-25,11.28,9.5
10.0,195080.0,10.0,2011-11-28,10.98,9.7
10.0,204869.0,9.44,2011-11-29,10.0,9.4
9.9,179503.0,9.5,2011-12-01,10.0,9.0
9.0,125551.0,9.2,2011-12-02,9.55,8.95
8.81,132169.0,8.74,2011-12-05,9.9,8.7
9.7,641345.0,8.7,2011-12-06,9.7,8.6
8.62,201515.0,8.61,2011-12-07,8.9,8.61
8.71,1000615.0,10.0,2011-12-08,10.26,8.62
10.0,98584.0,9.0,2011-12-09,10.0,8.79
9.9,47960.0,8.8,2011-12-12,9.9,8.8
8.8,37903.0,8.82,2011-12-13,8.82,8.79
9.0,88268.0,8.8,2011-12-14,9.2,8.8
8.88,164401.0,8.79,2011-12-15,8.88,8.79
8.85,114404.0,8.92,2011-12-16,9.85,8.85
8.9,15130.0,8.9,2011-12-19,8.9,8.9
8.94,42138.0,8.97,2011-12-20,9.0,8.94
