OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
30.0,669000.0,30.0,2009-09-16,30.0,30.0
30.0,33000.0,30.0,2009-10-15,30.0,30.0
30.0,3777000.0,30.0,2009-11-04,30.0,30.0
30.0,3774000.0,30.0,2009-11-11,30.0,30.0
34.0,302600.0,34.0,2010-04-21,34.0,34.0
34.0,81600.0,34.0,2010-06-11,34.0,34.0
34.0,51000.0,34.0,2010-09-21,34.0,34.0
34.0,20400.0,34.0,2010-09-22,34.0,34.0
34.0,51000.0,34.0,2010-09-29,34.0,34.0
34.0,102000.0,34.0,2010-10-05,34.0,34.0
34.0,102000.0,34.0,2010-10-06,34.0,34.0
34.0,238000.0,34.0,2010-10-22,34.0,34.0
34.0,71400.0,34.0,2010-11-04,34.0,34.0
36.0,104400.0,36.0,2010-11-08,36.0,36.0
34.0,102000.0,34.0,2010-11-19,34.0,34.0
34.0,170000.0,34.0,2010-11-22,34.0,34.0
34.0,132600.0,34.0,2010-11-24,34.0,34.0
34.0,98600.0,34.0,2010-11-25,34.0,34.0
37.5,226250.0,34.0,2010-12-03,37.5,34.0
36.0,18000.0,36.0,2010-12-06,36.0,36.0
36.5,36500.0,36.5,2010-12-16,36.5,36.5
45.0,4500.0,45.0,2011-01-05,45.0,45.0
34.0,452200.0,34.0,2011-01-07,34.0,34.0
35.0,35000.0,35.0,2011-01-14,35.0,35.0
37.0,333000.0,37.0,2011-01-17,37.0,37.0
39.0,97500.0,39.0,2011-01-18,39.0,39.0
40.0,80000.0,40.0,2011-01-19,40.0,40.0
40.0,80000.0,40.0,2011-01-19,40.0,40.0
40.0,120000.0,40.0,2011-01-20,40.0,40.0
40.0,120000.0,40.0,2011-01-20,40.0,40.0
37.5,30000.0,37.5,2011-01-24,37.5,37.5
36.55,25765.0,36.55,2011-01-26,37.5,36.55
45.0,22500.0,45.0,2011-01-28,45.0,45.0
45.0,22500.0,45.0,2011-01-28,45.0,45.0
45.0,4500.0,45.0,2011-01-31,45.0,45.0
45.0,4500.0,45.0,2011-01-31,45.0,45.0
36.55,3655.0,36.55,2011-02-01,36.55,36.55
36.55,3655.0,36.55,2011-02-01,36.55,36.55
36.55,3655.0,36.55,2011-02-02,36.55,36.55
36.55,3655.0,36.55,2011-02-03,36.55,36.55
75.0,30000.0,75.0,2011-02-14,75.0,75.0
40.0,8000.0,40.0,2011-03-18,40.0,40.0
59.7,5970.0,59.7,2011-03-22,59.7,59.7
59.7,25687.5,59.75,2011-03-23,59.75,59.7
59.8,83900.0,60.2,2011-03-24,60.2,59.8
60.2,1806.0,60.2,2011-03-30,60.2,60.2
65.0,11064.0,65.1,2011-04-01,65.1,65.0
60.0,12000.0,60.0,2011-04-04,60.0,60.0
62.5,93100.0,62.0,2011-04-05,62.5,62.0
56.0,25200.0,56.0,2011-04-13,56.0,56.0
54.0,54000.0,54.0,2011-04-14,54.0,54.0
56.0,1120.0,56.0,2011-04-15,56.0,56.0
48.0,87000.0,51.0,2011-05-03,51.0,48.0
48.0,5760.0,48.0,2011-05-06,48.0,48.0
49.0,49000.0,49.0,2011-05-09,49.0,49.0
48.0,9600.0,48.0,2011-05-10,48.0,48.0
48.0,28800.0,48.0,2011-05-11,48.0,48.0
48.0,43200.0,48.0,2011-05-12,48.0,48.0
48.0,43200.0,48.0,2011-05-13,48.0,48.0
47.0,131150.0,46.5,2011-05-16,47.0,46.5
45.0,40500.0,45.0,2011-05-17,45.0,45.0
44.5,204200.0,42.5,2011-05-18,44.5,42.5
43.0,76950.0,42.5,2011-05-20,43.0,42.5
59.5,5950.0,59.5,2011-05-23,59.5,59.5
42.0,134400.0,42.0,2011-05-27,42.0,42.0
45.0,4500.0,45.0,2011-06-03,45.0,45.0
45.0,4500.0,45.0,2011-06-16,45.0,45.0
43.0,94600.0,43.0,2011-06-22,43.0,43.0
45.0,90000.0,45.0,2011-06-27,45.0,45.0
47.0,1669700.0,45.0,2011-07-06,47.0,45.0
42.6,1346160.0,42.6,2011-07-08,42.6,42.6
45.0,27000.0,45.0,2011-07-15,45.0,45.0
50.0,50000.0,50.0,2011-08-17,50.0,50.0
70.0,15160.0,68.0,2011-08-25,70.0,68.0
68.0,19040.0,68.0,2011-08-31,68.0,68.0
75.0,1500.0,75.0,2011-09-01,75.0,75.0
55.0,165100.0,55.0,2011-09-02,55.5,55.0
56.0,3400.0,56.0,2011-09-05,58.0,56.0
68.0,680.0,68.0,2011-09-06,68.0,68.0
65.0,46320.0,75.0,2011-09-07,75.0,65.0
66.0,63630.0,75.0,2011-09-09,75.0,65.0
73.5,3095.0,46.0,2011-09-12,73.5,46.0
51.0,5259700.0,45.0,2011-09-14,51.0,45.0
49.0,4900.0,49.0,2011-09-15,49.0,49.0
