OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
10.0,13429150.0,10.25,2009-08-03,10.25,9.9
10.25,3967500.0,10.0,2009-08-04,10.25,9.9
9.9,14263000.0,9.2,2009-08-06,9.9,9.0
9.0,5790500.0,9.1,2009-08-07,9.2,8.8
9.0,12035500.0,9.3,2009-08-10,9.4,8.8
9.1,7461800.0,9.3,2009-08-11,9.3,8.8
9.2,25623300.0,9.3,2009-08-12,9.7,9.2
9.3,11257500.0,9.4,2009-08-13,9.5,9.2
9.3,30666700.0,10.0,2009-08-14,10.0,9.0
10.0,16674800.0,9.8,2009-08-17,10.0,9.4
9.3,9187900.0,9.4,2009-08-18,9.4,9.1
9.3,11321800.0,9.5,2009-08-19,9.5,9.3
9.4,7032400.0,9.3,2009-08-20,9.5,8.9
9.2,6961200.0,9.4,2009-08-24,9.4,9.1
9.3,12243400.0,9.5,2009-08-25,9.5,9.3
9.4,26845200.0,9.7,2009-08-26,9.9,9.4
11.5,17249000.0,11.5,2009-09-03,11.5,11.0
11.25,21170200.0,11.5,2009-09-04,12.0,11.25
9.0,20602700.0,9.3,2009-09-16,9.3,8.7
9.3,25295800.0,9.8,2009-09-17,9.9,9.3
9.7,11197300.0,10.0,2009-09-18,10.0,9.7
10.0,10101500.0,10.25,2009-09-22,10.25,10.0
10.25,11207100.0,10.5,2009-09-23,10.5,10.0
10.0,28556275.0,10.5,2009-09-30,10.5,9.8
10.25,5999100.0,10.0,2009-10-01,10.25,9.9
9.8,3642200.0,10.0,2009-10-02,10.0,9.7
9.9,4821150.0,9.9,2009-10-05,10.25,9.8
10.0,9094900.0,10.25,2009-10-06,10.25,9.8
9.8,6972070.0,10.25,2009-10-07,10.25,9.8
10.0,7498525.0,10.0,2009-10-08,10.25,9.8
9.8,3335300.0,10.0,2009-10-09,10.0,9.8
9.8,2929400.0,10.0,2009-10-12,10.0,9.8
9.7,3610400.0,9.8,2009-10-13,9.9,9.7
9.6,2529500.0,9.8,2009-10-14,9.9,9.6
9.5,4365400.0,9.7,2009-10-15,9.8,9.5
9.7,3897200.0,9.8,2009-10-16,9.8,9.6
9.7,21166800.0,10.0,2009-10-19,10.0,9.7
10.0,47890250.0,10.5,2009-10-20,10.5,10.0
10.5,47011550.0,10.75,2009-10-21,11.0,10.5
10.5,43639525.0,11.0,2009-10-22,11.0,10.25
11.0,40809775.0,11.25,2009-10-23,11.25,10.75
11.0,19140000.0,11.25,2009-10-26,11.25,10.75
10.75,32751400.0,11.25,2009-10-27,11.25,10.75
11.25,47932600.0,10.75,2009-10-28,11.25,10.5
10.5,5618900.0,10.75,2009-10-29,10.75,10.25
10.5,11372075.0,10.5,2009-10-30,10.75,10.0
9.9,22197780.0,10.25,2009-11-03,10.75,9.7
9.8,13813630.0,10.25,2009-11-04,10.25,9.6
10.0,16646435.0,9.8,2009-11-05,10.25,9.5
9.4,32081900.0,9.5,2009-11-06,9.9,9.2
9.2,25690800.0,9.5,2009-11-09,9.5,8.9
9.5,26273500.0,9.8,2009-11-10,9.8,9.5
9.8,23471650.0,10.25,2009-11-11,10.25,9.8
10.0,18095570.0,10.0,2009-12-15,10.0,9.7
9.9,11797300.0,9.9,2009-12-16,10.0,9.8
9.8,15829400.0,9.5,2009-12-17,9.8,9.3
9.5,9512800.0,9.5,2009-12-18,9.6,9.2
9.3,17307300.0,9.5,2009-12-21,9.5,9.1
9.4,15967500.0,9.6,2009-12-22,9.6,9.1
9.6,8821600.0,9.5,2009-12-23,9.6,9.2
9.2,2048500.0,9.5,2009-12-29,9.5,9.2
9.5,2513600.0,9.5,2010-01-04,9.5,9.3
9.2,17943400.0,9.0,2010-01-05,9.4,9.0
9.1,9357800.0,8.7,2010-01-06,9.1,8.5
8.6,8077100.0,8.9,2010-01-07,8.9,8.5
8.9,11414200.0,9.0,2010-01-08,9.2,8.8
8.8,3861200.0,9.0,2010-01-11,9.2,8.8
8.8,1474100.0,8.8,2010-01-12,9.0,8.7
8.7,1877900.0,8.9,2010-01-13,8.9,8.6
8.7,2121500.0,8.8,2010-01-14,8.9,8.6
8.8,1597400.0,8.7,2010-01-15,8.9,8.6
8.6,2802900.0,8.6,2010-01-18,8.7,8.4
8.5,5722200.0,8.3,2010-01-19,8.5,8.2
8.3,3611800.0,8.2,2010-01-20,8.3,7.9
8.0,11355100.0,8.5,2010-01-21,8.5,8.0
8.2,11118600.0,8.1,2010-01-22,8.3,7.9
8.0,2235600.0,8.0,2010-01-25,8.0,7.7
8.0,2476800.0,7.9,2010-01-26,8.1,7.7
7.6,2629100.0,7.8,2010-01-27,7.8,7.5
7.8,2743000.0,7.7,2010-01-28,8.0,7.7
7.6,3042800.0,7.6,2010-01-29,7.8,7.5
7.6,1207500.0,7.5,2010-02-01,8.0,7.3
7.5,5332100.0,7.0,2010-02-02,7.6,6.7
7.0,3120200.0,6.6,2010-02-03,7.2,6.3
6.2,9972200.0,5.7,2010-02-04,6.2,5.7
5.5,2960100.0,5.6,2010-02-05,5.7,5.3
5.8,1364300.0,5.5,2010-02-08,5.8,5.3
5.3,5442700.0,4.85,2010-02-09,5.3,4.8
4.85,4186000.0,5.0,2010-02-10,5.1,4.85
5.0,463150.0,5.0,2010-02-11,5.0,4.95
6.9,1518000.0,6.9,2010-03-08,7.0,6.7
6.8,1054500.0,6.9,2010-03-12,6.9,6.8
6.8,1409200.0,6.9,2010-03-15,6.9,6.7
6.8,1265000.0,6.8,2010-03-16,6.9,6.5
