OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.84,287040.0,1.84,2010-07-02,1.84,1.84
2.76,231020.0,1.84,2011-12-26,2.76,1.84
1.86,5244210.0,1.62,2011-12-27,2.6,1.62
1.66,28728010.0,1.32,2011-12-28,1.66,1.04
1.32,845540.0,1.21,2011-12-29,1.32,1.21
1.17,760680.0,1.21,2012-01-02,1.3,1.17
1.31,106950.0,1.32,2012-01-03,1.32,1.24
1.23,3657750.0,1.69,2012-01-04,1.72,1.22
1.75,6321430.0,2.11,2012-01-05,2.34,1.75
2.0,1559270.0,1.84,2012-01-06,2.27,1.8
1.9,947400.0,1.97,2012-01-09,1.99,1.8
1.98,4490300.0,1.89,2012-01-10,2.3,1.89
1.96,1931180.0,1.74,2012-01-11,1.96,1.74
1.73,607370.0,1.74,2012-01-12,1.79,1.66
1.77,126290.0,1.7,2012-01-13,1.77,1.68
1.7,67320.0,1.68,2012-01-16,1.7,1.66
1.67,394040.0,1.6,2012-01-17,1.67,1.6
1.61,510950.0,1.72,2012-01-18,1.85,1.6
1.72,110100.0,1.62,2012-01-19,1.75,1.62
1.63,191790.0,1.62,2012-01-20,1.73,1.62
1.61,166860.0,1.7,2012-01-24,1.73,1.6
1.63,6386700.0,2.2,2012-01-25,2.38,1.6
2.2,9409640.0,2.45,2012-01-26,2.51,2.2
2.45,10394590.0,3.01,2012-01-27,3.01,2.38
3.3,15059430.0,4.48,2012-01-30,4.48,3.2
5.25,27477620.0,6.6,2012-01-31,6.65,5.25
7.75,81410260.0,8.0,2012-02-01,8.4,6.5
8.17,112497148.0,7.2,2012-02-02,8.2,6.8
7.2,12803114.0,6.0,2012-02-03,7.2,6.0
6.0,946546.0,6.05,2012-02-06,6.3,6.0
6.5,10922922.0,5.98,2012-03-05,7.24,5.98
5.98,4782874.0,5.6,2012-03-06,6.5,5.6
5.6,7615414.0,4.1,2012-03-07,5.6,4.1
4.3,2432530.0,3.85,2012-03-08,4.3,3.21
3.85,2874820.0,4.46,2012-03-09,4.7,3.85
4.4,1661700.0,4.45,2012-03-12,4.5,4.4
4.4,982500.0,4.45,2012-03-13,4.65,4.4
4.44,5845700.0,4.37,2012-03-14,4.79,4.33
4.43,61805010.0,3.95,2012-03-15,5.0,2.5
3.95,37381460.0,5.92,2012-03-16,5.92,3.95
6.62,35903066.0,5.88,2012-03-19,6.72,5.61
5.61,5673230.0,5.09,2012-03-20,5.61,4.8
5.08,10290587.0,5.3,2012-03-21,5.57,4.85
5.5,4618033.0,5.0,2012-03-22,5.5,4.9
5.0,3638501.0,4.91,2012-03-23,5.1,4.91
4.86,6090020.0,4.2,2012-03-26,4.86,4.01
4.25,3942800.0,3.94,2012-03-27,4.25,3.8
4.1,6273280.0,3.65,2012-03-28,4.1,3.45
3.75,3154820.0,3.6,2012-03-29,3.95,3.59
3.8,1239610.0,3.56,2012-03-30,3.82,3.56
3.58,920240.0,3.66,2012-04-02,3.95,3.58
3.84,569380.0,3.65,2012-04-03,3.89,3.65
3.79,388870.0,3.65,2012-04-04,3.79,3.65
3.66,512790.0,3.63,2012-04-10,3.66,3.63
3.61,827710.0,3.5,2012-04-11,3.61,3.48
3.55,251670.0,3.59,2012-04-12,3.6,3.48
3.52,417190.0,3.45,2012-04-13,3.52,3.45
3.5,275900.0,3.45,2012-04-16,3.65,3.45
3.46,448490.0,3.4,2012-04-17,3.46,3.3
3.31,696700.0,3.28,2012-04-18,3.32,3.22
3.28,727450.0,3.15,2012-04-19,3.28,3.0
3.15,209980.0,3.15,2012-04-20,3.17,3.09
3.15,108260.0,3.11,2012-04-23,3.2,3.11
3.15,368100.0,3.18,2012-04-24,3.18,3.02
3.1,548640.0,3.39,2012-04-25,3.39,3.1
3.4,498540.0,3.1,2012-04-26,3.5,3.1
