OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
10.25,246000.0,10.25,2009-08-03,10.25,10.25
10.25,619100.0,10.25,2009-08-04,10.25,10.25
10.25,51250.0,10.25,2009-08-06,10.25,10.25
10.25,481750.0,10.25,2009-08-07,10.25,10.25
10.5,418300.0,10.5,2009-08-10,10.5,10.25
10.5,1654600.0,11.0,2009-08-11,11.0,10.5
10.75,161950.0,10.5,2009-08-12,10.75,10.5
10.5,375500.0,10.75,2009-08-13,10.75,10.5
11.0,974600.0,11.0,2009-08-14,11.0,11.0
11.0,66250.0,11.25,2009-08-17,11.25,11.0
11.0,479450.0,10.5,2009-08-18,11.0,10.5
10.5,84000.0,10.5,2009-08-19,10.5,10.5
10.5,418950.0,10.5,2009-08-20,10.5,10.5
10.75,273000.0,11.0,2009-08-24,11.0,10.75
11.0,1100.0,11.0,2009-08-25,11.0,11.0
11.0,682000.0,11.0,2009-08-26,11.0,11.0
10.5,1361000.0,10.75,2009-09-03,10.75,10.5
10.75,1095500.0,10.75,2009-09-04,11.25,10.75
14.5,6812025.0,14.5,2009-09-16,14.75,13.5
14.0,3182775.0,13.75,2009-09-17,14.25,13.75
13.75,2357250.0,14.0,2009-09-18,14.25,13.75
14.0,1296575.0,14.25,2009-09-22,14.25,14.0
14.0,926650.0,15.0,2009-09-23,15.0,14.0
16.5,2833225.0,16.75,2009-09-30,16.75,16.5
16.5,22101900.0,17.75,2009-10-01,18.0,16.5
17.5,8314425.0,17.0,2009-10-02,17.5,16.75
17.0,3304100.0,17.5,2009-10-05,17.5,17.0
17.5,11900975.0,17.25,2009-10-06,17.5,16.75
17.25,3719425.0,17.0,2009-10-07,17.25,16.75
17.0,2940500.0,17.0,2009-10-08,17.0,16.75
16.75,2904975.0,16.5,2009-10-09,16.75,16.5
16.5,2120350.0,16.5,2009-10-12,16.5,16.25
16.5,368050.0,16.0,2009-10-13,16.5,16.0
16.0,726400.0,16.0,2009-10-14,16.0,16.0
16.0,6524025.0,16.75,2009-10-15,17.0,16.0
