OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.05,71955200.0,3.1,2009-08-03,3.1,3.0
3.1,38008350.0,3.2,2009-08-04,3.2,3.1
3.15,34155050.0,3.15,2009-08-06,3.2,3.1
3.1,33533600.0,3.05,2009-08-07,3.1,2.95
3.05,162755700.0,3.0,2009-08-10,3.1,2.9
3.0,100984200.0,3.0,2009-08-11,3.05,2.95
3.0,31150900.0,2.95,2009-08-12,3.0,2.9
3.0,62209550.0,3.05,2009-08-13,3.1,3.0
3.1,27779650.0,3.0,2009-08-14,3.1,2.95
3.0,76280850.0,2.95,2009-08-17,3.0,2.9
2.85,275958250.0,3.55,2009-08-18,3.55,2.85
3.65,271894200.0,3.8,2009-08-19,4.0,3.65
3.9,162318600.0,3.6,2009-08-20,3.95,3.6
3.8,127623600.0,3.65,2009-08-24,3.8,3.55
3.55,91728600.0,3.65,2009-08-25,3.7,3.5
3.75,74314950.0,3.7,2009-08-26,3.85,3.7
3.55,30226250.0,3.6,2009-09-03,3.6,3.45
3.6,42676350.0,3.7,2009-09-04,3.7,3.6
3.45,51116850.0,3.3,2009-09-16,3.45,3.3
3.35,55541750.0,3.4,2009-09-17,3.55,3.35
3.4,31415750.0,3.45,2009-09-18,3.5,3.35
3.4,17332450.0,3.4,2009-09-22,3.4,3.35
3.45,47296900.0,3.6,2009-09-23,3.65,3.45
3.4,10788100.0,3.45,2009-09-30,3.45,3.4
3.45,10689400.0,3.45,2009-10-01,3.45,3.4
3.35,22753400.0,3.4,2009-10-02,3.4,3.3
3.35,7291650.0,3.4,2009-10-05,3.4,3.35
3.45,36260250.0,3.45,2009-10-06,3.45,3.4
3.4,57811450.0,3.45,2009-10-07,3.5,3.4
3.5,36017300.0,3.45,2009-10-08,3.55,3.4
3.55,143833400.0,3.4,2009-10-09,3.6,3.4
3.45,41248400.0,3.45,2009-10-12,3.55,3.4
3.4,49802250.0,3.4,2009-10-13,3.5,3.3
3.45,200496250.0,3.75,2009-10-14,3.75,3.45
3.8,105816900.0,3.65,2009-10-15,3.8,3.6
3.65,75468750.0,3.6,2009-10-16,3.65,3.55
3.55,96745700.0,3.7,2009-10-19,3.7,3.5
3.7,120347500.0,3.55,2009-10-20,3.75,3.45
3.5,100606650.0,3.45,2009-10-21,3.55,3.35
3.4,55056450.0,3.35,2009-10-22,3.4,3.3
3.4,36668200.0,3.45,2009-10-23,3.45,3.4
3.4,84621050.0,3.65,2009-10-26,3.65,3.35
3.5,114427350.0,3.55,2009-10-27,3.7,3.5
3.55,21024500.0,3.55,2009-10-28,3.55,3.45
3.4,46793450.0,3.45,2009-10-29,3.45,3.35
3.55,22370050.0,3.55,2009-10-30,3.55,3.45
3.65,71106200.0,3.55,2009-11-03,3.7,3.5
3.6,252954450.0,3.8,2009-11-04,3.85,3.6
3.9,451334900.0,4.1,2009-11-05,4.1,3.85
4.1,242119400.0,4.05,2009-11-06,4.2,3.85
3.9,34164250.0,3.9,2009-11-09,4.0,3.8
3.9,47121950.0,3.85,2009-11-10,3.95,3.75
3.85,69625750.0,3.65,2009-11-11,3.85,3.6
3.6,10376550.0,3.6,2009-12-15,3.6,3.5
3.6,8696950.0,3.55,2009-12-16,3.6,3.5
3.55,11374500.0,3.55,2009-12-17,3.6,3.5
3.55,11087750.0,3.5,2009-12-18,3.55,3.45
3.55,28043850.0,3.4,2009-12-21,3.55,3.3
3.45,6041850.0,3.4,2009-12-22,3.45,3.4
3.4,5827800.0,3.35,2009-12-23,3.4,3.35
3.4,16716100.0,3.5,2009-12-29,3.5,3.4
3.5,8580150.0,3.45,2010-01-04,3.5,3.45
3.45,8267850.0,3.45,2010-01-05,3.55,3.4
3.4,8267350.0,3.45,2010-01-06,3.45,3.4
3.45,8331250.0,3.4,2010-01-07,3.45,3.4
3.4,12767950.0,3.4,2010-01-08,3.45,3.35
3.4,7718050.0,3.4,2010-01-11,3.45,3.4
3.4,13194750.0,3.4,2010-01-12,3.5,3.4
3.4,7527200.0,3.4,2010-01-13,3.4,3.35
3.45,59382400.0,3.5,2010-01-14,3.6,3.4
3.55,35590050.0,3.55,2010-01-15,3.65,3.5
3.5,15638150.0,3.45,2010-01-18,3.5,3.4
3.45,18079650.0,3.4,2010-01-19,3.5,3.4
3.5,24772400.0,3.35,2010-01-20,3.5,3.35
3.35,22326050.0,3.3,2010-01-21,3.35,3.3
3.25,65232300.0,3.05,2010-01-22,3.3,3.05
3.0,61021950.0,2.9,2010-01-25,3.0,2.85
2.9,22262450.0,2.85,2010-01-26,3.0,2.85
2.85,30873650.0,2.9,2010-01-27,2.9,2.75
2.9,32015500.0,3.0,2010-01-28,3.0,2.85
2.9,30512900.0,3.0,2010-01-29,3.0,2.85
2.95,20810050.0,2.85,2010-02-01,2.95,2.75
2.85,10616850.0,2.8,2010-02-02,2.9,2.7
2.75,4674550.0,2.8,2010-02-03,2.85,2.75
2.8,9623500.0,2.85,2010-02-04,2.9,2.8
2.75,8463250.0,2.85,2010-02-05,2.85,2.65
2.8,9546100.0,2.85,2010-02-08,2.85,2.75
2.7,19509500.0,2.75,2010-02-09,2.75,2.7
2.8,19695000.0,2.75,2010-02-10,2.8,2.75
2.75,40249150.0,2.85,2010-02-11,2.85,2.75
3.05,3354950.0,3.05,2010-03-08,3.1,3.05
3.25,5037050.0,3.2,2010-03-12,3.25,3.15
3.2,5160650.0,3.2,2010-03-15,3.2,3.15
3.15,5969850.0,3.1,2010-03-16,3.15,3.1
3.1,6058800.0,3.1,2010-03-17,3.1,3.05
3.4,25336500.0,3.4,2010-03-31,3.4,3.35
3.35,15219400.0,3.3,2010-04-20,3.35,3.3
3.3,4392400.0,3.4,2010-04-21,3.4,3.3
3.4,19525200.0,3.45,2010-04-22,3.45,3.35
3.4,6077050.0,3.45,2010-04-23,3.45,3.4
3.45,15190850.0,3.45,2010-04-29,3.45,3.4
3.45,23790050.0,3.45,2010-04-30,3.45,3.4
3.4,13619650.0,3.4,2010-05-04,3.4,3.3
3.25,14205100.0,3.35,2010-05-05,3.35,3.2
3.45,183186600.0,3.6,2010-05-13,3.65,3.45
3.55,126439650.0,3.65,2010-05-14,3.75,3.55
3.65,69367600.0,3.55,2010-05-17,3.7,3.5
3.7,131027850.0,3.65,2010-05-18,3.75,3.65
3.6,48007850.0,3.65,2010-05-19,3.65,3.55
3.65,23946200.0,3.6,2010-05-20,3.65,3.6
3.5,91203500.0,3.5,2010-05-21,3.5,3.45
3.55,8697800.0,3.6,2010-05-24,3.6,3.55
3.55,58444450.0,3.5,2010-05-25,3.55,3.45
3.5,23312050.0,3.6,2010-05-26,3.6,3.5
3.55,29429700.0,3.65,2010-05-27,3.65,3.55
3.7,22386450.0,3.65,2010-05-28,3.7,3.6
3.65,81636150.0,3.8,2010-05-31,3.85,3.6
3.75,42651450.0,3.7,2010-06-01,3.8,3.65
3.7,50334750.0,3.75,2010-06-02,3.8,3.7
3.75,29317300.0,3.75,2010-06-03,3.8,3.7
3.8,108432800.0,3.8,2010-06-04,3.9,3.75
3.8,43932600.0,3.65,2010-06-07,3.8,3.6
3.65,40066800.0,3.7,2010-06-08,3.75,3.65
3.75,61011300.0,3.7,2010-06-09,3.75,3.65
3.7,30167300.0,3.65,2010-06-10,3.75,3.65
3.75,23118950.0,3.65,2010-06-11,3.75,3.65
3.65,8389850.0,3.7,2010-06-15,3.7,3.65
3.7,24072800.0,3.65,2010-06-16,3.7,3.6
3.7,65997700.0,3.65,2010-06-21,3.75,3.65
3.65,58346350.0,3.7,2010-06-22,3.7,3.55
3.6,26252800.0,3.65,2010-06-23,3.65,3.55
3.55,8610750.0,3.65,2010-06-24,3.65,3.55
3.6,9175900.0,3.6,2010-06-25,3.6,3.55
3.6,6364700.0,3.65,2010-06-28,3.65,3.6
3.65,17329350.0,3.7,2010-06-29,3.7,3.55
3.6,68479550.0,3.45,2010-07-01,3.6,3.45
3.45,26729050.0,3.45,2010-07-02,3.45,3.4
3.4,43464100.0,3.35,2010-07-06,3.4,3.35
3.4,14895900.0,3.35,2010-07-07,3.45,3.35
3.4,61419750.0,3.3,2010-07-08,3.4,3.3
3.45,156499800.0,3.6,2010-07-09,3.6,3.45
3.8,124925350.0,3.75,2010-07-13,3.8,3.7
3.8,36743650.0,3.8,2010-07-14,3.85,3.75
3.8,22592250.0,3.8,2010-07-15,3.85,3.75
3.8,35900500.0,3.75,2010-07-16,3.8,3.75
3.7,31700600.0,3.8,2010-07-19,3.8,3.7
3.8,44258950.0,3.75,2010-07-20,3.8,3.7
3.8,38376750.0,3.8,2010-07-21,3.8,3.7
3.75,16611750.0,3.8,2010-07-22,3.8,3.7
3.8,105173400.0,3.85,2010-07-23,3.9,3.8
5.6,71005720.0,5.75,2010-09-20,5.8,5.6
5.8,149018317.0,6.27,2010-09-21,6.3,5.8
6.3,50206981.0,6.38,2010-09-22,6.5,6.12
6.4,42183438.0,6.44,2010-09-23,6.52,6.2
6.42,24223235.0,6.38,2010-09-24,6.52,6.23
6.49,79479676.0,6.51,2010-09-27,6.57,6.46
6.5,82166227.0,6.48,2010-09-28,6.53,6.38
6.46,50019258.0,6.45,2010-09-29,6.51,6.36
6.43,50011343.0,6.3,2010-09-30,6.43,6.1
6.25,34158215.0,6.44,2010-10-01,6.44,6.19
6.45,38767962.0,6.47,2010-10-04,6.55,6.4
6.47,17176808.0,6.43,2010-10-05,6.47,6.38
6.5,35021521.0,6.48,2010-10-06,6.6,6.46
6.48,33204898.0,6.4,2010-10-07,6.48,6.34
6.38,14643952.0,6.32,2010-10-08,6.4,6.31
6.17,46573852.0,5.85,2010-10-12,6.19,5.85
5.9,32264761.0,5.97,2010-10-13,6.03,5.85
6.03,18196002.0,6.0,2010-10-14,6.06,5.95
6.0,10156540.0,6.0,2010-10-15,6.01,5.97
6.01,17400021.0,6.05,2010-10-18,6.05,5.94
6.0,2008149.0,5.92,2010-10-19,6.05,5.92
5.92,19099323.0,5.8,2010-10-20,5.95,5.7
5.9,16510927.0,5.78,2010-10-21,5.9,5.77
5.78,55677589.0,5.68,2010-10-22,5.84,5.68
5.7,17395702.0,5.7,2010-10-26,5.75,5.68
5.7,67235657.0,5.56,2010-10-27,5.7,5.55
5.58,23779933.0,5.61,2010-10-28,5.63,5.58
5.6,40357400.0,5.6,2010-10-29,5.61,5.59
5.69,46540092.0,5.82,2010-11-02,5.83,5.65
5.9,77144304.0,5.87,2010-11-03,5.99,5.85
5.89,21238693.0,5.77,2010-11-04,5.89,5.74
5.77,16261200.0,5.7,2010-11-08,5.77,5.6
5.69,17193785.0,5.7,2010-11-09,5.7,5.57
5.69,85817514.0,5.53,2010-11-10,5.69,5.53
5.57,28593445.0,5.53,2010-11-11,5.62,5.4
5.49,16228569.0,5.45,2010-11-12,5.49,5.25
5.45,17224000.0,5.45,2010-11-15,5.5,5.34
5.4,25999320.0,5.6,2010-11-17,5.6,5.39
5.6,10513178.0,5.65,2010-11-18,5.65,5.47
5.65,24603474.0,5.64,2010-11-19,5.75,5.54
5.55,12811349.0,5.43,2010-11-22,5.55,5.36
5.43,25853374.0,5.21,2010-11-23,5.43,5.18
5.0,27378242.0,5.12,2010-11-24,5.12,5.0
5.1,47945582.0,4.8,2010-11-25,5.16,4.8
4.81,55615750.0,4.68,2010-11-26,4.81,4.55
4.68,31510510.0,4.5,2010-11-30,4.68,4.42
4.5,26307830.0,4.47,2010-12-01,4.5,4.42
4.6,53948070.0,4.6,2010-12-02,4.6,4.43
4.75,37993780.0,5.1,2010-12-03,5.1,4.75
5.11,36280075.0,5.3,2010-12-06,5.3,5.1
5.3,16476659.0,5.34,2010-12-07,5.34,5.04
5.2,85077181.0,5.55,2010-12-08,5.55,5.2
5.35,13424235.0,5.33,2010-12-22,5.35,5.22
5.25,9581582.0,5.25,2010-12-23,5.27,5.22
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.25,4300889.0,5.22,2010-12-28,5.25,5.19
5.17,12431236.0,5.3,2010-12-29,5.3,5.17
5.17,12431236.0,5.3,2010-12-29,5.3,5.17
5.31,33049976.0,5.5,2011-01-03,5.5,5.31
5.31,33049976.0,5.5,2011-01-03,5.5,5.31
5.31,33049976.0,5.5,2011-01-03,5.5,5.31
5.55,7303156.0,5.55,2011-01-04,5.59,5.33
5.39,6578720.0,5.5,2011-01-05,5.54,5.39
5.5,7539920.0,5.48,2011-01-06,5.51,5.47
5.5,10441935.0,5.47,2011-01-07,5.51,5.4
5.47,7643764.0,5.4,2011-01-10,5.5,5.25
5.26,16369377.0,5.25,2011-01-11,5.5,5.25
5.26,16369377.0,5.25,2011-01-11,5.5,5.25
5.25,14765099.0,5.18,2011-01-12,5.26,5.16
5.2,76471733.0,5.19,2011-01-13,5.25,5.19
5.19,10803159.0,5.15,2011-01-14,5.19,5.1
5.15,7776700.0,5.11,2011-01-17,5.15,5.06
5.1,6819120.0,5.09,2011-01-18,5.1,5.02
5.08,5839552.0,4.9,2011-01-19,5.09,4.88
5.08,5839552.0,4.9,2011-01-19,5.09,4.88
4.86,36230110.0,4.6,2011-01-20,4.87,4.51
4.86,36230110.0,4.6,2011-01-20,4.87,4.51
4.5,9192570.0,4.7,2011-01-24,4.7,4.35
4.69,3004520.0,4.78,2011-01-25,4.79,4.53
4.7,31280230.0,4.76,2011-01-26,4.77,4.7
4.76,87032100.0,4.9,2011-01-27,4.9,4.7
4.9,48292230.0,4.85,2011-01-28,4.9,4.8
4.9,48292230.0,4.85,2011-01-28,4.9,4.8
4.7,73410680.0,4.88,2011-01-31,4.88,4.6
4.7,73410680.0,4.88,2011-01-31,4.88,4.6
4.88,5326100.0,4.88,2011-02-01,4.88,4.8
4.88,5326100.0,4.88,2011-02-01,4.88,4.8
4.88,21070240.0,4.88,2011-02-02,4.88,4.85
4.88,2783030.0,4.84,2011-02-03,4.88,4.7
4.51,71385330.0,4.6,2011-02-14,4.63,4.5
4.71,535160.0,4.7,2011-02-16,4.71,4.68
4.71,535160.0,4.7,2011-02-16,4.71,4.68
4.7,3660430.0,4.69,2011-02-17,4.7,4.61
4.78,527790.0,4.65,2011-02-18,4.78,4.65
4.65,771100.0,4.65,2011-02-21,4.65,4.63
4.65,771100.0,4.65,2011-02-21,4.65,4.63
4.65,9434570.0,4.69,2011-02-22,4.7,4.64
4.65,9434570.0,4.69,2011-02-22,4.7,4.64
4.65,17631040.0,4.63,2011-02-23,4.65,4.61
4.65,17631040.0,4.63,2011-02-23,4.65,4.61
4.61,2264280.0,4.62,2011-02-24,4.63,4.61
4.61,2264280.0,4.62,2011-02-24,4.63,4.61
4.62,2809220.0,4.63,2011-02-25,4.64,4.62
4.62,5078040.0,4.79,2011-02-28,4.79,4.62
4.9,45311690.0,5.17,2011-03-02,5.3,4.9
5.25,46071998.0,5.43,2011-03-03,5.48,5.25
5.5,152637245.0,5.75,2011-03-04,5.75,5.5
5.5,152637245.0,5.75,2011-03-04,5.75,5.5
5.71,24217898.0,5.7,2011-03-07,5.72,5.63
5.68,15078727.0,5.59,2011-03-08,5.68,5.4
5.68,15078727.0,5.59,2011-03-08,5.68,5.4
5.36,4698462.0,5.29,2011-03-11,5.36,5.12
5.36,4698462.0,5.29,2011-03-11,5.36,5.12
5.35,24505585.0,5.38,2011-03-16,5.42,5.35
5.3,21263630.0,5.42,2011-03-17,5.42,5.25
5.44,19620879.0,5.44,2011-03-18,5.44,5.35
5.38,4346075.0,5.43,2011-03-21,5.43,5.38
5.44,15886384.0,5.44,2011-03-22,5.53,5.39
5.44,23520502.0,5.37,2011-03-23,5.44,5.37
5.34,5412032.0,5.25,2011-03-24,5.34,5.25
5.23,5472492.0,5.23,2011-03-25,5.28,5.18
5.23,4990042.0,5.2,2011-03-28,5.23,5.08
5.2,1738985.0,5.26,2011-03-29,5.26,5.15
5.26,6938611.0,5.4,2011-03-30,5.4,5.26
5.4,15500811.0,5.43,2011-03-31,5.43,5.35
5.45,58259154.0,5.45,2011-04-01,5.5,5.38
5.45,17609578.0,5.5,2011-04-04,5.6,5.45
5.5,14431247.0,5.45,2011-04-05,5.5,5.44
5.45,24624797.0,5.46,2011-04-06,5.49,5.45
5.47,30217372.0,5.39,2011-04-07,5.6,5.38
5.4,11619035.0,5.42,2011-04-08,5.45,5.4
5.42,23707833.0,5.38,2011-04-11,5.45,5.38
5.38,54930387.0,5.36,2011-04-12,5.39,5.33
5.33,28146159.0,5.39,2011-04-13,5.39,5.31
5.4,255146685.0,5.67,2011-04-14,5.69,5.4
5.75,154905118.0,5.65,2011-04-15,5.82,5.65
6.06,112015439.0,6.09,2011-04-26,6.1,5.98
6.04,108633227.0,6.17,2011-04-27,6.18,6.04
6.17,92923590.0,6.14,2011-04-28,6.21,6.1
6.2,295041161.0,6.4,2011-04-29,6.41,6.1
6.49,93001457.0,6.46,2011-05-02,6.53,6.4
6.5,45110389.0,6.29,2011-05-03,6.51,6.29
6.25,72079188.0,6.2,2011-05-04,6.32,6.1
6.1,15858668.0,6.1,2011-05-05,6.15,6.01
6.05,39097988.0,6.04,2011-05-06,6.05,6.0
6.06,51138358.0,6.24,2011-05-09,6.32,6.06
6.2,34277732.0,6.3,2011-05-10,6.3,6.2
6.35,126500304.0,6.5,2011-05-11,6.6,6.35
6.54,109936116.0,6.7,2011-05-12,6.74,6.54
6.7,113192241.0,6.92,2011-05-13,6.95,6.69
6.82,48446033.0,6.81,2011-05-16,6.82,6.72
6.8,37669796.0,6.62,2011-05-17,6.8,6.6
6.6,33332233.0,6.65,2011-05-18,6.8,6.4
6.7,15887292.0,6.69,2011-05-19,6.75,6.59
6.75,64519141.0,6.55,2011-05-20,6.75,6.52
6.5,43362025.0,6.53,2011-05-23,6.7,6.4
6.5,49543327.0,6.4,2011-05-24,6.54,6.32
6.35,30069469.0,6.4,2011-05-25,6.5,6.35
6.42,76790729.0,6.38,2011-05-26,6.5,6.35
6.4,29911805.0,6.36,2011-05-27,6.4,6.3
6.36,12142472.0,6.36,2011-05-30,6.42,6.29
6.38,95524869.0,6.53,2011-05-31,6.55,6.38
6.55,10064554.0,6.53,2011-06-01,6.57,6.5
6.5,12982690.0,6.44,2011-06-03,6.59,6.44
6.4,19023139.0,6.3,2011-06-06,6.4,6.26
6.26,71732850.0,6.15,2011-06-07,6.29,6.15
6.15,27957027.0,6.06,2011-06-08,6.18,6.05
6.1,7339232.0,6.08,2011-06-09,6.12,6.06
6.1,22946728.0,6.04,2011-06-10,6.14,6.04
5.99,39340561.0,5.86,2011-06-13,6.12,5.85
5.98,29007546.0,5.61,2011-06-14,5.98,5.6
5.7,17072189.0,5.69,2011-06-15,5.9,5.68
5.63,20538997.0,5.8,2011-06-16,5.8,5.6
5.82,17690626.0,5.72,2011-06-17,5.82,5.63
5.7,11577754.0,5.67,2011-06-21,5.72,5.62
5.68,60325557.0,5.74,2011-06-22,5.85,5.68
5.74,10449708.0,5.68,2011-06-23,5.74,5.66
5.68,11569358.0,5.79,2011-06-24,5.79,5.63
5.79,20665581.0,5.67,2011-06-27,5.79,5.67
5.66,20052064.0,5.67,2011-06-28,5.78,5.66
5.67,38906609.0,5.6,2011-06-29,5.72,5.55
5.72,18335231.0,5.74,2011-06-30,5.74,5.55
5.74,19004818.0,5.73,2011-07-01,5.8,5.65
5.74,35820428.0,5.92,2011-07-04,5.92,5.74
5.98,38252454.0,5.99,2011-07-05,6.04,5.94
5.99,37545475.0,5.92,2011-07-06,6.05,5.88
5.95,72215821.0,6.13,2011-07-07,6.13,5.9
