OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.36,3189060.0,1.32,2009-08-03,1.36,1.3
1.32,2764680.0,1.28,2009-08-04,1.34,1.22
1.28,258920.0,1.26,2009-08-06,1.28,1.24
1.3,1109980.0,1.26,2009-08-07,1.3,1.24
1.28,4429200.0,1.4,2009-08-10,1.4,1.28
1.42,2062380.0,1.4,2009-08-11,1.42,1.36
1.4,1530420.0,1.4,2009-08-12,1.42,1.4
1.4,2238620.0,1.4,2009-08-13,1.42,1.4
1.42,4386820.0,1.38,2009-08-14,1.46,1.38
1.44,3925380.0,1.42,2009-08-17,1.46,1.4
1.42,940460.0,1.44,2009-08-18,1.44,1.4
1.48,4158000.0,1.56,2009-08-19,1.56,1.48
1.6,5618400.0,1.62,2009-08-20,1.66,1.56
1.64,4219900.0,1.64,2009-08-24,1.64,1.58
1.56,1698120.0,1.56,2009-08-25,1.58,1.52
1.54,1010800.0,1.58,2009-08-26,1.58,1.52
1.48,527880.0,1.52,2009-09-03,1.52,1.48
1.54,568160.0,1.54,2009-09-04,1.54,1.52
1.8,281000.0,1.74,2009-09-16,1.8,1.74
1.72,1387860.0,1.66,2009-09-17,1.74,1.6
1.6,635640.0,1.62,2009-09-18,1.62,1.58
1.62,140940.0,1.62,2009-09-22,1.62,1.62
1.62,1901660.0,1.72,2009-09-23,1.72,1.62
1.68,271720.0,1.64,2009-09-30,1.68,1.64
1.66,965540.0,1.6,2009-10-01,1.66,1.6
1.58,547360.0,1.58,2009-10-02,1.58,1.54
1.58,229940.0,1.56,2009-10-05,1.6,1.56
1.56,358440.0,1.62,2009-10-06,1.66,1.56
1.6,340280.0,1.64,2009-10-07,1.64,1.6
1.62,986280.0,1.58,2009-10-08,1.64,1.56
1.6,70400.0,1.6,2009-10-09,1.6,1.6
1.6,395400.0,1.6,2009-10-12,1.62,1.6
1.6,376700.0,1.58,2009-10-13,1.6,1.58
1.58,9540.0,1.6,2009-10-14,1.6,1.58
1.62,99620.0,1.58,2009-10-15,1.62,1.58
1.64,163200.0,1.62,2009-10-16,1.64,1.62
1.6,67200.0,1.6,2009-10-19,1.6,1.6
1.58,224380.0,1.58,2009-10-20,1.6,1.58
1.58,298200.0,1.56,2009-10-21,1.58,1.56
1.54,517000.0,1.5,2009-10-22,1.54,1.5
1.52,928140.0,1.48,2009-10-23,1.52,1.48
1.48,893420.0,1.44,2009-10-26,1.48,1.42
1.4,1345500.0,1.4,2009-10-27,1.42,1.4
1.38,1661280.0,1.42,2009-10-28,1.44,1.38
1.44,754480.0,1.44,2009-10-29,1.5,1.4
1.48,231300.0,1.48,2009-10-30,1.5,1.46
1.48,109200.0,1.44,2009-11-03,1.48,1.44
1.44,645880.0,1.44,2009-11-04,1.44,1.42
1.44,736140.0,1.44,2009-11-05,1.46,1.42
1.44,281380.0,1.46,2009-11-06,1.48,1.44
1.46,227080.0,1.44,2009-11-09,1.46,1.44
1.44,1538720.0,1.44,2009-11-10,1.44,1.42
1.44,900380.0,1.46,2009-11-11,1.46,1.44
1.52,703460.0,1.46,2009-12-15,1.52,1.46
1.46,870000.0,1.44,2009-12-16,1.46,1.44
1.42,1169120.0,1.4,2009-12-17,1.42,1.4
1.38,216400.0,1.4,2009-12-18,1.4,1.38
1.42,14200.0,1.42,2009-12-21,1.42,1.42
1.42,252660.0,1.38,2009-12-23,1.42,1.38
1.36,869040.0,1.36,2010-01-04,1.36,1.36
1.4,1400.0,1.4,2010-01-05,1.4,1.4
1.38,1075860.0,1.42,2010-01-06,1.44,1.38
1.4,20980.0,1.4,2010-01-11,1.4,1.38
1.36,605960.0,1.4,2010-01-12,1.42,1.36
1.4,43000.0,1.44,2010-01-13,1.44,1.4
1.38,29040.0,1.44,2010-01-14,1.44,1.38
1.42,318760.0,1.44,2010-01-15,1.46,1.42
1.4,919800.0,1.4,2010-01-18,1.4,1.4
1.4,109200.0,1.4,2010-01-20,1.4,1.4
1.36,156400.0,1.36,2010-01-25,1.36,1.36
1.36,982400.0,1.34,2010-01-26,1.36,1.34
1.32,457920.0,1.32,2010-01-27,1.32,1.3
1.32,801300.0,1.34,2010-01-29,1.36,1.32
1.36,76240.0,1.28,2010-02-01,1.36,1.28
1.28,241680.0,1.26,2010-02-02,1.28,1.26
1.24,751060.0,1.2,2010-02-03,1.24,1.2
1.2,305640.0,1.18,2010-02-04,1.2,1.16
