OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.0,163597330.0,1.14,2013-12-23,1.2,1.0
1.13,1996160.0,1.14,2013-12-26,1.3,1.09
1.09,7546880.0,1.02,2013-12-27,1.09,1.02
1.09,62930.0,1.02,2014-01-02,1.09,1.02
1.02,2087950.0,1.01,2014-01-03,1.02,1.01
1.01,842310.0,1.02,2014-01-06,1.02,1.01
1.01,1161500.0,1.01,2014-01-07,1.01,1.01
1.02,31630.0,1.03,2014-01-08,1.03,1.02
1.03,361080.0,1.01,2014-01-09,1.03,1.01
1.02,51090.0,1.03,2014-01-10,1.03,1.02
1.02,3612400.0,1.01,2014-01-13,1.02,1.01
1.01,123420.0,1.02,2014-01-14,1.02,1.01
1.02,255000.0,1.02,2014-01-15,1.02,1.02
1.01,4985470.0,1.01,2014-01-16,1.02,1.01
1.01,2389180.0,1.01,2014-01-17,1.02,1.01
1.01,531260.0,1.01,2014-01-20,1.01,1.01
1.02,1020.0,1.02,2014-01-21,1.02,1.02
1.01,35620.0,1.02,2014-01-22,1.02,1.01
1.02,11020.0,1.0,2014-01-23,1.02,1.0
1.01,5112110.0,1.0,2014-01-24,1.01,1.0
1.0,49000.0,1.0,2014-01-27,1.0,1.0
1.0,7000.0,1.0,2014-01-28,1.0,1.0
1.01,54530.0,1.0,2014-01-29,1.01,1.0
1.01,719670.0,1.01,2014-01-30,1.02,1.01
1.02,286460.0,1.02,2014-02-03,1.02,1.01
1.01,2620050.0,1.0,2014-02-04,1.01,1.0
1.01,907500.0,1.0,2014-02-05,1.01,1.0
1.01,9090.0,1.01,2014-02-06,1.01,1.01
1.01,68130.0,1.0,2014-02-07,1.01,1.0
1.01,313100.0,1.01,2014-02-10,1.01,1.01
1.02,60700.0,1.01,2014-02-11,1.02,1.01
1.01,620140.0,1.01,2014-02-12,1.01,1.01
1.01,387160.0,1.02,2014-02-13,1.02,1.01
1.0,2500000.0,1.0,2014-02-14,1.0,1.0
1.01,252500.0,1.01,2014-02-17,1.01,1.01
1.01,61500.0,1.0,2014-02-18,1.01,1.0
1.0,500000.0,1.0,2014-02-19,1.0,1.0
1.0,500000.0,1.0,2014-02-20,1.0,1.0
1.0,3237070.0,1.01,2014-02-21,1.04,1.0
1.01,300300.0,1.02,2014-02-24,1.02,1.0
1.02,1238730.0,1.01,2014-02-25,1.04,1.01
1.02,204530.0,1.02,2014-02-26,1.03,1.01
1.02,42750.0,1.03,2014-02-27,1.03,1.01
1.03,19570.0,1.03,2014-02-28,1.03,1.03
1.02,90980.0,1.03,2014-03-03,1.03,1.02
1.02,843540.0,1.02,2014-03-04,1.02,1.02
1.03,341960.0,1.03,2014-03-05,1.03,1.03
1.03,243140.0,1.02,2014-03-06,1.03,1.02
1.02,561000.0,1.02,2014-03-07,1.02,1.02
1.03,12310.0,1.02,2014-03-10,1.03,1.02
1.03,210120.0,1.03,2014-03-11,1.03,1.03
1.02,15350.0,1.03,2014-03-13,1.03,1.02
1.03,108150.0,1.03,2014-03-14,1.03,1.03
1.02,1224000.0,1.02,2014-03-17,1.02,1.02
1.02,550800.0,1.02,2014-03-18,1.02,1.02
1.02,535600.0,1.02,2014-03-19,1.03,1.02
1.03,20600.0,1.03,2014-03-20,1.03,1.03
1.02,919030.0,1.03,2014-03-21,1.03,1.02
1.02,2785920.0,1.02,2014-03-24,1.03,1.02
1.02,1744200.0,1.02,2014-03-25,1.02,1.02
1.02,5304000.0,1.02,2014-03-26,1.02,1.02
1.02,51080.0,1.03,2014-03-27,1.03,1.02
1.02,255000.0,1.02,2014-03-28,1.02,1.02
1.03,305690.0,1.02,2014-03-31,1.03,1.02
1.02,2244400.0,1.01,2014-04-01,1.02,1.01
1.02,6061300.0,1.01,2014-04-02,1.02,1.01
1.01,2424000.0,1.01,2014-04-03,1.01,1.01
1.01,5071420.0,1.02,2014-04-04,1.02,1.01
1.01,808000.0,1.01,2014-04-07,1.01,1.01
1.01,9061320.0,1.0,2014-04-08,1.02,1.0
1.0,1857570.0,1.01,2014-04-10,1.01,1.0
1.01,1911930.0,1.01,2014-04-11,1.01,1.01
1.0,3785310.0,1.01,2014-04-14,1.01,1.0
1.01,1531500.0,1.01,2014-04-15,1.01,1.0
1.01,58580.0,1.01,2014-04-16,1.01,1.01
1.01,4494500.0,1.01,2014-04-21,1.01,1.01
1.01,30300.0,1.01,2014-04-22,1.01,1.01
1.0,338760.0,1.01,2014-04-23,1.01,1.0
1.01,1099860.0,1.0,2014-04-24,1.01,1.0
1.0,7458470.0,1.0,2014-04-25,1.01,1.0
1.0,6530000.0,1.0,2014-04-28,1.0,1.0
1.0,1083000.0,1.0,2014-04-29,1.0,1.0
1.01,265700.0,1.01,2014-04-30,1.01,1.0
1.0,25100.0,1.01,2014-05-02,1.01,1.0
1.01,124230.0,1.01,2014-05-05,1.01,1.01
1.0,1600000.0,1.0,2014-05-06,1.0,1.0
1.0,2893150.0,1.0,2014-05-07,1.01,1.0
1.0,2001010.0,1.01,2014-05-08,1.01,1.0
1.01,1601000.0,1.0,2014-05-09,1.01,1.0
1.01,101000.0,1.01,2014-05-12,1.01,1.01
1.0,5513000.0,1.0,2014-05-13,1.0,1.0
1.0,700000.0,1.0,2014-05-14,1.0,1.0
1.0,1790000.0,1.0,2014-05-15,1.0,1.0
1.0,60000.0,1.0,2014-05-16,1.0,1.0
0.99,1980.0,0.99,2014-05-19,0.99,0.99
1.0,1632000.0,1.0,2014-05-20,1.0,1.0
1.01,54010.0,1.0,2014-05-21,1.01,1.0
1.0,1395300.0,1.0,2014-05-22,1.0,0.99
1.0,213000.0,1.0,2014-05-23,1.0,1.0
1.0,120000.0,1.0,2014-05-26,1.0,1.0
1.0,1341180.0,0.99,2014-05-28,1.0,0.99
1.0,3500000.0,1.0,2014-05-29,1.0,1.0
1.0,1682800.0,1.01,2014-05-30,1.01,1.0
1.0,2027000.0,1.0,2014-06-02,1.0,1.0
1.0,550000.0,1.0,2014-06-03,1.0,1.0
1.0,300000.0,1.0,2014-06-05,1.0,1.0
1.0,30000.0,1.0,2014-06-06,1.0,1.0
1.01,1010.0,1.01,2014-06-10,1.01,1.01
1.01,1723060.0,1.01,2014-06-13,1.01,1.01
1.01,1353400.0,1.01,2014-06-16,1.01,1.01
1.0,428100.0,1.0,2014-06-18,1.01,1.0
1.0,30000.0,1.0,2014-06-20,1.0,1.0
1.01,325200.0,1.0,2014-06-23,1.01,1.0
1.01,11110.0,1.01,2014-06-24,1.01,1.01
1.01,1724070.0,1.01,2014-06-26,1.01,1.01
1.02,845600.0,1.02,2014-06-27,1.02,1.01
1.02,577320.0,1.02,2014-06-30,1.02,1.02
1.02,7217520.0,1.02,2014-07-01,1.02,1.02
1.02,2963100.0,1.02,2014-07-02,1.02,1.02
1.02,5451900.0,1.02,2014-07-03,1.02,1.02
1.02,9746100.0,1.02,2014-07-04,1.02,1.02
0.99,1026040.0,0.99,2014-07-07,1.01,0.99
1.0,1857050.0,1.01,2014-07-08,1.01,1.0
1.0,715100.0,1.01,2014-07-09,1.01,1.0
1.0,1225100.0,1.0,2014-07-10,1.01,1.0
1.01,12120.0,1.01,2014-07-11,1.01,1.01
1.0,26100.0,1.01,2014-07-14,1.01,1.0
1.0,200000.0,1.0,2014-07-15,1.0,1.0
1.01,4132450.0,0.99,2014-07-18,1.01,0.99
1.0,70000.0,1.0,2014-07-21,1.0,1.0
1.0,70000.0,1.0,2014-07-23,1.0,1.0
1.0,2001000.0,1.0,2014-07-25,1.0,1.0
1.0,55000.0,1.0,2014-07-30,1.0,1.0
1.0,110000.0,1.0,2014-07-31,1.0,1.0
0.99,362200.0,1.0,2014-08-01,1.0,0.99
1.0,70000.0,1.0,2014-08-04,1.0,1.0
1.0,516000.0,0.99,2014-08-05,1.0,0.99
1.0,581000.0,1.0,2014-08-06,1.0,1.0
1.0,50000.0,1.0,2014-08-07,1.0,1.0
