OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.001,62500.0,0.08,2013-12-23,0.08,0.001
0.105,1853700.0,0.64,2013-12-26,1.6,0.105
0.99,5683070.0,0.5,2013-12-27,0.99,0.5
0.49,640530.0,0.4,2014-01-02,0.55,0.4
0.245,116450.0,0.4,2014-01-03,0.45,0.245
0.43,397400.0,0.28,2014-01-06,0.43,0.28
0.29,818000.0000000001,0.3,2014-01-07,0.3,0.28
0.28,47250.0,0.28,2014-01-08,0.29,0.26
0.28,11600.000000000002,0.32,2014-01-09,0.32,0.28
0.32,45350.0,0.305,2014-01-10,0.32,0.29
0.28,71400.0,0.28,2014-01-13,0.28,0.26
0.28,66200.0,0.265,2014-01-15,0.28,0.24
0.28,1043950.0,0.38,2014-01-16,0.44,0.28
0.38,41900.0,0.385,2014-01-17,0.385,0.38
0.39,79350.0,0.335,2014-01-20,0.39,0.305
0.32,85900.0,0.35,2014-01-21,0.38,0.315
0.365,28550.0,0.365,2014-01-22,0.365,0.335
0.36,55650.0,0.34,2014-01-23,0.365,0.34
0.33,870400.0,0.35,2014-01-24,0.355,0.325
0.32,6650.0,0.345,2014-01-27,0.345,0.32
0.35,20500.0,0.34,2014-01-28,0.355,0.325
0.325,25900.0,0.34,2014-01-29,0.34,0.315
0.325,42450.0,0.335,2014-01-30,0.335,0.325
0.34,10050.0,0.33,2014-02-03,0.34,0.33
0.32,84450.0,0.315,2014-02-04,0.32,0.3
0.32,48750.0,0.335,2014-02-05,0.335,0.32
0.33,3300.0,0.33,2014-02-06,0.33,0.33
0.305,40600.0,0.335,2014-02-07,0.335,0.305
0.33,16150.0,0.33,2014-02-10,0.33,0.305
0.33,64400.0,0.33,2014-02-11,0.33,0.31
0.31,15500.0,0.31,2014-02-17,0.31,0.31
0.315,50850.0,0.315,2014-02-18,0.32,0.315
0.31,31350.0,0.32,2014-02-19,0.32,0.31
0.32,187300.0,0.32,2014-02-20,0.32,0.3
0.32,4517400.0,0.34,2014-02-21,0.415,0.32
0.385,3722400.0,0.44,2014-02-24,0.44,0.37
0.44,49745600.0,0.9,2014-02-25,0.98,0.44
0.94,28795500.0,0.88,2014-02-26,1.02,0.79
0.86,5551970.0,0.8,2014-02-27,0.86,0.79
0.8,12254000.0,0.94,2014-02-28,0.94,0.79
0.96,21555960.0,1.05,2014-03-03,1.1,0.96
1.05,7892160.0,0.99,2014-03-04,1.08,0.96
1.01,4031730.0,0.91,2014-03-05,1.02,0.9
0.97,1217160.0,0.92,2014-03-06,0.97,0.9
0.95,1554300.0,0.89,2014-03-07,0.95,0.89
0.93,971040.0,0.89,2014-03-10,0.93,0.89
0.89,1238120.0,0.88,2014-03-11,0.91,0.88
0.87,976510.0,0.83,2014-03-12,0.88,0.83
0.86,10246650.0,0.97,2014-03-13,1.01,0.85
0.97,1905500.0,0.92,2014-03-14,1.01,0.92
0.95,432180.0,0.93,2014-03-17,0.97,0.93
0.94,990250.0,0.92,2014-03-18,0.97,0.92
0.92,338040.0,0.95,2014-03-19,0.97,0.92
0.96,116490.0,0.94,2014-03-20,0.97,0.94
0.95,3529470.0,0.98,2014-03-21,1.03,0.94
0.98,23908010.0,1.22,2014-03-24,1.25,0.95
1.28,18883940.0,1.25,2014-03-25,1.34,1.16
1.25,1262570.0,1.24,2014-03-26,1.26,1.19
1.24,663040.0,1.19,2014-03-27,1.26,1.18
1.23,639230.0,1.19,2014-03-28,1.23,1.19
1.2,913250.0,1.22,2014-03-31,1.23,1.18
1.24,14703170.0,1.32,2014-04-01,1.4,1.21
1.37,9130500.0,1.3,2014-04-02,1.4,1.27
1.31,1832050.0,1.28,2014-04-03,1.34,1.25
1.27,5726090.0,1.28,2014-04-04,1.35,1.23
1.28,2044490.0,1.27,2014-04-07,1.33,1.25
1.3,3501160.0,1.24,2014-04-08,1.31,1.23
1.27,5233620.0,1.19,2014-04-10,1.28,1.17
1.18,2520610.0,1.16,2014-04-11,1.21,1.14
1.17,1883700.0,1.13,2014-04-14,1.21,1.13
1.14,2833330.0,1.16,2014-04-15,1.24,1.14
1.23,8702610.0,1.22,2014-04-16,1.3,1.19
1.28,2484920.0,1.24,2014-04-21,1.29,1.24
1.26,1280210.0,1.24,2014-04-22,1.27,1.22
1.25,4386520.0,1.23,2014-04-23,1.31,1.21
1.26,1750910.0,1.22,2014-04-24,1.26,1.21
1.22,1409330.0,1.2,2014-04-25,1.25,1.18
1.24,3098410.0,1.15,2014-04-28,1.24,1.15
1.2,956090.0,1.16,2014-04-29,1.2,1.15
1.2,1512630.0,1.17,2014-04-30,1.2,1.12
1.19,635180.0,1.17,2014-05-02,1.19,1.15
1.15,644520.0,1.17,2014-05-05,1.19,1.15
1.15,1787250.0,1.2,2014-05-06,1.22,1.14
1.2,504720.0,1.19,2014-05-07,1.22,1.19
1.19,604120.0,1.18,2014-05-08,1.2,1.17
1.18,1879630.0,1.18,2014-05-09,1.18,1.13
1.2,663740.0,1.16,2014-05-12,1.2,1.15
1.14,974150.0,1.16,2014-05-13,1.17,1.14
1.18,1038960.0,1.14,2014-05-14,1.18,1.14
1.16,849990.0,1.15,2014-05-15,1.17,1.12
1.13,669180.0,1.13,2014-05-16,1.15,1.13
1.16,421550.0,1.12,2014-05-19,1.16,1.12
1.12,492220.0,1.12,2014-05-20,1.15,1.11
1.14,694299.9999999999,1.12,2014-05-21,1.15,1.12
1.13,815020.0,1.1,2014-05-22,1.15,1.06
1.14,431240.0,1.08,2014-05-23,1.14,1.08
1.1,532260.0,1.08,2014-05-26,1.1,1.0
1.05,733360.0,1.03,2014-05-27,1.08,1.01
1.01,502330.0,0.99,2014-05-28,1.02,0.99
0.96,7300900.0,1.13,2014-05-29,1.26,0.92
1.1,4156730.0,1.14,2014-05-30,1.22,1.03
1.17,335930.0,1.11,2014-06-02,1.17,1.08
1.11,541900.0,1.09,2014-06-03,1.13,1.07
1.09,1478950.0,1.07,2014-06-04,1.14,1.04
1.08,2058450.0,1.05,2014-06-05,1.16,1.04
1.09,809180.0,1.05,2014-06-06,1.09,1.05
1.05,225680.0,1.04,2014-06-09,1.06,1.04
1.04,414110.0,1.05,2014-06-10,1.11,1.03
1.04,348310.0,1.05,2014-06-11,1.07,1.03
1.06,328450.0,1.05,2014-06-13,1.08,1.04
1.04,155290.0,1.06,2014-06-16,1.06,1.03
1.07,136650.0,1.03,2014-06-17,1.07,1.03
1.06,534020.0,1.03,2014-06-18,1.07,1.03
1.07,220240.0,1.03,2014-06-19,1.07,1.0
1.03,329720.0,1.01,2014-06-20,1.03,1.01
1.03,90400.0,1.02,2014-06-23,1.03,1.0
1.05,123950.0,1.05,2014-06-24,1.05,1.01
1.05,393530.0,1.04,2014-06-25,1.06,1.04
1.05,145030.0,1.02,2014-06-26,1.06,1.02
1.05,89170.0,1.02,2014-06-27,1.05,1.0
1.06,249750.0,1.0,2014-06-30,1.06,1.0
1.02,344710.0,1.01,2014-07-01,1.02,0.99
1.0,163560.0,1.01,2014-07-02,1.02,1.0
1.0,103910.0,1.02,2014-07-03,1.02,1.0
1.0,421720.0,1.01,2014-07-04,1.02,1.0
1.02,622210.0,1.0,2014-07-07,1.02,1.0
1.02,265760.0,0.99,2014-07-08,1.02,0.98
0.99,424720.0,0.98,2014-07-09,1.01,0.97
1.0,291950.0,0.98,2014-07-10,1.02,0.98
1.0,654170.0,0.96,2014-07-11,1.0,0.95
0.98,250270.0,0.93,2014-07-14,0.98,0.92
0.95,2673290.0,0.99,2014-07-15,1.06,0.95
0.97,62340.0,0.98,2014-07-17,1.0,0.96
0.96,173830.0,0.95,2014-07-18,0.98,0.95
0.96,40110.0,0.95,2014-07-21,0.98,0.95
1.1,1114230.0,1.01,2014-07-23,1.2,0.97
1.0,90120.0,0.98,2014-07-24,1.0,0.97
1.0,189380.0,0.97,2014-07-25,1.0,0.96
0.98,142130.0,0.95,2014-07-28,0.98,0.95
0.95,135120.0,0.96,2014-07-30,0.97,0.94
0.94,43620.0,0.95,2014-07-31,0.96,0.94
0.93,115390.0,0.94,2014-08-01,0.95,0.92
0.94,69160.0,0.96,2014-08-04,0.97,0.94
0.97,65640.0,0.95,2014-08-05,0.97,0.94
0.94,69590.0,0.95,2014-08-06,0.96,0.93
0.96,63360.0,0.96,2014-08-07,0.96,0.96
0.97,66940.0,0.94,2014-08-08,0.97,0.94
0.95,35340.0,0.95,2014-08-11,0.97,0.95
0.95,240340.0,0.93,2014-08-12,0.96,0.93
0.95,469840.0,0.92,2014-08-13,0.95,0.91
0.93,132620.0,0.92,2014-08-14,0.93,0.9
