OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.06,21200.0,1.06,2009-08-03,1.06,1.06
1.06,12720.0,1.06,2009-08-04,1.06,1.06
1.06,30740.0,1.06,2009-08-06,1.06,1.06
1.06,1060.0,1.06,2009-08-24,1.06,1.06
1.06,1060.0,1.06,2009-09-03,1.06,1.06
1.06,147340.0,1.06,2009-09-04,1.06,1.06
1.12,11360.0,1.14,2009-10-12,1.14,1.12
1.12,44800.0,1.12,2009-10-13,1.12,1.12
1.12,72800.0,1.12,2009-10-14,1.12,1.12
1.08,7560.0,1.08,2009-10-19,1.08,1.08
1.08,5400.0,1.08,2009-10-29,1.08,1.08
1.0,42000.0,1.0,2009-12-16,1.0,1.0
1.02,20400.0,1.02,2009-12-18,1.02,1.02
1.0,110600.0,1.0,2009-12-21,1.02,1.0
1.0,70000.0,1.0,2010-01-12,1.0,1.0
1.0,40000.0,1.0,2010-01-18,1.0,1.0
1.0,30000.0,1.0,2010-01-26,1.0,1.0
1.02,30400.0,1.02,2010-01-28,1.02,1.0
1.02,116600.0,1.14,2010-01-29,1.2,1.02
1.08,12960.0,1.08,2010-02-01,1.08,1.08
1.08,7560.0,1.08,2010-02-02,1.08,1.08
1.08,10800.0,1.08,2010-02-03,1.08,1.08
1.08,2160.0,1.08,2010-02-05,1.08,1.08
1.06,2120.0,1.06,2010-03-15,1.06,1.06
1.06,5300.0,1.06,2010-03-16,1.06,1.06
1.12,1120.0,1.12,2010-03-17,1.12,1.12
1.0,16080.0,1.02,2010-04-29,1.02,1.0
1.06,3180.0,1.06,2010-05-14,1.06,1.06
1.04,10400.0,1.04,2010-05-25,1.04,1.04
1.06,1060.0,1.06,2010-06-02,1.06,1.06
1.04,154980.0,1.1,2010-06-11,1.1,1.04
1.1,13200.0,1.1,2010-06-29,1.1,1.1
1.02,1020.0,1.02,2010-07-08,1.02,1.02
1.06,31800.0,1.06,2010-07-16,1.06,1.06
1.1,13200.0,1.1,2010-09-24,1.1,1.1
1.04,28080.0,1.04,2010-09-27,1.04,1.04
1.04,5200.0,1.04,2010-09-28,1.04,1.04
