OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.2,25600.0,3.2,2009-08-19,3.2,3.2
3.2,144300.0,3.2,2009-08-20,3.5,3.2
2.55,406100.0,2.6,2009-08-24,3.0,2.55
2.6,280900.0,2.65,2009-08-25,2.65,2.6
3.0,150000.0,3.0,2009-09-18,3.0,3.0
2.12,35600.0,2.5,2009-10-05,2.5,2.12
2.5,27600.0,2.6,2009-10-07,2.6,2.5
3.0,49500.0,3.25,2009-10-12,3.25,3.0
2.6,26000.0,2.6,2009-11-06,2.6,2.6
2.6,72800.0,2.6,2009-11-09,2.6,2.6
2.7,75600.0,2.7,2009-12-16,2.7,2.7
2.9,55100.0,2.9,2010-02-04,2.9,2.9
2.6,2600.0,2.6,2010-02-10,2.6,2.6
3.0,36350.0,3.2,2010-03-15,3.2,3.0
2.9,72500.0,2.9,2010-03-16,2.9,2.9
3.0,6000.0,3.0,2010-03-17,3.0,3.0
2.85,19950.0,2.85,2010-03-31,2.85,2.85
3.0,150000.0,3.0,2010-04-23,3.0,3.0
3.0,30000.0,3.0,2010-04-30,3.0,3.0
3.0,180000.0,3.0,2010-05-04,3.0,3.0
3.0,30000.0,3.0,2010-05-05,3.0,3.0
2.9,145000.0,2.9,2010-05-14,2.9,2.9
2.9,2900.0,2.9,2010-05-20,2.9,2.9
2.85,34200.0,2.85,2010-05-21,2.85,2.85
2.85,85500.0,2.85,2010-05-24,2.85,2.85
2.85,142500.0,2.85,2010-05-25,2.85,2.85
2.85,171000.0,2.85,2010-05-26,2.85,2.85
2.85,456000.0,2.85,2010-05-27,2.85,2.85
2.8,171000.0,2.75,2010-05-28,2.8,2.75
2.7,40500.0,2.7,2010-06-01,2.7,2.7
2.6,182000.0,2.6,2010-06-02,2.6,2.6
2.6,15600.0,2.6,2010-06-03,2.6,2.6
2.5,262500.0,2.5,2010-06-08,2.5,2.5
1.56,129040.0,2.5,2010-06-09,2.5,1.56
2.34,185200.0,2.3,2010-06-10,2.34,2.3
2.4,362400.0,2.4,2010-06-15,2.4,2.4
2.4,91200.0,2.4,2010-06-21,2.4,2.4
2.4,24000.0,2.4,2010-06-22,2.4,2.4
2.36,118000.0,2.36,2010-06-24,2.36,2.36
2.5,25000.0,2.5,2010-07-13,2.5,2.5
2.5,50000.0,2.5,2010-07-14,2.5,2.5
2.46,31980.0,2.46,2010-07-16,2.46,2.46
2.46,36900.0,2.46,2010-07-19,2.46,2.46
2.34,35100.0,2.34,2010-07-20,2.34,2.34
2.42,53840.0,2.46,2010-07-21,2.46,2.42
2.4,43200.0,2.4,2010-07-22,2.4,2.4
2.4,1517040.0,2.4,2010-07-23,2.42,2.4
2.38,47600.0,2.38,2010-09-21,2.38,2.38
3.35,6700.0,3.35,2010-09-22,3.35,3.35
2.4,128550.0,2.55,2010-09-23,2.55,2.4
2.55,61200.0,2.55,2010-09-24,2.55,2.55
2.57,163520.0,2.55,2010-09-27,2.57,2.55
2.8,5600.0,2.8,2010-09-28,2.8,2.8
2.6,36400.0,2.6,2010-09-30,2.6,2.6
2.56,43400.0,2.55,2010-10-04,2.56,2.55
2.55,66300.0,2.55,2010-10-05,2.55,2.55
2.6,18200.0,2.6,2010-10-06,2.6,2.6
2.75,27500.0,2.75,2010-10-08,2.75,2.75
2.82,141950.0,2.99,2010-10-12,2.99,2.8
2.9,173100.0,2.81,2010-10-13,2.9,2.81
2.98,17880.0,2.98,2010-10-14,2.98,2.98
2.81,302480.0,2.94,2010-10-15,2.94,2.75
2.75,5500.0,2.75,2010-10-18,2.75,2.75
2.52,7560.0,2.52,2010-10-20,2.52,2.52
2.8,56000.0,2.8,2010-10-27,2.8,2.8
2.9,239660.0,2.99,2010-11-03,3.0,2.9
3.0,195250.0,3.05,2010-11-04,3.05,3.0
3.0,240000.0,3.0,2010-11-08,3.0,3.0
2.9,20300.0,2.9,2010-11-09,2.9,2.9
2.9,122700.0,2.9,2010-11-10,2.9,2.8
2.75,5500.0,2.75,2010-11-11,2.75,2.75
2.95,29500.0,2.95,2010-11-18,2.95,2.95
3.09,243690.0,3.1,2010-11-19,3.12,3.0
3.1,137600.0,3.1,2010-11-22,3.15,3.1
3.1,93800.0,3.16,2010-11-23,3.16,3.1
3.1,15500.0,3.1,2010-11-24,3.1,3.1
3.05,135530.0,3.2,2010-11-26,3.2,3.05
3.2,120550.0,3.09,2010-11-30,3.2,3.09
3.1,270070.0,3.05,2010-12-01,3.1,3.01
2.75,27500.0,2.75,2010-12-06,2.75,2.75
2.85,28600.0,2.87,2010-12-07,2.87,2.85
2.9,431600.0,2.8,2010-12-16,2.9,2.8
3.0,60000.0,3.0,2010-12-29,3.0,3.0
3.0,60000.0,3.0,2010-12-29,3.0,3.0
2.8,28000.0,2.8,2011-01-04,2.8,2.8
2.99,221980.0,3.0,2011-01-06,3.0,2.99
3.0,135500.0,3.0,2011-01-13,3.05,3.0
3.0,226500.0,3.0,2011-01-14,3.1,3.0
3.1,107500.0,3.0,2011-01-17,3.1,3.0
3.1,598000.0,3.3,2011-01-18,3.3,3.1
3.44,781030.0,3.94,2011-01-19,3.99,3.44
3.44,781030.0,3.94,2011-01-19,3.99,3.44
3.96,914520.0,3.81,2011-01-20,4.0,3.81
3.96,914520.0,3.81,2011-01-20,4.0,3.81
3.8,104610.0,3.6,2011-01-24,3.8,3.6
3.51,681120.0,3.51,2011-01-25,3.51,3.4
3.45,61550.0,3.4,2011-01-26,3.45,3.4
3.4,120100.0,3.3,2011-01-28,3.4,3.3
3.4,120100.0,3.3,2011-01-28,3.4,3.3
3.3,39600.0,3.3,2011-02-01,3.3,3.3
3.3,39600.0,3.3,2011-02-01,3.3,3.3
3.3,66000.0,3.3,2011-02-03,3.3,3.3
3.41,10230.0,3.41,2011-02-21,3.41,3.41
3.41,10230.0,3.41,2011-02-21,3.41,3.41
3.44,227970.0,3.41,2011-02-22,3.44,3.4
