OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.02,43718100.0,0.025,2009-08-03,0.025,0.02
0.027,68497900.0,0.024,2009-08-04,0.028,0.023
0.025,47913500.0,0.027,2009-08-06,0.028,0.024
0.027,22235200.0,0.026,2009-08-07,0.028,0.026
0.027,33768300.0,0.028,2009-08-10,0.03,0.027
0.028,41911800.0,0.029,2009-08-11,0.03,0.028
0.029,23076500.0,0.029,2009-08-12,0.029,0.028
0.029,10211800.0,0.028,2009-08-13,0.029,0.028
0.028,4337200.0,0.028,2009-08-14,0.028,0.028
0.028,17975000.0,0.026,2009-08-17,0.028,0.026
0.025,11714900.0,0.026,2009-08-18,0.027,0.024
0.027,8487700.0,0.027,2009-08-19,0.027,0.025
0.026,5761400.0,0.025,2009-08-20,0.026,0.025
0.026,5472400.0,0.026,2009-08-24,0.026,0.025
0.025,7144900.0,0.026,2009-08-25,0.027,0.025
0.026,3959800.0,0.026,2009-08-26,0.026,0.026
0.025,3249900.0,0.025,2009-09-03,0.025,0.024
0.025,6608900.0,0.025,2009-09-04,0.026,0.025
0.025,3520100.0,0.025,2009-09-16,0.026,0.025
0.026,9326900.0,0.025,2009-09-17,0.027,0.025
0.026,574000.0,0.025,2009-09-18,0.026,0.025
0.026,18838300.0,0.026,2009-09-22,0.028,0.026
0.027,7106400.0,0.027,2009-09-23,0.027,0.027
0.027,10454700.0,0.027,2009-09-30,0.027,0.025
0.026,2945800.0,0.026,2009-10-01,0.026,0.026
0.025,3892500.0,0.025,2009-10-02,0.025,0.025
0.025,5426000.0,0.026,2009-10-05,0.026,0.025
0.026,12849900.0,0.027,2009-10-06,0.027,0.026
0.027,2588800.0,0.026,2009-10-07,0.027,0.026
0.027,2080200.0,0.026,2009-10-08,0.027,0.026
0.026,574600.0,0.026,2009-10-09,0.026,0.026
0.026,3057600.0,0.026,2009-10-12,0.026,0.026
0.026,1486200.0,0.025,2009-10-13,0.026,0.025
0.025,3705400.0,0.025,2009-10-14,0.026,0.025
0.026,195500.0,0.025,2009-10-15,0.026,0.025
0.025,1215500.0,0.025,2009-10-16,0.026,0.025
0.025,457500.0,0.025,2009-10-19,0.025,0.025
0.025,1775000.0,0.024,2009-10-20,0.025,0.024
0.024,2397200.0,0.024,2009-10-21,0.025,0.024
0.024,840000.0,0.024,2009-10-22,0.024,0.024
0.025,1595000.0,0.025,2009-10-23,0.025,0.025
0.025,7008700.0,0.026,2009-10-26,0.026,0.025
0.026,9932700.0,0.025,2009-10-27,0.026,0.025
0.025,36441500.0,0.027,2009-10-28,0.027,0.025
0.026,4042600.0,0.026,2009-10-29,0.026,0.025
0.025,8040100.0,0.026,2009-10-30,0.026,0.025
0.025,11787500.0,0.024,2009-11-03,0.025,0.024
0.025,4059500.0,0.023,2009-11-04,0.025,0.022
0.023,2452100.0,0.023,2009-11-05,0.023,0.022
0.023,10195200.0,0.024,2009-11-06,0.024,0.022
0.023,5402800.0,0.024,2009-11-09,0.024,0.022
0.024,12171400.0,0.024,2009-11-10,0.025,0.023
0.023,5435900.0,0.022,2009-11-11,0.023,0.022
0.025,49458700.0,0.026,2009-12-15,0.027,0.025
0.027,37636600.0,0.027,2009-12-16,0.028,0.027
0.028,1220500.0,0.027,2009-12-17,0.028,0.026
0.026,6271300.0,0.026,2009-12-18,0.027,0.026
0.026,826000.0,0.025,2009-12-21,0.026,0.025
0.025,1940300.0,0.026,2009-12-22,0.026,0.025
0.026,6935000.0,0.026,2009-12-23,0.027,0.025
0.027,5090100.0,0.026,2009-12-29,0.027,0.026
0.026,844000.0,0.025,2010-01-04,0.026,0.025
0.026,924900.0,0.027,2010-01-05,0.027,0.026
0.027,7014800.0,0.027,2010-01-06,0.027,0.026
0.027,27132000.0,0.027,2010-01-07,0.028,0.026
0.027,2557000.0,0.027,2010-01-08,0.028,0.027
0.027,5502500.0,0.027,2010-01-11,0.028,0.026
0.027,7538100.0,0.027,2010-01-12,0.028,0.026
0.027,3217400.0,0.027,2010-01-13,0.028,0.026
0.026,6780300.0,0.028,2010-01-14,0.028,0.026
0.027,850500.0,0.027,2010-01-15,0.027,0.027
0.026,1199000.0,0.027,2010-01-18,0.027,0.026
0.027,334500.0,0.027,2010-01-19,0.027,0.026
0.027,6943700.0,0.028,2010-01-20,0.028,0.026
0.027,6591200.0,0.028,2010-01-21,0.028,0.027
0.027,6457700.0,0.026,2010-01-22,0.028,0.026
0.026,5631000.0,0.026,2010-01-25,0.027,0.026
0.026,4113200.0,0.026,2010-01-26,0.026,0.026
0.026,5308200.0,0.026,2010-01-27,0.026,0.025
0.026,5192600.0,0.026,2010-01-28,0.026,0.025
0.026,11856600.0,0.025,2010-01-29,0.026,0.024
0.024,5150400.0,0.024,2010-02-01,0.024,0.024
0.024,3291200.0,0.024,2010-02-02,0.025,0.024
0.024,333600.0,0.024,2010-02-03,0.024,0.024
0.024,393600.0,0.024,2010-02-04,0.024,0.024
0.024,2586900.0,0.023,2010-02-05,0.024,0.022
0.024,1529900.0,0.023,2010-02-08,0.024,0.022
0.023,1675800.0,0.022,2010-02-09,0.023,0.022
0.022,5334500.0,0.023,2010-02-10,0.023,0.022
0.022,1345100.0,0.023,2010-02-11,0.023,0.022
0.02,3756500.0,0.02,2010-03-08,0.021,0.02
0.02,7467300.0,0.02,2010-03-12,0.021,0.019
0.02,3451900.0,0.019,2010-03-15,0.02,0.019
0.019,1991200.0,0.019,2010-03-16,0.019,0.019
0.019,431200.0,0.019,2010-03-17,0.019,0.018
0.018,6819000.0,0.02,2010-03-31,0.02,0.018
0.021,196700.0,0.02,2010-04-20,0.021,0.019
0.02,384000.0,0.02,2010-04-21,0.02,0.02
0.02,298400.0,0.019,2010-04-22,0.02,0.019
0.02,3148300.0,0.021,2010-04-23,0.021,0.02
0.02,358000.0,0.02,2010-04-29,0.02,0.02
0.02,439000.0,0.019,2010-04-30,0.02,0.019
0.02,317500.0,0.02,2010-05-04,0.02,0.019
0.019,3390600.0,0.02,2010-05-05,0.02,0.018
0.02,3346400.0,0.02,2010-05-13,0.021,0.02
0.02,462000.0,0.02,2010-05-14,0.02,0.02
0.02,211500.0,0.02,2010-05-17,0.02,0.019
0.02,2476000.0,0.019,2010-05-18,0.02,0.019
0.019,476900.0,0.019,2010-05-19,0.019,0.019
