OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.021,25232800.0,0.027,2009-08-03,0.027,0.021
0.029,26095500.0,0.025,2009-08-04,0.03,0.024
0.026,26514300.0,0.029,2009-08-06,0.029,0.025
0.029,12877400.0,0.028,2009-08-07,0.029,0.027
0.028,19946100.0,0.029,2009-08-10,0.03,0.028
0.029,26032600.0,0.031,2009-08-11,0.031,0.028
0.03,13537000.0,0.03,2009-08-12,0.03,0.029
0.03,8777400.0,0.029,2009-08-13,0.03,0.029
0.029,7962200.0,0.028,2009-08-14,0.029,0.028
0.027,3757200.0,0.027,2009-08-17,0.028,0.026
0.026,9559600.0,0.027,2009-08-18,0.027,0.025
0.027,4156100.0,0.027,2009-08-19,0.027,0.026
0.027,3592800.0,0.026,2009-08-20,0.027,0.026
0.027,2427300.0,0.027,2009-08-24,0.027,0.027
0.027,280800.0,0.027,2009-08-25,0.027,0.027
0.027,4975200.0,0.028,2009-08-26,0.028,0.026
0.026,7557000.0,0.025,2009-09-03,0.026,0.025
0.026,13675600.0,0.025,2009-09-04,0.026,0.025
0.025,102600.0,0.025,2009-09-16,0.026,0.025
0.026,4990500.0,0.026,2009-09-17,0.027,0.026
0.027,3319400.0,0.026,2009-09-18,0.027,0.026
0.027,7096300.0,0.027,2009-09-22,0.028,0.027
0.028,6193800.0,0.028,2009-09-23,0.028,0.027
0.027,4301500.0,0.027,2009-09-30,0.027,0.026
0.026,2441400.0,0.026,2009-10-01,0.026,0.026
0.025,1649600.0,0.026,2009-10-02,0.026,0.025
0.025,2407300.0,0.027,2009-10-05,0.027,0.025
0.027,7370600.0,0.028,2009-10-06,0.028,0.027
0.028,4450700.0,0.027,2009-10-07,0.028,0.027
0.027,75600.0,0.027,2009-10-08,0.027,0.027
0.027,8100.0,0.027,2009-10-09,0.027,0.027
0.027,1490800.0,0.026,2009-10-12,0.027,0.026
0.026,231400.0,0.026,2009-10-13,0.026,0.026
0.026,6842500.0,0.025,2009-10-14,0.026,0.025
0.025,1045000.0,0.025,2009-10-15,0.025,0.025
0.025,750000.0,0.025,2009-10-16,0.025,0.025
0.025,40000.0,0.025,2009-10-19,0.025,0.025
0.025,1909800.0,0.025,2009-10-20,0.025,0.024
0.024,4092000.0,0.024,2009-10-21,0.024,0.024
0.024,269500.0,0.025,2009-10-22,0.025,0.024
0.025,1670000.0,0.026,2009-10-23,0.026,0.025
0.025,3860600.0,0.027,2009-10-26,0.027,0.025
0.026,546600.0,0.025,2009-10-27,0.026,0.025
0.026,10756600.0,0.027,2009-10-28,0.028,0.026
0.027,2556200.0,0.026,2009-10-29,0.027,0.026
0.026,12629600.0,0.026,2009-10-30,0.026,0.024
0.026,10786100.0,0.024,2009-11-03,0.026,0.024
0.024,6419700.0,0.023,2009-11-04,0.024,0.023
0.023,995900.0,0.023,2009-11-05,0.023,0.023
0.023,7707400.0,0.023,2009-11-06,0.023,0.021
0.022,4516000.0,0.024,2009-11-09,0.024,0.022
0.024,7801600.0,0.023,2009-11-10,0.024,0.023
0.024,3520400.0,0.022,2009-11-11,0.024,0.022
0.026,32725000.0,0.027,2009-12-15,0.028,0.026
0.027,8291200.0,0.027,2009-12-16,0.028,0.027
0.027,2901700.0,0.026,2009-12-17,0.027,0.026
0.026,2707600.0,0.026,2009-12-18,0.027,0.026
0.026,319800.0,0.026,2009-12-21,0.026,0.026
0.025,1419500.0,0.026,2009-12-22,0.026,0.025
0.026,1622400.0,0.026,2009-12-23,0.026,0.026
0.026,1244700.0,0.026,2009-12-29,0.027,0.026
0.026,663000.0,0.026,2010-01-04,0.026,0.026
0.026,770600.0,0.027,2010-01-05,0.027,0.026
0.027,3911300.0,0.027,2010-01-06,0.027,0.026
0.028,10701000.0,0.028,2010-01-07,0.028,0.027
0.027,1288000.0,0.027,2010-01-08,0.028,0.027
0.027,1681100.0,0.027,2010-01-11,0.028,0.027
0.028,8750800.0,0.027,2010-01-12,0.028,0.027
0.027,4860000.0,0.027,2010-01-13,0.027,0.027
0.026,12830100.0,0.027,2010-01-14,0.027,0.026
0.027,810000.0,0.027,2010-01-15,0.027,0.027
0.027,213400.0,0.026,2010-01-18,0.027,0.026
0.027,3544800.0,0.028,2010-01-20,0.028,0.027
0.027,2133000.0,0.027,2010-01-21,0.027,0.027
0.027,6450300.0,0.027,2010-01-22,0.027,0.027
0.026,28600.0,0.026,2010-01-25,0.026,0.026
0.026,1170000.0,0.026,2010-01-26,0.026,0.026
0.026,2036200.0,0.027,2010-01-27,0.027,0.026
0.026,3139200.0,0.026,2010-01-28,0.027,0.026
0.026,7629700.0,0.025,2010-01-29,0.027,0.025
0.025,2607300.0,0.024,2010-02-01,0.026,0.024
0.025,1802000.0,0.024,2010-02-02,0.025,0.024
0.024,432000.0,0.024,2010-02-03,0.024,0.024
0.024,960000.0,0.024,2010-02-04,0.024,0.024
0.023,1266700.0,0.024,2010-02-05,0.024,0.023
0.023,862500.0,0.023,2010-02-09,0.023,0.023
0.023,2578300.0,0.023,2010-02-10,0.023,0.023
0.023,126500.0,0.023,2010-02-11,0.023,0.023
0.021,655800.0,0.021,2010-03-08,0.021,0.02
0.02,4036000.0,0.019,2010-03-12,0.02,0.019
0.019,1161000.0,0.019,2010-03-15,0.02,0.019
0.019,987100.0,0.019,2010-03-16,0.02,0.019
0.019,1046900.0,0.019,2010-03-17,0.019,0.019
0.018,542100.0,0.019,2010-03-31,0.019,0.018
0.02,120000.0,0.02,2010-04-20,0.02,0.02
0.02,1560000.0,0.02,2010-04-21,0.02,0.02
0.02,260000.0,0.02,2010-04-22,0.02,0.02
0.02,954200.0,0.02,2010-04-23,0.021,0.02
0.02,436000.0,0.02,2010-04-29,0.02,0.02
0.02,603400.0,0.019,2010-04-30,0.02,0.019
0.02,1000000.0,0.02,2010-05-04,0.02,0.02
0.02,3756000.0,0.019,2010-05-05,0.02,0.019
0.02,1718000.0,0.02,2010-05-13,0.02,0.02
0.02,100000.0,0.02,2010-05-14,0.02,0.02
0.02,980000.0,0.02,2010-05-17,0.02,0.02
0.02,66000.0,0.02,2010-05-18,0.02,0.02
0.019,305900.0,0.019,2010-05-21,0.019,0.019
0.02,222000.0,0.02,2010-05-24,0.02,0.02
0.019,171000.0,0.019,2010-05-25,0.019,0.019
0.019,419900.0,0.019,2010-05-28,0.019,0.019
0.02,1012400.0,0.021,2010-05-31,0.022,0.02
0.02,304000.0,0.02,2010-06-02,0.02,0.02
0.02,140000.0,0.02,2010-06-03,0.02,0.02
0.02,1373800.0,0.021,2010-06-04,0.022,0.02
0.021,105000.0,0.021,2010-06-07,0.021,0.021
0.02,204000.0,0.02,2010-06-08,0.02,0.02
0.021,4034100.0,0.021,2010-06-09,0.021,0.021
