OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.75,1224750.0,2.75,2009-08-03,2.8,2.75
2.85,225000.0,2.8,2009-08-04,2.85,2.75
2.8,765450.0,2.8,2009-08-06,2.85,2.8
2.8,456550.0,2.75,2009-08-07,2.8,2.75
2.75,667050.0,2.75,2009-08-10,2.75,2.7
2.75,571250.0,2.7,2009-08-11,2.75,2.7
2.8,2935150.0,2.85,2009-08-12,2.9,2.8
2.9,2784000.0,3.0,2009-08-13,3.1,2.85
3.0,676400.0,2.95,2009-08-14,3.05,2.9
2.8,519200.0,2.95,2009-08-17,2.95,2.8
2.8,293450.0,2.9,2009-08-18,2.9,2.8
2.95,1673250.0,3.0,2009-08-19,3.0,2.95
2.95,677000.0,2.9,2009-08-20,2.95,2.9
2.9,475700.0,2.9,2009-08-24,2.95,2.9
2.9,1493100.0,2.9,2009-08-25,3.0,2.9
2.9,1358850.0,3.05,2009-08-26,3.05,2.9
2.85,416150.0,2.85,2009-09-03,2.9,2.85
2.85,452150.0,2.9,2009-09-04,2.9,2.85
2.9,1259550.0,2.9,2009-09-16,2.9,2.85
2.9,269700.0,2.9,2009-09-17,2.9,2.9
2.9,601750.0,2.95,2009-09-18,2.95,2.9
2.95,483850.0,2.95,2009-09-22,3.0,2.95
2.95,652300.0,3.0,2009-09-23,3.0,2.95
2.85,171000.0,2.85,2009-09-30,2.85,2.85
2.85,142500.0,2.85,2009-10-01,2.85,2.85
2.85,145400.0,2.9,2009-10-02,2.9,2.85
2.9,1048950.0,2.85,2009-10-07,2.9,2.85
2.9,490300.0,2.85,2009-10-08,2.9,2.85
2.9,458200.0,2.9,2009-10-09,2.9,2.9
2.85,912000.0,2.85,2009-10-12,2.85,2.85
2.85,681550.0,2.85,2009-10-13,2.9,2.85
2.9,270800.0,2.85,2009-10-14,2.9,2.85
2.8,484850.0,2.85,2009-10-15,2.85,2.8
2.85,228100.0,2.85,2009-10-16,2.9,2.85
2.85,262200.0,2.85,2009-10-19,2.85,2.85
2.9,560100.0,2.85,2009-10-20,2.9,2.85
2.85,205200.0,2.85,2009-10-21,2.85,2.85
2.9,551000.0,2.9,2009-10-22,2.9,2.9
2.95,20350.0,2.9,2009-10-23,2.95,2.9
2.85,1463100.0,2.9,2009-10-26,2.9,2.85
2.85,5700.0,2.85,2009-10-27,2.85,2.85
2.8,268800.0,2.8,2009-10-28,2.8,2.8
2.75,145750.0,2.75,2009-10-29,2.75,2.75
2.85,185250.0,2.85,2009-10-30,2.85,2.85
2.85,561000.0,2.8,2009-11-03,2.85,2.8
2.8,238000.0,2.8,2009-11-04,2.8,2.8
2.7,13500.0,2.7,2009-11-06,2.7,2.7
2.7,5400.0,2.7,2009-11-09,2.7,2.7
2.7,402300.0,2.7,2009-11-10,2.7,2.7
2.7,1204250.0,2.75,2009-11-11,2.75,2.7
2.8,294000.0,2.8,2009-12-15,2.8,2.8
2.85,157350.0,2.85,2009-12-17,2.85,2.8
2.75,49500.0,2.75,2009-12-18,2.75,2.75
2.8,84000.0,2.8,2009-12-21,2.8,2.8
3.0,180200.0,3.0,2009-12-29,3.2,2.8
2.95,2043800.0,3.0,2010-01-05,3.05,2.95
3.0,1381500.0,2.95,2010-01-06,3.0,2.95
3.0,1188550.0,3.0,2010-01-07,3.0,2.95
2.95,289500.0,2.9,2010-01-08,2.95,2.9
2.9,287100.0,2.9,2010-01-11,2.9,2.9
2.85,521900.0,2.85,2010-01-12,2.9,2.85
2.85,71250.0,2.85,2010-01-13,2.85,2.85
2.95,88500.0,2.95,2010-01-14,2.95,2.95
2.95,88650.0,2.85,2010-01-15,2.95,2.85
2.9,356550.0,2.8,2010-01-18,2.9,2.8
2.85,19850.0,2.8,2010-01-19,2.85,2.8
2.8,102400.0,2.85,2010-01-21,2.9,2.8
2.85,457600.0,2.95,2010-01-26,2.95,2.85
2.75,137500.0,2.75,2010-01-27,2.75,2.75
2.8,140000.0,2.8,2010-01-28,2.8,2.8
2.75,55000.0,2.75,2010-01-29,2.75,2.75
2.75,299750.0,2.75,2010-02-01,2.75,2.75
2.75,286700.0,2.7,2010-02-02,2.8,2.7
2.65,26500.0,2.65,2010-02-03,2.65,2.65
2.65,206450.0,2.7,2010-02-08,2.7,2.65
2.55,215600.0,2.6,2010-02-09,2.6,2.55
2.65,195350.0,2.6,2010-02-10,2.65,2.6
2.85,11400.0,2.85,2010-03-08,2.85,2.85
2.8,2800.0,2.8,2010-03-15,2.8,2.8
2.8,5600.0,2.8,2010-03-16,2.8,2.8
2.8,92500.0,2.85,2010-03-17,2.85,2.8
2.7,340550.0,2.75,2010-03-31,2.8,2.7
2.9,37100.0,2.85,2010-04-20,2.9,2.85
2.85,79300.0,2.85,2010-04-21,2.85,2.8
2.9,20050.0,2.85,2010-04-22,2.9,2.85
2.9,14500.0,2.9,2010-04-23,2.9,2.9
2.85,990600.0,2.85,2010-04-29,2.9,2.8
2.85,79100.0,2.85,2010-04-30,2.9,2.8
2.9,348200.0,2.85,2010-05-04,2.9,2.85
2.85,85500.0,2.85,2010-05-14,2.85,2.85
2.85,11400.0,2.85,2010-05-20,2.85,2.85
2.85,285000.0,2.85,2010-05-24,2.85,2.85
2.8,114800.0,2.8,2010-05-25,2.8,2.8
2.85,509650.0,2.8,2010-05-27,2.85,2.8
2.85,433050.0,2.8,2010-05-28,2.85,2.75
2.8,30850.0,2.85,2010-05-31,2.85,2.8
2.75,277800.0,2.8,2010-06-03,2.8,2.75
2.8,124500.0,2.75,2010-06-04,2.8,2.75
2.8,70000.0,2.8,2010-06-08,2.8,2.8
2.85,2850.0,2.85,2010-06-11,2.85,2.85
2.8,212800.0,2.8,2010-06-16,2.8,2.8
2.85,5700.0,2.85,2010-06-21,2.85,2.85
2.8,148550.0,2.85,2010-06-28,2.85,2.8
2.5,789000.0,2.6,2010-07-02,2.75,2.5
2.7,186350.0,2.7,2010-07-06,2.75,2.7
2.6,50900.0,2.7,2010-07-07,2.7,2.6
2.75,1534450.0,2.7,2010-07-08,2.8,2.7
2.7,27900.0,2.8,2010-07-09,2.8,2.7
2.75,834200.0,2.85,2010-07-13,2.9,2.7
2.85,836650.0,2.85,2010-07-14,2.95,2.85
2.75,136100.0,2.7,2010-07-15,2.8,2.7
2.8,86850.0,2.8,2010-07-16,2.85,2.8
2.8,75600.0,2.8,2010-07-19,2.8,2.8
2.85,2077900.0,2.9,2010-07-20,2.95,2.85
2.95,772550.0,2.95,2010-07-21,2.95,2.85
2.95,2918000.0,3.0,2010-07-22,3.05,2.95
3.0,955700.0,3.0,2010-07-23,3.0,2.95
3.1,577330.0,3.03,2010-09-20,3.1,2.98
3.05,2815410.0,3.05,2010-09-21,3.1,3.0
3.0,238200.0,2.94,2010-09-22,3.0,2.94
3.0,630450.0,3.15,2010-09-23,3.15,3.0
3.2,869540.0,3.15,2010-09-24,3.24,3.1
3.15,965000.0,3.0,2010-09-27,3.15,3.0
3.0,585260.0,2.96,2010-09-28,3.1,2.96
2.97,294620.0,2.98,2010-09-29,2.98,2.96
2.93,152360.0,2.93,2010-09-30,2.93,2.93
3.0,15000.0,3.0,2010-10-01,3.0,3.0
3.01,108340.0,3.05,2010-10-05,3.05,3.0
3.15,1218900.0,3.0,2010-10-06,3.19,3.0
3.05,2524510.0,3.2,2010-10-07,3.25,3.05
3.25,3856640.0,3.58,2010-10-08,3.6,3.2
3.25,335000.0,3.4,2010-10-12,3.4,3.25
3.35,1730710.0,3.37,2010-10-13,3.4,3.25
3.25,553800.0,3.3,2010-10-14,3.4,3.2
3.32,67770.0,3.25,2010-10-15,3.32,3.21
3.35,229450.0,3.3,2010-10-18,3.35,3.25
3.35,210300.0,3.33,2010-10-19,3.35,3.25
3.2,54400.0,3.2,2010-10-20,3.2,3.2
3.2,156800.0,3.2,2010-10-22,3.2,3.2
3.25,35250.0,3.2,2010-10-26,3.25,3.2
3.4,315070.0,3.34,2010-10-27,3.4,3.25
3.34,223080.0,3.32,2010-10-28,3.4,3.25
3.3,45700.0,3.3,2010-10-29,3.3,3.25
3.2,44900.0,3.3,2010-11-02,3.3,3.2
3.3,3300.0,3.3,2010-11-03,3.3,3.3
3.2,80000.0,3.2,2010-11-04,3.2,3.2
3.22,124860.0,3.19,2010-11-08,3.22,3.19
3.15,200280.0,3.2,2010-11-09,3.2,3.15
3.2,127290.0,3.19,2010-11-10,3.2,3.1
3.15,295600.0,3.1,2010-11-11,3.15,3.05
3.05,119450.0,3.15,2010-11-12,3.15,3.05
3.05,91500.0,3.05,2010-11-15,3.05,3.05
3.15,350250.0,3.15,2010-11-17,3.2,3.15
3.15,259350.0,3.05,2010-11-18,3.15,3.05
3.2,295100.0,3.2,2010-11-19,3.2,3.1
3.06,336000.0,3.05,2010-11-22,3.06,3.05
3.06,153000.0,3.06,2010-11-23,3.06,3.06
3.06,183300.0,3.06,2010-11-24,3.06,3.05
3.06,613400.0,3.05,2010-11-25,3.06,3.05
3.05,183000.0,3.05,2010-11-26,3.05,3.05
3.02,241600.0,3.02,2010-12-01,3.02,3.02
3.03,281880.0,3.03,2010-12-02,3.06,3.03
3.06,235800.0,3.1,2010-12-03,3.1,3.04
3.1,43160.0,3.08,2010-12-06,3.1,3.08
3.03,199480.0,3.02,2010-12-07,3.03,3.02
3.04,255260.0,3.08,2010-12-08,3.1,3.04
3.0,30000.0,3.0,2010-12-16,3.0,3.0
3.02,1153680.0,3.02,2010-12-22,3.08,3.0
3.02,537560.0,3.02,2010-12-23,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,579840.0,3.02,2010-12-28,3.02,3.02
3.02,1090060.0,3.0,2010-12-29,3.02,3.0
3.02,1090060.0,3.0,2010-12-29,3.02,3.0
3.0,6000.0,3.0,2011-01-03,3.0,3.0
