OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.75,11000.0,2.75,2009-08-06,2.75,2.75
2.75,2750.0,2.75,2009-08-07,2.75,2.75
2.75,55000.0,2.75,2009-08-13,2.75,2.75
2.75,55250.0,2.75,2009-08-17,2.8,2.75
2.7,59400.0,2.7,2009-08-18,2.7,2.7
2.7,37800.0,2.7,2009-08-20,2.7,2.7
2.9,50100.0,2.95,2009-08-26,2.95,2.9
3.1,18600.0,3.1,2009-10-02,3.1,3.1
3.0,44400.0,2.8,2009-10-07,3.0,2.8
2.8,36400.0,2.8,2009-10-12,2.8,2.8
2.8,11200.0,2.8,2009-10-19,2.8,2.8
2.8,42000.0,2.8,2009-10-21,2.8,2.8
2.8,28000.0,2.8,2009-10-27,2.8,2.8
3.0,229200.0,3.2,2009-10-28,3.2,3.0
3.15,956000.0,3.2,2009-10-29,3.2,3.15
3.6,43200.0,3.6,2009-12-18,3.6,3.6
3.8,193800.0,3.8,2009-12-22,3.8,3.8
3.2,3200.0,3.2,2010-04-22,3.2,3.2
3.3,330000.0,3.3,2010-05-13,3.3,3.3
3.3,49500.0,3.3,2010-05-21,3.3,3.3
3.3,165000.0,3.3,2010-05-24,3.3,3.3
3.3,33000.0,3.3,2010-06-03,3.3,3.3
3.3,33000.0,3.3,2010-06-10,3.3,3.3
3.3,33000.0,3.3,2010-06-21,3.3,3.3
3.3,3300.0,3.3,2010-06-29,3.3,3.3
3.1,6200.0,3.1,2010-07-07,3.1,3.1
3.3,33000.0,3.3,2010-07-14,3.3,3.3
3.3,49500.0,3.3,2010-07-21,3.3,3.3
3.3,181600.0,3.5,2010-07-22,3.5,3.3
3.2,39400.0,3.3,2010-09-22,3.3,3.2
3.4,17000.0,3.4,2010-09-24,3.4,3.4
3.3,115500.0,3.3,2010-09-30,3.3,3.3
3.3,33000.0,3.3,2010-10-04,3.3,3.3
3.3,33000.0,3.3,2010-10-08,3.3,3.3
3.3,6600.0,3.3,2010-10-13,3.3,3.3
3.5,80500.0,3.5,2010-10-20,3.5,3.5
3.5,42000.0,3.5,2010-10-22,3.5,3.5
3.2,44329600.0,3.2,2010-11-02,3.2,3.2
3.4,3739750.0,3.4,2010-11-12,3.4,3.15
3.15,3150.0,3.15,2010-12-01,3.15,3.15
3.15,3150.0,3.15,2010-12-02,3.15,3.15
3.15,742100.0,3.0,2010-12-16,3.15,3.0
3.1,167400.0,3.1,2010-12-22,3.1,3.1
3.25,16250.0,3.25,2010-12-23,3.25,3.25
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.0,1830000.0,3.0,2010-12-28,3.0,3.0
3.3,16500.0,3.3,2011-01-03,3.3,3.3
3.3,16500.0,3.3,2011-01-03,3.3,3.3
3.3,16500.0,3.3,2011-01-03,3.3,3.3
3.35,67000.0,3.35,2011-01-04,3.35,3.35
