OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.2,125031800.0,3.5,2018-06-04,5.5,1.51
3.65,50887620.0,2.86,2018-06-05,3.74,2.7
2.78,39695430.0,3.13,2018-06-06,3.19,2.42
3.19,24699650.0,2.94,2018-06-07,3.26,2.76
2.9,9800060.0,2.86,2018-06-08,2.99,2.77
2.87,74447160.0,3.58,2018-06-11,4.24,2.8
3.32,89152070.0,3.8,2018-06-13,4.1,3.2
3.8,43305660.0,3.8,2018-06-14,4.05,3.7
3.86,24795490.0,3.33,2018-06-18,3.99,3.3
3.36,9445910.0,3.3,2018-06-19,3.46,3.14
3.32,6815400.0,3.12,2018-06-20,3.32,3.08
3.12,9444130.0,2.81,2018-06-21,3.12,2.74
2.85,3910370.0,2.85,2018-06-22,2.86,2.55
3.04,8241350.0,2.66,2018-06-25,3.13,2.58
2.65,5483720.0,2.6,2018-06-26,2.79,2.5
2.55,7991030.0,2.8,2018-06-27,2.9,2.42
2.82,10890050.0,2.62,2018-06-28,3.03,2.61
2.63,2663750.0,2.55,2018-06-29,2.72,2.53
2.53,1249740.0,2.58,2018-07-02,2.63,2.53
2.58,4431390.0,2.74,2018-07-03,2.78,2.5
2.72,1150440.0,2.68,2018-07-04,2.74,2.58
2.7,2496120.0,2.63,2018-07-05,2.7,2.59
2.67,3235860.0,2.51,2018-07-06,2.67,2.5
2.52,1678340.0,2.44,2018-07-09,2.59,2.44
2.45,5597390.0,2.34,2018-07-10,2.48,2.29
2.2,1487620.0,2.25,2018-07-11,2.39,2.2
2.24,2392660.0,2.05,2018-07-12,2.35,2.01
2.02,2063980.0,2.0,2018-07-13,2.1,1.9
2.01,2288140.0,2.16,2018-07-16,2.24,2.01
2.16,1019910.0,2.16,2018-07-17,2.19,2.1
2.2,1157550.0,2.06,2018-07-18,2.2,2.02
2.08,722960.0,2.03,2018-07-19,2.1,2.01
2.02,1146240.0,2.0,2018-07-20,2.09,1.96
1.98,841320.0,1.94,2018-07-23,2.0,1.92
1.98,332410.0,2.01,2018-07-24,2.06,1.98
2.05,339090.0,2.02,2018-07-25,2.05,1.98
1.99,435890.0,2.0,2018-07-26,2.02,1.98
2.0,5411710.0,2.35,2018-07-27,2.4,2.0
2.35,3064860.0,2.25,2018-07-30,2.39,2.2
2.25,6142460.0,2.47,2018-07-31,2.5,2.23
2.52,3378940.0,2.37,2018-08-01,2.52,2.28
2.32,2577660.0,2.26,2018-08-02,2.32,2.2
2.26,1956850.0,2.3,2018-08-03,2.37,2.26
2.25,4104890.0,2.14,2018-08-06,2.25,2.08
2.14,1215250.0,2.13,2018-08-07,2.18,2.07
2.18,490880.0,2.15,2018-08-08,2.19,2.1
2.15,235390.0,2.12,2018-08-09,2.15,2.1
2.16,1022910.0,2.2,2018-08-10,2.24,2.15
2.2,1688390.0,2.21,2018-08-13,2.3,2.2
2.21,364870.0,2.18,2018-08-14,2.21,2.1
2.22,1223850.0,2.2,2018-08-15,2.24,2.1
2.12,366890.0,2.16,2018-08-16,2.2,2.12
2.16,866740.0,2.06,2018-08-17,2.16,2.05
2.05,579310.0,2.11,2018-08-20,2.14,2.05
2.12,1338230.0,2.04,2018-08-22,2.12,1.95
2.0,393690.0,2.02,2018-08-23,2.05,1.98
2.02,688860.0,2.09,2018-08-24,2.09,2.0
2.1,325120.0,2.04,2018-08-28,2.12,2.04
2.05,454950.0,2.06,2018-08-29,2.08,2.0
2.07,594220.0,2.06,2018-08-30,2.1,1.97
2.09,300890.0,2.05,2018-08-31,2.09,2.0
2.08,383940.0,2.04,2018-09-03,2.08,2.0
2.04,306100.0,2.03,2018-09-04,2.04,1.96
2.03,846650.0,2.0,2018-09-05,2.03,1.95
1.99,95650.0,1.94,2018-09-06,1.99,1.94
1.94,236560.0,2.0,2018-09-07,2.04,1.94
2.02,553310.0,1.95,2018-09-10,2.02,1.9
1.99,1602310.0,1.66,2018-09-11,1.99,1.66
1.67,923840.0,1.6,2018-09-12,1.74,1.55
1.62,252090.0,1.56,2018-09-13,1.62,1.52
1.56,1150760.0,1.71,2018-09-14,1.79,1.55
1.72,222580.0,1.72,2018-09-17,1.79,1.65
1.73,40940.0,1.7,2018-09-18,1.73,1.59
1.72,277370.0,1.6,2018-09-19,1.72,1.54
1.53,442310.0,1.61,2018-09-20,1.64,1.53
1.52,682220.0,1.48,2018-09-21,1.61,1.48
1.52,682220.0,1.48,2018-09-21,1.61,1.48
1.44,329320.0,1.36,2018-09-24,1.48,1.36
1.44,329320.0,1.36,2018-09-24,1.48,1.36
1.36,583800.0,1.49,2018-09-25,1.64,1.36
1.54,140650.0,1.49,2018-09-26,1.54,1.41
1.43,160240.0,1.5,2018-09-27,1.5,1.4
1.59,35600.0,1.56,2018-09-28,1.59,1.54
1.5,112980.0,1.53,2018-10-01,1.55,1.43
1.54,45670.0,1.5,2018-10-02,1.54,1.44
1.58,84040.0,1.53,2018-10-03,1.58,1.45
1.4,20440.0,1.52,2018-10-04,1.54,1.38
1.39,21240.0,1.51,2018-10-05,1.51,1.38
1.52,3020.0,1.5,2018-10-08,1.52,1.5
1.41,135390.0,1.48,2018-10-09,1.5,1.38
1.38,20680.0,1.4,2018-10-10,1.44,1.36
1.46,38380.0,1.42,2018-10-11,1.46,1.35
1.42,45410.0,1.44,2018-10-12,1.46,1.36
1.37,37440.0,1.44,2018-10-15,1.44,1.37
1.41,26890.0,1.44,2018-10-16,1.44,1.41
1.41,238830.0,1.4,2018-10-17,1.48,1.36
1.36,25870.0,1.39,2018-10-18,1.39,1.36
1.39,35510.0,1.39,2018-10-19,1.39,1.35
1.39,123940.0,1.34,2018-10-22,1.39,1.33
1.43,31830.0,1.35,2018-10-23,1.43,1.35
1.32,139130.0,1.35,2018-10-24,1.35,1.26
1.35,15770.0,1.33,2018-10-25,1.35,1.26
1.33,52940.0,1.31,2018-10-26,1.33,1.22
1.31,2660.0,1.35,2018-10-29,1.35,1.31
1.34,1340.0,1.34,2018-10-30,1.34,1.34
1.23,74560.0,1.23,2018-10-31,1.27,1.23
1.25,75840.0,1.4,2018-11-05,1.4,1.23
1.39,319980.0,1.3,2018-11-06,1.52,1.3
1.24,253910.0,1.19,2018-11-07,1.24,1.05
1.04,570700.0,1.09,2018-11-08,1.09,0.92
1.08,109140.0,1.1,2018-11-09,1.1,1.05
1.1,67950.0,1.09,2018-11-12,1.1,1.01
1.01,207850.0,1.1,2018-11-13,1.1,0.97
1.0,58270.0,1.08,2018-11-14,1.1,0.98
1.0,127020.0,1.23,2018-11-15,1.32,1.0
1.12,83510.0,1.21,2018-11-16,1.22,1.11
1.05,258250.0,1.28,2018-11-19,1.4,1.05
1.27,223310.0,1.3,2018-11-20,1.39,1.27
1.25,864440.0,1.39,2018-11-21,1.54,1.11
1.44,3231490.0,1.82,2018-11-22,1.82,1.4
1.85,11818940.0,2.02,2018-11-23,2.24,1.85
2.07,2775640.0,1.85,2018-11-26,2.07,1.52
1.84,2425030.0,1.66,2018-11-27,1.84,1.66
1.65,14878920.0,1.8,2018-11-28,2.29,1.65
1.85,6657850.0,1.94,2018-11-29,2.12,1.85
1.9,2559550.0,1.95,2018-12-03,2.04,1.8
1.95,7173120.0,2.15,2018-12-04,2.21,1.95
2.18,6586610.0,2.37,2018-12-05,2.37,2.07
2.34,5321760.0,2.29,2018-12-06,2.46,2.24
2.26,3025620.0,2.32,2018-12-07,2.42,2.16
2.37,3496180.0,2.14,2018-12-10,2.41,2.06
2.1,1563630.0,2.15,2018-12-11,2.19,2.08
2.15,1410430.0,2.14,2018-12-12,2.2,2.07
2.1,3231070.0,2.11,2018-12-13,2.13,1.96
2.11,612700.0,2.09,2018-12-14,2.11,1.98
2.1,739740.0,2.06,2018-12-17,2.13,1.98
2.1,408510.0,2.06,2018-12-18,2.1,2.02
2.02,369200.0,2.04,2018-12-19,2.05,2.0
2.04,993360.0,2.08,2018-12-20,2.1,1.95
2.05,280540.0,2.06,2018-12-21,2.07,2.0
2.06,119860.0,2.04,2018-12-26,2.08,2.04
2.02,615310.0,1.98,2018-12-27,2.02,1.95
1.96,769010.0,2.09,2018-12-28,2.09,1.9
2.09,61340.0,2.06,2019-01-02,2.09,2.0
2.06,425560.0,2.03,2019-01-03,2.06,1.95
1.97,389540.0,2.01,2019-01-04,2.03,1.97
1.99,590450.0,2.05,2019-01-07,2.05,1.96
2.0,4660500.0,2.15,2019-01-08,2.37,2.0
2.21,1418930.0,2.19,2019-01-09,2.28,2.12
2.2,9043080.0,2.59,2019-01-10,2.67,2.2
2.7,12895800.0,2.26,2019-01-11,2.88,2.26
2.26,3140880.0,2.3,2019-01-14,2.38,2.16
2.34,1266090.0,2.24,2019-01-15,2.38,2.2
2.24,1424520.0,2.16,2019-01-16,2.3,2.15
2.15,849500.0,2.2,2019-01-17,2.23,2.15
2.22,2864660.0,2.07,2019-01-18,2.22,2.03
2.14,1354170.0,2.02,2019-01-21,2.14,2.01
2.03,521350.0,2.07,2019-01-22,2.07,2.0
2.07,409290.0,2.1,2019-01-23,2.12,2.03
2.1,7614530.0,2.4,2019-01-24,2.44,2.08
2.48,4963210.0,2.19,2019-01-25,2.48,2.15
2.19,2587810.0,2.12,2019-01-28,2.25,2.09
2.1,1218450.0,2.21,2019-01-29,2.29,2.04
2.22,1112640.0,2.15,2019-01-30,2.22,2.07
2.15,1521290.0,2.1,2019-01-31,2.17,2.05
2.1,903420.0,2.12,2019-02-01,2.12,2.04
2.15,530010.0,2.1,2019-02-04,2.15,2.05
2.08,901000.0,2.12,2019-02-06,2.18,2.06
2.1,673470.0,2.08,2019-02-07,2.16,2.06
2.13,521370.0,2.11,2019-02-08,2.13,2.06
2.11,627050.0,2.08,2019-02-11,2.15,2.08
2.07,2139660.0,2.19,2019-02-12,2.25,2.07
2.2,3066960.0,2.15,2019-02-13,2.38,2.1
2.1,640090.0,2.07,2019-02-14,2.12,2.06
