OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.98,18668580.0,3.4,2018-06-04,5.45,2.76
3.5,2768650.0,2.85,2018-06-05,3.54,2.66
2.58,6376990.0,3.1,2018-06-06,3.11,2.4
3.25,1668180.0,2.96,2018-06-07,3.25,2.77
2.82,489100.0,2.86,2018-06-08,3.0,2.75
2.78,6785100.0,3.66,2018-06-11,4.2,2.78
3.66,3805500.0,3.89,2018-06-13,4.07,3.32
3.8,1746640.0,3.8,2018-06-14,3.97,3.71
3.75,1013720.0,3.48,2018-06-18,3.88,3.25
3.2,258440.0,3.37,2018-06-19,3.59,3.2
3.13,172320.0,3.2,2018-06-20,3.36,3.04
3.05,831650.0,2.94,2018-06-21,3.18,2.85
2.73,247020.0,2.81,2018-06-22,3.02,2.7
2.98,88550.0,2.81,2018-06-25,3.01,2.8
2.6,55830.0,2.65,2018-06-26,2.7,2.0
2.3,336040.0,2.82,2018-06-27,2.86,2.3
2.8,187140.0,2.7,2018-06-28,2.99,2.7
2.87,59510.0,2.78,2018-06-29,2.87,2.5
2.5,37070.0,2.68,2018-07-02,2.69,2.5
2.68,112360.0,2.86,2018-07-03,2.89,2.68
2.57,28480.0,2.78,2018-07-04,2.78,2.57
2.55,205780.0,2.85,2018-07-05,2.93,2.55
2.6,83990.0,2.73,2018-07-06,2.82,2.56
2.51,47280.0,2.79,2018-07-09,2.84,2.51
2.55,945330.0,2.47,2018-07-10,2.79,2.4
2.47,7400.0,2.46,2018-07-11,2.47,2.46
2.28,177340.0,2.26,2018-07-12,2.45,2.11
2.39,156290.0,2.24,2018-07-13,2.39,2.0
2.43,163280.0,2.39,2018-07-16,2.43,2.25
2.35,256600.0,2.25,2018-07-17,2.35,2.1
2.0,523130.0,2.07,2018-07-18,2.28,2.0
2.07,179300.0,2.05,2018-07-19,2.1,2.05
2.05,320070.0,1.97,2018-07-20,2.16,1.86
1.83,85380.0,1.91,2018-07-23,1.99,1.83
1.95,71470.0,1.99,2018-07-24,2.15,1.95
1.98,9600.0,1.9,2018-07-25,1.98,1.76
2.1,92160.0,1.93,2018-07-26,2.1,1.93
1.93,544980.0,2.35,2018-07-27,2.39,1.8
2.3,77320.0,2.25,2018-07-30,2.3,2.1
2.25,710010.0,2.4,2018-07-31,2.4,2.25
2.4,71440.0,2.39,2018-08-01,2.5,2.3
2.38,21300.0,2.37,2018-08-02,2.39,2.25
2.2,117050.0,2.4,2018-08-03,2.4,2.2
2.2,213650.0,2.29,2018-08-06,2.37,2.15
2.15,85590.0,2.22,2018-08-07,2.26,2.1
2.22,44060.0,2.27,2018-08-08,2.27,2.1
2.1,4340.0,2.24,2018-08-09,2.24,2.1
2.35,60170.0,2.27,2018-08-10,2.35,2.1
2.2,37490.0,2.2,2018-08-13,2.29,2.2
