OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.055,108500.0,0.0575,2009-08-03,0.0575,0.055
0.0575,97750.0,0.055,2009-08-04,0.06,0.055
0.0575,315750.0,0.055,2009-08-06,0.06,0.055
0.0575,207000.0,0.0575,2009-08-07,0.0575,0.0575
0.0575,225750.0,0.055,2009-08-10,0.0575,0.055
0.055,269500.0,0.055,2009-08-11,0.055,0.055
0.055,1990250.0,0.06,2009-08-12,0.06,0.055
0.0625,8538250.0,0.065,2009-08-13,0.07,0.06
0.0675,1565500.0,0.0625,2009-08-14,0.0675,0.0625
0.06,960000.0,0.06,2009-08-17,0.06,0.06
0.0575,731750.0,0.06,2009-08-18,0.06,0.0575
0.0625,462250.0,0.06,2009-08-19,0.0625,0.06
0.06,258000.0,0.06,2009-08-20,0.06,0.06
0.06,60000.0,0.06,2009-08-24,0.06,0.06
0.0625,455000.0,0.06,2009-08-25,0.0625,0.06
0.06,120000.0,0.06,2009-08-26,0.06,0.06
0.06,1156000.0,0.0575,2009-09-03,0.06,0.0575
0.06,23500.0,0.0575,2009-09-04,0.06,0.0575
0.06,68500.0,0.0625,2009-09-16,0.0625,0.06
0.06,54000.0,0.06,2009-09-17,0.06,0.06
0.06,6000.0,0.06,2009-09-18,0.06,0.06
0.06,1094000.0,0.0625,2009-09-23,0.0625,0.06
0.06,168000.0,0.06,2009-09-30,0.06,0.06
0.06,63500.0,0.0575,2009-10-01,0.06,0.0575
0.06,12000.0,0.06,2009-10-05,0.06,0.06
0.06,132000.0,0.06,2009-10-06,0.06,0.06
0.06,162000.0,0.06,2009-10-07,0.06,0.06
0.06,264250.0,0.06,2009-10-08,0.0625,0.06
0.06,18000.0,0.06,2009-10-09,0.06,0.06
0.06,84000.0,0.06,2009-10-12,0.06,0.06
0.06,192000.0,0.06,2009-10-13,0.06,0.06
0.0575,299000.0,0.0575,2009-10-14,0.0575,0.0575
0.06,438750.0,0.0575,2009-10-15,0.06,0.0575
0.06,1288250.0,0.0625,2009-10-16,0.065,0.06
0.06,12000.0,0.06,2009-10-20,0.06,0.06
0.0625,264250.0,0.06,2009-10-21,0.0625,0.06
0.06,312000.0,0.06,2009-10-23,0.06,0.06
0.06,24000.0,0.06,2009-10-26,0.06,0.06
0.06,702000.0,0.06,2009-10-27,0.06,0.06
0.06,66000.0,0.06,2009-10-28,0.06,0.06
