OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.0,18000.0,9.0,2009-08-04,9.0,9.0
8.5,552500.0,8.5,2009-12-15,8.5,8.5
8.5,8500.0,8.5,2010-01-06,8.5,8.5
9.0,90000.0,9.0,2010-01-13,9.0,9.0
8.5,8500.0,8.5,2010-01-14,8.5,8.5
8.5,136500.0,9.0,2010-01-15,9.0,8.5
9.0,82500.0,9.3,2010-02-03,9.3,9.0
9.5,28800.0,9.8,2010-02-04,9.8,9.5
10.0,20000.0,10.0,2010-02-08,10.0,10.0
12.0,1200.0,12.0,2010-10-05,12.0,12.0
11.0,11000.0,11.0,2010-10-06,11.0,11.0
11.0,11000.0,11.0,2010-10-07,11.0,11.0
11.5,149500.0,11.5,2010-10-08,11.5,11.5
11.2,132160.0,11.2,2010-10-12,11.2,11.2
11.5,103500.0,11.5,2010-10-14,11.5,11.5
11.5,5750.0,11.5,2010-10-18,11.5,11.5
11.5,115000.0,11.5,2010-10-19,11.5,11.5
9.5,123300.0,9.3,2010-11-03,9.5,9.3
9.0,18000.0,9.0,2010-11-17,9.0,9.0
8.0,8000.0,8.0,2011-01-20,8.0,8.0
8.0,8000.0,8.0,2011-01-20,8.0,8.0
8.0,16000.0,8.0,2011-01-24,8.0,8.0
8.0,17600.0,8.0,2011-02-02,8.0,8.0
8.0,9600.0,8.0,2011-03-07,8.0,8.0
7.0,7700.0,7.0,2011-03-22,7.0,7.0
7.0,8400.0,7.0,2011-03-31,7.0,7.0
7.0,2800.0,7.0,2011-04-15,7.0,7.0
8.83,17660.0,8.83,2011-04-28,8.83,8.83
8.83,107417.0,10.0,2011-05-03,10.0,8.83
9.5,84650.0,10.0,2011-05-30,10.0,9.5
10.0,80000.0,10.0,2011-06-17,10.0,10.0
9.5,33250.0,9.5,2011-06-21,9.5,9.5
9.5,19000.0,9.5,2011-06-28,9.5,9.5
9.5,2850.0,9.5,2011-07-01,9.5,9.5
9.5,9500.0,9.5,2011-07-06,9.5,9.5
9.0,10800.0,9.0,2011-07-25,9.0,9.0
9.0,7200.0,9.0,2011-08-15,9.0,9.0
10.5,60900.0,10.5,2011-09-01,10.5,10.5
11.0,34100.0,11.0,2011-09-02,11.0,11.0
11.0,3300.0,11.0,2011-09-08,11.0,11.0
11.0,1100.0,11.0,2011-09-09,11.0,11.0
11.0,15400.0,11.0,2011-09-12,11.0,11.0
11.0,1100.0,11.0,2011-09-14,11.0,11.0
7.72,772.0,7.72,2011-10-05,7.72,7.72
7.73,3865.0,7.73,2011-10-06,7.73,7.73
10.0,1000.0,10.0,2011-10-11,10.0,10.0
9.0,1750.0,8.5,2011-10-14,9.0,8.5
9.0,15160.0,8.7,2011-10-17,9.4,8.7
8.0,16000.0,8.0,2011-10-20,8.0,8.0
8.0,22682.0,8.01,2011-10-21,9.4,8.0
9.72,972.0,9.72,2011-10-25,9.72,9.72
7.8,6030.0,7.5,2011-11-09,7.8,7.5
7.7,3850.0,7.7,2011-11-10,7.7,7.7
10.0,2000.0,10.0,2011-11-14,10.0,10.0
10.0,408000.0,10.0,2011-11-16,10.0,10.0
10.0,2000.0,10.0,2011-12-05,10.0,10.0
10.0,1000.0,10.0,2011-12-09,10.0,10.0
10.0,18960.0,9.96,2011-12-12,10.0,9.96
10.0,1000.0,10.0,2011-12-13,10.0,10.0
10.0,2000.0,10.0,2011-12-19,10.0,10.0
10.0,2000.0,10.0,2011-12-20,10.0,10.0
10.0,70000000.0,10.0,2011-12-28,10.0,10.0
10.0,1000.0,10.0,2012-01-27,10.0,10.0
8.0,123000.0,11.0,2012-02-09,11.0,8.0
10.9,1090.0,10.9,2012-02-21,10.9,10.9
9.0,19100.0,11.0,2012-02-24,11.0,9.0
10.0,43722.0,10.2,2012-03-22,10.54,10.0
10.54,10372.0,10.54,2012-03-23,10.54,10.3
11.0,25400.0,11.0,2012-03-26,12.0,11.0
11.0,1100.0,11.0,2012-03-27,11.0,11.0
10.5,1050.0,10.5,2012-03-28,10.5,10.5
11.0,1100.0,11.0,2012-03-29,11.0,11.0
9.0,17548.0,9.32,2012-04-13,9.32,9.0
9.5,3800.0,9.5,2012-04-16,9.5,9.5
10.86,5430.0,10.86,2012-04-27,10.86,10.86
12.0,2400.0,12.0,2012-05-02,12.0,12.0
9.0,900.0,9.0,2012-05-08,9.0,9.0
11.9,1190.0,11.9,2012-05-10,11.9,11.9
10.0,15830.0,11.7,2012-05-11,11.7,10.0
11.98,9490.0,11.98,2012-05-14,12.0,11.5
12.2,1220.0,12.2,2012-05-15,12.2,12.2
12.2,26190.0,9.5,2012-05-16,12.2,9.5
10.94,33835.0,9.25,2012-05-18,10.94,9.25
9.1,55610.0,9.5,2012-05-22,9.5,9.0
11.0,3294.0,10.96,2012-05-23,11.0,10.96
10.96,44936.0,10.96,2012-05-24,10.96,10.96
12.0,1200.0,12.0,2012-05-25,12.0,12.0
12.0,1200.0,12.0,2012-05-28,12.0,12.0
12.0,1200.0,12.0,2012-05-29,12.0,12.0
9.5,23855.0,9.06,2012-05-31,9.99,9.06
11.48,39438.0,9.13,2012-06-01,11.48,9.13
10.98,1098.0,10.98,2012-06-04,10.98,10.98
10.2,28306.0,10.1,2012-06-07,10.2,10.1
10.0,2000.0,10.0,2012-06-21,10.0,10.0
10.5,1050.0,10.5,2012-06-22,10.5,10.5
10.0,10000.0,10.0,2012-06-27,10.0,10.0
10.0,1000.0,10.0,2012-06-28,10.0,10.0
10.5,15750.0,10.5,2012-07-02,10.5,10.5
10.5,5250.0,10.5,2012-07-03,10.5,10.5
10.6,61980.0,10.5,2012-07-05,10.6,10.5
11.36,2272.0,11.36,2012-07-06,11.36,11.36
10.0,2000.0,10.0,2012-07-17,10.0,10.0
11.0,11000.0,11.0,2012-07-18,11.0,11.0
11.0,11000.0,11.0,2012-07-19,11.0,11.0
