OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.46,4600.0,0.46,2009-08-19,0.46,0.46
0.46,9200.0,0.46,2009-08-26,0.46,0.46
0.48,14400.0,0.48,2009-09-03,0.48,0.48
0.46,46000.0,0.46,2009-09-04,0.46,0.46
0.46,23000.0,0.46,2009-09-18,0.46,0.46
0.46,13800.0,0.46,2009-10-16,0.46,0.46
0.46,4600.0,0.46,2009-10-19,0.46,0.46
0.48,24200.0,0.5,2009-10-20,0.5,0.48
0.5,35000.0,0.5,2009-10-23,0.5,0.5
0.5,5000.0,0.5,2009-10-27,0.5,0.5
0.51,5100.0,0.51,2009-10-28,0.51,0.51
0.51,10200.0,0.51,2009-10-30,0.51,0.51
0.51,5100.0,0.51,2009-11-03,0.51,0.51
0.51,25500.0,0.51,2009-11-06,0.51,0.51
0.51,61200.0,0.51,2009-11-10,0.51,0.51
0.5,5000.0,0.5,2009-12-21,0.5,0.5
0.59,5900.0,0.59,2010-01-18,0.59,0.59
0.59,5900.0,0.59,2010-01-19,0.59,0.59
0.56,22400.0,0.56,2010-01-26,0.56,0.56
0.55,33000.0,0.55,2010-01-29,0.55,0.55
0.55,5500.0,0.55,2010-02-03,0.55,0.55
0.54,27000.0,0.54,2010-03-08,0.54,0.54
0.54,16200.0,0.54,2010-03-15,0.54,0.54
0.54,5400.0,0.54,2010-03-16,0.54,0.54
0.54,5400.0,0.54,2010-04-20,0.54,0.54
0.55,11000.0,0.55,2010-05-13,0.55,0.55
0.5,10500.0,0.55,2010-05-17,0.55,0.5
0.52,16200.0,0.55,2010-05-18,0.55,0.52
0.52,5200.0,0.52,2010-05-21,0.52,0.52
0.54,37800.0,0.54,2010-05-26,0.54,0.54
0.54,156600.0,0.54,2010-05-28,0.54,0.54
0.54,21600.0,0.54,2010-06-01,0.54,0.54
0.5,10100.0,0.51,2010-06-03,0.51,0.5
0.5,10000.0,0.5,2010-06-04,0.5,0.5
0.52,15600.0,0.52,2010-06-07,0.52,0.52
0.52,5200.0,0.52,2010-06-08,0.52,0.52
0.52,10400.0,0.52,2010-06-09,0.52,0.52
0.52,41600.0,0.52,2010-06-10,0.52,0.52
0.51,30600.0,0.51,2010-06-22,0.51,0.51
0.5,5000.0,0.5,2010-06-23,0.5,0.5
0.56,10600.0,0.5,2010-06-24,0.56,0.5
0.5,15000.0,0.5,2010-06-29,0.5,0.5
0.54,43200.0,0.54,2010-07-09,0.54,0.54
0.58,34800.0,0.58,2010-07-13,0.58,0.58
0.58,162400.0,0.58,2010-07-15,0.58,0.58
0.58,23200.0,0.58,2010-07-21,0.58,0.58
0.59,47200.0,0.59,2010-07-22,0.59,0.59
0.59,66900.0,0.61,2010-07-23,0.61,0.59
0.6,4590.0,0.57,2010-09-21,0.6,0.57
0.6,4800.0,0.6,2010-09-22,0.6,0.6
0.6,21000.0,0.6,2010-09-23,0.6,0.6
0.62,2480.0,0.62,2010-09-24,0.62,0.62
0.63,30540.0,0.61,2010-09-28,0.63,0.61
0.62,49540.0,0.64,2010-09-29,0.64,0.62
0.62,620.0,0.62,2010-10-04,0.62,0.62
0.62,28980.0,0.6,2010-10-06,0.62,0.6
0.6,8400.0,0.6,2010-10-07,0.6,0.6
0.6,8000.0,0.62,2010-10-08,0.62,0.6
0.6,18000.0,0.6,2010-10-13,0.6,0.6
0.6,30000.0,0.6,2010-10-18,0.6,0.6
0.6,4200.0,0.6,2010-10-19,0.6,0.6
0.6,1800.0,0.6,2010-10-22,0.6,0.6
0.6,5560.0,0.62,2010-11-02,0.62,0.6
0.6,18550.0,0.59,2010-11-03,0.6,0.59
0.59,8850.0,0.59,2010-11-04,0.59,0.59
0.6,12000.0,0.6,2010-11-09,0.6,0.6
0.6,12000.0,0.6,2010-11-11,0.6,0.6
0.6,12000.0,0.6,2010-11-18,0.6,0.6
0.59,14750.0,0.59,2010-11-23,0.59,0.59
0.59,21830.0,0.59,2010-11-25,0.59,0.59
0.6,37200.0,0.6,2010-12-01,0.6,0.6
0.6,15600.0,0.6,2010-12-03,0.6,0.6
0.61,46200.0,0.59,2010-12-06,0.61,0.59
0.61,98750.0,0.6,2010-12-16,0.61,0.6
