OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.0,570000.0,1.0,2010-01-26,1.0,1.0
1.05,49800.0,1.5,2011-09-26,1.5,1.05
1.11,1110.0,1.11,2011-09-28,1.11,1.11
1.24,14892700.0,1.27,2011-11-29,1.27,1.24
1.52,12540.0,1.9,2011-12-01,1.9,1.52
2.85,71250.0,2.85,2011-12-02,2.85,2.85
4.27,34160.0,4.27,2011-12-05,4.27,4.27
5.9,159440.0,3.48,2011-12-06,5.9,3.03
3.48,13940.0,3.5,2011-12-07,3.5,3.48
2.8,5600.0,2.8,2011-12-15,2.8,2.8
3.04,24320.0,3.04,2011-12-21,3.04,3.04
2.75,2750.0,2.75,2012-02-16,2.75,2.75
2.52,20070.0,2.5,2012-03-07,2.52,2.5
2.5,7500.0,2.5,2012-03-28,2.5,2.5
2.72,2720.0,2.72,2012-04-17,2.72,2.72
3.1,3100.0,3.1,2012-06-05,3.1,3.1
3.3,3300.0,3.3,2012-07-17,3.3,3.3
3.3,9900.0,3.3,2012-08-08,3.3,3.3
3.3,9900.0,3.3,2012-10-03,3.3,3.3
3.35,67000.0,3.35,2014-11-25,3.35,3.35
5.0,46220.0,3.1,2015-04-10,5.0,3.1
3.12,3120.0,3.12,2015-04-14,3.12,3.12
4.6,8600.0,4.0,2015-04-24,4.6,4.0
4.5,227460.0,6.0,2015-04-28,6.0,4.5
7.2,238286.0,9.0,2015-04-29,9.0,7.2
13.5,129580.0,13.5,2015-04-30,13.5,13.48
20.25,170100.0,20.25,2015-05-04,20.25,20.25
30.35,172995.0,30.35,2015-05-05,30.35,30.35
45.5,1046500.0,45.5,2015-05-06,45.5,45.5
68.25,1132735.0,68.25,2015-05-07,68.25,68.0
95.5,2725101.0,46.85,2015-05-08,95.5,35.0
46.8,926270.0,25.0,2015-05-11,46.8,25.0
25.0,1039900.0,37.5,2015-05-12,37.5,25.0
45.0,2580545.0,55.0,2015-05-13,55.0,45.0
58.0,5076734.5,80.0,2015-05-14,80.0,58.0
82.0,1919792.5,64.0,2015-05-15,82.0,62.25
63.95,823522.5,64.0,2015-05-18,74.5,45.0
64.0,433159.0,58.0,2015-05-19,65.0,55.0
63.9,356742.0,60.75,2015-05-20,63.9,54.9
56.0,248440.0,58.4,2015-05-21,61.8,56.0
58.4,369065.5,56.0,2015-05-22,60.0,54.0
56.0,414589.5,57.15,2015-05-25,62.9,56.0
56.0,176825.0,54.2,2015-05-26,59.0,54.1
54.1,131876.0,51.95,2015-05-27,54.1,50.0
51.95,11971.0,51.9,2015-05-28,51.95,47.0
45.0,117402.0,51.0,2015-05-29,51.7,45.0
50.0,106785.0,46.0,2015-06-01,51.9,46.0
46.0,309460.0,55.0,2015-06-02,59.95,45.0
57.0,154595.0,50.0,2015-06-03,57.0,50.0
55.95,348327.0,50.0,2015-06-04,56.0,50.0
54.0,93666.0,48.0,2015-06-05,54.0,46.0
53.3,10480.0,51.5,2015-06-08,53.3,51.5
52.9,84891.5,52.0,2015-06-09,53.0,47.75
52.0,128372.0,50.0,2015-06-10,52.95,45.0
50.0,8000.0,50.0,2015-06-11,50.0,50.0
49.35,55700.0,48.0,2015-06-15,51.0,46.0
48.0,53500.0,50.0,2015-06-16,50.0,46.5
50.0,162600.0,50.5,2015-06-17,52.0,47.0
48.0,103369.0,50.0,2015-06-18,51.0,47.0
47.6,196277.0,49.8,2015-06-19,50.5,46.0
46.5,95500.0,49.75,2015-06-22,49.75,46.0
46.0,50900.0,49.0,2015-06-24,49.0,46.0
45.0,64285.0,48.9,2015-06-25,48.95,45.0
45.0,64285.0,48.9,2015-06-25,48.95,45.0
48.45,90000.0,48.0,2015-06-30,48.45,40.0
47.9,33140.0,47.5,2015-07-01,47.9,46.0
47.0,4700.0,47.0,2015-07-02,47.0,47.0
47.0,18200.0,46.0,2015-07-06,47.0,42.0
40.0,39620.0,45.0,2015-07-07,45.0,37.0
39.0,38860.0,40.0,2015-07-08,44.0,37.0
39.0,11700.0,39.0,2015-07-09,39.0,39.0
39.0,51800.0,35.0,2015-07-10,39.0,35.0
34.5,18350.0,40.0,2015-07-13,40.0,34.5
34.5,18350.0,40.0,2015-07-13,40.0,34.5
40.0,172280.0,47.5,2015-07-14,48.0,40.0
47.5,4750.0,47.5,2015-07-15,47.5,47.5
41.0,145375.0,41.0,2015-07-16,46.85,37.1
39.2,99415.0,43.4,2015-07-20,44.8,37.5
43.5,91605.0,44.0,2015-07-21,44.0,39.0
44.0,44000.0,44.0,2015-07-27,44.0,44.0
39.0,86320.0,43.0,2015-07-28,43.0,39.0
42.95,34360.0,42.95,2015-07-30,42.95,42.95
36.0,55260.0,40.0,2015-08-03,40.0,36.0
42.95,84000.0,41.5,2015-08-04,42.95,41.5
38.0,34000.0,40.0,2015-08-05,40.0,36.0
39.95,3995.0000000000005,39.95,2015-08-10,39.95,39.95
39.0,15650.0,39.5,2015-08-13,39.5,39.0
39.0,19550.0,39.5,2015-08-14,39.5,39.0
35.0,3500.0,35.0,2015-08-24,35.0,35.0
35.0,14000.0,35.0,2015-08-27,35.0,35.0
35.0,35000.0,35.0,2015-08-28,35.0,35.0
35.0,10700.0,37.0,2015-09-01,37.0,35.0
36.5,3650.0,36.5,2015-09-02,36.5,36.5
36.5,3650.0,36.5,2015-09-07,36.5,36.5
35.0,7000.0,35.0,2015-09-15,35.0,35.0
35.0,7000.0,35.0,2015-09-15,35.0,35.0
35.0,7000.0,35.0,2015-09-15,35.0,35.0
38.0,3800.0,38.0,2015-09-16,38.0,38.0
