OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.19,157700.0,0.19,2009-08-03,0.19,0.19
0.19,79800.0,0.19,2009-08-04,0.19,0.19
0.19,190000.0,0.19,2009-08-06,0.19,0.19
0.19,57000.0,0.19,2009-08-07,0.19,0.19
0.19,190000.0,0.19,2009-08-10,0.19,0.19
0.185,18500.0,0.185,2009-08-11,0.185,0.185
0.18,23400.0,0.18,2009-08-17,0.18,0.18
0.18,50400.0,0.18,2009-08-18,0.18,0.18
0.18,3600.0,0.18,2009-08-25,0.18,0.18
0.18,50400.0,0.18,2009-08-26,0.18,0.18
0.19,30400.0,0.19,2009-09-03,0.19,0.19
0.19,231300.0,0.19,2009-09-04,0.19,0.185
0.2,127500.0,0.22,2009-09-16,0.23,0.2
0.2,160000.0,0.2,2009-09-17,0.2,0.2
0.21,82450.0,0.22,2009-09-18,0.22,0.21
0.225,93750.0,0.22,2009-09-23,0.225,0.22
0.225,134500.0,0.22,2009-09-30,0.225,0.22
0.22,57200.0,0.22,2009-10-01,0.22,0.22
0.22,77000.0,0.22,2009-10-02,0.22,0.22
0.225,11250.0,0.225,2009-10-05,0.225,0.225
0.24,213500.0,0.25,2009-10-06,0.25,0.24
0.27,757700.0,0.33,2009-10-07,0.34,0.27
0.37,1649900.0,0.49,2009-10-08,0.49,0.37
0.62,2603800.0,0.54,2009-10-09,0.66,0.52
0.54,435800.0,0.5,2009-10-12,0.54,0.5
0.48,1887200.0,0.36,2009-10-13,0.48,0.36
0.39,3506500.0,0.54,2009-10-14,0.54,0.36
0.6,29592600.0,0.81,2009-10-15,0.81,0.6
0.86,39426200.0,0.74,2009-10-16,0.9,0.71
0.71,8087000.0,0.73,2009-10-19,0.75,0.65
0.71,10193300.0,0.69,2009-10-20,0.74,0.66
0.7,7087300.0,0.6,2009-10-21,0.71,0.6
0.56,3833200.0,0.57,2009-10-22,0.59,0.55
0.56,10591100.0,0.64,2009-10-23,0.66,0.52
0.64,3372500.0,0.59,2009-10-26,0.64,0.59
0.6,3683000.0,0.56,2009-10-27,0.62,0.55
0.58,9791800.0,0.59,2009-10-28,0.63,0.58
0.59,3098300.0,0.59,2009-10-29,0.62,0.58
0.63,4776200.0,0.62,2009-10-30,0.67,0.62
0.62,4140000.0,0.64,2009-11-03,0.68,0.62
0.64,89200.0,0.62,2009-11-04,0.64,0.62
0.62,925100.0,0.61,2009-11-05,0.62,0.58
0.57,1263400.0,0.56,2009-11-06,0.58,0.56
0.56,540900.0,0.57,2009-11-09,0.57,0.55
0.55,1090400.0,0.53,2009-11-10,0.56,0.53
0.52,810000.0,0.55,2009-11-11,0.57,0.52
0.39,78500.0,0.4,2009-12-15,0.4,0.39
0.42,143800.0,0.46,2009-12-16,0.46,0.4
0.43,122100.0,0.41,2009-12-17,0.43,0.41
0.41,174200.0,0.42,2009-12-18,0.42,0.41
0.44,4400.0,0.44,2009-12-22,0.44,0.44
0.36,987400.0,0.37,2009-12-29,0.39,0.35
0.38,2188500.0,0.47,2010-01-04,0.48,0.38
0.48,9521100.0,0.48,2010-01-05,0.59,0.48
0.49,2213600.0,0.5,2010-01-06,0.52,0.48
0.52,2307900.0,0.49,2010-01-07,0.55,0.49
0.49,1100200.0,0.45,2010-01-08,0.49,0.45
0.45,487200.0,0.47,2010-01-11,0.47,0.45
0.45,49500.0,0.45,2010-01-12,0.45,0.45
0.45,238100.0,0.44,2010-01-13,0.45,0.44
0.45,400300.0,0.46,2010-01-14,0.46,0.45
0.47,420600.0,0.46,2010-01-15,0.48,0.46
0.46,975600.0,0.48,2010-01-18,0.48,0.44
0.48,183600.0,0.48,2010-01-19,0.49,0.48
0.46,122100.0,0.45,2010-01-20,0.46,0.45
0.44,406200.0,0.46,2010-01-21,0.47,0.44
0.45,119800.0,0.44,2010-01-22,0.45,0.44
0.44,118700.0,0.47,2010-01-26,0.47,0.44
0.47,104400.0,0.47,2010-01-27,0.48,0.47
0.46,887600.0,0.49,2010-02-01,0.5,0.46
0.44,108000.0,0.43,2010-02-02,0.44,0.43
0.44,122400.0,0.43,2010-02-03,0.44,0.43
0.42,231000.0,0.42,2010-02-04,0.42,0.42
0.41,82000.0,0.41,2010-02-05,0.41,0.41
0.4,104200.0,0.4,2010-02-08,0.42,0.4
0.4,1158200.0,0.4,2010-02-10,0.41,0.39
0.4,1069600.0,0.4,2010-02-11,0.43,0.39
0.4,128000.0,0.4,2010-03-08,0.4,0.4
0.38,136800.0,0.38,2010-03-12,0.38,0.38
0.38,7600.0,0.38,2010-03-15,0.38,0.38
0.38,856200.0,0.38,2010-03-17,0.38,0.36
0.37,181800.0,0.37,2010-03-31,0.38,0.37
0.38,15900.0,0.41,2010-04-21,0.41,0.38
0.4,40000.0,0.4,2010-04-22,0.4,0.4
0.37,40700.0,0.37,2010-05-04,0.37,0.37
0.37,14800.0,0.37,2010-05-05,0.37,0.37
0.37,147300.0,0.38,2010-05-13,0.38,0.36
0.36,116200.0,0.37,2010-05-14,0.37,0.36
0.37,11300.0,0.38,2010-05-19,0.38,0.37
0.37,60200.0,0.38,2010-05-24,0.38,0.37
0.37,62900.0,0.37,2010-05-25,0.37,0.37
0.37,233000.0,0.36,2010-05-27,0.37,0.35
0.37,21700.0,0.36,2010-05-28,0.37,0.36
0.36,230200.0,0.34,2010-05-31,0.36,0.34
0.37,3700.0,0.37,2010-06-01,0.37,0.37
0.37,294700.0,0.39,2010-06-02,0.39,0.37
0.39,85900.0,0.39,2010-06-04,0.4,0.39
0.37,7400.0,0.37,2010-06-10,0.37,0.37
0.37,3700.0,0.37,2010-06-11,0.37,0.37
0.4,4000.0,0.4,2010-06-15,0.4,0.4
0.41,28300.0,0.39,2010-06-22,0.41,0.39
0.39,46800.0,0.39,2010-06-25,0.39,0.39
0.37,44400.0,0.37,2010-06-28,0.37,0.37
0.37,59200.0,0.37,2010-06-29,0.37,0.37
0.38,2799700.0,0.43,2010-07-01,0.46,0.38
0.4,384100.0,0.41,2010-07-02,0.41,0.4
0.39,128700.0,0.39,2010-07-06,0.39,0.39
0.39,167700.0,0.4,2010-07-07,0.41,0.39
0.41,964000.0,0.4,2010-07-08,0.42,0.4
0.4,108000.0,0.4,2010-07-09,0.4,0.4
0.4,20000.0,0.4,2010-07-13,0.4,0.4
0.39,1315200.0,0.39,2010-07-15,0.42,0.39
0.41,13875400.0,0.58,2010-07-19,0.58,0.41
0.58,10840500.0,0.52,2010-07-20,0.6,0.52
0.52,1025000.0,0.49,2010-07-21,0.52,0.49
0.49,1631600.0,0.45,2010-07-22,0.49,0.44
0.45,328500.0,0.45,2010-07-23,0.45,0.45
0.6,5833550.0,0.36,2013-03-19,0.6,0.36
0.33,8612470.0,0.28,2013-03-20,0.33,0.2
0.27,6524750.0,0.27,2013-03-21,0.345,0.25
0.3,13757550.0,0.385,2013-03-22,0.405,0.295
0.41,43013250.0,0.53,2013-03-25,0.56,0.39
0.57,89396690.0,0.58,2013-03-26,0.73,0.55
