OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.4,211901500.0,1.44,2009-08-03,1.46,1.38
1.48,282862540.0,1.36,2009-08-04,1.48,1.36
1.34,199770280.0,1.34,2009-08-06,1.38,1.3
1.34,112200540.0,1.34,2009-08-07,1.36,1.32
1.36,136745700.0,1.38,2009-08-10,1.4,1.34
1.38,70286820.0,1.36,2009-08-11,1.4,1.34
1.34,113217860.0,1.34,2009-08-12,1.36,1.32
1.36,168227200.0,1.38,2009-08-13,1.42,1.36
1.4,63077520.0,1.38,2009-08-14,1.4,1.36
1.34,240914560.0,1.28,2009-08-17,1.36,1.28
1.22,196406200.0,1.26,2009-08-18,1.28,1.22
1.3,86890000.0,1.28,2009-08-19,1.32,1.28
1.32,70751720.0,1.24,2009-08-20,1.32,1.24
1.32,292387500.0,1.42,2009-08-24,1.42,1.32
1.4,479758960.0,1.5,2009-08-25,1.54,1.4
1.52,311129700.0,1.54,2009-08-26,1.58,1.52
1.48,357283640.0,1.48,2009-09-03,1.52,1.44
1.52,191193300.0,1.54,2009-09-04,1.54,1.52
1.52,109736840.0,1.5,2009-09-16,1.52,1.48
1.54,152744080.0,1.52,2009-09-17,1.54,1.5
1.5,126935720.0,1.56,2009-09-18,1.56,1.48
1.54,105694320.0,1.54,2009-09-22,1.54,1.52
1.56,132526260.0,1.54,2009-09-23,1.58,1.52
1.48,20699900.0,1.5,2009-09-30,1.5,1.48
1.5,32370120.0,1.52,2009-10-01,1.54,1.5
1.48,29694620.0,1.5,2009-10-02,1.5,1.46
1.5,41394580.0,1.52,2009-10-05,1.52,1.48
1.52,300392280.0,1.6,2009-10-06,1.6,1.52
1.64,241247660.0,1.68,2009-10-07,1.68,1.64
1.68,213680620.0,1.72,2009-10-08,1.74,1.68
1.72,123866120.0,1.66,2009-10-09,1.72,1.64
1.68,69338000.0,1.64,2009-10-12,1.7,1.62
1.64,75988560.0,1.64,2009-10-13,1.68,1.62
1.64,44294120.0,1.66,2009-10-14,1.68,1.64
1.68,257242180.0,1.72,2009-10-15,1.74,1.68
1.72,42234660.0,1.66,2009-10-16,1.72,1.66
1.66,42073580.0,1.68,2009-10-19,1.7,1.66
1.68,56683980.0,1.68,2009-10-20,1.7,1.66
1.68,106606300.0,1.64,2009-10-21,1.68,1.64
1.64,112286540.0,1.64,2009-10-22,1.66,1.62
1.66,84368560.0,1.66,2009-10-23,1.66,1.64
1.64,30438700.0,1.64,2009-10-26,1.66,1.64
1.64,86646760.0,1.64,2009-10-27,1.64,1.6
1.64,105913520.0,1.58,2009-10-28,1.64,1.56
1.54,202522560.0,1.52,2009-10-29,1.54,1.5
1.56,77035920.0,1.54,2009-10-30,1.56,1.52
1.5,133138440.0,1.48,2009-11-03,1.52,1.46
1.48,131533940.0,1.5,2009-11-04,1.52,1.44
1.5,42050260.0,1.52,2009-11-05,1.54,1.48
1.56,66267240.0,1.54,2009-11-06,1.56,1.52
1.54,30140000.0,1.5,2009-11-09,1.54,1.48
1.54,86085720.0,1.56,2009-11-10,1.56,1.52
1.56,173988420.0,1.62,2009-11-11,1.64,1.52
1.42,47999740.0,1.44,2009-12-15,1.44,1.42
1.44,65188780.0,1.46,2009-12-16,1.48,1.42
1.48,64810880.0,1.42,2009-12-17,1.48,1.4
1.4,48101900.0,1.38,2009-12-18,1.42,1.38
1.4,37281520.0,1.38,2009-12-21,1.4,1.38
1.4,59511960.0,1.38,2009-12-22,1.4,1.32
1.38,19659400.0,1.36,2009-12-23,1.38,1.34
1.4,183005660.0,1.48,2009-12-29,1.48,1.4
1.46,82315780.0,1.46,2010-01-04,1.46,1.42
1.46,53781640.0,1.44,2010-01-05,1.46,1.44
1.44,27384540.0,1.44,2010-01-06,1.44,1.42
1.44,115084000.0,1.42,2010-01-07,1.46,1.42
1.42,69832500.0,1.42,2010-01-08,1.46,1.42
1.42,54999700.0,1.4,2010-01-11,1.42,1.38
1.4,88395020.0,1.44,2010-01-12,1.44,1.38
1.42,53226200.0,1.4,2010-01-13,1.42,1.38
1.4,65072340.0,1.42,2010-01-14,1.42,1.4
1.4,71481920.0,1.4,2010-01-15,1.4,1.38
1.38,147219560.0,1.36,2010-01-18,1.38,1.34
1.38,68709400.0,1.36,2010-01-19,1.38,1.34
1.36,148499580.0,1.3,2010-01-20,1.36,1.28
1.26,156324160.0,1.28,2010-01-21,1.3,1.24
1.24,129083840.0,1.26,2010-01-22,1.26,1.22
1.24,58910920.0,1.28,2010-01-25,1.28,1.22
1.28,92721220.0,1.22,2010-01-26,1.28,1.22
1.2,109977640.0,1.2,2010-01-27,1.22,1.16
1.2,124351000.0,1.22,2010-01-28,1.24,1.16
1.18,83902620.0,1.2,2010-01-29,1.24,1.18
1.18,40704940.0,1.18,2010-02-01,1.2,1.16
1.2,75866660.0,1.14,2010-02-02,1.2,1.1
1.16,63691840.0,1.14,2010-02-03,1.16,1.1
1.12,84476780.0,1.14,2010-02-04,1.18,1.1
1.08,149336440.0,1.08,2010-02-05,1.1,1.04
1.08,57633380.0,1.1,2010-02-08,1.12,1.06
1.08,68982740.0,1.12,2010-02-09,1.12,1.06
1.16,110490600.0,1.16,2010-02-10,1.16,1.12
1.14,77042600.0,1.2,2010-02-11,1.2,1.14
1.38,147230220.0,1.34,2010-03-08,1.38,1.32
1.28,45765220.0,1.26,2010-03-12,1.28,1.24
1.28,42265180.0,1.28,2010-03-15,1.28,1.24
1.26,100173020.0,1.3,2010-03-16,1.32,1.24
1.32,93866380.0,1.34,2010-03-17,1.36,1.32
1.28,69430540.0,1.28,2010-03-31,1.28,1.26
1.36,134153940.0,1.3,2010-04-20,1.36,1.28
1.32,158303200.0,1.36,2010-04-21,1.36,1.3
1.36,73623580.0,1.32,2010-04-22,1.36,1.32
1.32,68100940.0,1.3,2010-04-23,1.32,1.3
1.34,25407820.0,1.32,2010-04-29,1.34,1.3
1.32,78133240.0,1.34,2010-04-30,1.36,1.32
1.34,118723500.0,1.34,2010-05-04,1.36,1.32
1.28,190610340.0,1.26,2010-05-05,1.28,1.22
1.32,91374620.0,1.32,2010-05-13,1.34,1.3
1.32,67520620.0,1.34,2010-05-14,1.34,1.3
1.32,65357020.0,1.28,2010-05-17,1.34,1.28
1.3,37223100.0,1.28,2010-05-18,1.3,1.26
1.26,98983880.0,1.24,2010-05-19,1.28,1.24
1.24,57357400.0,1.24,2010-05-20,1.26,1.22
1.18,118233540.0,1.22,2010-05-21,1.22,1.18
1.22,35635440.0,1.22,2010-05-24,1.24,1.22
1.2,68576060.0,1.18,2010-05-25,1.22,1.16
1.18,77726860.0,1.18,2010-05-26,1.2,1.16
1.2,21575680.0,1.24,2010-05-27,1.24,1.2
1.26,66530880.0,1.28,2010-05-28,1.28,1.24
1.26,11764500.0,1.26,2010-05-31,1.26,1.24
1.24,134088540.0,1.2,2010-06-01,1.24,1.18
1.2,98244720.0,1.2,2010-06-02,1.24,1.2
1.24,67525200.0,1.24,2010-06-03,1.24,1.2
1.22,73538560.0,1.2,2010-06-04,1.22,1.2
1.18,42171460.0,1.18,2010-06-07,1.2,1.18
1.2,128038500.0,1.24,2010-06-08,1.24,1.2
1.26,142046540.0,1.24,2010-06-09,1.28,1.24
1.24,14458580.0,1.22,2010-06-10,1.26,1.22
1.26,107303020.0,1.24,2010-06-11,1.28,1.24
1.26,96260120.0,1.26,2010-06-15,1.28,1.24
1.28,257415780.0,1.34,2010-06-16,1.34,1.28
1.4,165885200.0,1.4,2010-06-21,1.42,1.38
1.4,126999240.0,1.38,2010-06-22,1.4,1.36
1.36,65564380.0,1.38,2010-06-23,1.38,1.34
1.38,114020420.0,1.36,2010-06-24,1.38,1.34
1.34,71320920.0,1.36,2010-06-25,1.36,1.34
1.36,83984500.0,1.38,2010-06-28,1.4,1.36
1.38,94557080.0,1.42,2010-06-29,1.42,1.38
1.38,114446220.0,1.32,2010-07-01,1.38,1.32
1.32,54608320.0,1.34,2010-07-02,1.36,1.32
1.34,51040180.0,1.32,2010-07-06,1.36,1.32
1.34,121852680.0,1.38,2010-07-07,1.4,1.32
1.38,56042940.0,1.4,2010-07-08,1.4,1.38
1.4,104095460.0,1.4,2010-07-09,1.42,1.38
1.38,173610000.0,1.42,2010-07-13,1.44,1.36
1.44,246072920.0,1.5,2010-07-14,1.5,1.44
1.52,351325900.0,1.52,2010-07-15,1.54,1.5
1.5,92163160.0,1.5,2010-07-16,1.52,1.48
1.48,63990600.0,1.5,2010-07-19,1.5,1.46
1.5,135087820.0,1.52,2010-07-20,1.52,1.48
1.5,237432300.0,1.56,2010-07-21,1.58,1.5
1.54,105355840.0,1.56,2010-07-22,1.58,1.54
1.58,138634920.0,1.54,2010-07-23,1.58,1.54
2.4,239610910.0,2.47,2010-09-20,2.49,2.39
2.5,435856440.0,2.46,2010-09-21,2.55,2.46
2.48,321642440.0,2.4,2010-09-22,2.48,2.37
2.4,252525380.0,2.34,2010-09-23,2.41,2.34
2.35,75084430.0,2.38,2010-09-24,2.38,2.35
2.43,262316490.0,2.3,2010-09-27,2.43,2.3
2.29,252174010.0,2.3,2010-09-28,2.34,2.25
2.31,186586030.0,2.29,2010-09-29,2.32,2.27
2.29,124578070.0,2.22,2010-09-30,2.29,2.21
2.22,132764840.0,2.27,2010-10-01,2.29,2.2
2.3,221626100.0,2.39,2010-10-04,2.39,2.28
2.38,176300720.0,2.36,2010-10-05,2.41,2.36
2.4,316025190.0,2.42,2010-10-06,2.43,2.39
2.42,138716330.0,2.42,2010-10-07,2.43,2.39
2.4,384341310.0,2.36,2010-10-08,2.4,2.31
2.3,289979180.0,2.24,2010-10-12,2.33,2.22
2.25,249279720.0,2.33,2010-10-13,2.35,2.25
2.4,563738870.0,2.49,2010-10-14,2.51,2.37
2.5,221507460.0,2.5,2010-10-15,2.52,2.44
2.5,162287060.0,2.45,2010-10-18,2.55,2.44
2.48,325180470.0,2.59,2010-10-19,2.59,2.44
2.55,154491940.0,2.53,2010-10-20,2.55,2.51
2.54,82109370.0,2.56,2010-10-21,2.56,2.52
2.56,166338000.0,2.55,2010-10-22,2.57,2.55
2.55,105448860.0,2.52,2010-10-26,2.55,2.5
2.52,83217380.0,2.51,2010-10-27,2.55,2.51
2.51,51859800.0,2.52,2010-10-28,2.55,2.51
2.52,269401690.0,2.56,2010-10-29,2.62,2.52
2.59,403284450.0,2.74,2010-11-02,2.75,2.59
2.77,201837780.0,2.73,2010-11-03,2.79,2.72
2.76,196031750.0,2.79,2010-11-04,2.79,2.71
2.78,104462920.0,2.76,2010-11-08,2.81,2.71
2.73,143349050.0,2.7,2010-11-09,2.73,2.67
2.69,289701780.0,2.58,2010-11-10,2.7,2.54
2.58,213884240.0,2.57,2010-11-11,2.6,2.42
2.57,238698160.0,2.55,2010-11-12,2.58,2.47
2.52,146130330.0,2.61,2010-11-15,2.63,2.47
2.53,305336100.0,2.47,2010-11-17,2.56,2.45
2.5,164598960.0,2.54,2010-11-18,2.55,2.46
2.56,207581820.0,2.62,2010-11-19,2.62,2.56
2.62,103118410.0,2.54,2010-11-22,2.63,2.53
2.55,38998180.0,2.5,2010-11-23,2.55,2.5
2.45,105381920.0,2.54,2010-11-24,2.54,2.42
2.56,146952870.0,2.47,2010-11-25,2.58,2.47
2.5,139954130.0,2.43,2010-11-26,2.5,2.41
2.42,249866250.0,2.4,2010-11-30,2.43,2.32
2.4,112216990.0,2.36,2010-12-01,2.42,2.36
2.42,131012960.0,2.41,2010-12-02,2.47,2.41
2.44,123526130.0,2.48,2010-12-03,2.49,2.41
2.48,70631270.0,2.49,2010-12-06,2.51,2.47
2.5,183810050.0,2.49,2010-12-07,2.51,2.48
2.49,204074870.0,2.57,2010-12-08,2.6,2.49
2.3,236927090.0,2.34,2010-12-16,2.34,2.23
2.37,224489580.0,2.41,2010-12-22,2.43,2.37
2.45,331791050.0,2.5,2010-12-23,2.5,2.42
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,110819840.0,2.5,2010-12-28,2.51,2.43
2.5,262691040.0,2.52,2010-12-29,2.55,2.5
2.5,262691040.0,2.52,2010-12-29,2.55,2.5
2.49,68475370.0,2.49,2011-01-03,2.53,2.49
2.49,68475370.0,2.49,2011-01-03,2.53,2.49
2.49,68475370.0,2.49,2011-01-03,2.53,2.49
2.51,97678360.0,2.5,2011-01-04,2.58,2.48
2.5,34506710.0,2.48,2011-01-05,2.52,2.47
2.48,136793510.0,2.49,2011-01-06,2.52,2.47
2.49,68127660.0,2.46,2011-01-07,2.53,2.45
2.46,164591370.0,2.4,2011-01-10,2.46,2.4
2.39,164385550.0,2.35,2011-01-11,2.4,2.32
2.39,164385550.0,2.35,2011-01-11,2.4,2.32
2.37,200424660.0,2.33,2011-01-12,2.41,2.3
2.35,265781510.0,2.31,2011-01-13,2.36,2.29
2.31,106019420.0,2.33,2011-01-14,2.37,2.3
2.38,72496710.0,2.35,2011-01-17,2.38,2.34
2.35,426392150.0,2.2,2011-01-18,2.36,2.19
2.2,256971240.0,2.15,2011-01-19,2.2,2.07
2.2,256971240.0,2.15,2011-01-19,2.2,2.07
2.1,210047170.0,2.1,2011-01-20,2.16,2.08
2.1,210047170.0,2.1,2011-01-20,2.16,2.08
2.02,171193740.0,2.03,2011-01-24,2.05,1.98
2.05,197656810.0,2.16,2011-01-25,2.16,2.04
2.16,229991040.0,2.18,2011-01-26,2.2,2.13
2.19,52691340.0,2.18,2011-01-27,2.2,2.13
2.2,25996670.0,2.16,2011-01-28,2.2,2.14
2.2,25996670.0,2.16,2011-01-28,2.2,2.14
2.11,38153500.0,2.1,2011-01-31,2.14,2.07
2.11,38153500.0,2.1,2011-01-31,2.14,2.07
2.11,29935690.0,2.06,2011-02-01,2.13,2.06
2.11,29935690.0,2.06,2011-02-01,2.13,2.06
2.09,88247890.0,2.16,2011-02-02,2.17,2.08
2.18,129161230.0,2.17,2011-02-03,2.21,2.14
2.02,91800150.0,2.01,2011-02-14,2.07,2.01
2.04,109743450.0,2.09,2011-02-16,2.11,2.03
2.04,109743450.0,2.09,2011-02-16,2.11,2.03
2.08,91778840.0,2.12,2011-02-17,2.12,2.08
2.12,136135340.0,2.15,2011-02-18,2.17,2.12
2.14,75888140.0,2.11,2011-02-21,2.15,2.1
2.14,75888140.0,2.11,2011-02-21,2.15,2.1
2.06,123432810.0,2.02,2011-02-22,2.06,2.02
2.06,123432810.0,2.02,2011-02-22,2.06,2.02
2.0,92266400.0,2.06,2011-02-23,2.06,1.96
2.0,92266400.0,2.06,2011-02-23,2.06,1.96
2.03,88456120.0,2.05,2011-02-24,2.07,2.03
2.03,88456120.0,2.05,2011-02-24,2.07,2.03
2.06,124693820.0,2.03,2011-02-25,2.07,2.03
2.03,130052870.0,2.06,2011-02-28,2.07,2.02
2.1,96822090.0,2.08,2011-03-02,2.13,2.08
2.09,76938670.0,2.12,2011-03-03,2.12,2.09
2.12,47758010.0,2.12,2011-03-04,2.13,2.11
2.12,47758010.0,2.12,2011-03-04,2.13,2.11
2.11,83804840.0,2.1,2011-03-07,2.11,2.09
2.09,100775930.0,2.11,2011-03-08,2.12,2.09
2.09,100775930.0,2.11,2011-03-08,2.12,2.09
2.16,49878030.0,2.17,2011-03-11,2.17,2.13
2.16,49878030.0,2.17,2011-03-11,2.17,2.13
2.15,102017380.0,2.16,2011-03-16,2.18,2.15
2.12,141440500.0,2.09,2011-03-17,2.14,2.09
2.13,47094410.0,2.12,2011-03-18,2.14,2.1
2.17,22161140.0,2.12,2011-03-21,2.17,2.1
2.14,12087510.0,2.13,2011-03-22,2.14,2.1
2.11,41171790.0,2.11,2011-03-23,2.12,2.1
2.11,65305150.0,2.08,2011-03-24,2.12,2.08
2.11,32631200.0,2.07,2011-03-25,2.11,2.07
2.07,39094770.0,2.1,2011-03-28,2.11,2.06
2.11,94757130.0,2.04,2011-03-29,2.11,2.04
2.05,238434340.0,2.06,2011-03-30,2.07,2.04
2.08,148176380.0,2.11,2011-03-31,2.11,2.08
2.12,92302280.0,2.1,2011-04-01,2.12,2.1
2.11,456141380.0,2.25,2011-04-04,2.26,2.11
2.23,273329370.0,2.27,2011-04-05,2.32,2.23
2.27,130056240.0,2.31,2011-04-06,2.32,2.27
2.31,101845470.0,2.31,2011-04-07,2.34,2.27
2.28,41475190.0,2.31,2011-04-08,2.31,2.28
2.31,110421660.0,2.3,2011-04-11,2.36,2.27
2.3,67935270.0,2.25,2011-04-12,2.3,2.25
2.25,57382620.0,2.25,2011-04-13,2.27,2.21
2.26,54187570.0,2.28,2011-04-14,2.29,2.25
2.28,47610990.0,2.32,2011-04-15,2.34,2.28
2.48,119444710.0,2.45,2011-04-26,2.48,2.42
2.42,114239150.0,2.39,2011-04-27,2.45,2.38
2.39,167609360.0,2.29,2011-04-28,2.42,2.29
2.3,50299400.0,2.33,2011-04-29,2.33,2.3
2.33,65164280.0,2.36,2011-05-02,2.37,2.31
2.37,75970180.0,2.34,2011-05-03,2.37,2.33
2.34,148053300.0,2.3,2011-05-04,2.35,2.28
2.3,204496500.0,2.22,2011-05-05,2.3,2.2
2.2,290622410.0,2.11,2011-05-06,2.2,2.11
2.12,132257710.0,2.14,2011-05-09,2.17,2.12
2.14,77897930.0,2.16,2011-05-10,2.17,2.11
2.16,63372700.0,2.17,2011-05-11,2.19,2.15
2.13,82024800.0,2.14,2011-05-12,2.17,2.13
2.16,48991330.0,2.16,2011-05-13,2.19,2.16
2.16,187172380.0,2.13,2011-05-16,2.16,2.11
2.14,57647200.0,2.12,2011-05-17,2.14,2.12
2.12,105229640.0,2.11,2011-05-18,2.16,2.11
2.11,269593950.0,2.11,2011-05-19,2.16,2.08
2.11,261217900.0,2.06,2011-05-20,2.11,2.05
2.07,332465790.0,1.98,2011-05-23,2.07,1.98
1.98,202492300.0,1.96,2011-05-24,2.01,1.95
1.99,66585870.0,2.01,2011-05-25,2.03,1.99
2.02,112554720.0,1.98,2011-05-26,2.03,1.93
1.99,73778610.0,2.04,2011-05-27,2.05,1.98
2.04,100163510.0,2.08,2011-05-30,2.09,2.03
2.08,196847250.0,2.11,2011-05-31,2.12,2.07
2.12,210641240.0,2.14,2011-06-01,2.18,2.12
2.11,114786180.0,2.03,2011-06-03,2.11,2.03
2.04,13764970.0,2.04,2011-06-06,2.07,2.02
2.05,67229250.0,2.04,2011-06-07,2.05,2.03
2.05,135678400.0,2.08,2011-06-08,2.11,2.03
2.08,30534990.0,2.04,2011-06-09,2.08,2.04
2.05,20096900.0,2.04,2011-06-10,2.07,2.03
2.03,98069040.0,1.98,2011-06-13,2.03,1.97
1.99,114402830.0,1.92,2011-06-14,2.0,1.92
1.94,130273880.0,1.93,2011-06-15,1.97,1.92
1.9,178497310.0,1.91,2011-06-16,1.94,1.89
1.92,266215190.0,1.9,2011-06-17,1.93,1.89
1.91,162189950.0,2.0,2011-06-21,2.0,1.91
2.04,91949000.0,2.03,2011-06-22,2.04,2.01
2.01,65048330.0,2.0,2011-06-23,2.02,1.98
2.0,52103420.0,2.07,2011-06-24,2.07,2.0
2.02,41129230.0,2.0,2011-06-27,2.04,2.0
2.03,27453570.0,2.02,2011-06-28,2.04,2.02
2.02,44090560.0,1.98,2011-06-29,2.02,1.98
1.99,55811040.0,1.99,2011-06-30,2.01,1.98
1.98,100443340.0,2.01,2011-07-01,2.01,1.96
2.05,184135400.0,2.07,2011-07-04,2.09,2.04
2.08,201530730.0,2.07,2011-07-05,2.11,2.06
2.07,120839890.0,2.06,2011-07-06,2.08,2.04
2.07,103120610.0,2.07,2011-07-07,2.09,2.04
2.09,172901190.0,2.1,2011-07-08,2.12,2.08
2.08,102309280.0,2.04,2011-07-11,2.1,2.04
2.02,81923240.0,2.03,2011-07-12,2.05,2.01
2.03,125231430.0,2.03,2011-07-13,2.05,2.01
2.04,104241570.0,2.02,2011-07-14,2.08,2.02
2.02,19581150.0,2.03,2011-07-15,2.05,2.01
2.04,56189290.0,2.04,2011-07-18,2.06,2.02
2.04,62452760.0,2.03,2011-07-19,2.05,2.03
2.05,166091540.0,2.05,2011-07-20,2.09,2.03
2.05,65369280.0,2.04,2011-07-21,2.06,2.02
2.04,295957080.0,2.1,2011-07-22,2.13,2.04
2.13,443036260.0,2.13,2011-07-25,2.18,2.13
2.13,224120030.0,2.14,2011-07-26,2.16,2.12
2.14,358247200.0,2.23,2011-07-27,2.23,2.12
2.2,154883740.0,2.2,2011-07-28,2.24,2.18
2.2,84503420.0,2.19,2011-07-29,2.22,2.18
2.19,143499950.0,2.17,2011-08-01,2.21,2.17
2.17,123291210.0,2.17,2011-08-02,2.19,2.15
2.14,208287910.0,2.08,2011-08-03,2.14,2.08
2.09,76358160.0,2.07,2011-08-04,2.11,2.07
2.0,163644460.0,1.99,2011-08-05,2.04,1.96
1.99,99755320.0,1.97,2011-08-08,1.99,1.95
1.89,222586900.0,1.83,2011-08-09,1.89,1.8
1.92,221620570.0,1.96,2011-08-10,1.97,1.9
1.85,153690010.0,1.99,2011-08-11,2.0,1.85
2.01,141699960.0,1.94,2011-08-12,2.03,1.94
1.97,132773380.0,1.92,2011-08-15,1.97,1.9
1.96,66987180.0,1.99,2011-08-16,1.99,1.94
1.97,84303230.0,1.95,2011-08-17,1.97,1.94
1.95,44183430.0,1.97,2011-08-18,1.99,1.95
1.93,145897880.0,1.9,2011-08-19,1.94,1.89
1.89,75221180.0,1.9,2011-08-22,1.91,1.88
1.91,41121760.0,1.89,2011-08-23,1.93,1.87
1.94,36677490.0,1.89,2011-08-24,1.94,1.89
1.9,53923990.0,1.86,2011-08-25,1.91,1.86
1.84,109216800.0,1.83,2011-08-26,1.86,1.83
1.82,112321540.0,1.87,2011-08-31,1.9,1.82
1.87,242115890.0,1.91,2011-09-01,1.93,1.84
1.92,157778240.0,1.92,2011-09-02,1.95,1.9
1.9,45361030.0,1.93,2011-09-05,1.93,1.88
1.92,77014050.0,1.87,2011-09-06,1.92,1.85
1.88,22688840.0,1.87,2011-09-07,1.92,1.85
1.89,49301070.0,1.91,2011-09-08,1.93,1.89
1.91,20098290.0,1.91,2011-09-09,1.92,1.89
1.9,27244430.0,1.89,2011-09-12,1.91,1.87
1.9,65553780.0,1.86,2011-09-13,1.91,1.85
1.88,151071040.0,1.8,2011-09-14,1.89,1.77
1.82,62954650.0,1.83,2011-09-15,1.84,1.8
1.84,68955080.0,1.89,2011-09-16,1.9,1.84
1.89,26037750.0,1.89,2011-09-19,1.89,1.87
1.88,30517980.0,1.85,2011-09-20,1.89,1.84
1.85,62763180.0,1.82,2011-09-21,1.88,1.82
1.8,123404390.0,1.77,2011-09-22,1.81,1.73
1.7,111914600.0,1.66,2011-09-23,1.75,1.65
1.68,67654460.0,1.52,2011-09-26,1.7,1.51
1.61,89983890.0,1.6,2011-09-28,1.65,1.6
1.56,96468350.0,1.65,2011-09-29,1.66,1.54
1.65,39612790.0,1.6,2011-10-03,1.65,1.59
1.55,94737230.0,1.57,2011-10-04,1.61,1.55
1.57,38027850.0,1.54,2011-10-05,1.61,1.54
1.58,168503170.0,1.6,2011-10-06,1.62,1.57
1.61,70172480.0,1.64,2011-10-07,1.66,1.61
1.63,86783020.0,1.7,2011-10-10,1.73,1.63
1.76,114152140.0,1.71,2011-10-11,1.76,1.7
1.7,78780830.0,1.74,2011-10-12,1.74,1.66
1.75,126185910.0,1.7,2011-10-13,1.77,1.68
1.68,28358180.0,1.71,2011-10-14,1.71,1.68
1.73,123621970.0,1.81,2011-10-17,1.82,1.73
1.77,53700160.0,1.78,2011-10-18,1.8,1.74
1.8,122062240.0,1.85,2011-10-19,1.87,1.79
1.81,37203130.0,1.86,2011-10-20,1.87,1.81
