OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
220.0,238651540.0,220.0,2009-08-03,237.0,212.0
222.0,211978430.0,240.0,2009-08-04,243.0,222.0
242.0,113696985.0,246.0,2009-08-06,257.5,242.0
250.0,99331820.0,235.0,2009-08-07,250.0,234.0
255.0,252942925.0,262.5,2009-08-10,270.0,255.0
267.5,201808775.0,262.5,2009-08-11,272.5,262.5
255.0,163426255.0,250.0,2009-08-12,257.5,242.0
260.0,75715490.0,244.0,2009-08-13,260.0,243.0
243.0,144621070.0,223.0,2009-08-14,244.0,220.0
220.0,307912520.0,215.0,2009-08-17,220.0,202.0
206.0,154211580.0,207.0,2009-08-18,210.0,202.0
210.0,161642210.0,207.0,2009-08-19,218.0,202.0
210.0,146462340.0,196.0,2009-08-20,211.0,193.0
205.0,338436890.0,220.0,2009-08-24,221.0,200.0
222.0,167957620.0,214.0,2009-08-25,230.0,207.0
214.0,80398240.0,204.0,2009-08-26,214.0,203.0
197.0,69288770.0,194.0,2009-09-03,197.0,190.0
194.0,62981500.0,192.0,2009-09-04,194.0,191.0
183.0,95412670.0,180.0,2009-09-16,183.0,177.0
182.0,104910650.0,174.0,2009-09-17,183.0,170.0
170.0,163351430.0,170.0,2009-09-18,172.0,163.0
168.0,97832750.0,171.0,2009-09-22,171.0,166.0
175.0,134988540.0,188.0,2009-09-23,190.0,175.0
172.0,51952810.0,170.0,2009-09-30,172.0,168.0
173.0,54561780.0,172.0,2009-10-01,176.0,169.0
169.0,26187040.0,173.0,2009-10-02,173.0,168.0
173.0,62564190.0,166.0,2009-10-05,175.0,166.0
170.0,80482670.0,176.0,2009-10-06,179.0,168.0
179.0,50793490.0,181.0,2009-10-07,183.0,176.0
180.0,43810990.0,183.0,2009-10-08,185.0,178.0
183.0,87495000.0,188.0,2009-10-09,192.0,182.0
190.0,118673140.0,195.0,2009-10-12,198.0,189.0
198.0,80420810.0,190.0,2009-10-13,200.0,189.0
192.0,177226680.0,196.0,2009-10-14,200.0,192.0
199.0,61960670.0,197.0,2009-10-15,200.0,193.0
195.0,46252780.0,198.0,2009-10-16,198.0,194.0
198.0,338852880.0,211.0,2009-10-19,217.0,197.0
218.0,200572260.0,216.0,2009-10-20,226.0,213.0
218.0,215452530.0,212.0,2009-10-21,223.0,212.0
210.0,82392510.0,201.0,2009-10-22,210.0,199.0
203.0,29169970.0,203.0,2009-10-23,205.0,199.0
210.0,27492450.0,203.0,2009-10-26,210.0,203.0
199.0,151932850.0,194.0,2009-10-27,200.0,192.0
195.0,11231730.0,194.0,2009-10-28,197.0,192.0
190.0,30532410.0,186.0,2009-10-29,191.0,186.0
195.0,103569760.0,188.0,2009-10-30,197.0,187.0
220.0,329449280.0,213.0,2009-11-03,223.0,213.0
220.0,214714260.0,217.0,2009-11-04,226.0,215.0
220.0,120673600.0,221.0,2009-11-05,222.0,216.0
216.0,213452980.0,194.0,2009-11-06,216.0,194.0
194.0,72260750.0,197.0,2009-11-09,204.0,192.0
198.0,103910730.0,210.0,2009-11-10,211.0,198.0
210.0,60997170.0,211.0,2009-11-11,211.0,203.0
210.0,52767690.0,209.0,2009-12-15,212.0,208.0
208.0,30010730.0,210.0,2009-12-16,210.0,202.0
210.0,13062810.0,208.0,2009-12-17,210.0,206.0
206.0,28304740.0,206.0,2009-12-18,206.0,203.0
206.0,31858320.0,200.0,2009-12-21,206.0,199.0
198.0,44649650.0,196.0,2009-12-22,199.0,194.0
198.0,14634090.0,198.0,2009-12-23,199.0,197.0
197.0,49360700.0,205.0,2009-12-29,208.0,197.0
206.0,25893350.0,200.0,2010-01-04,208.0,200.0
201.0,80251960.0,206.0,2010-01-05,207.0,200.0
206.0,54071020.0,205.0,2010-01-06,212.0,205.0
205.0,28257070.0,208.0,2010-01-07,209.0,205.0
207.0,14994090.0,204.0,2010-01-08,207.0,203.0
202.0,17739510.0,205.0,2010-01-11,205.0,202.0
205.0,30972370.0,202.0,2010-01-12,207.0,202.0
203.0,28666600.0,198.0,2010-01-13,203.0,198.0
198.0,10663260.0,198.0,2010-01-14,200.0,198.0
198.0,29129860.0,197.0,2010-01-15,199.0,196.0
197.0,33548400.0,193.0,2010-01-18,199.0,193.0
193.0,24811910.0,192.0,2010-01-19,193.0,191.0
192.0,28254030.0,193.0,2010-01-20,195.0,190.0
190.0,18653540.0,192.0,2010-01-21,192.0,190.0
191.0,101236070.0,176.0,2010-01-22,191.0,176.0
178.0,98377950.0,169.0,2010-01-25,178.0,166.0
171.0,46056450.0,166.0,2010-01-26,174.0,166.0
166.0,44440270.0,165.0,2010-01-27,169.0,163.0
166.0,62276410.0,164.0,2010-01-28,167.0,158.0
164.0,53677370.0,162.0,2010-01-29,164.0,159.0
159.0,75280280.0,152.0,2010-02-01,161.0,145.0
155.0,62072330.0,154.0,2010-02-02,158.0,148.0
154.0,36773420.0,159.0,2010-02-03,159.0,154.0
159.0,62797500.0,168.0,2010-02-04,172.0,159.0
163.0,66171830.0,160.0,2010-02-05,163.0,156.0
165.0,55077950.0,163.0,2010-02-08,166.0,160.0
163.0,38091790.0,157.0,2010-02-09,163.0,155.0
160.0,31169730.0,164.0,2010-02-10,164.0,160.0
164.0,28856780.0,170.0,2010-02-11,171.0,163.0
181.0,39596730.0,184.0,2010-03-08,184.0,180.0
180.0,20725400.0,173.0,2010-03-12,180.0,173.0
176.0,12984590.0,175.0,2010-03-15,178.0,175.0
175.0,12574160.0,180.0,2010-03-16,180.0,175.0
180.0,69620070.0,178.0,2010-03-17,180.0,176.0
182.0,90539420.0,176.0,2010-03-31,182.0,176.0
169.0,56115030.0,165.0,2010-04-20,169.0,165.0
166.0,37569480.0,171.0,2010-04-21,172.0,166.0
172.0,9366010.0,169.0,2010-04-22,172.0,168.0
170.0,26357710.0,174.0,2010-04-23,174.0,170.0
176.0,4766750.0,173.0,2010-04-29,176.0,173.0
176.0,69264720.0,176.0,2010-04-30,178.0,173.0
175.0,41478850.0,171.0,2010-05-04,175.0,171.0
169.0,58144060.0,167.0,2010-05-05,170.0,165.0
171.0,7797750.0,172.0,2010-05-13,174.0,171.0
172.0,16344860.0,167.0,2010-05-14,172.0,167.0
168.0,52161900.0,167.0,2010-05-17,171.0,166.0
167.0,23276280.0,166.0,2010-05-18,170.0,164.0
166.0,6234770.0,165.0,2010-05-19,166.0,164.0
160.0,37312050.0,164.0,2010-05-20,166.0,160.0
162.0,20338900.0,163.0,2010-05-21,163.0,162.0
163.0,83675300.0,169.0,2010-05-24,169.0,163.0
169.0,16892470.0,168.0,2010-05-25,171.0,165.0
168.0,59558780.0,176.0,2010-05-26,176.0,168.0
172.0,28060040.0,170.0,2010-05-27,174.0,170.0
174.0,64742190.0,174.0,2010-05-28,176.0,172.0
170.0,81294780.0,179.0,2010-05-31,180.0,170.0
179.0,51495940.0,179.0,2010-06-01,181.0,176.0
177.0,44366620.0,177.0,2010-06-02,182.0,177.0
180.0,149767270.0,192.0,2010-06-03,192.0,177.0
192.0,206663170.0,192.0,2010-06-04,197.0,192.0
188.0,119393910.0,185.0,2010-06-07,188.0,185.0
185.0,114917950.0,193.0,2010-06-08,194.0,183.0
195.0,108246500.0,191.0,2010-06-09,195.0,189.0
189.0,67390360.0,189.0,2010-06-10,189.0,188.0
192.0,56272770.0,189.0,2010-06-11,194.0,189.0
190.0,41204030.0,189.0,2010-06-15,192.0,189.0
190.0,20340070.0,189.0,2010-06-16,192.0,188.0
187.0,23627910.0,188.0,2010-06-21,190.0,187.0
188.0,31400050.0,186.0,2010-06-22,188.0,186.0
185.0,52088070.0,189.0,2010-06-23,190.0,184.0
187.0,9049430.0,187.0,2010-06-24,188.0,187.0
189.0,44258240.0,189.0,2010-06-25,190.0,186.0
189.0,9651390.0,188.0,2010-06-28,190.0,188.0
188.0,30925570.0,186.0,2010-06-29,189.0,186.0
186.0,36154460.0,183.0,2010-07-01,186.0,183.0
183.0,49265190.0,181.0,2010-07-02,186.0,181.0
181.0,20672480.0,185.0,2010-07-06,185.0,179.0
182.0,21283330.0,185.0,2010-07-07,186.0,182.0
185.0,75790360.0,190.0,2010-07-08,194.0,185.0
191.0,36687360.0,192.0,2010-07-09,192.0,189.0
191.0,25361080.0,190.0,2010-07-13,191.0,189.0
190.0,6845850.0,190.0,2010-07-14,191.0,190.0
189.0,27593100.0,190.0,2010-07-15,191.0,189.0
190.0,9621430.0,188.0,2010-07-16,190.0,188.0
187.0,16442160.0,186.0,2010-07-19,187.0,185.0
186.0,12649370.0,184.0,2010-07-20,186.0,184.0
185.0,45098400.0,186.0,2010-07-21,187.0,184.0
183.0,10333260.0,185.0,2010-07-22,186.0,183.0
185.0,28105810.0,182.0,2010-07-23,186.0,182.0
205.0,71305810.0,209.2,2010-09-20,211.0,205.0
209.2,84568278.0,215.0,2010-09-21,216.0,209.2
216.0,64718866.0,215.0,2010-09-22,219.0,208.0
217.0,34424374.0,212.0,2010-09-23,217.0,211.0
210.0,44364046.0,216.0,2010-09-24,216.0,208.0
218.0,86962574.0,217.8,2010-09-27,218.0,214.0
215.0,94960196.0,220.0,2010-09-28,220.0,215.0
220.0,123560394.0,225.0,2010-09-29,225.0,220.0
225.0,94039904.0,225.0,2010-09-30,233.0,219.0
220.0,53318952.0,229.0,2010-10-01,229.0,220.0
230.0,152809816.0,234.8,2010-10-04,235.0,229.0
235.0,94359860.0,230.0,2010-10-05,236.0,230.0
231.0,56456904.0,228.0,2010-10-06,234.0,228.0
232.0,94446358.0,224.6,2010-10-07,232.0,224.0
225.0,47809558.0,224.6,2010-10-08,225.0,222.4
221.8,50848206.0,215.0,2010-10-12,221.8,214.4
215.0,45562238.0,221.0,2010-10-13,221.0,215.0
221.4,60897262.0,222.0,2010-10-14,227.0,221.0
225.0,52088820.0,217.0,2010-10-15,225.0,217.0
218.0,32468656.0,218.0,2010-10-18,218.0,215.2
218.0,52044956.0,211.0,2010-10-19,218.0,209.0
211.0,39914510.0,206.0,2010-10-20,214.0,206.0
208.6,49457456.0,217.8,2010-10-21,218.0,208.6
218.0,80434522.0,225.0,2010-10-22,225.0,218.0
225.0,53057830.0,223.8,2010-10-26,226.0,220.0
226.0,31051724.0,225.0,2010-10-27,226.2,223.8
225.0,61449924.0,217.0,2010-10-28,225.0,217.0
217.0,44870682.0,221.0,2010-10-29,221.0,213.0
220.0,32134380.0,221.0,2010-11-02,222.0,219.0
221.0,32870636.0,221.8,2010-11-03,221.8,220.0
222.0,48293000.0,224.6,2010-11-04,225.6,221.8
224.0,12603020.0,220.0,2010-11-08,224.0,220.0
220.0,39758262.0,221.4,2010-11-09,223.0,220.0
220.0,70981026.0,215.0,2010-11-10,220.0,211.0
207.0,144030514.0,198.0,2010-11-11,207.0,197.8
197.0,44356236.0,197.0,2010-11-12,197.0,193.1
197.0,49572602.0,199.8,2010-11-15,204.0,195.0
199.7,134871348.0,190.1,2010-11-17,199.7,190.0
190.5,76250222.0,187.0,2010-11-18,190.5,186.0
189.0,94250967.0,191.0,2010-11-19,195.0,187.0
193.0,67413581.0,194.0,2010-11-22,196.0,192.0
194.0,55388977.0,196.8,2010-11-23,196.8,191.5
195.4,68566057.0,194.0,2010-11-24,196.0,194.0
194.0,149920337.0,187.0,2010-11-25,194.0,187.0
187.5,326711060.0,175.0,2010-11-26,187.5,170.0
175.0,321336078.0,178.7,2010-11-30,181.0,174.8
179.0,274985434.0,176.0,2010-12-01,179.0,176.0
178.9,489879632.0,181.0,2010-12-02,182.0,178.5
183.0,287800527.0,182.2,2010-12-03,186.0,181.0
186.0,598097581.0,194.0,2010-12-06,194.0,183.1
195.0,454748712.0,201.8,2010-12-07,203.0,195.0
204.0,178774650.0,203.0,2010-12-08,210.0,203.0
195.0,65104689.0,190.8,2010-12-16,195.0,188.0
198.0,57124655.0,195.5,2010-12-22,199.0,195.4
195.7,31059493.0,200.0,2010-12-23,200.0,195.7
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
202.0,106420316.0,206.0,2010-12-28,206.4,202.0
208.4,247664228.0,221.0,2010-12-29,221.0,208.4
208.4,247664228.0,221.0,2010-12-29,221.0,208.4
230.0,344265806.0,245.0,2011-01-03,245.6,230.0
230.0,344265806.0,245.0,2011-01-03,245.6,230.0
230.0,344265806.0,245.0,2011-01-03,245.6,230.0
252.0,437522120.0,247.0,2011-01-04,258.0,240.0
245.0,270245820.0,242.0,2011-01-05,246.8,235.0
242.0,290150920.0,245.6,2011-01-06,249.0,242.0
245.0,245442202.0,248.0,2011-01-07,253.0,242.6
248.0,116790632.0,243.4,2011-01-10,250.0,243.0
244.6,472481296.0,260.0,2011-01-11,260.0,239.0
244.6,472481296.0,260.0,2011-01-11,260.0,239.0
266.0,684665136.0,290.0,2011-01-12,292.0,266.0
295.0,560506124.0,281.6,2011-01-13,299.6,274.4
275.0,460289676.0,267.4,2011-01-14,275.2,260.2
266.0,360150392.0,280.0,2011-01-17,284.0,260.0
280.0,309516858.0,266.0,2011-01-18,287.0,264.6
266.0,284047788.0,274.0,2011-01-19,279.6,252.0
266.0,284047788.0,274.0,2011-01-19,279.6,252.0
273.0,151331690.0,266.2,2011-01-20,273.0,264.0
273.0,151331690.0,266.2,2011-01-20,273.0,264.0
262.0,295138712.0,272.0,2011-01-24,278.0,260.0
280.0,207300674.0,276.0,2011-01-25,281.0,268.0
276.0,806429442.0,272.0,2011-01-26,276.0,247.0
269.0,253039970.0,250.0,2011-01-27,270.0,250.0
248.2,373079966.0,231.0,2011-01-28,250.0,230.0
248.2,373079966.0,231.0,2011-01-28,250.0,230.0
229.8,243527244.0,215.0,2011-01-31,229.8,213.0
229.8,243527244.0,215.0,2011-01-31,229.8,213.0
220.0,179878446.0,221.4,2011-02-01,228.0,216.6
220.0,179878446.0,221.4,2011-02-01,228.0,216.6
228.0,182220144.0,230.0,2011-02-02,232.0,226.0
230.0,115360496.0,224.0,2011-02-03,235.0,224.0
219.0,36943814.0,221.0,2011-02-14,223.4,217.0
220.0,58320140.0,227.0,2011-02-16,230.0,219.0
220.0,58320140.0,227.0,2011-02-16,230.0,219.0
228.0,51715032.0,231.0,2011-02-17,234.0,228.0
231.0,99162702.0,238.0,2011-02-18,238.0,231.0
237.6,45316918.0,232.0,2011-02-21,237.6,220.2
237.6,45316918.0,232.0,2011-02-21,237.6,220.2
230.0,37930186.0,225.0,2011-02-22,230.0,224.0
230.0,37930186.0,225.0,2011-02-22,230.0,224.0
220.2,54358200.0,224.0,2011-02-23,226.2,220.2
220.2,54358200.0,224.0,2011-02-23,226.2,220.2
220.2,81156332.0,221.4,2011-02-24,224.0,220.2
220.2,81156332.0,221.4,2011-02-24,224.0,220.2
221.6,130243804.0,238.0,2011-02-25,239.0,221.6
238.0,125824600.0,231.0,2011-02-28,238.0,226.2
230.0,65124356.0,230.0,2011-03-02,231.0,228.0
231.0,61573904.0,231.0,2011-03-03,237.0,231.0
236.8,41166130.0,230.0,2011-03-04,236.8,230.0
236.8,41166130.0,230.0,2011-03-04,236.8,230.0
232.6,43369352.0,230.0,2011-03-07,236.0,230.0
230.4,32552064.0,230.4,2011-03-08,234.0,230.4
230.4,32552064.0,230.4,2011-03-08,234.0,230.4
230.0,19545926.0,229.8,2011-03-11,231.0,228.0
230.0,19545926.0,229.8,2011-03-11,231.0,228.0
226.0,33135338.0,226.0,2011-03-16,227.2,225.0
225.0,26310130.0,221.6,2011-03-17,225.0,220.2
221.4,21605788.0,226.0,2011-03-18,226.0,221.4
226.0,8494926.0,225.0,2011-03-21,226.0,223.4
225.4,28056870.0,225.0,2011-03-22,225.6,223.0
223.0,14174790.0,224.0,2011-03-23,224.0,221.8
224.8,30540470.0,229.8,2011-03-24,229.8,223.6
230.0,172048560.0,248.6,2011-03-25,250.0,230.0
249.0,169196912.0,258.0,2011-03-28,259.8,249.0
258.0,86216084.0,246.6,2011-03-29,258.0,245.8
247.0,59770208.0,253.0,2011-03-30,254.4,247.0
255.0,190623046.0,258.0,2011-03-31,259.0,252.6
255.0,218095454.0,265.0,2011-04-01,268.4,254.2
265.0,58270096.0,263.0,2011-04-04,268.0,262.6
263.0,42827248.0,260.0,2011-04-05,263.0,255.0
260.0,71719306.0,260.2,2011-04-06,263.6,259.6
260.2,49235684.0,260.0,2011-04-07,260.4,254.8
259.0,45367072.0,259.8,2011-04-08,259.8,255.8
259.4,49750930.0,252.0,2011-04-11,259.4,250.0
251.0,28205666.0,246.8,2011-04-12,251.0,243.0
245.0,83812658.0,245.0,2011-04-13,245.8,242.0
245.2,20472234.0,244.8,2011-04-14,248.8,243.0
244.6,44834938.0,244.0,2011-04-15,246.0,242.0
252.8,50109242.0,252.4,2011-04-26,253.6,246.0
252.4,29031180.0,250.0,2011-04-27,252.6,250.0
250.0,18304116.0,248.6,2011-04-28,250.2,247.4
247.0,25575984.0,245.0,2011-04-29,247.0,244.0
245.2,18237866.0,250.0,2011-05-02,250.0,245.2
249.0,16112552.0,245.8,2011-05-03,249.0,245.0
246.0,26446742.0,241.0,2011-05-04,246.8,241.0
241.8,24903450.0,240.0,2011-05-05,244.0,239.2
240.0,32703128.0,236.2,2011-05-06,240.0,236.0
238.0,13521402.0,248.6,2011-05-09,248.6,238.0
248.6,9413562.0,247.2,2011-05-10,248.6,246.0
246.8,58303838.0,251.0,2011-05-11,252.0,246.8
249.0,40739816.0,244.0,2011-05-12,250.0,244.0
244.2,55267862.0,242.6,2011-05-13,247.2,242.6
242.8,17579742.0,245.2,2011-05-16,245.2,242.8
245.6,33584180.0,248.0,2011-05-17,249.0,245.6
246.0,18723766.0,247.2,2011-05-18,248.6,246.0
247.2,5568840.0,247.2,2011-05-19,247.2,245.8
247.2,32322886.0,242.0,2011-05-20,247.2,242.0
242.0,10352868.0,241.0,2011-05-23,243.0,241.0
240.6,11648538.0,242.6,2011-05-24,244.0,240.0
242.0,85309344.0,249.2,2011-05-25,250.0,242.0
249.0,100927350.0,250.0,2011-05-26,256.0,249.0
250.0,59171356.0,249.0,2011-05-27,250.0,248.0
250.0,17557636.0,250.2,2011-05-30,252.0,249.0
249.6,97392366.0,240.2,2011-05-31,250.2,240.2
244.2,78003882.0,250.0,2011-06-01,251.0,244.2
268.0,52813150.0,264.8,2011-06-03,268.4,264.0
263.0,33764584.0,264.2,2011-06-06,264.6,262.0
263.2,76346814.0,265.2,2011-06-07,272.0,263.0
265.4,40847560.0,269.0,2011-06-08,269.0,265.0
269.2,87724680.0,271.4,2011-06-09,274.0,267.2
271.6,173018358.0,276.4,2011-06-10,279.0,271.2
276.0,82024334.0,278.0,2011-06-13,278.0,273.4
277.0,173043178.0,276.0,2011-06-14,278.8,274.0
276.8,71886384.0,276.0,2011-06-15,279.6,276.0
273.0,67661620.0,273.0,2011-06-16,275.0,266.0
273.8,21966682.0,269.0,2011-06-17,273.8,269.0
270.0,25162866.0,267.0,2011-06-21,272.0,265.0
267.0,209193982.0,263.0,2011-06-22,268.0,258.0
263.0,15728774.0,263.8,2011-06-23,264.6,263.0
264.0,125315996.0,270.8,2011-06-24,274.0,263.0
275.0,70419288.0,275.0,2011-06-27,276.6,270.0
275.0,136493098.0,274.0,2011-06-28,275.0,273.0
274.0,38337748.0,272.0,2011-06-29,274.2,268.6
272.0,135828210.0,274.2,2011-06-30,275.8,271.8
274.2,32043128.0,277.0,2011-07-01,277.0,273.0
272.0,41587848.0,276.6,2011-07-04,278.0,272.0
278.0,204116752.0,274.0,2011-07-05,279.0,274.0
274.0,43366370.0,272.2,2011-07-06,274.0,272.2
272.2,122761102.0,270.0,2011-07-07,273.0,270.0
270.2,43179238.0,274.8,2011-07-08,274.8,270.2
274.0,11183562.0,272.8,2011-07-11,274.0,272.6
272.8,152072652.0,270.2,2011-07-12,272.8,270.0
269.0,177230586.0,268.0,2011-07-13,269.0,268.0
268.4,215045256.0,270.0,2011-07-14,270.2,268.2
270.0,30389542.0,273.0,2011-07-15,273.0,269.0
273.0,37096354.0,272.0,2011-07-18,273.0,269.0
276.0,70428512.0,274.8,2011-07-19,276.0,272.0
274.0,45276258.0,276.8,2011-07-20,278.0,274.0
276.0,212870972.0,284.0,2011-07-21,295.0,276.0
284.0,34216194.0,280.0,2011-07-22,286.0,277.0
280.0,26338422.0,278.0,2011-07-25,280.0,275.0
280.0,42315360.0,276.0,2011-07-26,282.0,275.0
276.0,28878268.0,276.0,2011-07-27,277.0,276.0
276.0,34033716.0,274.0,2011-07-28,276.4,274.0
274.0,25288736.0,279.0,2011-07-29,279.0,274.0
274.0,27124602.0,280.0,2011-08-01,280.0,274.0
278.6,14800938.0,280.0,2011-08-02,280.0,278.6
275.0,104960714.0,276.2,2011-08-03,276.2,275.0
276.2,40147652.0,272.0,2011-08-04,276.2,272.0
270.0,75153860.0,265.0,2011-08-05,270.0,260.0
260.0,36731360.0,260.0,2011-08-08,262.0,253.0
248.0,80418782.0,245.0,2011-08-09,248.0,245.0
247.0,78413792.0,267.0,2011-08-10,267.0,247.0
256.0,57679992.0,267.0,2011-08-11,268.0,254.0
269.0,33527084.0,257.0,2011-08-12,270.0,257.0
260.0,22068586.0,255.0,2011-08-15,265.0,255.0
255.0,19884620.0,256.8,2011-08-16,260.0,255.0
265.0,29489566.0,260.0,2011-08-17,265.0,257.0
257.0,32318726.0,265.0,2011-08-18,265.0,256.4
256.0,17368084.0,262.2,2011-08-19,263.0,256.0
262.0,54923024.0,250.0,2011-08-22,262.0,250.0
251.0,14442240.0,258.0,2011-08-23,258.0,251.0
260.0,11483964.0,258.0,2011-08-24,260.0,258.0
255.0,2789476.0,258.0,2011-08-25,258.0,255.0
252.0,15783848.0,252.0,2011-08-26,253.0,251.0
252.0,35095592.0,262.0,2011-08-31,262.0,250.0
262.0,15759188.0,262.0,2011-09-01,262.0,258.0
261.0,7312876.0,265.0,2011-09-02,265.0,258.0
260.0,20727094.0,265.0,2011-09-05,265.0,260.0
263.0,26988302.0,259.0,2011-09-06,263.0,258.0
258.0,35057094.0,263.0,2011-09-07,263.0,258.0
262.0,42353340.0,263.0,2011-09-08,263.0,258.0
263.0,13266060.0,259.0,2011-09-09,263.0,258.0
263.0,3745574.0,256.6,2011-09-12,263.0,256.0
256.6,17508568.0,258.0,2011-09-13,258.0,256.6
258.0,29402138.0,258.0,2011-09-14,258.0,257.6
