OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
960.0,346050.0,1050.0,2009-08-03,1050.0,960.0
1000.0,430650.0,1100.0,2009-08-04,1100.0,1000.0
1050.0,672000.0,1050.0,2009-08-07,1050.0,1050.0
1045.0,409350.0,1050.0,2009-08-10,1050.0,1045.0
1050.0,136500.0,1050.0,2009-08-11,1050.0,1050.0
1000.0,200000.0,1000.0,2009-08-12,1000.0,1000.0
1000.0,70000.0,1000.0,2009-08-13,1000.0,1000.0
1100.0,55000.0,1100.0,2009-08-17,1100.0,1100.0
1000.0,120000.0,1000.0,2009-08-18,1000.0,1000.0
1000.0,120000.0,1000.0,2009-08-19,1000.0,1000.0
1000.0,78500.0,950.0,2009-08-20,1000.0,950.0
950.0,540300.0,940.0,2009-08-24,950.0,940.0
940.0,113800.0,950.0,2009-08-25,950.0,940.0
950.0,728100.0,920.0,2009-08-26,950.0,920.0
900.0,90000.0,900.0,2009-09-03,900.0,900.0
900.0,45000.0,900.0,2009-09-04,900.0,900.0
900.0,99000.0,900.0,2009-09-16,900.0,900.0
900.0,27000.0,900.0,2009-09-18,900.0,900.0
800.0,112000.0,800.0,2009-10-05,800.0,800.0
900.0,404500.0,895.0,2009-10-07,900.0,895.0
800.0,265500.0,900.0,2009-10-08,900.0,800.0
850.0,153000.0,850.0,2009-10-09,850.0,850.0
900.0,153000.0,900.0,2009-10-13,900.0,900.0
900.0,55500.0,930.0,2009-10-14,930.0,900.0
890.0,267000.0,890.0,2009-10-15,890.0,890.0
900.0,180000.0,900.0,2009-10-20,900.0,900.0
890.0,35600.0,890.0,2009-10-21,890.0,890.0
890.0,26700.0,890.0,2009-10-22,890.0,890.0
850.0,68000.0,850.0,2009-10-27,850.0,850.0
850.0,85000.0,850.0,2009-10-28,850.0,850.0
825.0,82500.0,825.0,2009-10-29,825.0,825.0
850.0,253000.0,850.0,2009-10-30,850.0,825.0
850.0,881200.0,850.0,2009-11-03,850.0,830.0
825.0,24700.0,820.0,2009-11-04,825.0,820.0
830.0,166000.0,830.0,2009-11-05,830.0,830.0
840.0,75600.0,840.0,2009-11-06,840.0,840.0
840.0,812750.0,820.0,2009-11-10,840.0,820.0
825.0,1160000.0,850.0,2009-11-11,850.0,825.0
740.0,330800.0,720.0,2009-12-15,740.0,720.0
730.0,394200.0,730.0,2009-12-16,730.0,730.0
750.0,45000.0,750.0,2009-12-17,750.0,750.0
760.0,76000.0,760.0,2009-12-22,760.0,760.0
800.0,8000.0,800.0,2009-12-23,800.0,800.0
770.0,231000.0,770.0,2009-12-29,770.0,770.0
770.0,138600.0,770.0,2010-01-04,770.0,770.0
750.0,314800.0,790.0,2010-01-05,790.0,750.0
800.0,952000.0,800.0,2010-01-06,800.0,800.0
820.0,1046600.0,810.0,2010-01-07,820.0,800.0
820.0,82000.0,820.0,2010-01-08,820.0,820.0
820.0,820000.0,820.0,2010-01-12,820.0,820.0
820.0,131200.0,820.0,2010-01-14,820.0,820.0
820.0,631400.0,820.0,2010-01-15,820.0,820.0
780.0,101400.0,780.0,2010-01-22,780.0,780.0
780.0,54600.0,780.0,2010-01-25,780.0,780.0
740.0,7400.0,740.0,2010-01-28,740.0,740.0
730.0,125900.0,750.0,2010-01-29,750.0,730.0
750.0,1035000.0,750.0,2010-02-03,750.0,750.0
730.0,175200.0,730.0,2010-02-08,730.0,730.0
700.0,84000.0,700.0,2010-02-09,700.0,700.0
800.0,481500.0,805.0,2010-03-08,805.0,800.0
840.0,252150.0,840.0,2010-03-12,845.0,840.0
830.0,83000.0,830.0,2010-03-15,830.0,830.0
830.0,116200.0,830.0,2010-03-16,830.0,830.0
850.0,381800.0,840.0,2010-03-17,860.0,840.0
800.0,560000.0,800.0,2010-04-20,800.0,800.0
770.0,678100.0,800.0,2010-04-21,800.0,770.0
830.0,1595100.0,840.0,2010-04-22,840.0,830.0
800.0,264000.0,800.0,2010-05-04,800.0,800.0
780.0,23400.0,780.0,2010-05-17,780.0,780.0
760.0,38000.0,760.0,2010-05-19,760.0,760.0
760.0,30400.0,760.0,2010-05-20,760.0,760.0
750.0,112500.0,750.0,2010-05-21,750.0,750.0
750.0,45000.0,750.0,2010-05-24,750.0,750.0
730.0,299300.0,730.0,2010-05-25,730.0,730.0
700.0,70000.0,700.0,2010-05-28,700.0,700.0
720.0,163700.0,710.0,2010-06-01,720.0,710.0
710.0,21300.0,710.0,2010-06-02,710.0,710.0
730.0,21900.0,730.0,2010-06-03,730.0,730.0
715.0,43100.0,720.0,2010-06-07,730.0,715.0
720.0,64800.0,720.0,2010-06-08,720.0,720.0
720.0,21600.0,720.0,2010-06-11,720.0,720.0
720.0,14400.0,720.0,2010-06-15,720.0,720.0
720.0,7200.0,720.0,2010-06-16,720.0,720.0
715.0,372250.0,715.0,2010-06-21,730.0,715.0
715.0,171600.0,715.0,2010-06-23,715.0,715.0
715.0,57200.0,715.0,2010-06-24,715.0,715.0
720.0,460950.0,725.0,2010-06-25,725.0,720.0
730.0,231500.0,720.0,2010-06-28,730.0,720.0
720.0,21600.0,720.0,2010-06-29,720.0,720.0
720.0,194400.0,720.0,2010-07-01,720.0,720.0
700.0,413000.0,700.0,2010-07-06,700.0,700.0
700.0,35000.0,700.0,2010-07-08,700.0,700.0
700.0,203000.0,700.0,2010-07-09,700.0,700.0
740.0,547600.0,740.0,2010-07-13,740.0,740.0
710.0,63300.0,700.0,2010-07-15,710.0,700.0
700.0,7000.0,700.0,2010-07-19,700.0,700.0
690.0,255300.0,690.0,2010-07-20,690.0,690.0
700.0,105000.0,700.0,2010-07-21,700.0,700.0
700.0,268650.0,685.0,2010-07-22,700.0,685.0
720.0,72000.0,720.0,2010-07-23,720.0,720.0
556.0,89380.0,559.0,2010-09-20,560.0,556.0
560.0,557150.0,585.0,2010-09-21,585.0,560.0
580.0,167400.0,600.0,2010-09-22,600.0,580.0
590.0,89300.0,600.0,2010-09-23,600.0,590.0
600.0,395200.0,600.0,2010-09-24,600.0,590.0
591.0,224490.0,590.0,2010-09-27,592.0,590.0
600.0,12000.0,600.0,2010-09-28,600.0,600.0
590.0,454300.0,590.0,2010-09-29,590.0,590.0
590.0,23600.0,590.0,2010-10-01,590.0,590.0
590.0,118000.0,590.0,2010-10-04,590.0,590.0
590.0,59000.0,590.0,2010-10-05,590.0,590.0
590.0,207250.0,595.0,2010-10-07,595.0,590.0
595.0,5950.0,595.0,2010-10-08,595.0,595.0
585.0,64350.0,585.0,2010-10-18,585.0,585.0
585.0,1246500.0,585.0,2010-10-20,585.0,540.0
580.0,5800.0,580.0,2010-10-21,580.0,580.0
580.0,349010.0,560.0,2010-10-22,580.0,560.0
560.0,604800.0,560.0,2010-10-26,560.0,560.0
560.0,196000.0,560.0,2010-10-27,560.0,560.0
552.5,121450.0,552.0,2010-10-28,552.5,552.0
552.0,418700.0,553.0,2010-10-29,554.0,550.0
553.0,292030.0,550.0,2010-11-03,553.0,550.0
550.0,203400.0,550.0,2010-11-04,550.0,545.0
550.0,514100.0,600.0,2010-11-08,600.0,550.0
