OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.44,164160.0,1.44,2009-12-22,1.44,1.44
1.56,1560.0,1.56,2010-01-06,1.56,1.56
1.38,1380.0,1.38,2010-01-21,1.38,1.38
1.12,1120.0,1.12,2010-05-14,1.12,1.12
1.16,1160.0,1.16,2010-05-19,1.16,1.16
1.5,1500.0,1.5,2010-09-23,1.5,1.5
2.0,2000.0,2.0,2010-09-24,2.0,2.0
2.5,20000.0,2.5,2011-01-03,2.5,2.5
2.5,20000.0,2.5,2011-01-03,2.5,2.5
2.5,20000.0,2.5,2011-01-03,2.5,2.5
1.53,35190.0,1.53,2011-01-27,1.53,1.53
1.54,29700.0,2.0,2011-02-01,2.0,1.54
1.54,29700.0,2.0,2011-02-01,2.0,1.54
2.1,4200.0,2.1,2011-05-30,2.1,2.1
2.2,2200.0,2.2,2011-07-08,2.2,2.2
2.5,2500.0,2.5,2011-08-03,2.5,2.5
2.5,2500.0,2.5,2011-08-15,2.5,2.5
2.5,2500.0,2.5,2011-08-18,2.5,2.5
2.6,2600.0,2.6,2011-08-31,2.6,2.6
1.31,11740.0,1.3,2011-10-10,1.31,1.3
1.95,3880.0,1.93,2011-10-25,1.95,1.93
2.2,2193400.0,2.2,2011-10-26,2.2,2.2
2.2,1342000.0,2.2,2011-11-04,2.2,2.2
2.2,554400.0,2.2,2011-11-08,2.2,2.2
3.3,13200.0,3.3,2011-11-09,3.3,3.3
2.6,45600.0,2.4,2012-02-27,2.6,2.4
3.6,36000.0,3.6,2012-04-13,3.6,3.6
3.6,10800.0,3.56,2012-07-17,3.6,3.6
3.0,30000.0,3.0,2012-11-29,3.0,3.0
3.0,36000.0,3.0,2012-12-03,3.0,3.0
2.5,26500.0,4.0,2012-12-10,4.0,2.5
4.0,16000.0,4.0,2012-12-11,4.0,4.0
2.5,141810.0,2.3,2012-12-28,2.5,2.3
2.3,2300.0,2.3,2013-01-04,2.3,2.3
2.5,23750.0,2.25,2013-01-07,2.5,2.25
2.5,2500.0,2.5,2013-02-14,2.5,2.5
2.75,28740.0,3.0,2013-02-18,3.0,2.75
3.1,3100.0,3.1,2013-02-20,3.1,3.1
3.8,19000.0,3.8,2013-02-28,3.8,3.8
3.5,14000.0,3.5,2013-03-04,3.5,3.5
2.51,32110.0,4.8,2013-04-10,4.8,2.5
3.0,6000.0,3.0,2013-04-23,3.0,3.0
3.0,315000.0,3.0,2013-05-07,3.0,3.0
4.5,9000.0,4.5,2013-06-20,4.5,4.5
3.2,3200.0,3.2,2013-07-05,3.2,3.2
3.5,3500.0,3.5,2013-07-12,3.5,3.5
3.5,35000.0,3.5,2013-12-18,3.5,3.5
3.5,10500.0,3.5,2013-12-20,3.5,3.5
3.5,17500.0,3.5,2014-02-06,3.5,3.5
4.0,4000.0,4.0,2014-04-28,4.0,4.0
6.0,30000.0,6.0,2014-06-24,6.0,6.0
9.0,169200.0,9.0,2014-06-25,9.0,9.0
13.5,731786.0,13.0,2014-06-26,13.5,8.0
10.4,217670.0,11.5,2014-06-27,15.0,10.4
10.5,65264.0,13.5,2014-06-30,13.98,10.5
11.02,236344.0,12.5,2014-07-01,12.5,11.0
11.1,148840.0,11.9,2014-07-02,11.9,11.0
11.0,75198.0,10.5,2014-07-03,11.48,10.5
10.5,333790.0,11.2,2014-07-04,11.6,10.5
10.02,73234.0,11.0,2014-07-07,11.2,10.02
10.1,83854.0,10.3,2014-07-08,11.0,10.02
10.28,152614.0,9.3,2014-07-09,10.28,9.3
10.94,35168.0,9.35,2014-07-10,10.94,9.35
9.35,70875.0,9.0,2014-07-11,9.35,9.0
9.0,45810.0,8.11,2014-07-14,9.0,8.1
8.45,1637170.0,8.0,2014-07-15,8.45,8.0
8.0,355200.0,8.0,2014-07-17,8.0,8.0
8.1,37650.0,8.0,2014-07-18,8.1,8.0
8.0,4800.0,8.0,2014-07-21,8.0,8.0
9.2,12920.0,8.0,2014-07-22,9.2,8.0
8.0,48000.0,8.0,2014-07-23,8.0,8.0
8.3,8830.0,8.0,2014-07-28,8.3,8.0
8.0,8269.0,9.19,2014-07-30,9.19,8.0
7.65,3486.0,9.07,2014-07-31,9.07,7.65
9.0,1800.0,9.0,2014-08-04,9.0,9.0
8.99,1798.0,8.99,2014-08-05,8.99,8.99
8.95,1775.0,8.8,2014-08-06,8.95,8.8
8.1,57260.0,8.5,2014-08-07,8.8,8.0
8.0,51200.0,8.0,2014-08-08,8.0,8.0
8.79,6133.999999999999,8.6,2014-08-11,8.79,8.6
8.6,860.0,8.6,2014-08-14,8.6,8.6
8.59,859.0,8.59,2014-08-18,8.59,8.59
8.57,9357.0,8.5,2014-08-19,8.57,8.5
8.4,2520.0,8.4,2014-08-20,8.4,8.4
4.14,8292.0,8.0,2014-08-29,8.0,4.14
7.99,2397.0,7.99,2014-09-01,7.99,7.99
7.0,12600.0,7.0,2014-09-02,7.0,7.0
6.0,72600.0,6.0,2014-09-03,6.0,6.0
6.0,3600.0,6.0,2014-09-04,6.0,6.0
6.0,1800.0,6.0,2014-09-08,6.0,6.0
6.0,4800.0,6.0,2014-09-09,6.0,6.0
8.4,12627.0,7.81,2014-09-10,8.4,7.81
6.99,699.0,6.99,2014-09-11,6.99,6.99
7.5,74590.0,7.0,2014-09-12,7.5,7.0
6.99,2095.0,6.98,2014-09-17,6.99,6.98
6.98,698.0,6.98,2014-09-18,6.98,6.98
6.98,6980.0,6.98,2014-09-22,6.98,6.98
6.0,19200.0,6.0,2014-09-23,6.0,6.0
6.5,179551.0,6.5,2014-09-24,6.5,6.0
6.5,32500.0,6.5,2014-09-25,6.5,6.5
6.5,32500.0,6.5,2014-09-26,6.5,6.5
6.0,12000.0,6.0,2014-10-01,6.0,6.0
6.46,32448.0,6.5,2014-10-02,6.5,6.46
6.5,5850.0,6.5,2014-10-03,6.5,6.5
6.0,7200.0,6.0,2014-10-09,6.0,6.0
5.5,550.0,5.5,2014-10-13,5.5,5.5
5.5,3300.0,5.5,2014-10-14,5.5,5.5
5.5,16500.0,5.5,2014-10-15,5.5,5.5
6.4,640.0,6.4,2014-10-16,6.4,6.4
6.34,38088.0,6.35,2014-10-20,6.35,6.34
6.3,2520.0,6.3,2014-10-21,6.3,6.3
5.5,57450.0,5.05,2014-10-22,5.5,5.0
5.05,49367.0,5.0,2014-10-23,5.06,5.0
5.0,2500.0,5.0,2014-10-24,5.0,5.0
5.0,4000.0,5.0,2014-10-31,5.0,5.0
5.99,33544.0,5.99,2014-11-03,5.99,5.99
5.0,52500.0,5.0,2014-11-05,5.0,5.0
5.0,5000.0,5.0,2014-11-12,5.0,5.0
5.2,26000.0,5.2,2014-11-14,5.2,5.2
5.05,17675.0,5.05,2014-11-19,5.05,5.05
5.05,5555.0,5.05,2014-11-25,5.05,5.05
6.35,16145.0,6.0,2014-11-27,6.35,6.0
6.0,1200.0,6.0,2014-11-28,6.0,6.0
5.05,2525.0,5.05,2014-12-02,5.05,5.05
5.05,15655.0,5.05,2014-12-03,5.05,5.05
5.1,9180.0,5.1,2014-12-04,5.1,5.1
5.1,1530.0,5.1,2014-12-05,5.1,5.1
5.99,3568.0,5.92,2014-12-09,5.99,5.92
5.8,21460.0,5.8,2014-12-10,5.8,5.8
5.06,1518.0,5.06,2014-12-11,5.06,5.06
5.05,505.0,5.05,2014-12-15,5.05,5.05
5.1,5100.0,5.1,2014-12-16,5.1,5.1
5.05,35310.0,5.0,2014-12-17,5.05,5.0
5.0,30000.0,5.0,2014-12-18,5.0,5.0
5.92,10756.0,5.0,2014-12-19,5.92,5.0
5.0,24000.0,5.0,2014-12-23,5.0,5.0
2.8,16740.0,2.83,2014-12-29,2.83,2.76
4.19,12590.0,4.2,2015-01-06,4.2,4.19
4.2,4200.0,4.2,2015-01-23,4.2,4.2
4.2,21000.0,4.2,2015-01-27,4.2,4.2
4.2,29400.0,4.2,2015-02-05,4.2,4.2
3.6,3600.0,3.6,2015-02-09,3.6,3.6
3.62,689680.0,3.63,2015-02-10,3.63,3.62
3.61,10810.0,3.6,2015-02-26,3.61,3.6
3.63,10890.0,3.63,2015-03-12,3.63,3.63
3.63,47190.0,3.63,2015-04-08,3.63,3.63
4.48,374380.0,5.44,2015-04-10,5.44,4.48
5.45,12580.0,5.5,2015-04-13,5.9,5.44
5.45,461287.0,6.2,2015-04-14,7.8,5.45
7.0,704889.0,7.0,2015-04-15,7.42,6.01
7.0,219936.0,6.4,2015-04-16,7.0,5.52
4.21,143186.0,6.9,2015-04-17,6.9,4.21
6.1,500693.0,8.9,2015-04-20,10.0,6.1
9.0,387025.0,8.3,2015-04-21,9.1,7.0
8.0,320108.0,7.5,2015-04-22,8.0,7.01
7.5,71116.0,8.49,2015-04-23,8.49,7.2
