OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.22,5280560.0,2.2,2009-08-03,2.22,2.18
2.2,3879960.0,2.24,2009-08-04,2.24,2.2
2.26,30309280.0,2.32,2009-08-06,2.44,2.26
2.32,7344440.0,2.26,2009-08-07,2.32,2.24
2.28,23945960.0,2.3,2009-08-10,2.34,2.22
2.36,39971340.0,2.4,2009-08-11,2.48,2.34
2.4,12080160.0,2.34,2009-08-12,2.4,2.32
2.38,18938480.0,2.36,2009-08-13,2.44,2.36
2.4,7395080.0,2.32,2009-08-14,2.4,2.32
2.3,11887460.0,2.2,2009-08-17,2.3,2.2
2.14,4547240.0,2.2,2009-08-18,2.24,2.12
2.2,4056180.0,2.18,2009-08-19,2.22,2.18
2.18,4600360.0,2.16,2009-08-20,2.18,2.12
2.2,3795900.0,2.18,2009-08-24,2.2,2.18
2.18,10745640.0,2.2,2009-08-25,2.26,2.18
2.22,1283860.0,2.22,2009-08-26,2.24,2.2
2.16,2088620.0,2.18,2009-09-03,2.18,2.14
2.2,6369340.0,2.16,2009-09-04,2.2,2.16
2.18,2892040.0,2.16,2009-09-16,2.18,2.14
2.16,2344540.0,2.14,2009-09-17,2.18,2.14
2.16,1554360.0,2.16,2009-09-18,2.16,2.14
2.16,327720.0,2.14,2009-09-22,2.16,2.14
2.14,1538960.0,2.12,2009-09-23,2.14,2.12
1.9,687440.0,1.86,2009-09-30,1.9,1.82
1.84,781800.0,1.84,2009-10-01,1.84,1.82
1.82,843420.0,1.82,2009-10-02,1.84,1.8
1.86,206240.0,1.86,2009-10-05,1.86,1.84
1.88,1296260.0,1.86,2009-10-06,1.9,1.86
1.9,430260.0,1.92,2009-10-07,1.92,1.9
1.92,600340.0,1.96,2009-10-08,1.96,1.92
1.96,377320.0,1.94,2009-10-09,1.98,1.94
1.94,1069760.0,1.9,2009-10-12,1.94,1.9
1.86,195300.0,1.86,2009-10-13,1.86,1.86
1.86,31840.0,1.88,2009-10-14,1.88,1.86
1.86,122100.0,1.88,2009-10-15,1.88,1.86
1.86,307340.0,1.84,2009-10-19,1.86,1.84
1.82,739440.0,1.82,2009-10-20,1.84,1.82
1.8,457000.0,1.8,2009-10-21,1.8,1.78
1.8,90000.0,1.8,2009-10-22,1.8,1.8
1.8,474400.0,1.8,2009-10-23,1.82,1.8
1.8,403200.0,1.8,2009-10-26,1.8,1.8
1.8,2723020.0,1.76,2009-10-27,1.8,1.76
1.76,2293380.0,1.7,2009-10-28,1.76,1.7
1.7,465320.0,1.66,2009-10-29,1.7,1.66
1.6,2190900.0,1.66,2009-10-30,1.74,1.6
1.66,127680.0,1.64,2009-11-03,1.68,1.62
1.64,420760.0,1.6,2009-11-04,1.64,1.58
1.62,119180.0,1.64,2009-11-05,1.7,1.62
1.76,2855180.0,1.8,2009-11-06,1.8,1.7
1.8,904780.0,1.7,2009-11-09,1.8,1.7
1.7,685020.0,1.7,2009-11-10,1.72,1.7
1.66,677720.0,1.66,2009-11-11,1.68,1.66
1.52,1446540.0,1.56,2009-12-15,1.62,1.52
1.62,15780.0,1.56,2009-12-16,1.62,1.56
1.54,323600.0,1.54,2009-12-17,1.56,1.54
1.52,192240.0,1.54,2009-12-18,1.54,1.52
