OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.36,15900.0,0.29,2009-08-04,0.36,0.29
0.32,6400.0,0.32,2009-08-06,0.32,0.32
0.31,37300.0,0.32,2009-08-11,0.32,0.31
0.33,13700.0,0.36,2009-08-18,0.36,0.33
0.31,3100.0,0.31,2009-09-03,0.31,0.31
0.25,27900.0,0.29,2009-09-16,0.29,0.25
0.27,2700.0,0.27,2009-10-01,0.27,0.27
0.28,29200.0,0.34,2009-10-12,0.34,0.28
0.32,290400.0,0.33,2009-10-14,0.34,0.31
0.35,465700.0,0.37,2009-10-15,0.39,0.35
0.42,4514500.0,0.55,2009-10-16,0.55,0.41
0.57,1259800.0,0.42,2009-10-19,0.58,0.41
0.51,38900.0,0.48,2009-10-20,0.51,0.48
0.46,46000.0,0.4,2009-10-21,0.48,0.4
0.4,482100.0,0.46,2009-10-22,0.48,0.4
0.45,642000.0,0.46,2009-10-23,0.46,0.41
0.44,222100.0,0.45,2009-10-26,0.45,0.42
0.46,123800.0,0.48,2009-10-27,0.5,0.46
0.48,18200.0,0.45,2009-10-28,0.48,0.41
0.47,428800.0,0.38,2009-10-29,0.47,0.38
0.4,37000.0,0.45,2009-10-30,0.45,0.4
0.36,32900.0,0.41,2009-11-04,0.41,0.36
0.42,28400.0,0.42,2009-11-05,0.42,0.39
0.39,36000.0,0.42,2009-11-10,0.42,0.39
0.42,12800.0,0.44,2009-11-11,0.44,0.42
0.43,82500.0,0.44,2009-12-15,0.44,0.42
0.48,4800.0,0.48,2009-12-16,0.48,0.48
0.42,46500.0,0.45,2009-12-17,0.45,0.42
0.47,41500.0,0.46,2009-12-18,0.47,0.46
0.4,12000.0,0.4,2009-12-23,0.4,0.4
0.51,5100.0,0.51,2010-01-04,0.51,0.51
0.42,456000.0,0.49,2010-01-05,0.53,0.42
0.5,186800.0,0.48,2010-01-06,0.5,0.43
0.49,9900.0,0.5,2010-01-07,0.5,0.49
0.43,22000.0,0.48,2010-01-13,0.48,0.43
0.41,18200.0,0.48,2010-01-14,0.48,0.41
0.4,40000.0,0.4,2010-01-20,0.4,0.4
0.47,437200.0,0.38,2010-01-21,0.47,0.38
0.4,56000.0,0.36,2010-01-26,0.4,0.36
0.36,36000.0,0.36,2010-01-27,0.36,0.36
0.4,12000.0,0.4,2010-01-28,0.4,0.4
0.39,15700.0,0.4,2010-01-29,0.4,0.39
0.39,102400.0,0.38,2010-02-01,0.41,0.37
0.36,3600.0,0.36,2010-02-04,0.36,0.36
0.33,66000.0,0.33,2010-02-08,0.33,0.33
0.39,11700.0,0.39,2010-02-09,0.39,0.39
0.39,11700.0,0.39,2010-02-10,0.39,0.39
0.35,52500.0,0.35,2010-03-12,0.35,0.35
0.38,3876000.0,0.38,2010-04-20,0.38,0.38
0.36,21410400.0,0.36,2010-04-21,0.39,0.36
0.38,18521900.0,0.44,2010-04-22,0.46,0.38
0.45,452000.0,0.46,2010-04-23,0.46,0.44
0.38,26607600.0,0.38,2010-04-29,0.38,0.38
0.44,44000.0,0.44,2010-04-30,0.44,0.44
0.43,47300.0,0.43,2010-05-04,0.43,0.43
0.52,300100.0,0.51,2010-05-13,0.53,0.51
0.5,325000.0,0.5,2010-05-14,0.5,0.5
0.51,5100.0,0.51,2010-05-17,0.51,0.51
0.44,27000.0,0.5,2010-05-19,0.5,0.44
0.44,40600.0,0.45,2010-05-21,0.48,0.44
0.49,395900.0,0.52,2010-05-24,0.52,0.49
0.53,380900.0,0.54,2010-05-25,0.6,0.51
0.55,4718500.0,0.62,2010-05-26,0.63,0.55
0.62,739900.0,0.58,2010-05-27,0.62,0.58
0.6,623100.0,0.57,2010-05-28,0.6,0.57
0.58,5800.0,0.58,2010-05-31,0.58,0.58
0.59,158700.0,0.54,2010-06-01,0.6,0.54
0.57,105100.0,0.56,2010-06-02,0.57,0.53
0.58,145100.0,0.59,2010-06-03,0.59,0.58
0.57,34200.0,0.57,2010-06-04,0.57,0.57
0.55,1017100.0,0.48,2010-06-07,0.55,0.48
0.51,637100.0,0.54,2010-06-08,0.54,0.51
0.54,644400.0,0.53,2010-06-09,0.54,0.51
0.53,98600.0,0.53,2010-06-11,0.54,0.51
0.48,34000.0,0.52,2010-06-15,0.52,0.48
0.51,31300.0,0.54,2010-06-22,0.54,0.51
0.52,85409700.0,0.5,2010-06-25,0.52,0.49
0.48,14400.0,0.48,2010-06-29,0.48,0.48
0.48,58100.0,0.49,2010-07-01,0.49,0.48
0.5,191800.0,0.47,2010-07-02,0.5,0.47
0.47,51400.0,0.49,2010-07-06,0.49,0.46
0.45,27400.0,0.49,2010-07-07,0.49,0.45
0.45,4500.0,0.45,2010-07-08,0.45,0.45
0.48,28800.0,0.48,2010-07-09,0.48,0.48
0.45,94500.0,0.45,2010-07-15,0.45,0.45
0.44,132000.0,0.44,2010-07-16,0.44,0.44
0.48,144000.0,0.48,2010-07-20,0.48,0.48
0.51,5100.0,0.51,2010-07-21,0.51,0.51
0.5,25000.0,0.5,2010-07-23,0.5,0.5
0.52,104000.0,0.52,2010-09-21,0.52,0.52
0.495,4950.0,0.495,2010-09-22,0.495,0.495
0.47,70500.0,0.47,2010-09-24,0.47,0.47
0.45,18000.0,0.45,2010-09-27,0.45,0.45
0.44,35900.0,0.45,2010-09-28,0.45,0.44
0.45,36000.0,0.45,2010-09-29,0.45,0.45
0.45,53800.0,0.44,2010-09-30,0.45,0.44
0.42,37850.0,0.435,2010-10-07,0.435,0.415
0.46,4600.0,0.46,2010-10-08,0.46,0.46
0.425,208000.0,0.405,2010-10-13,0.425,0.405
0.45,4500.0,0.45,2010-10-14,0.45,0.45
0.47,9400.0,0.47,2010-10-15,0.47,0.47
0.485,4850.0,0.485,2010-10-19,0.485,0.485
0.45,45000.0,0.45,2010-10-20,0.45,0.45
0.46,4600.0,0.46,2010-10-26,0.46,0.46
0.42,42000.0,0.42,2010-10-27,0.42,0.42
0.5,147400.0,0.42,2010-10-28,0.5,0.42
0.42,63000.0,0.42,2010-10-29,0.42,0.42
0.41,4100.0,0.41,2010-11-17,0.41,0.41
0.4,12000.0,0.4,2010-11-22,0.4,0.4
0.47,4700.0,0.47,2010-11-24,0.47,0.47
0.48,19500.0,0.51,2010-11-26,0.51,0.48
0.35,700.0,0.35,2010-12-02,0.35,0.35
0.45,27600.0,0.45,2010-12-03,0.48,0.45
0.385,127150.0,0.48,2010-12-08,0.48,0.38
0.395,7900.0,0.395,2010-12-16,0.395,0.395
0.41,240750.0,0.395,2010-12-29,0.41,0.395
0.41,240750.0,0.395,2010-12-29,0.41,0.395
0.42,42000.0,0.42,2011-01-04,0.42,0.42
0.425,135250.0,0.4,2011-01-05,0.425,0.4
0.42,195700.0,0.41,2011-01-07,0.42,0.41
0.425,140250.0,0.425,2011-01-12,0.425,0.425
0.42,117600.0,0.42,2011-01-13,0.42,0.42
0.42,8400.0,0.42,2011-01-14,0.42,0.42
0.43,284000.0,0.44,2011-01-17,0.44,0.43
0.44,176000.0,0.44,2011-01-18,0.44,0.44
0.44,162800.0,0.44,2011-01-19,0.44,0.44
0.44,162800.0,0.44,2011-01-19,0.44,0.44
0.44,211200.0,0.44,2011-01-20,0.44,0.44
0.44,211200.0,0.44,2011-01-20,0.44,0.44
0.42,21000.0,0.42,2011-01-24,0.42,0.42
0.445,4450.0,0.445,2011-01-25,0.445,0.445
0.44,88000.0,0.44,2011-01-26,0.44,0.44
0.43,51400.0,0.42,2011-01-28,0.43,0.42
0.43,51400.0,0.42,2011-01-28,0.43,0.42
