OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.85,19950.0,2.85,2009-08-20,2.85,2.85
3.0,18000.0,3.0,2009-09-04,3.0,3.0
3.0,30000.0,3.0,2009-09-18,3.0,3.0
3.0,11799000.0,3.0,2009-09-22,3.0,3.0
3.0,18000.0,3.0,2009-09-30,3.0,3.0
3.0,30000.0,3.0,2009-10-02,3.0,3.0
3.0,15000.0,3.0,2009-10-05,3.0,3.0
2.95,35400.0,2.95,2009-10-15,2.95,2.95
2.95,118550.0,3.0,2009-10-21,3.0,2.95
3.0,93000.0,3.0,2009-10-29,3.0,3.0
3.0,107100.0,3.4,2009-10-30,3.4,3.0
3.05,152500.0,3.05,2009-11-04,3.05,3.05
3.0,33100.0,3.1,2009-11-06,3.1,3.0
3.0,6000.0,3.0,2009-11-10,3.0,3.0
3.0,15000.0,3.0,2009-11-11,3.0,3.0
3.0,9000.0,3.0,2009-12-16,3.0,3.0
3.0,15000.0,3.0,2009-12-22,3.0,3.0
3.0,3000.0,3.0,2009-12-23,3.0,3.0
3.0,3000.0,3.0,2009-12-29,3.0,3.0
2.95,116500.0,2.9,2010-01-07,2.95,2.9
3.0,150000.0,3.0,2010-01-13,3.0,3.0
2.9,104500.0,3.0,2010-01-26,3.0,2.9
2.8,58950.0,2.95,2010-01-27,2.95,2.8
2.8,10800.0,2.6,2010-02-01,2.8,2.6
2.5,13100.0,2.8,2010-02-02,2.8,2.5
2.7,27000.0,2.7,2010-03-31,2.7,2.7
2.8,226800.0,2.8,2010-04-29,2.8,2.8
2.7,21845700.0,2.7,2010-05-05,2.7,2.7
2.7,16200.0,2.7,2010-05-19,2.7,2.7
2.7,5400.0,2.7,2010-06-09,2.7,2.7
3.45,6900.0,3.45,2010-06-21,3.45,3.45
2.9,5800.0,2.9,2010-06-24,2.9,2.9
3.45,6900.0,3.45,2010-06-25,3.45,3.45
2.9,9560500.0,3.4,2010-07-07,3.4,2.9
3.0,6000.0,3.0,2010-07-16,3.0,3.0
3.0,36000.0,3.0,2010-07-19,3.0,3.0
2.9,14500.0,2.9,2010-07-20,2.9,2.9
2.9,56000.0,3.05,2010-07-22,3.05,2.9
3.0,30000.0,3.0,2010-09-30,3.0,3.0
3.0,30000.0,3.0,2010-10-04,3.0,3.0
3.0,138000.0,3.0,2010-10-07,3.0,3.0
3.3,10000.0,3.4,2010-10-13,3.4,3.3
3.5,21000.0,3.5,2010-10-14,3.5,3.5
3.6,10800.0,3.6,2010-10-15,3.6,3.6
3.5,70000.0,3.5,2010-10-22,3.5,3.5
3.75,45000.0,3.75,2010-10-27,3.75,3.75
3.5,14000.0,3.5,2010-10-28,3.5,3.5
3.75,15000.0,3.75,2010-11-08,3.75,3.75
3.01,38520.0,3.72,2010-11-24,3.72,3.01
3.05,15250.0,3.05,2010-11-30,3.05,3.05
3.06,12240.0,3.06,2010-12-01,3.06,3.06
3.05,122000.0,3.05,2010-12-06,3.05,3.05
3.05,15250.0,3.05,2010-12-08,3.05,3.05
3.0,18000.0,3.0,2010-12-16,3.0,3.0
3.0,489000.0,3.0,2010-12-29,3.0,3.0
3.0,489000.0,3.0,2010-12-29,3.0,3.0
3.1,97900.0,3.0,2011-01-04,3.1,3.0
3.55,121400.0,4.1,2011-01-05,4.1,3.55
3.5,17500.0,3.5,2011-01-06,3.5,3.5
4.1,49000.0,4.0,2011-01-07,4.1,4.0
3.8,3800.0,3.8,2011-01-11,3.8,3.8
3.8,3800.0,3.8,2011-01-11,3.8,3.8
3.55,27100.0,4.0,2011-01-12,4.0,3.55
3.1,83700.0,3.1,2011-01-14,3.1,3.1
3.1,6200.0,3.1,2011-01-18,3.1,3.1
3.5,11500.0,4.0,2011-01-19,4.0,3.5
3.5,11500.0,4.0,2011-01-19,4.0,3.5
3.8,87000.0,3.5,2011-02-18,3.8,3.5
3.01,3010.0,3.01,2011-03-16,3.01,3.01
2.8,147000.0,2.6,2011-03-17,2.8,2.6
2.6,52000.0,2.6,2011-03-29,2.6,2.6
2.51,160340.0,2.5,2011-04-04,2.51,2.5
2.42,40920.0,2.4,2011-04-05,2.42,2.4
2.4,124800.0,2.31,2011-04-07,2.4,2.31
2.3,111050.0,2.4,2011-04-08,2.4,2.3
3.0,9000000.0,3.0,2011-04-26,3.0,3.0
2.7,12063600.0,2.7,2011-04-27,2.7,2.7
2.7,95550.0,2.55,2011-04-28,2.7,2.5
2.5,32500.0,2.5,2011-04-29,2.5,2.5
2.6,242510.0,2.5,2011-05-02,2.65,2.48
2.05,403390.0,2.03,2011-05-03,2.15,2.0
2.05,4100.0,2.05,2011-05-09,2.05,2.05
2.06,4120.0,2.06,2011-05-10,2.06,2.06
2.05,43450.0,2.07,2011-05-11,2.07,2.05
2.07,470080.0,2.05,2011-05-13,2.07,2.05
2.02,776000.0,1.98,2011-05-17,2.02,1.95
2.0,317550.0,1.9,2011-05-18,2.0,1.9
1.9,19000.0,1.9,2011-05-19,1.9,1.9
1.21,5010.0,1.9,2011-05-20,1.9,1.21
1.85,70700.0,1.8,2011-05-23,1.85,1.8
1.9,19000.0,1.9,2011-05-24,1.9,1.9
1.5,194490.0,1.74,2011-05-26,1.8,1.5
1.75,534780.0,1.99,2011-05-27,1.99,1.6
1.9,95000.0,1.9,2011-05-30,1.9,1.9
1.6,293500.0,1.57,2011-05-31,1.6,1.5
1.57,626050.0,1.61,2011-06-01,1.61,1.57
1.6,586500.0,1.6,2011-06-03,1.6,1.5
1.5,81000.0,1.5,2011-06-07,1.5,1.5
1.5,268840.0,1.5,2011-06-08,1.5,1.45
1.5,7500.0,1.5,2011-06-09,1.5,1.5
1.49,247440.0,1.5,2011-06-10,1.5,1.49
1.4,91000.0,1.4,2011-06-13,1.4,1.4
1.3,3625800.0,1.4,2011-06-14,1.4,1.0
1.35,80040.0,1.36,2011-06-15,1.36,1.35
1.4,8400.0,1.4,2011-06-16,1.4,1.4
1.36,526360.0,1.4,2011-06-17,1.4,1.36
1.4,156880.0,1.4,2011-06-21,1.4,1.36
1.4,30261940.0,1.5,2011-06-22,1.5,1.36
1.4,142960.0,1.48,2011-06-23,1.48,1.4
1.48,2960.0,1.48,2011-06-24,1.48,1.48
1.4,70000.0,1.4,2011-06-29,1.4,1.4
1.4,62120.0,1.38,2011-06-30,1.4,1.38
1.38,96600.0,1.38,2011-07-01,1.38,1.38
1.38,70450.0,1.45,2011-07-04,1.45,1.38
1.45,14500.0,1.45,2011-07-05,1.45,1.45
1.36,74360.0,1.43,2011-07-06,1.43,1.35
1.3,6500.0,1.3,2011-07-11,1.3,1.3
1.33,24740.0,1.3,2011-07-12,1.33,1.3
1.31,44250.0,1.3,2011-07-13,1.31,1.3
1.3,65600.0,1.32,2011-07-14,1.32,1.3
1.32,120240.0,1.4,2011-07-15,1.4,1.32
1.32,2640.0,1.32,2011-07-19,1.32,1.32
1.34,172080.0,1.4,2011-07-20,1.4,1.34
1.4,8400.0,1.4,2011-07-21,1.4,1.4
1.32,59400.0,1.32,2011-07-22,1.32,1.32
1.3,54600.0,1.3,2011-07-25,1.3,1.3
1.3,141700.0,1.3,2011-07-27,1.3,1.3
1.3,14300.0,1.3,2011-07-28,1.3,1.3
1.3,35100.0,1.3,2011-07-29,1.3,1.3
1.1,10264700.0,1.3,2011-08-02,1.3,1.1
1.33,3970.0,1.32,2011-08-03,1.33,1.32
1.32,262500.0,1.4,2011-08-04,1.4,1.3
1.3,3900.0,1.3,2011-08-09,1.3,1.3
1.3,58500.0,1.3,2011-08-10,1.3,1.3
1.35,273100.0,1.32,2011-08-11,1.35,1.32
1.3,353980.0,1.35,2011-08-12,1.35,1.3
1.32,3960.0,1.32,2011-08-16,1.32,1.32
1.33,68430.0,1.35,2011-08-17,1.35,1.33
1.32,66000.0,1.32,2011-08-23,1.32,1.32
1.35,1304100.0,1.35,2011-08-24,1.35,1.35
1.36,1360.0,1.36,2011-08-25,1.36,1.36
1.33,65170.0,1.33,2011-08-26,1.33,1.33
1.4,70000.0,1.4,2011-08-31,1.4,1.4
1.33,134000.0,1.35,2011-09-01,1.35,1.33
1.4,210000.0,1.4,2011-09-02,1.4,1.4
1.39,91740.0,1.39,2011-09-05,1.39,1.39
1.4,6058340.0,1.4,2011-09-06,1.8,1.4
1.5,554590.0,1.42,2011-09-07,1.5,1.4
1.42,272790.0,1.42,2011-09-08,1.42,1.38
1.42,372860.0,1.42,2011-09-09,1.42,1.4
1.4,367840.0,1.37,2011-09-12,1.4,1.37
1.37,34250.0,1.37,2011-09-14,1.37,1.37
1.37,312650.0,1.35,2011-09-16,1.37,1.34
1.35,74250.0,1.35,2011-09-21,1.35,1.35
1.35,46950.0,1.34,2011-09-22,1.35,1.34
1.34,154200.0,1.3,2011-09-23,1.34,1.3
1.24,3880.0,1.4,2011-09-29,1.4,1.24
1.38,12420.0,1.38,2011-10-03,1.38,1.38
1.3,282600.0,1.28,2011-10-04,1.3,1.28
1.26,61760.0,1.28,2011-10-05,1.28,1.26
1.28,12800.0,1.28,2011-10-06,1.28,1.28
1.26,12600.0,1.26,2011-10-10,1.26,1.26
1.28,68090.0,1.26,2011-10-12,1.28,1.26
1.25,549600.0,1.26,2011-10-13,1.26,1.21
1.24,29850.0,1.36,2011-10-17,1.36,1.23
1.32,290820.0,1.36,2011-10-18,1.46,1.32
1.35,10800.0,1.35,2011-10-19,1.35,1.35
1.38,211170.0,1.39,2011-10-24,1.39,1.38
1.33,1954350.0,1.4,2011-10-25,1.4,1.32
1.33,122360.0,1.33,2011-10-26,1.33,1.33
1.33,10640.0,1.33,2011-10-27,1.33,1.33
1.28,586190.0,1.25,2011-11-02,1.28,1.25
1.27,22860.0,1.27,2011-11-09,1.27,1.27
1.3,1300.0,1.3,2011-11-14,1.3,1.3
1.29,23050.0,1.28,2011-11-15,1.29,1.28
1.36,23040.0,1.35,2011-11-17,1.36,1.35
1.36,493760.0,1.3,2011-11-18,1.4,1.3
1.29,145680.0,1.3,2011-11-21,1.37,1.29
1.36,47910.0,1.31,2011-11-22,1.38,1.31
1.31,26200.0,1.31,2011-11-23,1.31,1.31
1.38,9660.0,1.38,2011-11-24,1.38,1.38
1.3,39000.0,1.3,2011-11-25,1.3,1.3
1.27,10160.0,1.27,2011-11-28,1.27,1.27
1.38,3072370.0,1.35,2011-12-01,1.69,1.35
1.4,200030.0,1.4,2011-12-02,1.46,1.4
1.35,68850.0,1.35,2011-12-05,1.35,1.35
1.35,51800.0,1.45,2011-12-06,1.45,1.35
1.4,558200.0,1.5,2011-12-07,1.5,1.4
1.53,45900.0,1.53,2011-12-08,1.53,1.53
1.36,21760.0,1.36,2011-12-09,1.36,1.36
1.35,16200.0,1.35,2011-12-12,1.35,1.35
1.35,32400.0,1.35,2011-12-13,1.35,1.35
1.35,58350.0,1.45,2011-12-14,1.45,1.35
1.35,2820.0,1.47,2011-12-15,1.47,1.35
1.4,322330.0,1.37,2011-12-16,1.45,1.37
1.36,6800.0,1.36,2011-12-19,1.36,1.36
1.36,6800.0,1.36,2011-12-20,1.36,1.36
1.36,27200.0,1.36,2011-12-21,1.36,1.36
1.46,1460.0,1.46,2011-12-22,1.46,1.46
1.35,125200.0,1.33,2011-12-23,1.35,1.33
1.33,53200.0,1.33,2011-12-26,1.33,1.33
1.35,2700.0,1.35,2011-12-27,1.35,1.35
1.44,7200.0,1.44,2011-12-29,1.44,1.44
1.43,10010.0,1.43,2012-01-02,1.43,1.43
1.36,9460.0,1.35,2012-01-03,1.36,1.35
1.35,289940.0,1.42,2012-01-04,1.42,1.35
1.36,102370.0,1.36,2012-01-05,1.36,1.34
1.38,9660.0,1.38,2012-01-06,1.38,1.38
1.34,12060.0,1.34,2012-01-10,1.34,1.34
1.35,12150.0,1.35,2012-01-11,1.35,1.35
1.38,307600.0,1.4,2012-01-12,1.4,1.38
1.4,2277920.0,1.4,2012-01-13,1.55,1.39
1.41,42300.0,1.41,2012-01-16,1.41,1.41
1.4,67200.0,1.4,2012-01-18,1.4,1.4
1.4,115540.0,1.49,2012-01-20,1.49,1.4
1.4,21000.0,1.4,2012-01-24,1.4,1.4
1.48,86340.0,1.49,2012-01-25,1.49,1.4
1.49,383030.0,1.4,2012-01-26,1.5,1.39
1.39,19510.0,1.4,2012-01-27,1.4,1.39
1.4,4270.0,1.47,2012-01-30,1.47,1.4
1.47,46340.0,1.4,2012-01-31,1.47,1.4
1.4,689410.0,1.42,2012-02-01,1.47,1.39
1.48,4577770.0,1.55,2012-02-02,1.7,1.4
1.58,266010.0,1.58,2012-02-03,1.63,1.57
1.55,281270.0,1.42,2012-02-06,1.55,1.42
1.43,153010.0,1.43,2012-02-07,1.43,1.43
1.5,183600.0,1.53,2012-02-08,1.53,1.5
1.43,42900.0,1.43,2012-02-09,1.43,1.43
1.43,35750.0,1.43,2012-02-10,1.43,1.43
1.43,21500.0,1.44,2012-02-13,1.44,1.43
1.43,4290.0,1.43,2012-02-14,1.43,1.43
1.49,109520.0,1.43,2012-02-15,1.5,1.43
1.44,15790.0,1.43,2012-02-16,1.44,1.43
1.44,220940.0,1.5,2012-02-17,1.5,1.43
1.49,133460.0,1.5,2012-02-20,1.5,1.49
1.45,299700.0,1.48,2012-02-22,1.48,1.4
1.45,2900.0,1.45,2012-02-23,1.45,1.45
1.43,1601720.0,1.4,2012-02-27,1.43,1.4
1.41,67680.0,1.41,2012-03-02,1.41,1.41
1.48,116800.0,1.42,2012-03-06,1.5,1.42
1.43,8580.0,1.43,2012-03-07,1.43,1.43
1.5,3047880.0,1.45,2012-03-08,1.5,1.4
1.5,430370.0,1.49,2012-03-09,1.5,1.49
1.49,297650.0,1.5,2012-03-12,1.5,1.47
1.5,213240.0,1.48,2012-03-13,1.5,1.48
1.48,1157590.0,1.5,2012-03-14,1.51,1.48
1.5,332030.0,1.45,2012-03-15,1.5,1.45
1.53,1048660.0,1.5,2012-03-16,1.54,1.5
1.52,564040.0,1.5,2012-03-19,1.52,1.5
1.48,259980.0,1.52,2012-03-20,1.52,1.48
1.53,1211840.0,1.55,2012-03-21,1.55,1.5
1.54,6333850.0,1.54,2012-03-22,1.75,1.54
1.65,405240.0,1.48,2012-03-23,1.65,1.48
1.51,2694460.0,1.58,2012-03-26,1.58,1.51
1.58,706920.0,1.5,2012-03-27,1.6,1.5
1.49,1313150.0,1.49,2012-03-28,1.54,1.49
1.49,74930.0,1.5,2012-03-29,1.5,1.49
1.5,233880.0,1.5,2012-03-30,1.5,1.48
1.45,3059790.0,1.5,2012-04-02,1.5,1.45
1.49,89400.0,1.49,2012-04-03,1.49,1.49
1.53,33660.0,1.53,2012-04-04,1.53,1.53
1.55,41760.0,1.55,2012-04-10,1.55,1.54
1.53,119900.0,1.48,2012-04-11,1.53,1.48
1.48,44430.0,1.51,2012-04-12,1.51,1.48
1.5,98320.0,1.48,2012-04-13,1.5,1.44
1.5,1500.0,1.5,2012-04-16,1.5,1.5
1.45,156970.0,1.49,2012-04-17,1.49,1.44
1.49,370890.0,1.54,2012-04-18,1.54,1.49
1.57,458330.0,1.59,2012-04-19,1.59,1.52
1.55,31000.0,1.55,2012-04-20,1.55,1.55
1.55,62000.0,1.55,2012-04-23,1.55,1.55
1.59,33740.0,1.62,2012-04-24,1.63,1.59
1.61,1102260.0,1.5,2012-04-25,1.61,1.5
1.49,250800.0,1.54,2012-04-26,1.54,1.48
1.5,547940.0,1.49,2012-04-27,1.55,1.49
1.51,122000.0,1.53,2012-04-30,1.53,1.51
1.48,1518120.0,1.48,2012-05-02,1.5,1.48
1.5,75000.0,1.5,2012-05-03,1.5,1.5
1.5,667500.0,1.5,2012-05-04,1.5,1.5
1.5,11125500.0,1.53,2012-05-07,1.56,1.49
1.53,3192730.0,1.55,2012-05-08,1.55,1.53
1.55,2953990.0,1.55,2012-05-09,1.55,1.54
1.55,7052500.0,1.55,2012-05-10,1.55,1.55
1.55,1596500.0,1.55,2012-05-11,1.55,1.55
1.55,917050.0,1.54,2012-05-15,1.55,1.5
1.54,1037440.0,1.51,2012-05-16,1.54,1.51
1.54,9286580.0,1.64,2012-05-17,1.75,1.54
1.69,9099780.0,1.8,2012-05-18,1.82,1.66
1.7,8782510.0,1.87,2012-05-21,2.09,1.7
1.91,14685280.0,2.5,2012-05-22,2.7,1.91
2.5,26836780.0,2.71,2012-05-23,3.15,2.5
2.97,9885050.0,2.3,2012-05-24,3.05,2.21
2.2,7443110.0,1.95,2012-05-25,2.28,1.95
1.95,14497890.0,2.45,2012-05-28,2.59,1.95
2.52,11981990.0,2.5,2012-05-29,2.77,2.49
2.4,3244190.0,2.11,2012-05-30,2.43,2.05
2.13,1800460.0,2.12,2012-05-31,2.42,2.0
2.12,1651810.0,2.1,2012-06-01,2.12,2.02
2.1,1431490.0,1.98,2012-06-04,2.1,1.98
1.98,711040.0,2.0,2012-06-05,2.05,1.98
2.0,9289070.0,2.05,2012-06-06,2.26,2.0
2.13,3556600.0,2.13,2012-06-07,2.2,2.08
2.1,3283490.0,2.2,2012-06-08,2.25,2.09
2.24,3035080.0,2.26,2012-06-11,2.38,2.22
2.2,799890.0,2.29,2012-06-13,2.3,2.2
2.27,2224940.0,2.1,2012-06-14,2.27,2.09
2.1,2144410.0,2.1,2012-06-15,2.19,2.1
2.14,854910.0,2.13,2012-06-18,2.14,2.12
2.13,2106850.0,2.13,2012-06-19,2.13,2.08
2.15,2230770.0,2.18,2012-06-20,2.18,2.14
2.18,2118500.0,2.22,2012-06-21,2.25,2.17
2.2,113240.0,2.24,2012-06-22,2.24,2.15
2.24,1177060.0,2.2,2012-06-25,2.24,2.2
2.2,8424860.0,2.59,2012-06-26,2.69,2.2
2.64,6984230.0,2.58,2012-06-27,2.75,2.55
2.5,1740580.0,2.4,2012-06-28,2.5,2.4
2.55,1567110.0,2.45,2012-06-29,2.55,2.4
2.25,1059580.0,2.42,2012-07-02,2.49,2.25
2.46,3273760.0,2.5,2012-07-03,2.56,2.45
2.45,1616010.0,2.43,2012-07-04,2.47,2.42
2.45,2448020.0,2.45,2012-07-05,2.49,2.43
2.42,1867810.0,2.4,2012-07-06,2.45,2.31
2.35,3501780.0,2.26,2012-07-09,2.35,2.24
2.3,471449.99999999994,2.3,2012-07-10,2.3,2.29
