OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.3,55750.0,3.25,2009-08-07,3.3,3.0
1.98,2000210.0,3.3,2009-08-12,3.3,1.98
3.35,36850.0,3.35,2009-08-13,3.35,3.35
2.44,7320.0,2.44,2009-10-05,2.44,2.44
3.1,43400.0,3.1,2009-10-06,3.1,3.1
3.1,3100.0,3.1,2009-10-19,3.1,3.1
3.0,37000.0,3.8,2009-10-28,3.8,3.0
4.1,20500.0,4.1,2009-10-29,4.1,4.1
3.0,60000.0,3.0,2009-11-03,3.0,3.0
1.8,3600.0,1.8,2009-12-29,1.8,1.8
1.8,5400.0,1.8,2010-01-04,1.8,1.8
2.65,39750.0,2.65,2010-01-13,2.65,2.65
2.6,31200.0,2.6,2010-01-21,2.6,2.6
1.62,22580.0,1.62,2010-01-29,1.62,1.6
1.2,75480.0,1.62,2010-02-10,1.62,1.2
1.5,18120.0,1.62,2010-02-11,1.62,1.5
2.2,8800.0,2.2,2010-03-31,2.2,2.2
2.0,40000.0,2.0,2010-04-30,2.0,2.0
1.82,18200.0,1.82,2010-05-04,1.82,1.82
1.8,3600.0,1.8,2010-06-21,1.8,1.8
1.82,9100.0,1.82,2010-06-24,1.82,1.82
1.8,3600.0,1.8,2010-06-25,1.8,1.8
1.78,10680.0,1.78,2010-07-01,1.78,1.78
1.8,7200.0,1.8,2010-07-06,1.8,1.8
1.7,17000.0,1.7,2010-07-15,1.7,1.7
1.7,8500.0,1.7,2010-07-20,1.7,1.7
1.5,7500.0,1.5,2010-07-22,1.5,1.5
1.4,1400.0,1.4,2010-09-20,1.4,1.4
1.4,14000.0,1.4,2010-09-22,1.4,1.4
1.4,14000.0,1.4,2010-09-28,1.4,1.4
1.48,1480.0,1.48,2010-10-12,1.48,1.48
1.5,3000.0,1.5,2010-10-14,1.5,1.5
1.7,1700.0,1.7,2010-10-19,1.7,1.7
1.56,20800.0,2.08,2010-10-20,2.08,1.56
2.08,8320.0,2.08,2010-10-21,2.08,2.08
1.6,9600.0,1.6,2010-11-09,1.6,1.6
1.6,3200.0,1.6,2010-11-10,1.6,1.6
1.56,4680.0,1.56,2010-11-24,1.56,1.56
1.6,48040.0,1.54,2010-12-01,1.6,1.54
1.5,12000.0,1.5,2010-12-07,1.5,1.5
1.44,17170.0,1.43,2010-12-23,1.44,1.43
1.44,1440.0,1.44,2010-12-29,1.44,1.44
1.44,1440.0,1.44,2010-12-29,1.44,1.44
1.5,48000.0,1.5,2011-01-05,1.5,1.5
1.7,11900.0,1.7,2011-01-07,1.7,1.7
1.64,4920.0,1.64,2011-01-31,1.64,1.64
1.64,4920.0,1.64,2011-01-31,1.64,1.64
1.64,4920.0,1.64,2011-03-02,1.64,1.64
1.65,16440.0,1.64,2011-03-04,1.65,1.64
1.65,16440.0,1.64,2011-03-04,1.65,1.64
1.64,1640.0,1.64,2011-03-11,1.64,1.64
1.64,1640.0,1.64,2011-03-11,1.64,1.64
1.65,8210.0,1.64,2011-03-17,1.65,1.64
1.65,11490.0,1.64,2011-03-24,1.65,1.64
1.67,30060.0,1.67,2011-04-14,1.67,1.67
1.7,51000.0,1.7,2011-04-29,1.7,1.7
1.64,3280.0,1.64,2011-05-17,1.64,1.64
1.9,3800.0,1.9,2011-05-31,1.9,1.9
1.62,16260.0,1.64,2011-06-03,1.64,1.6
1.66,3320.0,1.66,2011-06-07,1.66,1.66
1.66,1660.0,1.66,2011-06-08,1.66,1.66
1.67,8310.0,1.66,2011-06-09,1.67,1.66
1.66,1660.0,1.66,2011-06-10,1.66,1.66
1.31,1310.0,1.31,2011-06-16,1.31,1.31
1.33,6650.0,1.33,2011-06-17,1.33,1.33
1.5,7500.0,1.5,2011-06-22,1.5,1.5
1.5,14300.0,1.36,2011-06-24,1.5,1.36
1.6,1600.0,1.6,2011-07-05,1.6,1.6
1.4,10000.0,1.6,2011-07-06,1.6,1.4
1.5,51220.0,1.72,2011-07-18,1.72,1.5
1.72,27520.0,1.72,2011-07-21,1.72,1.72
1.72,24080.0,1.72,2011-07-22,1.72,1.72
1.25,1250.0,1.25,2011-08-18,1.25,1.25
1.28,2560.0,1.28,2011-08-23,1.28,1.28
1.8,1800.0,1.8,2011-08-25,1.8,1.8
1.79,8950.0,1.79,2011-09-06,1.79,1.79
1.78,3560.0,1.78,2011-09-08,1.78,1.78
1.79,7160.0,1.79,2011-09-09,1.79,1.79
1.79,8960.0,1.8,2011-09-14,1.8,1.79
1.24,7390.0,1.23,2011-09-28,1.24,1.23
1.23,2460.0,1.23,2011-10-03,1.23,1.23
1.24,6160.0,1.23,2011-10-06,1.24,1.23
1.24,1240.0,1.24,2011-10-18,1.24,1.24
1.23,51660.0,1.23,2011-10-21,1.23,1.23
1.8,85260.0,1.84,2011-11-14,1.84,1.8
2.0,386740.0,1.6,2011-11-15,2.76,1.6
1.62,19050.0,1.5,2011-11-16,1.62,1.45
1.6,10290.0,1.99,2011-11-17,1.99,1.6
1.98,1980.0,1.98,2011-11-18,1.98,1.98
1.22,87420.0,1.3,2011-11-21,1.3,1.22
1.35,115780.0,1.37,2011-11-22,1.4,1.35
1.37,15070.0,1.37,2011-11-23,1.37,1.37
1.27,14410.0,1.33,2011-11-24,1.33,1.27
1.28,29700.0,1.84,2011-11-25,1.87,1.27
1.83,61480.0,1.68,2011-12-01,1.83,1.5
1.68,27300.0,1.5,2011-12-02,1.68,1.5
