OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.5,5461100.0,5.5,2009-08-03,5.6,5.5
5.5,9567300.0,5.5,2009-08-04,5.7,5.5
5.5,2986700.0,5.5,2009-08-06,5.6,5.5
5.5,2239800.0,5.5,2009-08-07,5.6,5.5
5.6,5786400.0,5.6,2009-08-10,5.6,5.5
5.9,36398600.0,5.7,2009-08-11,6.1,5.7
5.8,89981500.0,6.0,2009-08-12,6.3,5.7
6.1,47203700.0,6.2,2009-08-13,6.2,6.0
6.2,111340400.0,6.6,2009-08-14,6.6,6.2
6.5,54730700.0,6.0,2009-08-17,6.5,5.9
5.8,29456100.0,5.8,2009-08-18,6.0,5.7
6.0,14651500.0,5.8,2009-08-19,6.0,5.8
6.0,11880000.0,5.7,2009-08-20,6.0,5.7
6.0,19379600.0,6.0,2009-08-24,6.1,5.9
6.1,17339000.0,6.1,2009-08-25,6.2,5.9
6.1,11965100.0,6.0,2009-08-26,6.1,6.0
5.8,30806400.0,5.7,2009-09-03,5.8,5.6
5.7,8259200.0,5.8,2009-09-04,5.8,5.7
4.85,7383450.0,4.75,2009-09-16,4.9,4.75
4.8,1926850.0,4.75,2009-09-17,4.8,4.75
4.75,1042700.0,4.75,2009-09-18,4.75,4.7
3.2,1048369150.0,3.25,2009-09-22,3.4,3.1
3.3,328973950.0,3.3,2009-09-23,3.4,3.3
3.35,24138450.0,3.3,2009-09-30,3.35,3.25
3.3,37775650.0,3.3,2009-10-01,3.35,3.25
3.2,91796500.0,3.25,2009-10-02,3.25,3.15
3.25,25816400.0,3.25,2009-10-05,3.3,3.2
3.25,56348550.0,3.3,2009-10-06,3.3,3.25
3.35,542227100.0,3.55,2009-10-07,3.65,3.3
3.65,516859600.0,3.75,2009-10-08,3.8,3.55
3.8,194601500.0,3.65,2009-10-09,3.8,3.65
3.75,135387250.0,3.6,2009-10-12,3.75,3.6
3.6,94220650.0,3.5,2009-10-13,3.65,3.45
3.5,97451650.0,3.65,2009-10-14,3.65,3.5
3.7,58506700.0,3.65,2009-10-15,3.7,3.6
3.65,45057900.0,3.65,2009-10-16,3.65,3.55
3.6,19085850.0,3.55,2009-10-19,3.65,3.55
3.6,133955400.0,3.5,2009-10-20,3.6,3.45
3.45,55737850.0,3.4,2009-10-21,3.45,3.35
3.4,15770800.0,3.4,2009-10-22,3.45,3.35
3.45,81435400.0,3.55,2009-10-23,3.55,3.45
3.5,23487200.0,3.55,2009-10-26,3.6,3.5
3.55,76593900.0,3.45,2009-10-27,3.55,3.45
3.35,40332650.0,3.4,2009-10-28,3.45,3.35
3.35,46018450.0,3.35,2009-10-29,3.35,3.3
3.4,21880900.0,3.4,2009-10-30,3.45,3.35
3.4,73295400.0,3.2,2009-11-03,3.4,3.2
3.2,227093750.0,3.05,2009-11-04,3.25,2.95
3.1,201499500.0,3.15,2009-11-05,3.15,3.05
3.15,339765150.0,3.0,2009-11-06,3.15,2.95
2.95,199395250.0,2.8,2009-11-09,2.95,2.7
2.75,183946600.0,2.6,2009-11-10,2.8,2.6
2.65,156423000.0,2.55,2009-11-11,2.65,2.5
2.55,24320950.0,2.55,2009-12-15,2.6,2.5
2.55,19485650.0,2.65,2009-12-16,2.65,2.55
2.7,16363100.0,2.65,2009-12-17,2.7,2.65
2.65,17534100.0,2.65,2009-12-18,2.65,2.6
2.65,3772850.0,2.6,2009-12-21,2.65,2.6
2.6,14688900.0,2.6,2009-12-22,2.6,2.55
2.6,6730500.0,2.55,2009-12-23,2.6,2.55
2.6,14750100.0,2.6,2009-12-29,2.65,2.6
2.6,28811450.0,2.6,2010-01-04,2.65,2.55
2.6,31947450.0,2.65,2010-01-05,2.7,2.6
2.65,25315650.0,2.65,2010-01-06,2.65,2.6
2.65,188101600.0,2.9,2010-01-07,2.9,2.65
2.85,154543500.0,2.95,2010-01-08,2.95,2.8
2.95,226375350.0,3.0,2010-01-11,3.05,2.85
3.05,113022300.0,3.0,2010-01-12,3.1,2.9
2.95,46995700.0,2.9,2010-01-13,2.95,2.85
2.9,36916150.0,2.95,2010-01-14,2.95,2.9
2.95,28881950.0,2.9,2010-01-15,2.95,2.85
2.9,10019850.0,2.85,2010-01-18,2.9,2.85
2.85,103485850.0,3.0,2010-01-19,3.0,2.85
3.0,66543300.0,2.9,2010-01-20,3.0,2.9
2.9,35176850.0,2.9,2010-01-21,2.95,2.85
2.85,49885400.0,2.85,2010-01-22,2.85,2.8
2.8,29163900.0,2.75,2010-01-25,2.8,2.7
2.7,16735450.0,2.7,2010-01-26,2.8,2.7
2.75,25181200.0,2.65,2010-01-27,2.75,2.6
2.6,28607300.0,2.7,2010-01-28,2.75,2.6
2.6,71796250.0,2.6,2010-01-29,2.65,2.55
2.6,71072950.0,2.5,2010-02-01,2.6,2.5
2.6,186630810.0,2.28,2010-02-02,2.6,2.26
2.28,95512700.0,2.34,2010-02-03,2.38,2.28
2.32,41695360.0,2.32,2010-02-04,2.38,2.3
2.26,56620660.0,2.22,2010-02-05,2.26,2.2
2.22,26909340.0,2.22,2010-02-08,2.32,2.22
2.22,76379800.0,2.3,2010-02-09,2.38,2.22
2.34,148639980.0,2.48,2010-02-10,2.48,2.34
2.5,187164400.0,2.6,2010-02-11,2.6,2.5
3.05,112234050.0,3.05,2010-03-08,3.05,3.0
2.85,65245200.0,2.85,2010-03-12,2.9,2.8
2.85,40257650.0,2.9,2010-03-15,2.95,2.85
2.95,16600800.0,2.9,2010-03-16,2.95,2.9
