OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.3,781075810.0,4.0,2015-11-24,4.49,4.0
4.03,180991610.0,4.01,2015-11-25,4.07,3.97
4.02,117336380.0,3.98,2015-11-26,4.03,3.97
3.99,195488290.0,3.82,2015-11-27,4.0,3.81
3.82,50519750.0,3.84,2015-12-01,3.89,3.81
3.87,24917220.0,3.95,2015-12-02,3.96,3.87
3.95,23651590.0,3.88,2015-12-03,3.95,3.88
3.88,16118750.0,3.86,2015-12-04,3.88,3.84
3.88,19426390.0,3.88,2015-12-07,3.95,3.87
3.88,22520000.0,3.85,2015-12-08,3.89,3.83
3.84,25423560.0,3.83,2015-12-09,3.86,3.8
3.83,58183830.0,3.84,2015-12-10,3.87,3.8
3.83,39612030.0,3.84,2015-12-11,3.85,3.8
3.81,62397570.0,3.74,2015-12-14,3.81,3.69
3.74,11457510.0,3.74,2015-12-15,3.75,3.69
3.74,22825040.0,3.74,2015-12-16,3.77,3.73
3.75,18179870.0,3.78,2015-12-17,3.79,3.75
3.78,12059780.0,3.73,2015-12-18,3.78,3.73
3.74,14046670.0,3.7,2015-12-21,3.75,3.63
3.69,23116760.0,3.69,2015-12-22,3.7,3.66
3.7,17146780.0,3.83,2015-12-23,3.85,3.69
3.83,17132230.0,3.9,2015-12-28,3.9,3.83
3.9,87004900.0,3.98,2015-12-29,3.98,3.87
3.96,11341780.0,3.89,2016-01-04,3.96,3.85
3.88,5104570.0,3.85,2016-01-05,3.88,3.8
3.85,8825020.0,3.9,2016-01-06,3.94,3.85
3.9,10095350.0,3.78,2016-01-07,3.9,3.76
3.76,9534870.0,3.78,2016-01-08,3.79,3.6
3.79,13566090.0,3.6,2016-01-11,3.79,3.5
3.54,9121410.0,3.6,2016-01-12,3.62,3.54
3.62,7343350.0,3.57,2016-01-13,3.67,3.56
3.58,3090750.0,3.52,2016-01-14,3.58,3.5
3.53,2795050.0,3.52,2016-01-15,3.56,3.51
3.5,6850330.0,3.5,2016-01-18,3.5,3.12
3.49,2869460.0,3.47,2016-01-19,3.5,3.42
3.45,5558060.0,3.24,2016-01-20,3.48,3.22
3.23,13677640.0,3.0,2016-01-21,3.23,2.93
3.05,16980120.0,2.95,2016-01-22,3.05,2.9
2.95,7849550.0,3.02,2016-01-25,3.19,2.95
3.0,8532870.0,3.0,2016-01-26,3.11,2.92
3.0,11822150.0,3.03,2016-01-27,3.09,3.0
3.08,16006050.0,3.05,2016-01-28,3.16,3.02
3.1,11057070.0,3.15,2016-01-29,3.35,3.1
3.23,14388620.0,3.28,2016-02-01,3.4,3.23
3.35,11697070.0,3.35,2016-02-02,3.44,3.24
3.28,6399780.0,3.33,2016-02-03,3.35,3.16
3.39,5341980.0,3.4,2016-02-04,3.5,3.38
3.42,10836000.0,3.47,2016-02-05,3.52,3.4
3.38,2692870.0,3.38,2016-02-09,3.4,3.29
3.38,1743040.0,3.4,2016-02-10,3.4,3.27
3.41,2567990.0,3.38,2016-02-11,3.41,3.28
3.25,9187660.0,3.3,2016-02-12,3.38,3.19
3.3,3447870.0,3.37,2016-02-15,3.41,3.3
3.35,3869320.0,3.4,2016-02-16,3.45,3.35
3.45,3133260.0,3.45,2016-02-17,3.5,3.41
3.45,7340140.0,3.54,2016-02-18,3.57,3.44
3.51,2017830.0,3.52,2016-02-19,3.54,3.48
3.52,7487260.0,3.52,2016-02-22,3.53,3.5
3.52,5583230.0,3.59,2016-02-23,3.63,3.51
3.59,3926950.0,3.5,2016-02-24,3.59,3.45
3.5,907440.0,3.49,2016-02-26,3.51,3.48
3.5,3419360.0,3.43,2016-02-29,3.5,3.32
3.42,2165600.0,3.36,2016-03-01,3.42,3.3
3.36,4030380.0,3.54,2016-03-02,3.55,3.36
3.55,7338900.0,3.6,2016-03-03,3.73,3.55
3.65,19911320.0,3.84,2016-03-04,3.87,3.6
3.84,19476400.0,3.74,2016-03-07,3.9,3.7
3.75,5812690.0,3.65,2016-03-08,3.8,3.6
3.63,7558190.0,3.76,2016-03-09,3.84,3.6
3.82,6888150.0,3.76,2016-03-10,3.84,3.66
