OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.5,20000.0,0.5,2009-08-12,0.5,0.5
0.51,407600.0,0.51,2009-08-14,0.68,0.5
0.69,69000.0,0.69,2009-09-03,0.69,0.69
0.6,60000.0,0.6,2009-09-23,0.6,0.6
0.6,66000.0,0.6,2009-10-06,0.6,0.6
0.6,60000.0,0.6,2009-10-13,0.6,0.6
0.55,55000.0,0.55,2009-10-19,0.55,0.55
0.6,12000.0,0.6,2009-10-20,0.6,0.6
0.68,1477400.0,0.9,2009-10-26,0.9,0.68
1.0,10310600.0,1.04,2009-10-27,1.34,1.0
1.08,1280460.0,0.92,2009-10-28,1.1,0.9
0.91,499800.0,0.95,2009-10-29,0.95,0.91
0.95,113800.0,0.94,2009-10-30,0.95,0.94
0.92,82000.0,0.91,2009-11-03,0.92,0.91
0.91,54600.0,0.91,2009-11-04,0.91,0.91
0.91,100100.0,0.91,2009-11-05,0.91,0.91
0.9,117000.0,0.9,2009-11-06,0.9,0.9
0.9,666000.0,0.9,2009-11-09,0.9,0.9
0.9,180000.0,0.9,2009-11-10,0.9,0.9
0.96,28800.0,0.96,2009-12-15,0.96,0.96
0.96,78200.0,0.98,2009-12-16,0.98,0.96
0.95,57000.0,0.95,2009-12-22,0.95,0.95
0.98,19600.0,0.98,2009-12-23,0.98,0.98
1.02,10200.0,1.02,2010-01-05,1.02,1.02
1.0,207800.0,1.0,2010-01-06,1.04,1.0
1.0,40600.0,1.06,2010-01-07,1.06,1.0
1.04,121520.0,1.04,2010-01-08,1.04,1.02
1.04,224480.0,1.06,2010-01-11,1.06,1.04
1.2,5600.0,1.1,2010-01-19,1.2,1.1
0.9,387500.0,0.9,2010-01-22,0.91,0.9
0.9,18000.0,0.9,2010-01-25,0.9,0.9
0.9,18000.0,0.9,2010-01-26,0.9,0.9
0.9,18000.0,0.9,2010-01-27,0.9,0.9
0.85,212500.0,0.85,2010-01-29,0.85,0.85
0.85,255000.0,0.85,2010-02-04,0.85,0.85
1.0,70000.0,1.0,2010-03-08,1.0,1.0
1.0,60000.0,1.0,2010-03-12,1.0,1.0
1.0,70000.0,1.0,2010-03-16,1.0,1.0
0.98,19600.0,0.98,2010-04-20,0.98,0.98
0.98,19600.0,0.98,2010-04-29,0.98,0.98
0.98,9800.0,0.98,2010-06-07,0.98,0.98
1.0,10000.0,1.0,2010-07-14,1.0,1.0
1.0,30000.0,1.0,2010-07-15,1.0,1.0
1.0,50000.0,1.0,2010-07-23,1.0,1.0
0.86,14720.0,0.87,2010-09-29,0.87,0.86
0.98,3920.0,0.98,2010-10-01,0.98,0.98
1.02,224400.0,1.02,2010-10-04,1.02,1.02
0.9,102040.0,1.02,2010-10-05,1.02,0.9
0.9,1800.0,0.9,2010-10-18,0.9,0.9
1.04,8320.0,1.04,2010-10-21,1.04,1.04
1.04,49920.0,1.04,2010-10-22,1.04,1.04
0.91,4550.0,0.91,2010-10-28,0.91,0.91
0.92,4600.0,0.92,2010-10-29,0.92,0.92
0.91,104550.0,1.0,2010-11-02,1.0,0.91
1.0,140000.0,1.0,2010-11-03,1.0,1.0
0.91,1820.0,0.91,2010-11-04,0.91,0.91
1.0,5000.0,1.0,2010-11-08,1.0,1.0
1.0,27000.0,1.0,2010-11-10,1.0,1.0
0.91,2730.0,0.91,2010-11-15,0.91,0.91
1.0,62000.0,1.0,2010-11-17,1.0,1.0
1.0,1000.0,1.0,2010-11-22,1.0,1.0
1.0,8000.0,1.0,2010-11-23,1.0,1.0
1.0,10000.0,1.0,2010-11-24,1.0,1.0
1.0,10000.0,1.0,2010-11-25,1.0,1.0
1.2,3600.0,1.2,2010-12-01,1.2,1.2
1.0,6000.0,1.0,2010-12-03,1.0,1.0
1.02,24480.0,1.02,2010-12-23,1.02,1.02
1.05,26640.0,1.02,2011-01-04,1.05,1.02
1.04,103060.0,1.02,2011-01-05,1.04,1.02
1.04,146920.0,1.02,2011-01-07,1.04,1.02
1.03,1030.0,1.03,2011-01-11,1.03,1.03
1.03,1030.0,1.03,2011-01-11,1.03,1.03
1.04,29120.0,1.04,2011-01-19,1.04,1.04
1.04,29120.0,1.04,2011-01-19,1.04,1.04
1.04,3120.0,1.04,2011-01-24,1.04,1.04
1.04,62400.0,1.04,2011-01-25,1.04,1.04
1.04,10400.0,1.04,2011-01-27,1.04,1.04
1.04,119600.0,1.04,2011-01-28,1.04,1.04
1.04,119600.0,1.04,2011-01-28,1.04,1.04
1.04,42530.0,1.03,2011-01-31,1.04,1.03
1.04,42530.0,1.03,2011-01-31,1.04,1.03
1.3,2380.0,1.08,2011-02-14,1.3,1.08
1.3,1300.0,1.3,2011-02-16,1.3,1.3
1.3,1300.0,1.3,2011-02-16,1.3,1.3
1.1,22000.0,1.1,2011-02-17,1.1,1.1
1.08,10800.0,1.08,2011-02-22,1.08,1.08
1.08,10800.0,1.08,2011-02-22,1.08,1.08
1.08,6480.0,1.08,2011-02-23,1.08,1.08
1.08,6480.0,1.08,2011-02-23,1.08,1.08
0.71,1420.0,0.71,2011-03-04,0.71,0.71
0.71,1420.0,0.71,2011-03-04,0.71,0.71
1.0,1000.0,1.0,2011-03-07,1.0,1.0
1.06,241300.0,1.1,2011-03-11,1.1,1.04
1.06,241300.0,1.1,2011-03-11,1.1,1.04
1.1,110000.0,1.1,2011-03-16,1.1,1.1
1.1,374200.0,1.14,2011-03-18,1.14,1.1
1.14,208480.0,1.15,2011-03-21,1.15,1.14
1.16,338300.0,1.17,2011-03-23,1.17,1.16
1.17,421170.0,1.2,2011-03-24,1.2,1.17
1.2,72000.0,1.2,2011-03-25,1.2,1.2
