OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
16.0,47241400.0,15.75,2009-08-03,16.0,15.5
15.0,41372075.0,15.5,2009-08-04,15.75,15.0
15.5,31676725.0,15.5,2009-08-06,15.5,15.25
15.25,54377950.0,15.25,2009-08-07,15.5,15.0
15.25,45451175.0,15.25,2009-08-10,15.5,15.25
15.5,32277050.0,15.25,2009-08-11,15.5,15.25
15.25,9560000.0,15.25,2009-08-12,15.5,15.0
15.25,32643075.0,15.25,2009-08-13,15.5,15.25
15.5,9136825.0,15.5,2009-08-14,15.5,15.25
15.25,41616875.0,14.75,2009-08-17,15.25,14.75
14.5,67132175.0,14.5,2009-08-18,14.75,14.25
14.5,42152400.0,14.5,2009-08-19,14.75,14.5
14.75,59301125.0,14.5,2009-08-20,15.0,14.5
14.75,54584825.0,14.75,2009-08-24,15.0,14.75
15.0,26125475.0,15.0,2009-08-25,15.25,14.75
15.0,51691450.0,15.25,2009-08-26,15.25,15.0
15.25,35842200.0,15.5,2009-09-03,15.5,15.25
15.5,256831525.0,16.5,2009-09-04,16.5,15.5
15.75,15947900.0,15.5,2009-09-16,15.75,15.25
15.75,20124500.0,15.5,2009-09-17,15.75,15.5
15.5,28616400.0,15.75,2009-09-18,15.75,15.5
15.75,39384000.0,15.75,2009-09-22,15.75,15.5
15.75,57920025.0,15.75,2009-09-23,15.75,15.5
15.0,87327650.0,15.5,2009-09-30,15.5,15.0
15.5,456382000.0,15.5,2009-10-01,15.75,15.25
15.25,57684700.0,15.75,2009-10-02,15.75,15.25
15.75,91697075.0,15.5,2009-10-05,15.75,15.5
15.75,94205025.0,15.75,2009-10-06,15.75,15.5
16.0,37331050.0,16.25,2009-10-07,16.25,15.75
16.0,6145150.0,16.25,2009-10-08,16.25,16.0
16.25,142616575.0,16.25,2009-10-09,16.25,16.0
16.5,37834025.0,16.25,2009-10-12,16.5,16.25
16.25,62365150.0,16.25,2009-10-13,16.5,16.25
16.5,145052050.0,16.5,2009-10-14,16.5,16.25
16.5,44985775.0,16.25,2009-10-15,16.75,16.25
16.25,22010650.0,16.25,2009-10-16,16.5,16.25
16.25,4668625.0,16.25,2009-10-19,16.25,16.25
16.25,10634200.0,16.0,2009-10-20,16.25,15.75
16.0,43911275.0,16.0,2009-10-21,16.0,15.75
16.25,18916925.0,16.0,2009-10-22,16.25,15.75
16.0,33044800.0,16.0,2009-10-23,16.0,16.0
15.75,3365550.0,16.25,2009-10-26,16.25,15.75
16.0,24292425.0,16.25,2009-10-27,16.25,15.75
16.25,26155800.0,16.0,2009-10-28,16.25,16.0
15.75,41496075.0,16.0,2009-10-29,16.0,15.75
16.0,32677925.0,16.25,2009-10-30,16.25,15.75
16.25,23974250.0,16.0,2009-11-03,16.25,16.0
16.0,46501475.0,16.25,2009-11-04,16.25,16.0
