OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.86,144370463.0,7.84,2011-02-18,7.95,7.84
7.84,95437825.0,8.15,2011-02-21,8.17,7.84
7.84,95437825.0,8.15,2011-02-21,8.17,7.84
8.2,60990299.0,8.28,2011-02-22,8.28,8.15
8.2,60990299.0,8.28,2011-02-22,8.28,8.15
8.22,36639615.0,8.42,2011-02-23,8.45,8.21
8.22,36639615.0,8.42,2011-02-23,8.45,8.21
8.4,24060844.0,8.29,2011-02-24,8.4,8.23
8.4,24060844.0,8.29,2011-02-24,8.4,8.23
8.25,36375455.0,8.55,2011-02-25,8.6,8.1
8.5,2250229.0,8.36,2011-02-28,8.6,8.35
8.6,3422735.0,8.48,2011-03-02,8.69,8.48
8.58,4820101.0,8.53,2011-03-03,8.58,8.35
8.5,15258839.0,8.37,2011-03-04,8.59,8.35
8.5,15258839.0,8.37,2011-03-04,8.59,8.35
8.4,12296043.0,8.2,2011-03-07,8.4,8.2
8.24,14987089.0,8.2,2011-03-08,8.24,8.2
8.24,14987089.0,8.2,2011-03-08,8.24,8.2
8.2,8496541.0,8.29,2011-03-11,8.29,8.2
8.2,8496541.0,8.29,2011-03-11,8.29,8.2
8.2,2546431.0,8.2,2011-03-16,8.22,8.2
8.2,8986660.0,8.2,2011-03-17,8.21,8.2
8.2,1738089.0,8.21,2011-03-18,8.23,8.2
8.29,2010500.0,8.22,2011-03-21,8.29,8.21
8.22,2107869.0,8.21,2011-03-22,8.24,8.21
8.21,3036178.0,8.24,2011-03-23,8.24,8.2
8.25,6468293.0,8.41,2011-03-24,8.41,8.25
8.41,10966788.0,8.48,2011-03-25,8.64,8.41
8.5,2040821.0,8.52,2011-03-28,8.52,8.49
8.54,21431479.0,8.62,2011-03-29,8.75,8.54
8.62,5567638.0,8.56,2011-03-30,8.62,8.55
8.63,9421264.0,8.62,2011-03-31,8.65,8.55
8.63,1801746.0,8.64,2011-04-01,8.7,8.6
8.66,13318974.0,8.8,2011-04-04,8.81,8.66
8.8,6709520.0,8.7,2011-04-05,8.8,8.7
8.7,21212013.0,8.71,2011-04-06,8.74,8.7
8.74,1929580.0,8.65,2011-04-07,8.74,8.65
8.65,9188865.0,8.6,2011-04-08,8.65,8.6
8.55,13678294.0,8.55,2011-04-11,8.6,8.55
8.58,6101261.0,8.47,2011-04-12,8.58,8.47
8.47,3446887.0,8.47,2011-04-13,8.59,8.44
8.5,7917680.0,8.6,2011-04-14,8.66,8.5
8.68,4019378.0,8.6,2011-04-15,8.68,8.54
8.8,17085122.0,8.98,2011-04-26,9.1,8.8
9.15,2413147.0,9.0,2011-04-27,9.15,8.96
9.0,1397094.0,8.9,2011-04-28,9.0,8.88
8.95,8588916.0,8.99,2011-04-29,9.08,8.95
9.0,2283909.0,8.85,2011-05-02,9.0,8.8
8.85,1988165.0,8.85,2011-05-03,8.85,8.8
8.85,796530.0,8.8,2011-05-04,8.97,8.8
8.84,2622861.0,8.73,2011-05-05,8.84,8.71
8.7,7617026.0,8.73,2011-05-06,8.73,8.68
8.8,719176.0,8.8,2011-05-09,8.82,8.8
8.8,13030920.0,8.8,2011-05-10,8.8,8.7
8.88,735818.0,8.8,2011-05-11,8.88,8.72
8.72,1182451.0,8.7,2011-05-12,8.75,8.7
8.72,60282.0,8.72,2011-05-13,8.75,8.72
8.72,1201614.0,8.83,2011-05-16,8.83,8.72
8.89,2246764.0,8.76,2011-05-17,8.89,8.65
8.75,1235086.0,8.79,2011-05-18,8.81,8.75
8.79,2521180.0,8.75,2011-05-19,8.79,8.75
8.77,1986820.0,8.75,2011-05-20,8.77,8.7
8.71,692505.0,8.71,2011-05-23,8.75,8.71
8.74,3464845.0,8.67,2011-05-24,8.75,8.65
8.7,782923.0,8.75,2011-05-25,8.75,8.65
8.75,928259.0,8.77,2011-05-26,8.8,8.75
8.8,799542.0,8.79,2011-05-27,8.8,8.78
8.79,2941397.0,8.75,2011-05-30,8.8,8.7
8.79,18809788.0,8.75,2011-05-31,8.9,8.75
8.7,1184001.0,8.75,2011-06-01,8.75,8.7
8.85,8287536.0,8.85,2011-06-03,8.9,8.8
8.95,8228722.0,9.15,2011-06-06,9.18,8.95
9.12,2344754.0,9.07,2011-06-07,9.12,9.04
9.06,2698631.0,9.03,2011-06-08,9.06,9.0
9.0,6132819.0,9.0,2011-06-09,9.02,8.95
9.0,385315.0,9.03,2011-06-10,9.03,9.0
9.03,505676.0,9.03,2011-06-13,9.03,8.95
9.0,92223965.0,9.0,2011-06-14,9.02,8.98
9.01,19171095.0,9.03,2011-06-15,9.05,8.98
9.01,1054424.0,9.05,2011-06-16,9.08,9.01
9.08,4560819.0,9.41,2011-06-17,9.42,9.08
9.42,1813913.0,9.34,2011-06-21,9.42,9.33
9.37,913309.0,9.34,2011-06-22,9.4,9.34
9.34,1853957.0,9.3,2011-06-23,9.36,9.28
9.32,1199648.0,9.33,2011-06-24,9.34,9.3
9.33,619174.0,9.36,2011-06-27,9.36,9.32
9.36,6063067.0,9.56,2011-06-28,9.57,9.36
9.6,9879515.0,9.66,2011-06-29,9.8,9.6
9.65,15479899.0,9.76,2011-06-30,9.82,9.65
9.82,26018028.0,9.89,2011-07-01,9.99,9.82
9.9,4684583.0,9.9,2011-07-04,9.91,9.79
9.9,47521846.0,10.2,2011-07-05,10.3,9.89
10.32,8807314.0,10.5,2011-07-06,10.5,10.26
10.7,9383442.0,11.04,2011-07-07,11.08,10.7
11.2,6792060.0,11.06,2011-07-08,11.2,11.04
11.04,3192398.0,10.84,2011-07-11,11.04,10.84
10.8,4883730.0,10.56,2011-07-12,10.8,10.5
11.0,2154322.0,10.7,2011-07-13,11.0,10.5
10.8,3313020.0,10.48,2011-07-14,10.8,10.44
10.12,3079576.0,10.4,2011-07-15,10.5,10.12
10.32,1079800.0,10.46,2011-07-18,10.46,10.32
10.7,788920.0,10.6,2011-07-19,10.7,10.5
10.6,1731754.0,10.48,2011-07-20,10.7,10.48
10.48,18669086.0,10.36,2011-07-21,10.48,10.36
10.36,904232.0,10.4,2011-07-22,10.48,10.36
10.4,1095062.0,10.34,2011-07-25,10.4,10.3
10.34,964722.0,10.34,2011-07-26,10.34,10.34
10.34,1540476.0,10.62,2011-07-27,10.62,10.34
10.7,790114.0,10.62,2011-07-28,10.78,10.6
10.64,2720022.0,10.68,2011-07-29,10.68,10.62
10.68,522210.0,10.76,2011-08-01,10.96,10.68
10.96,1026100.0,10.7,2011-08-02,10.96,10.7
10.68,4029918.0,10.88,2011-08-03,10.88,10.5
10.56,46493068.0,10.62,2011-08-04,10.62,10.56
10.3,5858582.0,10.46,2011-08-05,10.46,10.22
10.22,1400324.0,10.32,2011-08-08,10.32,10.22
10.0,19695220.0,9.9,2011-08-09,10.0,9.84
10.04,289646.0,10.38,2011-08-10,10.5,10.04
10.38,1486090.0,10.3,2011-08-11,10.38,10.0
10.4,543394.0,10.4,2011-08-12,10.4,10.3
10.4,3973776.0,10.36,2011-08-15,10.42,10.36
10.2,51000.0,10.2,2011-08-16,10.2,10.2
10.08,549608.0,10.2,2011-08-17,10.2,10.08
10.2,180768.0,10.2,2011-08-18,10.26,10.2
10.18,894582.0,10.16,2011-08-19,10.18,10.0
10.0,1918622.0,10.0,2011-08-22,10.1,10.0
10.1,692362.0,10.1,2011-08-23,10.16,10.1
10.16,262766.0,10.2,2011-08-24,10.2,10.16
10.2,428964.0,10.14,2011-08-25,10.2,10.14
10.14,1404386.0,10.12,2011-08-26,10.16,10.12
10.2,905622.0,10.3,2011-08-31,10.34,10.16
10.4,714470.0,10.48,2011-09-01,10.58,10.4
10.48,574668.0,10.4,2011-09-02,10.48,10.4
10.42,527770.0,10.3,2011-09-05,10.42,10.3
10.4,3258350.0,10.36,2011-09-06,10.44,10.36
10.42,1876840.0,10.52,2011-09-07,10.58,10.4
10.6,1043624.0,10.7,2011-09-08,10.88,10.6
10.7,1948836.0,10.7,2011-09-09,10.7,10.6
10.7,1668390.0,10.8,2011-09-12,10.88,10.66
