OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
105.0,5796122.0,102.0,2014-12-03,105.0,101.0
101.5,8334860.0,102.0,2014-12-04,102.5,101.5
101.5,1086415.0,101.5,2014-12-05,101.5,101.0
101.0,14171285.0,102.0,2014-12-09,102.5,101.0
101.2,1697124.0,101.2,2014-12-11,101.2,101.2
101.2,16775720.0,102.5,2014-12-12,102.5,101.2
101.8,8238100.0,101.5,2014-12-15,102.0,101.5
102.0,51000.0,102.0,2014-12-16,102.0,102.0
102.0,305500.0,101.5,2014-12-17,102.0,101.5
101.1,6072930.0,101.0,2014-12-18,101.2,101.0
101.5,102000.0,102.5,2014-12-22,102.5,101.5
102.5,128250.0,103.0,2014-12-29,103.0,102.5
102.0,51000.0,102.0,2015-01-05,102.0,102.0
102.8,3163250.0,103.0,2015-01-07,103.0,102.8
103.0,1987044.0,103.6,2015-01-13,103.6,103.0
102.5,17435250.0,102.5,2015-01-19,102.5,102.5
103.0,1390500.0,103.0,2015-01-20,103.0,103.0
102.0,3131500.0,103.0,2015-01-21,103.0,102.0
103.5,10350.0,103.5,2015-01-23,103.5,103.5
103.0,1030000.0,103.0,2015-01-26,103.0,103.0
103.0,484100.0,103.0,2015-01-27,103.0,103.0
103.0,3306300.0,103.0,2015-01-28,103.0,103.0
103.0,1158750.0,103.0,2015-01-29,103.0,103.0
103.8,62145.0,103.5,2015-01-30,103.8,103.5
103.0,103000.0,103.0,2015-02-02,103.0,103.0
103.0,103050.0,103.1,2015-02-04,103.1,103.0
103.1,3502100.0,103.0,2015-02-05,103.1,103.0
103.5,517500.0,103.5,2015-02-06,103.5,103.5
103.5,8528250.0,103.0,2015-02-09,103.5,103.0
103.1,1031000.0,103.1,2015-02-10,103.1,103.1
103.5,6958764.0,105.0,2015-02-11,105.0,103.5
105.0,4111800.0,105.0,2015-02-12,105.0,105.0
105.3,748450.0,105.5,2015-02-16,105.5,105.3
105.5,1299025.0,103.0,2015-02-17,105.5,103.0
103.0,4971590.0,109.0,2015-02-18,109.0,103.0
109.0,85957.0,108.7,2015-02-20,109.0,108.7
106.0,1113000.0,106.0,2015-02-25,106.0,106.0
106.0,28620.0,106.0,2015-02-26,106.0,106.0
106.0,704092.0,106.0,2015-02-27,107.8,106.0
106.0,8521340.0,106.0,2015-03-02,106.0,106.0
106.0,1537000.0,106.0,2015-03-03,106.0,106.0
107.0,3331800.0,107.5,2015-03-04,107.5,107.0
108.5,3146500.0,108.5,2015-03-05,108.5,108.5
107.5,4150000.0,108.0,2015-03-06,108.0,107.5
108.0,866170.0,108.0,2015-03-09,108.5,108.0
108.0,9726930.0,107.5,2015-03-10,108.0,107.0
107.5,107500.0,107.5,2015-03-11,107.5,107.5
108.4,4858997.0,108.5,2015-03-12,108.5,107.8
108.4,2991245.0,108.5,2015-03-13,108.5,108.4
108.5,2869675.0,108.5,2015-03-16,108.5,108.2
108.5,3620945.0,108.2,2015-03-17,109.0,108.2
108.2,2818610.0,108.2,2015-03-18,108.2,108.2
108.3,3681800.0,108.2,2015-03-19,108.3,108.2
109.0,3134950.0,108.9,2015-03-20,109.0,108.3
109.0,2436500.0,110.0,2015-03-23,110.0,109.0
109.0,4356740.0,108.8,2015-03-24,109.0,108.8
109.0,7695000.0,110.0,2015-03-25,110.0,109.0
111.0,2220000.0,111.0,2015-03-26,111.0,111.0
111.0,7770.0,111.0,2015-03-27,111.0,111.0
111.0,241956.0,110.0,2015-03-30,111.0,110.0
109.8,1648480.0,109.0,2015-03-31,109.8,109.0
108.9,54450.0,108.9,2015-04-01,108.9,108.9
108.8,326400.0,108.8,2015-04-06,108.8,108.8
109.0,286670.0,109.0,2015-04-07,109.0,109.0
109.0,2834000.0,109.0,2015-04-08,109.0,109.0
109.0,1023600.0,108.8,2015-04-10,109.0,108.8
109.0,15873670.0,109.0,2015-04-13,109.0,109.0
109.0,14317150.0,109.0,2015-04-14,109.0,109.0
110.0,1109750.0,111.0,2015-04-16,111.0,110.0
111.0,29970.0,111.0,2015-04-17,111.0,111.0
111.0,31080.0,111.0,2015-04-20,111.0,111.0
111.0,47438.0,110.0,2015-04-21,111.0,110.0
111.0,1425222.0,111.0,2015-04-22,111.0,110.9
111.0,743700.0,111.0,2015-04-23,111.0,111.0
111.0,5708230.0,110.0,2015-04-24,111.0,110.0
111.0,8245080.0,111.0,2015-04-27,111.0,111.0
111.0,748310.0,113.0,2015-04-28,113.0,111.0
113.0,792000.0,113.5,2015-04-29,113.5,113.0
113.5,13470.0,113.5,2015-04-30,113.5,112.0
115.9,19703.0,115.9,2015-05-04,115.9,115.9
108.1,18377.0,108.1,2015-05-05,108.1,108.1
109.0,5004455.0,115.0,2015-05-11,115.5,109.0
111.1,3333.0,111.1,2015-05-19,111.1,111.1
113.5,5675.0,113.5,2015-05-25,113.5,113.5
113.0,695014.0,114.9,2015-05-26,114.9,113.0
114.7,5735.0,114.7,2015-05-27,114.7,114.7
114.7,11172940.0,111.5,2015-05-29,114.7,111.5
111.5,1115.0,111.5,2015-06-02,111.5,111.5
114.7,6127299.0,111.0,2015-06-03,114.7,111.0
111.1,12221.0,111.1,2015-06-04,111.1,111.1
111.5,55750.0,111.5,2015-06-05,111.5,111.5
111.1,11110.0,111.1,2015-06-08,111.1,111.1
113.8,17070.0,113.8,2015-06-09,113.8,113.8
114.6,3284966.0,111.0,2015-06-10,114.6,111.0
111.0,4485510.0,111.0,2015-06-11,111.0,111.0
110.0,11000.0,110.0,2015-06-15,110.0,110.0
110.0,506050.0,110.0,2015-06-16,110.5,110.0
111.0,2451800.0,111.0,2015-06-17,111.0,110.0
111.0,560550.0,111.0,2015-06-18,111.0,111.0
110.0,8800.0,110.0,2015-06-19,110.0,110.0
111.0,5550000.0,111.0,2015-06-22,111.0,111.0
111.0,5247330.0,110.5,2015-06-23,111.0,110.0
110.5,1934855.0,110.5,2015-06-24,110.5,110.5
112.0,8960.0,112.0,2015-06-29,112.0,112.0
111.5,1577725.0,111.5,2015-06-30,111.5,111.5
111.5,1639600.0,112.0,2015-07-01,112.0,111.0
112.0,68520.0,114.0,2015-07-03,114.0,112.0
114.0,490200.0,114.0,2015-07-06,114.0,112.0
114.0,5700.0,114.0,2015-07-07,114.0,114.0
111.0,121650.0,110.5,2015-07-08,111.0,110.5
113.5,9080.0,113.5,2015-07-09,113.5,113.5
113.0,1101750.0,113.0,2015-07-10,113.0,113.0
113.0,939640.0,113.5,2015-07-13,113.5,113.0
113.0,939640.0,113.5,2015-07-13,113.5,113.0
112.0,976860.0,112.0,2015-07-15,112.0,111.1
111.5,446000.0,111.5,2015-07-20,111.5,111.5
111.6,3595570.0,111.0,2015-07-23,111.6,111.0
111.6,3595570.0,111.0,2015-07-23,111.6,111.0
111.6,3595570.0,111.0,2015-07-23,111.6,111.0
112.0,33600.0,112.0,2015-07-24,112.0,112.0
111.3,55650.0,111.3,2015-07-28,111.3,111.3
111.5,123765.0,111.5,2015-07-31,111.5,111.5
110.5,1237000.0,110.0,2015-08-04,110.5,110.0
111.5,1938985.0,111.5,2015-08-05,111.5,111.5
111.3,1064028.0,111.3,2015-08-06,111.3,111.3
111.0,638250.0,111.0,2015-08-07,111.0,111.0
110.5,331000.0,110.0,2015-08-10,110.5,110.0
110.0,11000.0,110.0,2015-08-11,110.0,110.0
111.0,75480.0,111.0,2015-08-12,111.0,111.0
111.0,4391000.0,109.0,2015-08-13,111.0,109.0
108.0,1080.0,108.0,2015-08-17,108.0,108.0
109.0,6780640.0,108.0,2015-08-19,109.0,108.0
108.0,9936000.0,108.0,2015-08-20,108.0,108.0
107.9,151060.0,107.9,2015-08-24,107.9,107.9
107.9,4308065.0,107.5,2015-08-25,107.9,107.5
108.0,5964420.0,108.0,2015-08-26,108.0,106.0
108.0,2208600.0,108.0,2015-08-27,108.0,108.0
108.5,21700.0,108.5,2015-09-02,108.5,108.5
108.5,21700.0,108.5,2015-09-03,108.5,108.5
108.5,10850.0,108.5,2015-09-04,108.5,108.5
108.5,1350100.0,108.0,2015-09-10,108.5,108.0
108.0,5119200.0,108.0,2015-09-11,108.0,108.0
108.0,172820.0,108.0,2015-09-14,110.0,108.0
110.0,328900.0,110.0,2015-09-17,110.0,110.0
110.0,1756910.0,109.0,2015-09-28,110.0,109.0
