OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
10.25,22844750.0,11.0,2009-08-03,11.25,10.25
11.25,21097250.0,10.75,2009-08-04,11.75,10.75
11.0,5221900.0,10.75,2009-08-06,11.0,10.5
10.75,5352600.0,10.5,2009-08-07,10.75,10.25
10.75,8228675.0,10.5,2009-08-10,10.75,10.25
10.5,65838625.0,12.25,2009-08-11,12.5,10.25
12.25,50410975.0,13.0,2009-08-12,13.5,12.25
13.25,32983125.0,13.25,2009-08-13,13.75,13.0
13.25,12325150.0,12.75,2009-08-14,13.25,12.75
12.5,14945325.0,12.75,2009-08-17,12.75,12.0
12.25,26834050.0,13.25,2009-08-18,13.25,12.0
13.5,58293750.0,13.75,2009-08-19,14.0,13.25
13.75,15667525.0,13.5,2009-08-20,13.75,13.25
13.75,133914400.0,14.0,2009-08-24,14.25,13.75
14.0,12243900.0,13.75,2009-08-25,14.25,13.5
13.75,11593050.0,14.0,2009-08-26,14.0,13.75
14.25,26058125.0,14.75,2009-09-03,15.0,14.25
14.75,22959250.0,15.0,2009-09-04,15.25,14.75
14.5,5669300.0,14.25,2009-09-16,14.5,14.0
14.25,16123125.0,14.75,2009-09-17,15.25,14.25
14.5,4731125.0,14.75,2009-09-18,14.75,14.25
14.75,7296625.0,14.75,2009-09-22,15.0,14.5
14.75,12897200.0,14.5,2009-09-23,15.0,14.25
14.0,25749075.0,13.5,2009-09-30,14.25,13.0
13.5,36271375.0,12.5,2009-10-01,13.5,12.25
12.0,43200075.0,12.0,2009-10-02,12.25,11.5
11.75,46256550.0,11.0,2009-10-05,12.25,11.0
3.35,32934500.0,3.95,2009-10-06,3.95,3.15
4.5,62973250.0,4.8,2009-10-07,4.9,4.2
4.8,32631950.0,4.6,2009-10-08,4.9,4.5
4.6,31725550.0,4.5,2009-10-09,4.75,4.5
4.55,30612350.0,4.6,2009-10-12,4.65,4.5
4.6,86685950.0,4.85,2009-10-13,5.0,4.6
4.9,98541950.0,5.3,2009-10-14,5.3,4.8
5.4,46385200.0,5.2,2009-10-15,5.5,5.1
5.3,26755700.0,5.1,2009-10-16,5.4,5.0
5.1,31745900.0,5.1,2009-10-19,5.3,5.0
5.1,87381900.0,5.6,2009-10-20,5.8,5.1
5.6,17901900.0,5.4,2009-10-21,5.7,5.4
5.4,27389300.0,5.4,2009-10-22,5.4,5.1
5.4,11355500.0,5.3,2009-10-23,5.6,5.2
5.3,13475200.0,5.4,2009-10-26,5.4,5.2
5.5,6819600.0,5.3,2009-10-27,5.5,5.2
5.3,9736100.0,5.3,2009-10-28,5.4,5.2
5.2,7677100.0,5.1,2009-10-29,5.3,5.0
5.2,25675000.0,5.2,2009-10-30,5.4,5.1
5.0,4958100.0,5.0,2009-11-03,5.1,4.95
5.0,5087500.0,5.0,2009-11-04,5.2,4.95
5.1,21885000.0,4.85,2009-11-05,5.1,4.75
4.95,13387050.0,4.7,2009-11-06,4.95,4.6
4.9,64443150.0,5.7,2009-11-09,5.8,4.9
5.9,112077300.0,6.5,2009-11-10,6.5,5.8
6.7,142200900.0,7.7,2009-11-11,7.7,6.5
3.95,126542350.0,4.4,2009-12-15,4.5,3.85
4.4,109784100.0,4.55,2009-12-16,4.9,4.4
4.65,67928050.0,4.45,2009-12-17,4.75,4.35
4.35,52004100.0,4.3,2009-12-18,4.4,4.15
4.2,31503800.0,4.0,2009-12-21,4.25,3.9
3.9,28704950.0,4.05,2009-12-22,4.1,3.85
4.0,10796350.0,4.0,2009-12-23,4.05,3.95
4.25,17555300.0,4.25,2009-12-29,4.4,4.2
4.3,11670050.0,4.3,2010-01-04,4.45,4.25
4.35,8960150.0,4.2,2010-01-05,4.4,4.15
4.15,17049950.0,4.2,2010-01-06,4.3,4.1
4.15,54866300.0,4.5,2010-01-07,4.55,4.15
4.6,55355200.0,4.3,2010-01-08,4.65,4.25
4.35,17820250.0,4.2,2010-01-11,4.35,4.15
4.2,8536700.0,4.15,2010-01-12,4.25,4.15
4.1,10974300.0,4.15,2010-01-13,4.2,4.1
4.2,11035800.0,4.1,2010-01-14,4.2,4.05
4.1,6965200.0,4.1,2010-01-15,4.2,4.05
4.1,11183200.0,4.05,2010-01-18,4.1,3.95
4.05,37326050.0,3.95,2010-01-19,4.05,3.9
4.0,12325600.0,4.0,2010-01-20,4.15,3.9
3.9,44410600.0,4.3,2010-01-21,4.3,3.9
4.3,150548350.0,4.45,2010-01-22,4.6,4.25
4.35,96315200.0,4.2,2010-01-25,4.5,4.15
4.3,33700350.0,4.2,2010-01-26,4.4,4.2
4.25,23782350.0,4.1,2010-01-27,4.25,4.0
4.05,21425250.0,4.15,2010-01-28,4.2,3.95
4.05,11269100.0,4.05,2010-01-29,4.1,4.0
4.05,16550000.0,4.0,2010-02-01,4.1,3.95
4.05,20877200.0,3.9,2010-02-02,4.2,3.9
4.05,40429700.0,3.5,2010-02-03,4.05,3.5
3.65,28733900.0,3.6,2010-02-04,3.75,3.55
3.45,31801700.0,3.55,2010-02-05,3.65,3.3
3.5,4891300.0,3.35,2010-02-08,3.5,3.35
3.35,13528000.0,3.2,2010-02-09,3.45,3.1
3.3,15546900.0,3.3,2010-02-10,3.45,3.25
3.3,12880150.0,3.35,2010-02-11,3.45,3.3
3.95,8213350.0,3.95,2010-03-08,4.05,3.9
3.95,7017300.0,3.85,2010-03-12,4.0,3.8
3.9,7881250.0,3.85,2010-03-15,3.95,3.8
3.85,4002050.0,3.85,2010-03-16,3.9,3.8
