OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.08,268440.0,1.02,2009-08-03,1.08,1.02
1.06,58300.0,1.06,2009-08-04,1.06,1.06
1.06,3180.0,1.06,2009-08-06,1.06,1.06
1.06,85860.0,1.06,2009-08-07,1.06,1.06
1.02,31620.0,1.02,2009-08-10,1.02,1.02
1.04,39040.0,1.06,2009-08-11,1.06,1.04
1.02,30600.0,1.02,2009-08-12,1.02,1.02
1.02,19380.0,1.02,2009-08-13,1.02,1.02
1.02,125600.0,1.0,2009-08-17,1.02,1.0
1.0,40000.0,1.0,2009-08-18,1.0,1.0
1.08,100800.0,1.0,2009-08-19,1.08,1.0
1.02,10200.0,1.02,2009-09-17,1.02,1.02
1.0,110000.0,1.0,2009-09-30,1.0,1.0
1.0,10000.0,1.0,2009-10-07,1.0,1.0
1.0,100000.0,1.0,2009-10-08,1.0,1.0
0.9,9000.0,0.9,2009-10-13,0.9,0.9
0.9,29000.0,1.0,2009-10-15,1.0,0.9
1.0,70600.0,1.0,2009-10-16,1.02,1.0
1.0,2877400.0,1.02,2009-10-19,1.14,1.0
1.0,11000.0,1.0,2009-10-20,1.0,1.0
0.91,67300.0,1.0,2009-10-23,1.0,0.91
1.0,29800.0,0.99,2009-10-27,1.0,0.99
0.98,49000.0,0.98,2009-10-28,0.98,0.98
0.9,180000.0,0.9,2009-10-29,0.9,0.9
0.89,448700.0,0.94,2009-10-30,0.94,0.88
0.93,9300.0,0.93,2009-11-03,0.93,0.93
0.9,18000.0,0.9,2009-11-04,0.9,0.9
0.89,398000.0,0.87,2009-11-05,1.0,0.87
0.86,63200.0,0.92,2009-11-06,0.92,0.86
0.86,51600.0,0.86,2009-11-09,0.86,0.86
0.87,152900.0,0.92,2009-11-10,0.92,0.87
0.89,8900.0,0.89,2009-12-21,0.89,0.89
0.89,304700.0,0.9,2009-12-29,0.9,0.89
0.81,73800.0,0.84,2010-01-07,0.84,0.81
0.83,218100.0,0.8,2010-01-08,0.83,0.8
0.79,73400.0,0.87,2010-01-11,0.87,0.79
0.86,94000.0,0.85,2010-01-13,0.86,0.85
0.82,73700.0,0.87,2010-01-14,0.87,0.8
