OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.8,1629700.0,1.84,2009-08-03,1.84,1.8
1.86,788080.0,1.86,2009-08-04,1.88,1.86
1.84,1023300.0,1.88,2009-08-06,1.88,1.84
1.88,792180.0,1.9,2009-08-07,1.92,1.88
1.92,1369700.0,1.96,2009-08-10,1.96,1.9
1.96,752640.0,1.96,2009-08-11,1.96,1.96
1.98,6497540.0,2.02,2009-08-12,2.06,1.96
2.04,1668360.0,2.08,2009-08-13,2.08,2.04
2.08,457580.0,2.02,2009-08-14,2.08,2.02
2.0,519200.0,1.92,2009-08-17,2.0,1.92
1.9,361600.0,1.92,2009-08-18,1.92,1.9
1.94,1382300.0,1.92,2009-08-19,1.94,1.9
1.9,47540.0,1.92,2009-08-20,1.92,1.9
1.92,751600.0,1.94,2009-08-24,1.98,1.92
1.94,873300.0,1.96,2009-08-25,2.0,1.94
1.98,1107640.0,2.0,2009-08-26,2.04,1.98
2.04,77520.0,2.04,2009-09-03,2.04,2.04
2.04,255160.0,2.06,2009-09-04,2.06,2.04
2.04,1665440.0,2.04,2009-09-16,2.06,2.02
2.0,2010100.0,2.02,2009-09-17,2.02,2.0
2.02,50500.0,2.02,2009-09-18,2.02,2.02
2.02,412080.0,2.02,2009-09-22,2.02,2.02
2.02,361440.0,2.02,2009-09-23,2.02,2.0
1.9,133000.0,1.9,2009-09-30,1.9,1.9
1.9,104500.0,1.9,2009-10-01,1.9,1.9
1.9,257140.0,1.9,2009-10-02,1.9,1.86
1.88,3337060.0,1.84,2009-10-05,1.88,1.84
1.86,535780.0,1.88,2009-10-06,1.88,1.86
1.9,539600.0,1.9,2009-10-07,1.9,1.9
1.86,148800.0,1.86,2009-10-08,1.86,1.86
1.88,131600.0,1.88,2009-10-09,1.88,1.88
1.88,587540.0,1.8,2009-10-12,1.88,1.8
1.8,154880.0,1.8,2009-10-13,1.88,1.8
1.82,198100.0,1.8,2009-10-14,1.82,1.8
1.8,135600.0,1.78,2009-10-15,1.8,1.78
1.78,71400.0,1.8,2009-10-16,1.8,1.78
1.78,789720.0,1.8,2009-10-20,1.8,1.76
1.78,5005340.0,1.72,2009-10-21,1.78,1.72
1.76,814240.0,1.68,2009-10-22,1.76,1.68
1.7,280500.0,1.68,2009-10-23,1.7,1.66
1.66,596300.0,1.64,2009-10-26,1.66,1.64
1.62,427840.0,1.64,2009-10-27,1.64,1.62
1.64,224900.0,1.62,2009-10-28,1.64,1.62
1.62,729420.0,1.6,2009-10-29,1.62,1.58
1.6,796460.0,1.62,2009-10-30,1.62,1.6
1.6,91200.0,1.6,2009-11-03,1.6,1.6
1.62,171520.0,1.62,2009-11-04,1.62,1.6
1.64,227380.0,1.66,2009-11-05,1.66,1.64
1.64,51080.0,1.68,2009-11-06,1.68,1.64
1.64,918840.0,1.68,2009-11-09,1.68,1.64
1.68,63360.0,1.72,2009-11-10,1.72,1.68
1.7,177140.0,1.72,2009-11-11,1.72,1.7
1.6,107260.0,1.62,2009-12-15,1.62,1.6
1.62,118040.0,1.6,2009-12-16,1.62,1.58
1.6,240000.0,1.6,2009-12-17,1.6,1.6
1.6,522060.0,1.6,2009-12-18,1.6,1.58
1.58,47400.0,1.58,2009-12-21,1.58,1.58
1.6,18327520.0,1.62,2009-12-22,1.62,1.6
1.58,216020.0,1.62,2010-01-05,1.62,1.58
1.58,207840.0,1.6,2010-01-06,1.6,1.58
1.6,1582200.0,1.58,2010-01-07,1.6,1.58
1.58,579940.0,1.58,2010-01-08,1.6,1.58
1.58,79000.0,1.58,2010-01-11,1.58,1.58
1.58,804220.0,1.58,2010-01-12,1.58,1.58
1.56,2169420.0,1.58,2010-01-13,1.6,1.56
1.58,327040.0,1.56,2010-01-14,1.58,1.56
1.56,356660.0,1.58,2010-01-15,1.58,1.56
1.56,63960.0,1.56,2010-01-18,1.56,1.56
1.58,42160.0,1.56,2010-01-19,1.58,1.56
1.56,162240.0,1.56,2010-01-20,1.56,1.56
1.56,173760.0,1.58,2010-01-21,1.58,1.56
1.58,164320.0,1.58,2010-01-22,1.58,1.58
1.58,41080.0,1.58,2010-01-25,1.58,1.58
1.6,662800.0,1.56,2010-01-26,1.6,1.56
1.56,436740.0,1.54,2010-01-27,1.56,1.54
1.54,74620.0,1.56,2010-01-28,1.56,1.54
1.54,90060.0,1.54,2010-01-29,1.54,1.52
1.52,270560.0,1.52,2010-02-01,1.52,1.52
1.52,89680.0,1.52,2010-02-02,1.52,1.52
1.5,112500.0,1.5,2010-02-03,1.5,1.5
1.5,309000.0,1.5,2010-02-04,1.5,1.5
1.5,104600.0,1.48,2010-02-05,1.5,1.48
1.48,39880.0,1.44,2010-02-08,1.48,1.44
1.44,2880.0,1.44,2010-02-09,1.44,1.44
1.46,294320.0,1.46,2010-02-10,1.46,1.44
1.46,88200.0,1.48,2010-02-11,1.48,1.46
1.52,76000.0,1.52,2010-03-08,1.52,1.52
1.5,6015000.0,1.52,2010-03-12,1.52,1.5
1.52,368400.0,1.5,2010-03-15,1.52,1.5
1.5,6507800.0,1.52,2010-03-16,1.54,1.5
1.52,1524200.0,1.5,2010-03-17,1.52,1.5
1.52,489440.0,1.52,2010-03-31,1.52,1.52
1.54,4528840.0,1.5,2010-04-20,1.54,1.5
1.5,266200.0,1.52,2010-04-21,1.52,1.5
1.52,1093120.0,1.52,2010-04-22,1.54,1.52
1.52,79300.0,1.52,2010-04-23,1.54,1.52
1.52,304000.0,1.52,2010-04-29,1.52,1.52
1.5,92080.0,1.52,2010-05-04,1.52,1.5
1.5,1121000.0,1.48,2010-05-05,1.5,1.48
1.52,1075060.0,1.5,2010-05-13,1.52,1.5
1.52,2487500.0,1.48,2010-05-14,1.54,1.48
1.5,75000.0,1.5,2010-05-18,1.5,1.5
1.5,384120.0,1.52,2010-05-19,1.52,1.5
1.5,227380.0,1.52,2010-05-20,1.52,1.5
1.48,270200.0,1.5,2010-05-21,1.52,1.48
1.52,187700.0,1.5,2010-05-24,1.52,1.5
1.5,253500.0,1.5,2010-05-25,1.5,1.5
1.5,39200.0,1.52,2010-05-26,1.52,1.5
1.5,93040.0,1.52,2010-05-27,1.52,1.5
1.5,46720.0,1.54,2010-05-28,1.54,1.5
1.5,217760.0,1.5,2010-05-31,1.5,1.48
1.5,70500.0,1.5,2010-06-01,1.5,1.5
1.48,1542480.0,1.52,2010-06-03,1.52,1.48
1.52,165200.0,1.5,2010-06-04,1.52,1.5
1.5,428920.0,1.5,2010-06-07,1.5,1.48
1.48,1476000.0,1.52,2010-06-08,1.52,1.48
1.52,349300.0,1.56,2010-06-09,1.56,1.52
1.54,36860.0,1.54,2010-06-10,1.54,1.52
1.54,5513080.0,1.66,2010-06-11,1.72,1.54
1.7,14917400.0,1.76,2010-06-15,1.82,1.7
1.78,43879060.0,1.78,2010-06-16,1.92,1.74
1.92,15078380.0,1.98,2010-06-21,1.98,1.9
1.96,2321020.0,1.9,2010-06-22,1.96,1.9
1.88,5176760.0,1.9,2010-06-23,1.9,1.88
1.88,2646560.0,1.88,2010-06-24,1.9,1.86
1.86,501680.0,1.88,2010-06-25,1.88,1.86
1.86,4970580.0,1.86,2010-06-28,1.9,1.86
1.86,1706560.0,1.84,2010-06-29,1.86,1.84
1.82,465040.0,1.82,2010-07-01,1.84,1.82
1.78,2263980.0,1.78,2010-07-02,1.84,1.66
1.78,243820.0,1.78,2010-07-06,1.78,1.76
1.78,1413760.0,1.76,2010-07-07,1.78,1.76
1.78,315240.0,1.76,2010-07-08,1.78,1.76
1.76,756800.0,1.76,2010-07-09,1.76,1.76
1.8,2265080.0,1.78,2010-07-13,1.82,1.78
1.78,534400.0,1.78,2010-07-14,1.8,1.78
1.76,1776040.0,1.74,2010-07-15,1.76,1.6
1.76,88980.0,1.78,2010-07-16,1.78,1.76
1.78,58280.0,1.76,2010-07-19,1.78,1.76
1.78,2914920.0,1.78,2010-07-20,1.8,1.78
1.78,566040.0,1.78,2010-07-21,1.78,1.78
1.78,32197640.0,1.94,2010-07-22,1.96,1.78
1.98,34208140.0,1.98,2010-07-23,2.02,1.96
2.18,21384850.0,2.36,2010-09-20,2.4,2.18
2.36,35997660.0,2.37,2010-09-21,2.4,2.3
2.35,9178190.0,2.42,2010-09-22,2.42,2.35
2.42,17431740.0,2.36,2010-09-23,2.45,2.36
2.34,1843150.0,2.35,2010-09-24,2.38,2.34
2.42,8269570.0,2.4,2010-09-27,2.42,2.35
2.38,2029880.0,2.34,2010-09-28,2.38,2.34
2.35,6676150.0,2.34,2010-09-29,2.35,2.26
2.26,1982620.0,2.24,2010-09-30,2.26,2.24
2.2,5021200.0,2.2,2010-10-01,2.24,2.2
2.24,967420.0,2.22,2010-10-04,2.24,2.2
2.2,1522520.0,2.06,2010-10-05,2.2,2.06
2.07,1204880.0,2.09,2010-10-06,2.11,2.07
2.1,789450.0,2.08,2010-10-07,2.11,2.08
2.05,291360.0,2.06,2010-10-08,2.2,2.05
2.06,326630.0,2.07,2010-10-12,2.07,2.06
2.08,2679580.0,2.14,2010-10-13,2.14,2.08
2.1,674700.0,2.12,2010-10-14,2.12,2.1
2.1,118620.0,2.12,2010-10-15,2.12,2.1
2.08,16640.0,2.08,2010-10-18,2.08,2.08
2.08,258340.0,2.06,2010-10-19,2.08,2.06
2.06,193780.0,2.08,2010-10-20,2.08,2.06
2.08,4160.0,2.08,2010-10-21,2.08,2.08
2.1,109920.0,2.08,2010-10-22,2.1,2.06
2.08,624600.0,2.08,2010-10-26,2.1,2.08
2.1,189460.0,2.08,2010-10-27,2.1,2.06
2.08,1194020.0,2.08,2010-10-28,2.1,2.08
2.08,2289320.0,2.05,2010-10-29,2.08,2.05
2.05,823550.0,2.07,2010-11-02,2.07,2.04
2.07,1025670.0,2.05,2010-11-03,2.07,2.04
2.05,1307760.0,2.05,2010-11-04,2.05,2.04
2.05,410870.0,2.05,2010-11-08,2.05,2.04
2.04,1924730.0,2.03,2010-11-09,2.06,2.03
2.02,1662740.0,2.0,2010-11-10,2.02,2.0
2.01,2890100.0,1.96,2010-11-11,2.01,1.95
1.94,1796940.0,1.93,2010-11-12,1.95,1.92
1.9,941540.0,1.93,2010-11-15,1.94,1.9
1.92,361300.0,1.9,2010-11-17,1.92,1.9
1.91,446440.0,1.9,2010-11-18,1.91,1.9
1.91,586330.0,1.91,2010-11-19,1.93,1.91
1.91,298870.0,1.9,2010-11-22,1.91,1.9
1.9,381900.0,1.9,2010-11-23,1.9,1.9
1.9,609940.0,1.9,2010-11-24,1.94,1.9
1.9,750880.0,1.88,2010-11-25,1.9,1.88
1.9,505420.0,1.86,2010-11-26,1.9,1.86
1.86,1534500.0,1.86,2010-11-30,1.86,1.86
1.84,1200920.0,1.84,2010-12-01,1.84,1.82
1.82,5460.0,1.82,2010-12-02,1.82,1.82
1.84,5520.0,1.84,2010-12-03,1.84,1.84
1.82,38620.0,1.84,2010-12-06,1.84,1.82
1.82,366020.0,1.82,2010-12-07,1.84,1.82
1.82,218400.0,1.82,2010-12-08,1.82,1.82
1.8,1376440.0,1.78,2010-12-16,1.8,1.78
1.76,1332360.0,1.82,2010-12-22,1.82,1.76
1.8,164700.0,1.9,2010-12-23,1.9,1.8
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.84,23920.0,1.84,2010-12-28,1.84,1.84
1.8,271080.0,1.8,2010-12-29,1.8,1.76
1.8,271080.0,1.8,2010-12-29,1.8,1.76
1.78,97900.0,1.78,2011-01-03,1.78,1.78
1.78,97900.0,1.78,2011-01-03,1.78,1.78
1.78,97900.0,1.78,2011-01-03,1.78,1.78
1.76,1349440.0,1.8,2011-01-04,1.8,1.76
1.77,99670.0,1.78,2011-01-05,1.78,1.77
1.82,364000.0,1.82,2011-01-06,1.82,1.82
1.8,89600.0,1.78,2011-01-07,1.8,1.78
1.8,360000.0,1.8,2011-01-10,1.8,1.8
1.8,992520.0,1.78,2011-01-11,1.8,1.76
1.8,992520.0,1.78,2011-01-11,1.8,1.76
1.79,830240.0,1.8,2011-01-12,1.8,1.77
1.76,1334800.0,1.79,2011-01-13,1.8,1.76
1.8,118800.0,1.8,2011-01-14,1.8,1.8
1.78,502340.0,1.78,2011-01-17,1.8,1.78
1.75,38670.0,1.76,2011-01-18,1.76,1.75
1.78,89000.0,1.78,2011-01-19,1.78,1.78
1.78,89000.0,1.78,2011-01-19,1.78,1.78
1.78,284800.0,1.78,2011-01-20,1.78,1.78
1.78,284800.0,1.78,2011-01-20,1.78,1.78
1.8,241310.0,1.77,2011-01-24,1.8,1.77
1.77,79590.0,1.77,2011-01-25,1.77,1.76
1.77,309480.0,1.78,2011-01-26,1.78,1.77
1.78,275900.0,1.78,2011-01-27,1.78,1.78
1.8,224880.0,1.78,2011-01-28,1.8,1.78
1.8,224880.0,1.78,2011-01-28,1.8,1.78
1.76,1994080.0,1.76,2011-01-31,1.76,1.76
1.76,1994080.0,1.76,2011-01-31,1.76,1.76
1.76,140800.0,1.76,2011-02-01,1.76,1.76
1.76,140800.0,1.76,2011-02-01,1.76,1.76
1.74,352980.0,1.74,2011-02-02,1.76,1.74
1.7,10600.0,1.78,2011-02-16,1.78,1.7
1.7,10600.0,1.78,2011-02-16,1.78,1.7
1.68,360160.0,1.7,2011-02-17,1.7,1.68
1.7,85000.0,1.7,2011-02-18,1.7,1.7
1.7,51000.0,1.7,2011-02-21,1.7,1.7
1.7,51000.0,1.7,2011-02-21,1.7,1.7
1.7,442000.0,1.7,2011-02-22,1.7,1.7
1.7,442000.0,1.7,2011-02-22,1.7,1.7
1.68,467060.0,1.7,2011-02-23,1.7,1.68
1.68,467060.0,1.7,2011-02-23,1.7,1.68
1.68,254000.0,1.7,2011-02-24,1.7,1.68
1.68,254000.0,1.7,2011-02-24,1.7,1.68
1.7,42500.0,1.7,2011-02-25,1.7,1.7
1.66,3330.0,1.67,2011-02-28,1.67,1.66
1.67,1167280.0,1.67,2011-03-03,1.67,1.66
1.67,974770.0,1.66,2011-03-04,1.67,1.66
1.67,974770.0,1.66,2011-03-04,1.67,1.66
1.65,440480.0,1.66,2011-03-07,1.66,1.65
1.65,360250.0,1.66,2011-03-08,1.66,1.65
1.65,360250.0,1.66,2011-03-08,1.66,1.65
1.64,188490.0,1.63,2011-03-11,1.65,1.63
1.64,188490.0,1.63,2011-03-11,1.65,1.63
1.65,376500.0,1.63,2011-03-16,1.65,1.63
1.62,96800.0,1.6,2011-03-17,1.62,1.6
1.62,92270.0,1.61,2011-03-18,1.62,1.61
1.61,647320.0,1.62,2011-03-21,1.62,1.6
1.6,1456120.0,1.6,2011-03-23,1.62,1.6
1.6,480000.0,1.6,2011-03-24,1.6,1.6
1.58,276560.0,1.6,2011-03-25,1.6,1.58
1.6,40050.0,1.61,2011-03-29,1.61,1.6
1.58,18960.0,1.58,2011-03-30,1.58,1.58
1.6,247400.0,1.59,2011-03-31,1.6,1.59
1.59,879500.0,1.6,2011-04-01,1.6,1.59
1.6,198550.0,1.6,2011-04-04,1.61,1.6
1.58,140000.0,1.58,2011-04-05,1.6,1.58
1.58,33180.0,1.58,2011-04-06,1.58,1.58
1.58,408180.0,1.59,2011-04-07,1.59,1.58
1.59,143100.0,1.59,2011-04-08,1.59,1.59
1.59,172720.0,1.6,2011-04-12,1.6,1.59
1.61,91880.0,1.58,2011-04-13,1.61,1.58
1.59,190800.0,1.59,2011-04-14,1.59,1.59
1.59,55650.0,1.59,2011-04-15,1.59,1.59
1.67,420000.0,1.69,2011-04-26,1.69,1.67
1.65,496850.0,1.65,2011-04-27,1.66,1.65
1.69,268930.0,1.64,2011-04-28,1.69,1.64
1.64,358160.0,1.64,2011-04-29,1.64,1.62
1.64,31610.0,1.69,2011-05-02,1.69,1.64
1.63,27710.0,1.63,2011-05-03,1.63,1.63
1.63,390350.0,1.65,2011-05-04,1.67,1.63
1.63,1191920.0,1.63,2011-05-05,1.65,1.62
1.63,236410.0,1.61,2011-05-06,1.63,1.6
1.61,369720.0,1.56,2011-05-09,1.61,1.56
1.57,269920.0,1.56,2011-05-10,1.57,1.56
1.6,96000.0,1.6,2011-05-11,1.6,1.6
1.6,83800.0,1.62,2011-05-12,1.62,1.6
1.57,517440.0,1.56,2011-05-13,1.57,1.55
1.59,25540.0,1.6,2011-05-17,1.6,1.59
1.63,1430740.0,1.74,2011-05-18,1.75,1.63
1.74,558880.0,1.7,2011-05-19,1.74,1.7
1.63,580280.0,1.63,2011-05-20,1.63,1.63
1.63,342300.0,1.63,2011-05-23,1.63,1.63
1.63,350330.0,1.61,2011-05-26,1.63,1.6
1.61,1904630.0,1.61,2011-05-27,1.61,1.61
1.62,59280.0,1.6,2011-05-30,1.62,1.6
1.6,56000.0,1.6,2011-05-31,1.6,1.6
1.5,30452050.0,1.57,2011-06-01,1.58,1.5
1.58,37920.0,1.58,2011-06-03,1.58,1.58
1.58,92040.0,1.58,2011-06-06,1.6,1.58
1.58,49200.0,1.6,2011-06-07,1.6,1.58
1.58,37920.0,1.58,2011-06-09,1.58,1.58
1.58,122680.0,1.55,2011-06-13,1.58,1.55
1.56,208000.0,1.55,2011-06-14,1.56,1.55
1.55,15500.0,1.55,2011-06-16,1.55,1.55
1.53,78990.0,1.55,2011-06-21,1.55,1.53
1.56,3120.0,1.56,2011-06-22,1.56,1.56
1.56,24960.0,1.56,2011-06-23,1.56,1.56
1.55,489300.0,1.51,2011-06-27,1.55,1.51
1.51,93030.0,1.53,2011-06-28,1.53,1.51
1.53,213870.0,1.51,2011-06-29,1.53,1.51
1.5,1765050.0,1.52,2011-06-30,1.52,1.5
1.5,209440.0,1.51,2011-07-01,1.52,1.5
1.52,2768550.0,1.55,2011-07-04,1.57,1.52
1.53,1009160.0,1.55,2011-07-05,1.55,1.53
