OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
6.0,129300.0,5.8,2009-08-04,6.0,5.7
5.7,102600.0,5.7,2009-08-06,5.7,5.7
5.6,133000.0,5.5,2009-08-07,5.6,5.5
5.5,159200.0,5.7,2009-08-10,5.7,5.5
5.8,127600.0,5.8,2009-08-11,5.8,5.8
5.8,116000.0,5.8,2009-08-12,5.8,5.8
5.7,169000.0,5.6,2009-08-13,5.7,5.6
5.6,78400.0,5.6,2009-08-14,5.6,5.6
5.5,209000.0,5.5,2009-08-17,5.5,5.5
5.4,54000.0,5.4,2009-08-18,5.4,5.4
5.4,81000.0,5.4,2009-08-19,5.4,5.4
5.6,279700.0,5.8,2009-08-20,5.8,5.5
5.7,247100.0,5.7,2009-08-24,5.8,5.7
5.8,530500.0,6.0,2009-08-25,6.0,5.7
6.2,542600.0,6.3,2009-08-26,6.3,6.1
5.9,53100.0,5.9,2009-09-04,5.9,5.9
5.7,22800.0,5.7,2009-09-17,5.7,5.7
5.9,617500.0,6.1,2009-09-18,6.2,5.9
6.0,114000.0,6.0,2009-09-22,6.0,6.0
6.0,332800.0,6.1,2009-09-23,6.3,6.0
5.8,5800.0,5.8,2009-09-30,5.8,5.8
5.8,17400.0,5.8,2009-10-06,5.8,5.8
6.0,126000.0,6.0,2009-10-07,6.0,6.0
6.0,113000.0,6.0,2009-10-08,6.0,5.9
5.9,5900.0,5.9,2009-10-12,5.9,5.9
5.7,22800.0,5.7,2009-10-13,5.7,5.7
5.7,28500.0,5.7,2009-10-14,5.7,5.7
5.7,108300.0,5.7,2009-10-15,5.7,5.7
5.7,285000.0,5.7,2009-10-19,5.7,5.7
5.6,679000.0,5.6,2009-10-21,5.7,5.6
5.6,28000.0,5.6,2009-10-23,5.6,5.6
6.0,51400.0,5.7,2009-10-26,6.0,5.6
5.6,16800.0,5.6,2009-10-27,5.6,5.6
6.0,728500.0,5.7,2009-10-28,6.0,5.7
5.8,58000.0,5.8,2009-11-03,5.8,5.8
5.8,116000.0,5.8,2009-11-04,5.8,5.8
5.8,231200.0,6.0,2009-11-05,6.0,5.8
5.9,7900500.0,5.8,2009-11-06,6.4,5.8
5.9,373000.0,5.7,2009-11-09,5.9,5.7
5.7,331100.0,5.7,2009-11-10,5.8,5.7
5.7,218300.0,5.8,2009-11-11,5.9,5.7
5.4,75600.0,5.4,2009-12-21,5.4,5.4
5.2,67600.0,5.2,2009-12-22,5.2,5.2
5.2,10400.0,5.2,2009-12-23,5.2,5.2
