OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.0095,4883000.0,0.0095,2009-08-03,0.0095,0.0095
0.0095,4501500.0,0.0095,2009-08-04,0.01,0.0095
0.0095,437000.0,0.0095,2009-08-06,0.0095,0.0095
0.0095,20479500.0,0.01,2009-08-07,0.011,0.0095
0.01,10980000.0,0.01,2009-08-10,0.01,0.01
0.01,8210000.0,0.01,2009-08-11,0.011,0.01
0.01,1039500.0,0.01,2009-08-12,0.01,0.0095
0.0095,950000.0,0.0095,2009-08-13,0.0095,0.0095
0.01,721000.0,0.01,2009-08-14,0.011,0.01
0.01,2492500.0,0.0095,2009-08-17,0.01,0.0095
0.0095,4172500.0,0.0095,2009-08-18,0.0095,0.009
0.0095,332500.0,0.0095,2009-08-19,0.0095,0.0095
0.0095,731500.0,0.0095,2009-08-20,0.0095,0.0095
0.0095,247000.0,0.0095,2009-08-24,0.0095,0.0095
0.0095,532000.0,0.0095,2009-08-25,0.0095,0.0095
0.0095,912000.0,0.0095,2009-08-26,0.0095,0.0095
0.009,580000.0,0.0095,2009-09-03,0.0095,0.009
0.0095,1111500.0,0.0095,2009-09-04,0.0095,0.0095
0.009,1155000.0,0.009,2009-09-16,0.009,0.0085
0.0085,6583500.0,0.0085,2009-09-17,0.0085,0.008
0.0085,2099000.0,0.0095,2009-09-18,0.0095,0.0085
0.009,126500.0,0.009,2009-09-22,0.0095,0.009
0.009,120000.0,0.0085,2009-09-23,0.009,0.0085
0.0085,119000.0,0.0085,2009-09-30,0.0085,0.0085
0.0085,109000.0,0.008,2009-10-01,0.0085,0.008
0.0085,42500.0,0.0085,2009-10-02,0.0085,0.0085
0.008,984000.0,0.008,2009-10-05,0.0085,0.008
0.0085,248500.0,0.008,2009-10-06,0.0085,0.008
0.0085,671500.0,0.0085,2009-10-07,0.0085,0.0085
0.0085,25500.0,0.0085,2009-10-08,0.0085,0.0085
0.0085,422500.0,0.008,2009-10-09,0.0085,0.008
0.008,104000.0,0.008,2009-10-12,0.008,0.008
0.008,24000.0,0.008,2009-10-13,0.008,0.008
0.008,960000.0,0.008,2009-10-14,0.008,0.008
0.0085,85000.0,0.0085,2009-10-15,0.0085,0.0085
0.008,406500.0,0.0085,2009-10-16,0.0085,0.008
0.0085,3094500.0,0.0085,2009-10-19,0.009,0.0085
0.008,8000.0,0.008,2009-10-20,0.008,0.008
0.0085,40500.0,0.008,2009-10-21,0.0085,0.008
0.008,400000.0,0.008,2009-10-22,0.008,0.008
0.008,48000.0,0.008,2009-10-23,0.008,0.008
0.008,1336500.0,0.008,2009-10-27,0.0085,0.008
0.008,664000.0,0.008,2009-10-28,0.008,0.008
0.008,912000.0,0.008,2009-10-29,0.008,0.008
0.008,1248000.0,0.008,2009-10-30,0.008,0.008
0.008,144000.0,0.008,2009-11-03,0.008,0.008
0.008,112000.0,0.008,2009-11-04,0.008,0.008
0.008,128000.0,0.008,2009-11-05,0.008,0.008
0.008,424000.0,0.008,2009-11-06,0.008,0.008
0.0085,6722500.0,0.0085,2009-11-09,0.009,0.0085
0.009,16965000.0,0.0095,2009-11-10,0.0095,0.0085
0.0095,1747500.0,0.009,2009-11-11,0.0095,0.009
0.008,56000.0,0.008,2009-12-15,0.008,0.008
0.008,520000.0,0.008,2009-12-16,0.008,0.008
0.008,656500.0,0.008,2009-12-17,0.0085,0.008
0.008,824000.0,0.008,2009-12-18,0.008,0.008
0.008,144000.0,0.008,2009-12-21,0.008,0.008
0.008,544000.0,0.008,2009-12-22,0.008,0.008
0.008,528000.0,0.008,2010-01-04,0.008,0.008
0.008,1781000.0,0.008,2010-01-05,0.0085,0.008
0.008,128000.0,0.008,2010-01-06,0.008,0.008
0.008,2752000.0,0.008,2010-01-07,0.008,0.008
0.008,136000.0,0.008,2010-01-08,0.008,0.008
0.008,2951500.0,0.0085,2010-01-11,0.0085,0.008
0.0085,204000.0,0.0085,2010-01-12,0.0085,0.0085
0.0085,85000.0,0.0085,2010-01-13,0.0085,0.0085
0.008,80000.0,0.008,2010-01-14,0.008,0.008
0.008,16000.0,0.008,2010-01-15,0.008,0.008
