OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.013,1538700.0,0.014,2009-08-03,0.014,0.013
0.014,940800.0,0.014,2009-08-04,0.014,0.014
0.014,1666000.0,0.014,2009-08-06,0.014,0.014
0.014,428400.0,0.014,2009-08-07,0.014,0.014
0.014,3573600.0,0.015,2009-08-10,0.016,0.014
0.015,1617000.0,0.015,2009-08-11,0.015,0.015
0.015,311400.0,0.014,2009-08-12,0.015,0.014
0.014,140000.0,0.014,2009-08-13,0.014,0.014
0.015,60000.0,0.015,2009-08-14,0.015,0.015
0.015,1390900.0,0.014,2009-08-17,0.015,0.014
0.014,183400.0,0.014,2009-08-18,0.014,0.014
0.014,127400.0,0.014,2009-08-19,0.014,0.014
0.015,282000.0,0.014,2009-08-20,0.015,0.014
0.014,158200.0,0.014,2009-08-24,0.014,0.014
0.014,57900.0,0.014,2009-08-25,0.015,0.014
0.015,161200.0,0.014,2009-08-26,0.015,0.014
0.016,13202900.0,0.018,2009-09-03,0.018,0.016
0.018,9512300.0,0.018,2009-09-04,0.019,0.017
0.016,16000.0,0.016,2009-09-16,0.016,0.016
0.017,195600.0,0.016,2009-09-17,0.017,0.016
0.016,60800.0,0.016,2009-09-18,0.016,0.016
0.016,100800.0,0.016,2009-09-22,0.016,0.016
0.017,3344800.0,0.017,2009-09-23,0.017,0.016
0.016,1376000.0,0.016,2009-09-30,0.016,0.016
0.016,3913600.0,0.016,2009-10-01,0.016,0.015
0.015,196600.0,0.016,2009-10-02,0.016,0.015
0.015,470000.0,0.016,2009-10-05,0.016,0.015
0.016,876800.0,0.016,2009-10-06,0.016,0.016
0.016,672000.0,0.016,2009-10-07,0.016,0.016
0.016,256600.0,0.016,2009-10-08,0.016,0.015
0.015,3237100.0,0.016,2009-10-09,0.016,0.015
0.015,184500.0,0.015,2009-10-12,0.015,0.015
0.015,313500.0,0.015,2009-10-13,0.015,0.015
0.015,498100.0,0.015,2009-10-14,0.016,0.015
0.015,2721600.0,0.015,2009-10-15,0.016,0.015
0.016,7145600.0,0.016,2009-10-16,0.017,0.016
0.016,249600.0,0.016,2009-10-19,0.016,0.016
0.016,962200.0,0.016,2009-10-20,0.016,0.015
0.016,182000.0,0.015,2009-10-21,0.016,0.015
0.016,376800.0,0.015,2009-10-22,0.016,0.015
0.015,223700.0,0.016,2009-10-23,0.016,0.015
0.015,202500.0,0.015,2009-10-26,0.015,0.015
0.015,934500.0,0.015,2009-10-27,0.015,0.015
0.015,3202500.0,0.015,2009-10-28,0.015,0.015
0.015,14500.0,0.014,2009-10-29,0.015,0.014
0.015,931300.0,0.015,2009-10-30,0.015,0.014
0.015,29000.0,0.014,2009-11-03,0.015,0.014
0.014,372600.0,0.014,2009-11-04,0.015,0.014
0.014,280000.0,0.014,2009-11-05,0.014,0.014
0.014,176700.0,0.015,2009-11-06,0.015,0.014
0.014,1484000.0,0.014,2009-11-09,0.014,0.014
0.014,45300.0,0.015,2009-11-10,0.015,0.014
0.015,3617000.0,0.015,2009-11-11,0.015,0.014
0.015,225000.0,0.015,2009-12-15,0.015,0.015
0.016,70700.0,0.015,2009-12-18,0.016,0.014
0.014,67200.0,0.014,2009-12-21,0.014,0.014
0.014,29000.0,0.015,2009-12-22,0.015,0.014
0.014,49500.0,0.015,2009-12-23,0.015,0.014
0.014,2800.0,0.014,2009-12-29,0.014,0.014
0.014,176400.0,0.014,2010-01-04,0.014,0.014
0.014,419600.0,0.015,2010-01-05,0.015,0.014
0.015,271500.0,0.015,2010-01-06,0.015,0.015
0.016,432100.0,0.015,2010-01-07,0.016,0.015
0.015,621000.0,0.015,2010-01-08,0.016,0.014
0.014,332800.0,0.015,2010-01-11,0.015,0.014
0.015,609000.0,0.015,2010-01-12,0.015,0.015
0.015,1531500.0,0.015,2010-01-13,0.016,0.014
0.015,726500.0,0.015,2010-01-14,0.016,0.015
0.015,223500.0,0.015,2010-01-15,0.015,0.015
0.015,30000.0,0.015,2010-01-18,0.015,0.015
0.014,60400.0,0.015,2010-01-19,0.015,0.014
0.014,2800.0,0.014,2010-01-20,0.014,0.014
0.015,87700.0,0.015,2010-01-21,0.015,0.014
0.014,71600.0,0.015,2010-01-22,0.015,0.014
0.014,143000.0,0.015,2010-01-25,0.015,0.014
0.014,2590000.0,0.014,2010-01-26,0.014,0.014
0.014,561400.0,0.014,2010-01-27,0.014,0.014
0.014,1051000.0,0.014,2010-01-28,0.015,0.014
0.013,143100.0,0.014,2010-01-29,0.014,0.013
0.014,112000.0,0.014,2010-02-01,0.014,0.014
0.014,48600.0,0.013,2010-02-02,0.014,0.013
0.013,58500.0,0.013,2010-02-03,0.013,0.013
0.013,78000.0,0.013,2010-02-04,0.013,0.013
0.013,751400.0,0.013,2010-02-05,0.013,0.013
0.013,513600.0,0.013,2010-02-08,0.014,0.013
0.013,130000.0,0.013,2010-02-09,0.013,0.013
0.013,156000.0,0.013,2010-02-10,0.013,0.013
0.013,325000.0,0.013,2010-03-08,0.013,0.013
0.012,72200.0,0.013,2010-03-12,0.013,0.012
0.013,260000.0,0.013,2010-03-15,0.013,0.013
0.013,127400.0,0.013,2010-03-16,0.013,0.013
0.013,418600.0,0.013,2010-03-17,0.013,0.013
0.013,33400.0,0.014,2010-04-21,0.014,0.013
0.013,126300.0,0.014,2010-04-22,0.014,0.013
0.013,58700.0,0.014,2010-04-23,0.014,0.013
0.013,328900.0,0.014,2010-04-29,0.014,0.013
0.014,142800.0,0.014,2010-04-30,0.014,0.014
0.013,53400.0,0.014,2010-05-04,0.014,0.013
0.013,744900.0,0.013,2010-05-05,0.013,0.013
0.013,88400.0,0.013,2010-05-13,0.013,0.013
0.013,211900.0,0.013,2010-05-14,0.013,0.013
0.013,85800.0,0.013,2010-05-17,0.013,0.013
0.012,174000.0,0.013,2010-05-18,0.013,0.012
0.012,1394100.0,0.013,2010-05-21,0.013,0.012
0.012,1567300.0,0.012,2010-05-25,0.013,0.012
0.012,2500.0,0.013,2010-05-27,0.013,0.012
0.013,26000.0,0.013,2010-05-28,0.013,0.013
0.012,183600.0,0.013,2010-05-31,0.013,0.012
0.012,27800.0,0.013,2010-06-01,0.013,0.012
0.012,361300.0,0.013,2010-06-02,0.013,0.012
0.012,42100.0,0.013,2010-06-04,0.013,0.012
0.012,559200.0,0.012,2010-06-07,0.012,0.012
0.013,1300.0,0.013,2010-06-08,0.013,0.013
0.012,771700.0,0.013,2010-06-09,0.013,0.012
0.012,24000.0,0.012,2010-06-10,0.012,0.012
0.012,33600.0,0.012,2010-06-11,0.012,0.012
0.013,243800.0,0.013,2010-06-15,0.013,0.012
0.013,20800.0,0.013,2010-06-16,0.013,0.013
0.013,25600.0,0.013,2010-06-21,0.013,0.012
0.012,26400.0,0.012,2010-06-22,0.012,0.012
0.013,1254500.0,0.013,2010-06-23,0.013,0.013
0.013,38000.0,0.012,2010-06-24,0.013,0.012
0.013,1541900.0,0.013,2010-06-25,0.013,0.012
0.013,267900.0,0.013,2010-06-28,0.014,0.013
0.013,72800.0,0.013,2010-06-29,0.013,0.013
0.012,73500.0,0.013,2010-07-01,0.013,0.012
0.013,109200.0,0.013,2010-07-02,0.013,0.013
0.013,497100.0,0.013,2010-07-07,0.013,0.012
0.012,16900.0,0.013,2010-07-08,0.013,0.012
0.013,159900.0,0.013,2010-07-09,0.013,0.012
0.012,22000.0,0.013,2010-07-13,0.013,0.012
0.013,170300.0,0.013,2010-07-14,0.013,0.013
0.012,2345300.0,0.013,2010-07-16,0.013,0.012
0.012,216300.0,0.013,2010-07-20,0.013,0.012
0.012,120000.0,0.012,2010-07-21,0.012,0.012
0.013,2682600.0,0.014,2010-07-22,0.014,0.012
0.013,303000.0,0.014,2010-07-23,0.014,0.013
0.014,218600.0,0.014,2010-09-20,0.015,0.014
0.014,1512000.0,0.014,2010-09-21,0.014,0.014
0.014,2459800.0,0.014,2010-09-22,0.014,0.014
0.014,799400.0,0.014,2010-09-23,0.014,0.014
0.014,3376800.0,0.014,2010-09-24,0.014,0.014
0.014,233800.0,0.014,2010-09-27,0.014,0.014
0.014,3082100.0,0.014,2010-09-28,0.014,0.013
0.013,604600.0,0.014,2010-09-29,0.014,0.013
0.014,491400.0,0.014,2010-09-30,0.014,0.014
0.013,14400.0,0.014,2010-10-01,0.014,0.013
0.014,972600.0,0.014,2010-10-04,0.014,0.013
0.014,420000.0,0.014,2010-10-05,0.014,0.014
0.014,1799100.0,0.014,2010-10-06,0.014,0.013
0.014,474600.0,0.014,2010-10-07,0.014,0.014
0.014,98000.0,0.014,2010-10-08,0.014,0.014
0.013,56100.0,0.014,2010-10-12,0.014,0.013
0.014,116000.0,0.014,2010-10-14,0.014,0.013
0.013,366700.0,0.014,2010-10-15,0.014,0.013
0.013,182100.0,0.014,2010-10-19,0.014,0.013
0.013,20500.0,0.014,2010-10-20,0.014,0.013
0.013,24700.0,0.013,2010-10-21,0.013,0.013
0.013,131400.0,0.014,2010-10-22,0.014,0.013
0.013,130100.0,0.014,2010-10-26,0.014,0.013
0.013,80600.0,0.013,2010-10-27,0.013,0.013
0.013,1976000.0,0.013,2010-10-28,0.013,0.013
0.013,293600.0,0.013,2010-10-29,0.014,0.012
0.013,14300.0,0.013,2010-11-02,0.013,0.013
0.013,655600.0,0.013,2010-11-03,0.013,0.012
0.013,461500.0,0.013,2010-11-04,0.013,0.013
0.014,787000.0,0.013,2010-11-08,0.014,0.013
0.013,469300.0,0.013,2010-11-09,0.013,0.013
0.013,130000.0,0.013,2010-11-10,0.013,0.013
0.013,398500.0,0.013,2010-11-11,0.013,0.012
0.013,65000.0,0.013,2010-11-15,0.013,0.013
0.012,1359900.0,0.013,2010-11-17,0.013,0.012
0.012,660100.0,0.013,2010-11-18,0.013,0.012
0.012,277300.0,0.012,2010-11-19,0.013,0.012
0.013,377000.0,0.013,2010-11-22,0.013,0.013
0.012,574900.0,0.012,2010-11-23,0.013,0.012
0.012,112800.0,0.012,2010-11-24,0.012,0.012
0.012,190800.0,0.012,2010-11-25,0.012,0.012
0.012,112800.0,0.012,2010-11-26,0.012,0.012
0.012,307200.0,0.012,2010-11-30,0.012,0.012
0.012,364800.0,0.012,2010-12-01,0.012,0.012
0.012,34800.0,0.012,2010-12-02,0.012,0.012
0.012,541200.0,0.012,2010-12-03,0.012,0.012
0.012,85300.0,0.013,2010-12-06,0.013,0.012
0.013,1300.0,0.013,2010-12-07,0.013,0.013
0.012,5696800.0,0.013,2010-12-08,0.013,0.012
0.012,15700.0,0.013,2010-12-16,0.013,0.012
0.012,4800.0,0.012,2010-12-22,0.012,0.012
0.013,23400.0,0.013,2010-12-23,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,67600.0,0.013,2010-12-28,0.013,0.013
0.013,180400.0,0.014,2010-12-29,0.014,0.013
0.013,180400.0,0.014,2010-12-29,0.014,0.013
0.013,1708600.0,0.014,2011-01-03,0.014,0.013
0.013,1708600.0,0.014,2011-01-03,0.014,0.013
0.013,1708600.0,0.014,2011-01-03,0.014,0.013
0.014,2464000.0,0.014,2011-01-04,0.014,0.014
0.014,1557600.0,0.014,2011-01-05,0.014,0.013
0.014,109200.0,0.014,2011-01-06,0.014,0.014
0.014,1142400.0,0.014,2011-01-07,0.014,0.014
0.014,1111600.0,0.014,2011-01-10,0.014,0.014
0.013,298400.0,0.014,2011-01-11,0.014,0.013
0.013,298400.0,0.014,2011-01-11,0.014,0.013
0.014,1829800.0,0.014,2011-01-12,0.014,0.014
0.014,327600.0,0.014,2011-01-13,0.014,0.014
0.014,428400.0,0.014,2011-01-14,0.014,0.014
0.014,14000.0,0.014,2011-01-17,0.014,0.014
0.014,329000.0,0.014,2011-01-18,0.014,0.014
0.014,624800.0,0.014,2011-01-19,0.014,0.013
0.014,624800.0,0.014,2011-01-19,0.014,0.013
0.014,140000.0,0.014,2011-01-20,0.014,0.014
0.014,140000.0,0.014,2011-01-20,0.014,0.014
0.013,289400.0,0.014,2011-01-24,0.014,0.013
0.013,1224800.0,0.013,2011-01-26,0.014,0.013
0.014,435300.0,0.013,2011-01-27,0.014,0.013
0.013,130000.0,0.013,2011-01-28,0.013,0.013
0.013,130000.0,0.013,2011-01-28,0.013,0.013
0.013,132700.0,0.013,2011-01-31,0.014,0.013
0.013,132700.0,0.013,2011-01-31,0.014,0.013
0.013,237900.0,0.013,2011-02-01,0.013,0.013
0.013,237900.0,0.013,2011-02-01,0.013,0.013
0.013,635700.0,0.013,2011-02-03,0.013,0.013
0.013,132600.0,0.013,2011-02-14,0.013,0.013
0.013,452400.0,0.013,2011-02-16,0.013,0.013
0.013,452400.0,0.013,2011-02-16,0.013,0.013
0.013,39000.0,0.013,2011-02-17,0.013,0.013
0.013,1374800.0,0.014,2011-02-18,0.014,0.013
0.013,2600.0,0.013,2011-02-22,0.013,0.013
0.013,2600.0,0.013,2011-02-22,0.013,0.013
0.013,65000.0,0.013,2011-02-23,0.013,0.013
0.013,65000.0,0.013,2011-02-23,0.013,0.013
0.014,3760400.0,0.014,2011-02-24,0.014,0.014
0.014,3760400.0,0.014,2011-02-24,0.014,0.014
0.013,188800.0,0.014,2011-02-25,0.014,0.013
0.014,1221900.0,0.014,2011-02-28,0.014,0.013
0.014,1470000.0,0.014,2011-03-02,0.014,0.014
0.013,612100.0,0.014,2011-03-03,0.014,0.013
0.014,234400.0,0.014,2011-03-04,0.014,0.013
0.014,234400.0,0.014,2011-03-04,0.014,0.013
0.013,49500.0,0.014,2011-03-07,0.014,0.013
0.013,330300.0,0.014,2011-03-08,0.014,0.013
0.013,330300.0,0.014,2011-03-08,0.014,0.013
0.013,292500.0,0.013,2011-03-11,0.013,0.013
0.013,292500.0,0.013,2011-03-11,0.013,0.013
0.013,412100.0,0.013,2011-03-16,0.013,0.013
0.013,793000.0,0.013,2011-03-17,0.013,0.013
0.013,10400.0,0.013,2011-03-18,0.013,0.013
0.013,15600.0,0.013,2011-03-21,0.013,0.013
0.013,434400.0,0.013,2011-03-22,0.014,0.013
0.013,235300.0,0.013,2011-03-23,0.013,0.013
0.014,336400.0,0.014,2011-03-24,0.014,0.013
0.013,608500.0,0.014,2011-03-25,0.014,0.013
0.013,98900.0,0.014,2011-03-28,0.014,0.013
0.013,172900.0,0.013,2011-03-29,0.013,0.013
0.013,596800.0,0.013,2011-03-30,0.014,0.013
0.013,650000.0,0.013,2011-03-31,0.013,0.013
0.014,44600.0,0.013,2011-04-01,0.014,0.013
0.013,770900.0,0.013,2011-04-04,0.013,0.013
0.013,1300000.0,0.013,2011-04-05,0.013,0.013
0.013,474500.0,0.013,2011-04-06,0.013,0.013
0.013,3250000.0,0.013,2011-04-07,0.013,0.013
0.013,425100.0,0.013,2011-04-08,0.013,0.013
0.013,1748500.0,0.013,2011-04-12,0.013,0.013
0.013,390000.0,0.013,2011-04-13,0.013,0.013
0.012,428900.0,0.013,2011-04-14,0.013,0.012
0.012,349300.0,0.013,2011-04-15,0.013,0.012
0.013,1009800.0,0.013,2011-04-26,0.013,0.012
0.013,182000.0,0.013,2011-04-27,0.013,0.013
0.013,63700.0,0.013,2011-04-28,0.013,0.013
0.013,830700.0,0.013,2011-04-29,0.013,0.013
0.013,419900.0,0.013,2011-05-02,0.013,0.013
0.013,1994600.0,0.013,2011-05-03,0.014,0.013
0.013,975000.0,0.013,2011-05-05,0.013,0.013
0.013,126300.0,0.013,2011-05-06,0.013,0.012
0.012,6100.0,0.013,2011-05-09,0.013,0.012
0.013,898600.0,0.012,2011-05-10,0.013,0.012
0.013,1300.0,0.013,2011-05-11,0.013,0.013
0.012,68500.0,0.013,2011-05-12,0.013,0.012
0.013,130000.0,0.013,2011-05-13,0.013,0.013
0.013,17290800.0,0.014,2011-05-16,0.015,0.013
0.015,4511500.0,0.014,2011-05-17,0.015,0.013
