OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.013,282600.0,0.013,2009-08-03,0.014,0.013
0.014,23800.0,0.014,2009-08-04,0.014,0.014
0.014,228200.0,0.014,2009-08-06,0.014,0.014
0.014,18200.0,0.014,2009-08-07,0.014,0.014
0.014,750300.0,0.015,2009-08-10,0.016,0.014
0.015,402000.0,0.015,2009-08-11,0.015,0.015
0.014,211400.0,0.015,2009-08-12,0.015,0.014
0.015,675000.0,0.015,2009-08-13,0.015,0.015
0.015,720000.0,0.015,2009-08-14,0.015,0.015
0.015,193300.0,0.014,2009-08-17,0.015,0.014
0.014,803600.0,0.014,2009-08-18,0.014,0.014
0.014,187500.0,0.015,2009-08-19,0.015,0.014
0.015,558000.0,0.015,2009-08-20,0.015,0.015
0.015,2749900.0,0.015,2009-08-25,0.015,0.014
0.014,151400.0,0.015,2009-08-26,0.015,0.014
0.017,2911400.0,0.018,2009-09-03,0.018,0.017
0.018,2097800.0,0.018,2009-09-04,0.019,0.018
0.017,1037000.0,0.017,2009-09-16,0.017,0.017
0.017,595000.0,0.017,2009-09-17,0.017,0.017
0.017,1292000.0,0.017,2009-09-18,0.017,0.017
0.017,746300.0,0.017,2009-09-22,0.017,0.017
0.017,554200.0,0.017,2009-09-23,0.017,0.017
0.016,545700.0,0.017,2009-09-30,0.017,0.016
0.016,2744000.0,0.016,2009-10-01,0.016,0.016
0.016,560000.0,0.016,2009-10-02,0.016,0.016
0.016,683200.0,0.016,2009-10-05,0.016,0.016
0.016,224000.0,0.016,2009-10-06,0.016,0.016
0.016,369600.0,0.016,2009-10-07,0.016,0.016
0.016,352000.0,0.016,2009-10-08,0.016,0.016
0.016,590400.0,0.016,2009-10-09,0.016,0.016
0.017,337000.0,0.015,2009-10-12,0.017,0.015
0.016,32000.0,0.016,2009-10-13,0.016,0.016
0.016,177100.0,0.016,2009-10-14,0.016,0.015
0.016,320300.0,0.017,2009-10-15,0.017,0.016
0.017,824500.0,0.017,2009-10-16,0.017,0.017
0.016,336000.0,0.016,2009-10-21,0.016,0.016
0.016,179000.0,0.016,2009-10-22,0.016,0.015
0.016,2637600.0,0.016,2009-10-23,0.016,0.015
0.015,35000.0,0.016,2009-10-26,0.016,0.015
0.015,1288500.0,0.016,2009-10-27,0.016,0.015
0.015,2142000.0,0.015,2009-10-28,0.015,0.015
0.015,214500.0,0.015,2009-10-29,0.015,0.015
0.015,60000.0,0.015,2009-10-30,0.015,0.015
0.015,255000.0,0.015,2009-11-03,0.015,0.015
0.015,226500.0,0.015,2009-11-04,0.015,0.015
0.016,485000.0,0.015,2009-11-05,0.016,0.014
0.015,334500.0,0.015,2009-11-06,0.015,0.015
0.015,117000.0,0.015,2009-11-09,0.015,0.015
0.015,304500.0,0.015,2009-11-10,0.015,0.015
0.015,31500.0,0.015,2009-11-11,0.015,0.015
0.015,429000.0,0.015,2009-12-15,0.015,0.015
0.015,15000.0,0.015,2009-12-16,0.015,0.015
0.015,1500.0,0.015,2009-12-17,0.015,0.015
0.015,22500.0,0.015,2009-12-18,0.015,0.015
0.015,7500.0,0.015,2009-12-22,0.015,0.015
0.014,911400.0,0.014,2009-12-29,0.014,0.014
0.014,2800.0,0.014,2010-01-04,0.014,0.014
0.015,1099500.0,0.015,2010-01-05,0.015,0.015
0.015,63000.0,0.015,2010-01-06,0.015,0.015
0.015,76500.0,0.015,2010-01-07,0.015,0.015
0.015,1500.0,0.015,2010-01-11,0.015,0.015
0.015,24000.0,0.015,2010-01-12,0.015,0.015
0.015,240000.0,0.015,2010-01-13,0.015,0.015
0.015,774000.0,0.015,2010-01-14,0.015,0.015
0.015,75000.0,0.015,2010-01-15,0.015,0.015
0.015,239000.0,0.015,2010-01-18,0.015,0.014
0.015,91500.0,0.015,2010-01-19,0.015,0.015
0.015,138000.0,0.015,2010-01-20,0.015,0.015
