OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.014,8129700.0,0.014,2009-08-03,0.014,0.013
0.014,2210600.0,0.014,2009-08-04,0.014,0.014
0.014,4068400.0,0.014,2009-08-06,0.014,0.013
0.014,2639000.0,0.014,2009-08-07,0.014,0.014
0.014,6271400.0,0.015,2009-08-10,0.015,0.014
0.015,3177200.0,0.015,2009-08-11,0.015,0.014
0.014,1099800.0,0.014,2009-08-12,0.015,0.014
0.015,6500300.0,0.015,2009-08-13,0.015,0.014
0.014,287400.0,0.015,2009-08-14,0.015,0.014
0.014,5944400.0,0.014,2009-08-17,0.015,0.014
0.014,530900.0,0.013,2009-08-18,0.014,0.013
0.014,2573200.0,0.014,2009-08-19,0.014,0.014
0.014,3079600.0,0.014,2009-08-20,0.015,0.014
0.014,863500.0,0.014,2009-08-24,0.015,0.014
0.014,2841200.0,0.014,2009-08-25,0.015,0.014
0.014,1007800.0,0.014,2009-08-26,0.015,0.014
0.016,13904200.0,0.018,2009-09-03,0.018,0.016
0.018,16411900.0,0.018,2009-09-04,0.019,0.018
0.017,2457000.0,0.017,2009-09-16,0.017,0.016
0.017,818200.0,0.016,2009-09-17,0.017,0.016
0.016,176000.0,0.017,2009-09-18,0.017,0.016
0.016,2656400.0,0.017,2009-09-22,0.017,0.016
0.017,3008600.0,0.017,2009-09-23,0.017,0.016
0.016,7169600.0,0.016,2009-09-30,0.016,0.016
0.016,2406400.0,0.016,2009-10-01,0.016,0.016
0.015,2914600.0,0.016,2009-10-02,0.016,0.015
0.016,452900.0,0.016,2009-10-05,0.016,0.015
0.016,1000000.0,0.016,2009-10-06,0.016,0.016
0.016,3198000.0,0.016,2009-10-07,0.016,0.015
0.016,2868200.0,0.016,2009-10-08,0.016,0.015
0.016,4365600.0,0.016,2009-10-09,0.016,0.015
0.015,138200.0,0.015,2009-10-12,0.016,0.015
0.015,200100.0,0.016,2009-10-13,0.016,0.015
0.015,972800.0,0.016,2009-10-14,0.016,0.015
0.016,683700.0,0.016,2009-10-15,0.016,0.015
0.017,4485000.0,0.016,2009-10-16,0.017,0.016
0.016,1227200.0,0.016,2009-10-19,0.016,0.016
0.016,4670500.0,0.016,2009-10-20,0.017,0.016
