OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.075,758250.0,0.075,2009-08-03,0.0775,0.075
0.0775,18683750.0,0.0775,2009-08-04,0.0825,0.0775
0.08,1744250.0,0.0775,2009-08-06,0.08,0.0775
0.0775,24173250.0,0.0825,2009-08-07,0.085,0.0775
0.0825,4979000.0,0.08,2009-08-10,0.0825,0.08
0.08,4348000.0,0.08,2009-08-11,0.08,0.0775
0.0775,23416750.0,0.0875,2009-08-12,0.0875,0.0775
0.0925,34050750.0,0.095,2009-08-13,0.0975,0.09
0.0975,16536750.0,0.0925,2009-08-14,0.0975,0.09
0.09,4449500.0,0.0875,2009-08-17,0.09,0.085
0.08,7245750.0,0.085,2009-08-18,0.085,0.08
0.085,10163500.0,0.09,2009-08-19,0.0925,0.085
0.09,5419250.0,0.085,2009-08-20,0.09,0.085
0.0875,2866250.0,0.0875,2009-08-24,0.09,0.085
0.09,1701500.0,0.0875,2009-08-25,0.09,0.085
0.085,1207000.0,0.085,2009-08-26,0.085,0.085
0.0825,1476750.0,0.0825,2009-09-03,0.0825,0.0825
0.0825,1097250.0,0.0825,2009-09-04,0.0825,0.0825
0.09,819000.0,0.09,2009-09-16,0.09,0.09
0.09,2138750.0,0.09,2009-09-17,0.0925,0.09
0.09,2211500.0,0.0925,2009-09-18,0.0925,0.09
0.0925,1177000.0,0.09,2009-09-22,0.0925,0.09
0.095,7707500.0,0.0875,2009-09-23,0.095,0.0875
0.0825,4933500.0,0.0825,2009-09-30,0.0825,0.0825
0.0825,1815000.0,0.0825,2009-10-01,0.0825,0.0825
0.08,4736000.0,0.08,2009-10-02,0.08,0.08
0.08,232000.0,0.08,2009-10-05,0.08,0.08
0.0825,552750.0,0.0825,2009-10-06,0.0825,0.0825
0.0825,446000.0,0.0825,2009-10-07,0.085,0.0825
0.0825,5081000.0,0.0875,2009-10-08,0.09,0.0825
0.09,1126500.0,0.0875,2009-10-09,0.09,0.0875
0.0875,774000.0,0.085,2009-10-12,0.0875,0.085
0.085,734500.0,0.0825,2009-10-13,0.085,0.0825
0.0825,16500.0,0.0825,2009-10-14,0.0825,0.0825
0.085,984500.0,0.0825,2009-10-15,0.085,0.0825
0.0825,1485000.0,0.0825,2009-10-16,0.0825,0.0825
0.085,680000.0,0.085,2009-10-19,0.085,0.085
0.085,774750.0,0.0825,2009-10-20,0.085,0.0825
0.0825,1068000.0,0.0825,2009-10-21,0.085,0.0825
0.0825,2808500.0,0.08,2009-10-22,0.0825,0.08
0.08,1033250.0,0.0825,2009-10-23,0.0825,0.08
0.0825,544500.0,0.0825,2009-10-26,0.0825,0.0825
0.0825,253500.0,0.08,2009-10-27,0.0825,0.08
0.08,1329500.0,0.0825,2009-10-28,0.0825,0.08
0.0825,352250.0,0.08,2009-10-29,0.0825,0.08
0.0825,724750.0,0.0825,2009-10-30,0.0825,0.08
0.0825,1902000.0,0.08,2009-11-03,0.0825,0.08
0.08,376000.0,0.08,2009-11-04,0.08,0.08
0.0775,1271000.0,0.0775,2009-11-05,0.0775,0.0775
0.0775,1162500.0,0.0775,2009-11-06,0.0775,0.0775
0.0775,1066750.0,0.075,2009-11-09,0.0775,0.075
0.075,4924750.0,0.08,2009-11-10,0.08,0.075
0.0775,8758250.0,0.085,2009-11-11,0.0875,0.0775
0.0775,1295500.0,0.075,2009-12-15,0.0775,0.075
0.075,210000.0,0.075,2009-12-16,0.075,0.075
0.075,667000.0,0.0725,2009-12-17,0.075,0.0725
0.075,15000.0,0.075,2009-12-18,0.075,0.075
0.0775,1092500.0,0.075,2009-12-21,0.0775,0.075
0.0725,36250.0,0.0725,2009-12-22,0.0725,0.0725
0.0725,210250.0,0.0725,2010-01-04,0.0725,0.0725
0.0725,224750.0,0.0725,2010-01-05,0.0725,0.0725
0.0725,848250.0,0.0725,2010-01-06,0.0725,0.0725
0.07,319500.0,0.075,2010-01-07,0.075,0.07
0.075,1395250.0,0.075,2010-01-08,0.075,0.0725
0.075,180000.0,0.075,2010-01-11,0.075,0.075
0.075,502500.0,0.075,2010-01-12,0.075,0.075
0.075,219750.0,0.0725,2010-01-13,0.075,0.0725
0.0725,126250.0,0.075,2010-01-14,0.075,0.0725
0.075,96750.0,0.0725,2010-01-15,0.075,0.0725
0.0725,142250.0,0.075,2010-01-18,0.075,0.0725
0.0725,326500.0,0.075,2010-01-19,0.075,0.0725
0.0725,181250.0,0.0725,2010-01-20,0.0725,0.0725
0.07,385000.0,0.07,2010-01-21,0.07,0.07
0.07,448000.0,0.07,2010-01-22,0.07,0.07
0.07,549000.0,0.0675,2010-01-25,0.07,0.0675
0.0675,774000.0,0.065,2010-01-26,0.0675,0.065
0.0675,202500.0,0.0675,2010-01-27,0.0675,0.0675
0.0675,216000.0,0.0675,2010-01-28,0.0675,0.0675
0.07,406000.0,0.07,2010-01-29,0.07,0.07
0.0675,54000.0,0.0675,2010-02-01,0.0675,0.0675
0.07,1135500.0,0.065,2010-02-02,0.0725,0.065
0.0625,377500.0,0.065,2010-02-03,0.065,0.0625
0.065,546500.0,0.065,2010-02-04,0.065,0.06
0.06,1273250.0,0.0675,2010-02-05,0.0675,0.06
0.065,111500.0,0.0675,2010-02-08,0.0675,0.065
0.0625,168750.0,0.0625,2010-02-09,0.0625,0.0625
0.065,2093250.0,0.065,2010-02-10,0.07,0.065
0.065,156000.0,0.065,2010-02-11,0.065,0.065
0.0725,836250.0,0.07,2010-03-08,0.0725,0.07
0.07,879500.0,0.0675,2010-03-12,0.07,0.0675
0.0675,438750.0,0.0675,2010-03-15,0.0675,0.0675
0.0675,74500.0,0.07,2010-03-16,0.07,0.0675
0.07,35000.0,0.07,2010-03-17,0.07,0.07
0.0675,344250.0,0.0675,2010-03-31,0.0675,0.0675
0.07,1608500.0,0.07,2010-04-20,0.0725,0.07
0.07,49000.0,0.07,2010-04-21,0.07,0.07
0.07,392000.0,0.07,2010-04-22,0.07,0.07
0.0675,48000.0,0.0675,2010-04-23,0.07,0.0675
0.07,63000.0,0.07,2010-04-29,0.07,0.07
0.0675,195250.0,0.07,2010-05-04,0.07,0.0675
0.0675,924750.0,0.0675,2010-05-05,0.0675,0.0675
0.0675,74250.0,0.0675,2010-05-13,0.0675,0.0675
0.0675,283500.0,0.0675,2010-05-14,0.0675,0.0675
0.065,6500.0,0.065,2010-05-17,0.065,0.065
0.0675,33750.0,0.0675,2010-05-18,0.0675,0.0675
0.065,195000.0,0.065,2010-05-19,0.065,0.065
0.065,26000.0,0.065,2010-05-20,0.065,0.065
0.065,370500.0,0.065,2010-05-24,0.065,0.065
0.065,551250.0,0.0625,2010-05-25,0.065,0.0625
0.065,149500.0,0.065,2010-05-26,0.065,0.065
0.065,13000.0,0.065,2010-05-27,0.065,0.065
0.065,175500.0,0.065,2010-05-28,0.065,0.065
0.065,840000.0,0.0625,2010-05-31,0.065,0.0625
0.0625,62500.0,0.0625,2010-06-02,0.0625,0.0625
0.0625,648750.0,0.065,2010-06-03,0.065,0.0625
0.065,13000.0,0.065,2010-06-04,0.065,0.065
0.0625,110000.0,0.065,2010-06-07,0.065,0.0625
0.0625,93750.0,0.0625,2010-06-09,0.0625,0.0625
0.0625,1050000.0,0.0625,2010-06-10,0.0625,0.0625
0.0625,25250.0,0.065,2010-06-11,0.065,0.0625
0.065,117000.0,0.065,2010-06-15,0.065,0.065
0.065,611000.0,0.065,2010-06-16,0.065,0.065
0.0675,1316250.0,0.0675,2010-06-21,0.0675,0.0675
0.0675,4733750.0,0.07,2010-06-22,0.0725,0.0675
0.07,243250.0,0.0675,2010-06-24,0.07,0.0675
0.0675,6750.0,0.0675,2010-06-25,0.0675,0.0675
0.0675,864000.0,0.0675,2010-06-28,0.0675,0.0675
0.065,45500.0,0.065,2010-06-29,0.065,0.065
0.065,390000.0,0.065,2010-07-01,0.065,0.065
0.065,45500.0,0.065,2010-07-02,0.065,0.065
0.0625,506500.0,0.065,2010-07-08,0.065,0.0625
0.0625,337500.0,0.0625,2010-07-09,0.0625,0.0625
0.065,130000.0,0.065,2010-07-14,0.065,0.065
0.06,324000.0,0.06,2010-07-19,0.06,0.06
0.0625,125000.0,0.0625,2010-07-20,0.0625,0.0625
0.0625,491250.0,0.06,2010-07-22,0.0625,0.06
0.0625,287500.0,0.0625,2010-07-23,0.0625,0.0625
0.06,310200.0,0.06,2010-09-20,0.06,0.06
0.06,542200.0,0.061,2010-09-21,0.061,0.06
0.061,321650.0,0.06,2010-09-22,0.061,0.06
0.061,1584280.0,0.063,2010-09-23,0.064,0.061
0.065,6150730.0,0.07,2010-09-24,0.071,0.065
0.074,2255680.0,0.067,2010-09-27,0.074,0.067
0.065,275500.0,0.064,2010-09-28,0.065,0.064
0.064,63500.0,0.063,2010-09-29,0.064,0.063
0.062,650800.0,0.06,2010-09-30,0.062,0.06
0.063,50220.0,0.061,2010-10-01,0.063,0.061
0.064,12800.0,0.064,2010-10-04,0.064,0.064
0.061,91500.0,0.061,2010-10-05,0.061,0.061
0.061,507590.0,0.062,2010-10-06,0.062,0.061
0.061,230580.0,0.061,2010-10-07,0.061,0.061
0.062,418900.0,0.061,2010-10-08,0.062,0.061
0.061,30500.0,0.061,2010-10-12,0.061,0.061
0.06,138000.0,0.06,2010-10-13,0.06,0.06
0.06,407400.0,0.06,2010-10-14,0.06,0.06
0.061,33050.0,0.06,2010-10-15,0.061,0.06
0.06,66100.0,0.061,2010-10-18,0.061,0.06
0.059,83190.0,0.059,2010-10-19,0.059,0.059
0.059,240900.0,0.059,2010-10-20,0.059,0.058
0.059,65000.0,0.06,2010-10-21,0.06,0.059
0.059,412000.0,0.059,2010-10-22,0.059,0.058
0.061,274600.0,0.06,2010-10-26,0.061,0.059
0.06,392000.0,0.059,2010-10-27,0.06,0.059
0.06,191000.0,0.06,2010-10-28,0.06,0.059
0.059,589890.0,0.059,2010-10-29,0.06,0.059
0.06,815190.0,0.058,2010-11-02,0.06,0.058
0.06,495140.0,0.059,2010-11-03,0.06,0.058
0.058,61780.0,0.059,2010-11-04,0.059,0.058
0.058,588850.0,0.059,2010-11-08,0.059,0.057
0.057,558860.0,0.058,2010-11-09,0.058,0.057
0.059,154040.0,0.056,2010-11-10,0.059,0.056
0.056,616000.0,0.056,2010-11-11,0.056,0.056
0.055,118900.0,0.055,2010-11-12,0.056,0.055
0.056,61600.0,0.056,2010-11-15,0.056,0.056
0.054,108540.0,0.054,2010-11-18,0.054,0.054
0.056,56000.0,0.056,2010-11-22,0.056,0.056
0.054,21600.0,0.054,2010-11-24,0.054,0.054
0.054,16200.0,0.054,2010-11-26,0.054,0.054
0.054,198900.0,0.053,2010-12-01,0.054,0.053
0.053,112800.0,0.054,2010-12-02,0.054,0.053
0.053,136060.0,0.054,2010-12-03,0.054,0.053
0.054,63800.0,0.053,2010-12-06,0.054,0.053
0.053,356310.0,0.051,2010-12-07,0.053,0.051
0.052,22360.0,0.052,2010-12-08,0.052,0.052
0.049,177500.0,0.047,2010-12-16,0.049,0.047
0.053,10600.0,0.053,2010-12-22,0.053,0.053
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.054,5400.0,0.054,2010-12-28,0.054,0.054
0.05,45000.0,0.05,2011-01-03,0.05,0.05
0.05,45000.0,0.05,2011-01-03,0.05,0.05
0.05,45000.0,0.05,2011-01-03,0.05,0.05
0.056,777660.0,0.057,2011-01-04,0.061,0.055
0.059,37100290.0,0.084,2011-01-05,0.084,0.059
0.084,39340730.0,0.075,2011-01-06,0.085,0.074
0.074,11216540.0,0.071,2011-01-07,0.075,0.069
0.069,5449830.0,0.071,2011-01-10,0.076,0.069
0.071,1322090.0,0.069,2011-01-11,0.071,0.069
0.071,1322090.0,0.069,2011-01-11,0.071,0.069
0.073,1838180.0,0.07,2011-01-12,0.073,0.07
0.072,36703290.0,0.082,2011-01-13,0.086,0.072
0.081,13806750.0,0.074,2011-01-14,0.082,0.071
0.073,2735070.0,0.072,2011-01-17,0.075,0.071
0.073,2588030.0,0.07,2011-01-18,0.073,0.07
0.071,1493250.0,0.071,2011-01-19,0.072,0.07
0.071,1493250.0,0.071,2011-01-19,0.072,0.07
