OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.0,150000.0,3.0,2009-08-03,3.0,3.0
3.0,204000.0,3.0,2009-08-04,3.0,3.0
2.75,16750.0,2.8,2009-08-06,2.8,2.75
2.9,69600.0,2.9,2009-08-13,2.9,2.9
2.85,57000.0,2.85,2009-08-20,2.85,2.85
2.85,17100.0,2.85,2009-08-24,2.85,2.85
2.85,2850.0,2.85,2009-08-25,2.85,2.85
2.9,353600.0,2.9,2009-08-26,2.9,2.85
3.0,6000.0,3.0,2009-09-03,3.0,3.0
3.0,156000.0,3.0,2009-09-04,3.0,3.0
2.9,11550.0,2.85,2009-09-18,2.9,2.85
2.9,203800.0,2.8,2009-09-22,2.9,2.8
2.8,14000.0,2.8,2009-09-23,2.8,2.8
2.75,41250.0,2.75,2009-10-01,2.75,2.75
2.75,2750.0,2.75,2009-10-08,2.75,2.75
2.85,2850.0,2.85,2009-10-15,2.85,2.85
2.85,2850.0,2.85,2009-10-23,2.85,2.85
2.85,142500.0,2.85,2009-10-30,2.85,2.85
2.85,14250.0,2.85,2009-11-05,2.85,2.85
2.04,59160.0,2.04,2009-11-11,2.04,2.04
2.75,21700.0,2.7,2009-12-16,2.75,2.7
2.7,5400.0,2.7,2009-12-17,2.7,2.7
2.8,2800.0,2.8,2009-12-22,2.8,2.8
2.85,2850.0,2.85,2009-12-29,2.85,2.85
2.9,359500.0,2.9,2010-01-22,2.9,2.85
3.0,18000.0,3.0,2010-02-03,3.0,3.0
3.4,197000.0,3.0,2010-03-12,3.4,3.0
3.05,39150.0,3.0,2010-03-16,3.05,3.0
3.0,63000.0,3.0,2010-03-17,3.0,3.0
3.1,21600.0,3.05,2010-04-20,3.1,3.05
2.75,77000.0,2.75,2010-04-23,2.75,2.75
2.8,28000.0,2.8,2010-04-29,2.8,2.8
2.8,193200.0,2.8,2010-04-30,2.8,2.8
3.0,96000.0,2.8,2010-05-04,3.0,2.8
2.8,943600.0,2.8,2010-05-05,2.8,2.8
3.0,21000.0,3.0,2010-05-13,3.0,3.0
2.8,84000.0,2.8,2010-05-17,2.8,2.8
2.85,17100.0,2.85,2010-05-19,2.85,2.85
2.95,287400.0,3.0,2010-05-24,3.0,2.95
2.8,103600.0,2.8,2010-06-23,2.8,2.8
3.0,36000.0,3.0,2010-06-25,3.0,3.0
3.0,27000.0,3.0,2010-07-09,3.0,3.0
3.45,3301200.0,4.35,2010-07-13,4.35,3.45
5.4,3800600.0,5.2,2010-07-14,5.6,4.8
5.4,2211600.0,4.5,2010-07-15,5.4,4.5
4.6,107350.0,4.85,2010-07-16,4.9,4.6
4.85,534150.0,4.6,2010-07-19,4.85,4.3
4.6,1232500.0,4.75,2010-07-20,5.1,4.6
4.55,145850.0,4.8,2010-07-21,4.8,4.55
4.7,78700.0,4.6,2010-07-22,4.7,4.6
4.35,252550.0,4.35,2010-07-23,4.4,4.35
3.8,2058290.0,4.8,2010-09-20,4.8,3.8
4.9,3004550.0,4.2,2010-09-21,4.9,4.2
4.2,1239450.0,4.4,2010-09-22,4.4,4.15
4.5,2555150.0,4.6,2010-09-23,4.8,4.4
4.7,3310700.0,4.65,2010-09-24,5.2,4.65
4.99,3283250.0,4.7,2010-09-27,4.99,4.65
4.7,169600.0,4.75,2010-09-28,4.75,4.55
4.75,232500.0,4.6,2010-09-29,4.75,4.6
4.5,562600.0,4.5,2010-09-30,4.6,4.5
4.5,450000.0,4.5,2010-10-01,4.5,4.5
4.5,1832900.0,4.6,2010-10-04,4.65,4.5
4.5,585750.0,4.65,2010-10-05,4.65,4.5
4.45,357750.0,4.64,2010-10-06,4.65,4.42
4.65,1497070.0,4.65,2010-10-07,4.75,4.65
4.7,4288650.0,5.29,2010-10-08,5.65,4.65
