OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.75,8559550.0,2.7,2009-08-03,2.8,2.7
2.75,10558850.0,2.75,2009-08-04,2.85,2.75
2.75,8687700.0,2.7,2009-08-06,2.9,2.7
2.75,8653500.0,2.7,2009-08-07,2.8,2.65
2.75,185310650.0,3.65,2009-08-10,3.65,2.7
3.7,107127650.0,3.25,2009-08-11,3.75,3.25
3.2,52108850.0,3.15,2009-08-12,3.4,3.15
3.3,173678400.0,3.55,2009-08-13,3.85,3.3
3.7,67917700.0,3.55,2009-08-14,3.75,3.5
3.5,44508000.0,3.3,2009-08-17,3.6,3.3
3.25,37753750.0,3.4,2009-08-18,3.45,3.2
3.5,24506150.0,3.35,2009-08-19,3.55,3.3
3.4,28406500.0,3.25,2009-08-20,3.4,3.25
3.4,13739350.0,3.4,2009-08-24,3.45,3.35
3.45,35848150.0,3.5,2009-08-25,3.65,3.45
3.6,18509350.0,3.55,2009-08-26,3.65,3.55
3.5,17058650.0,3.45,2009-09-03,3.55,3.45
3.45,21976400.0,3.5,2009-09-04,3.6,3.45
3.25,13345950.0,3.2,2009-09-16,3.3,3.1
3.25,10740600.0,3.2,2009-09-17,3.3,3.15
3.25,15945050.0,3.3,2009-09-18,3.3,3.1
3.25,6111350.0,3.15,2009-09-22,3.3,3.15
3.2,4439700.0,3.2,2009-09-23,3.25,3.15
2.95,3583550.0,2.9,2009-09-30,2.95,2.9
2.9,9214050.0,2.85,2009-10-01,2.95,2.85
2.8,8121900.0,2.75,2009-10-02,2.8,2.65
2.75,4821200.0,2.75,2009-10-05,2.85,2.75
2.8,5858550.0,2.9,2009-10-06,2.95,2.8
2.95,6776750.0,2.95,2009-10-07,3.0,2.8
2.9,13184100.0,3.1,2009-10-08,3.15,2.9
3.15,4886850.0,3.0,2009-10-09,3.15,2.95
3.05,2750600.0,2.9,2009-10-12,3.05,2.9
2.95,19824150.0,2.95,2009-10-13,3.1,2.9
