OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
34.75,694392370.0,36.35,2013-02-19,37.0,34.5
36.45,156604010.0,35.3,2013-02-20,36.65,35.0
35.2,145503040.0,36.15,2013-02-21,36.2,34.5
36.1,181452820.0,37.55,2013-02-22,38.0,36.0
37.55,82674905.0,37.6,2013-02-25,38.0,37.3
37.4,85619110.0,37.35,2013-02-26,37.65,36.9
37.5,101740635.0,37.6,2013-02-27,37.85,37.35
37.8,211583395.0,38.65,2013-02-28,38.75,37.8
38.7,29475610.0,38.35,2013-03-01,38.7,38.05
38.5,122523425.0,38.05,2013-03-04,38.75,37.5
38.0,88592720.0,38.5,2013-03-05,38.85,37.85
38.5,72633660.0,38.4,2013-03-06,38.6,38.25
38.35,34771210.0,38.15,2013-03-07,38.4,38.1
38.15,80165175.0,37.5,2013-03-08,38.15,37.4
37.5,62441805.0,37.0,2013-03-11,37.75,36.8
36.9,58019385.0,36.3,2013-03-12,36.9,36.25
36.3,35419995.0,36.6,2013-03-13,37.0,35.75
36.95,13419595.0,36.35,2013-03-14,37.0,36.3
36.35,18477000.0,35.8,2013-03-15,36.35,35.8
35.75,61019470.0,34.6,2013-03-18,36.35,34.5
34.6,57648525.0,33.8,2013-03-19,34.6,33.5
33.5,34950515.0,34.0,2013-03-20,34.3,33.3
34.35,20231185.0,33.95,2013-03-21,34.35,33.5
34.05,38827040.0,34.1,2013-03-22,34.5,33.95
34.7,10533280.0,34.6,2013-03-25,34.7,34.3
34.5,14580570.0,34.2,2013-03-26,34.6,34.15
34.2,19282535.0,34.3,2013-03-27,34.6,34.2
34.4,32266470.0,33.8,2013-04-01,34.45,33.8
33.85,12122725.0,33.85,2013-04-02,33.95,33.6
33.75,11781380.0,34.1,2013-04-03,34.3,33.7
34.05,8289830.0,34.25,2013-04-04,34.35,33.95
34.25,43899220.0,34.9,2013-04-05,35.1,34.0
35.0,34049095.0,35.6,2013-04-08,35.75,34.9
35.6,42878255.0,35.9,2013-04-10,35.95,35.6
35.9,48547695.0,36.1,2013-04-11,36.2,35.9
36.2,41273315.0,36.9,2013-04-12,37.0,36.2
37.0,20001705.0,36.5,2013-04-15,37.0,36.2
36.0,16360295.0,36.5,2013-04-16,36.55,35.6
36.6,25712525.0,36.85,2013-04-17,37.2,36.6
36.5,17674605.0,36.55,2013-04-18,36.9,36.0
36.5,13865450.0,36.0,2013-04-19,36.55,35.9
36.0,28951120.0,35.8,2013-04-22,36.1,35.8
36.0,16295020.0,35.75,2013-04-23,36.0,35.7
35.75,12881725.0,34.9,2013-04-24,35.95,34.9
35.0,10652285.0,34.7,2013-04-25,35.0,34.65
34.65,19118530.0,34.85,2013-04-26,35.0,34.65
34.9,33788810.0,34.0,2013-04-29,34.9,33.85
34.05,33818260.0,34.0,2013-04-30,34.6,33.85
34.0,24923110.0,34.05,2013-05-02,34.5,34.0
34.1,10825480.0,34.15,2013-05-03,34.5,34.1
34.2,23713810.0,34.8,2013-05-06,34.8,34.2
34.8,10769000.0,34.6,2013-05-07,34.8,34.5
34.6,12390975.0,34.1,2013-05-08,34.6,34.1
34.0,65292045.0,34.0,2013-05-09,34.1,33.9
34.0,63249145.0,34.0,2013-05-10,34.5,33.9
34.05,3080535.0,34.15,2013-05-14,34.25,34.05
34.15,11399605.0,34.35,2013-05-15,34.5,34.15
34.35,16799345.0,34.05,2013-05-16,34.4,33.95
34.0,21361570.0,34.05,2013-05-17,34.05,33.8
34.2,12815340.0,34.0,2013-05-20,34.2,34.0
34.1,21878300.0,34.7,2013-05-21,34.7,34.0
34.7,7131345.0,34.5,2013-05-22,34.7,34.25
34.2,88198790.0,32.7,2013-05-23,34.2,32.7
32.75,8831640.0,33.05,2013-05-24,33.45,32.7
33.05,12154590.0,32.65,2013-05-27,33.05,32.5
32.6,9830640.0,32.25,2013-05-28,32.6,31.9
32.25,3309830.0,32.45,2013-05-29,32.55,32.25
32.45,5330080.0,31.75,2013-05-30,32.45,31.65
31.75,21036700.0,31.8,2013-05-31,32.0,31.0
31.0,18204880.0,30.9,2013-06-03,31.5,30.8
31.0,6566480.0,30.2,2013-06-04,31.1,30.2
30.2,2177225.0,30.15,2013-06-05,31.5,30.15
30.15,16432685.0,30.8,2013-06-06,30.8,29.25
31.0,5962050.0,30.0,2013-06-07,31.0,30.0
30.1,8628305.0,31.5,2013-06-10,31.6,30.1
31.5,7764730.0,30.3,2013-06-11,31.5,30.2
30.3,10304675.0,28.9,2013-06-13,30.3,28.5
30.0,3287250.0,28.8,2013-06-14,30.0,28.8
28.8,6266555.0,29.0,2013-06-17,29.1,28.8
29.1,4393140.0,29.0,2013-06-18,29.2,28.9
29.05,3102900.0,29.6,2013-06-19,30.0,29.05
29.05,13463305.0,29.1,2013-06-20,29.5,28.5
28.5,13113485.0,27.45,2013-06-21,28.5,27.0
27.0,4051490.0,24.55,2013-06-24,27.0,24.5
24.55,7974860.0,23.9,2013-06-25,25.0,23.7
24.2,6883970.0,24.95,2013-06-26,26.0,24.2
26.0,3283770.0,25.8,2013-06-27,26.95,25.8
26.0,5214725.0,25.8,2013-06-28,26.0,25.8
26.0,1349700.0,25.65,2013-07-01,26.2,25.6
25.7,1634630.0,26.15,2013-07-02,27.0,25.7
26.0,174320.0,26.0,2013-07-03,26.1,26.0
25.8,444160.0,25.7,2013-07-04,25.8,25.65
26.15,983140.0,25.9,2013-07-05,26.15,25.9
25.9,558780.0,26.0,2013-07-08,26.0,25.7
25.9,1878720.0,25.0,2013-07-09,26.0,25.0
25.0,3012500.0,25.0,2013-07-10,25.0,25.0
25.0,2346055.0,25.2,2013-07-11,25.95,25.0
25.25,1171775.0,25.5,2013-07-12,25.95,25.25
25.55,2231225.0,26.0,2013-07-15,26.0,25.5
26.05,666790.0,25.7,2013-07-16,26.05,25.7
26.0,428250.0,25.7,2013-07-17,26.0,25.6
25.85,452650.0,25.8,2013-07-18,25.9,25.8
25.7,1375180.0,25.7,2013-07-19,25.8,25.7
25.6,371200.0,25.6,2013-07-22,25.6,25.6
25.7,1409145.0,26.4,2013-07-23,26.4,25.7
26.3,702450.0,25.95,2013-07-24,26.3,25.95
25.95,618660.0,26.0,2013-07-25,26.05,25.95
26.0,495360.0,26.0,2013-07-26,26.4,26.0
25.95,1568555.0,25.8,2013-07-29,26.4,25.55
26.0,419970.0,26.0,2013-07-30,26.0,25.9
25.7,618355.0,25.6,2013-07-31,25.7,25.6
25.6,1751990.0,25.5,2013-08-01,25.75,25.45
25.5,1841920.0,25.4,2013-08-02,25.55,25.4
25.5,498980.0,25.4,2013-08-05,25.55,25.4
25.4,48585675.0,25.2,2013-08-06,25.4,25.2
25.15,618035.0,25.2,2013-08-07,25.2,25.1
25.1,3224910.0,24.7,2013-08-08,25.1,24.7
25.5,378295.0,24.85,2013-08-12,25.5,24.75
24.85,3773080.0,24.95,2013-08-13,24.95,24.85
24.9,2058480.0,25.5,2013-08-14,25.5,24.9
25.2,4049890.0,25.0,2013-08-15,25.2,24.95
25.0,11711655.0,24.95,2013-08-16,25.0,24.85
24.8,4702995.0,23.9,2013-08-22,24.8,23.9
24.05,2419045.0,23.85,2013-08-23,24.05,23.85
24.0,1823810.0,23.35,2013-08-27,24.0,23.25
23.0,7208610.0,22.0,2013-08-28,23.0,21.85
22.0,220000.0,22.0,2013-08-29,22.0,22.0
22.0,2257155.0,23.0,2013-08-30,23.15,22.0
23.2,709265.0,24.4,2013-09-02,24.4,23.0
23.05,83060.0,23.1,2013-09-03,23.1,23.05
23.4,392100.0,23.0,2013-09-04,23.4,23.0
23.0,595700.0,23.0,2013-09-05,23.0,23.0
23.0,12988110.0,22.75,2013-09-06,23.0,22.75
23.0,75410.0,22.8,2013-09-09,23.0,22.7
23.0,1131600.0,23.0,2013-09-10,23.0,23.0
23.05,6230315.0,22.9,2013-09-11,23.5,22.9
22.85,652000.0,22.7,2013-09-12,22.85,22.5
22.7,375595.0,22.55,2013-09-13,22.9,22.55
22.6,789735.0,22.7,2013-09-16,22.75,22.6
22.9,23611070.0,22.95,2013-09-17,23.45,22.9
23.0,48811355.0,23.7,2013-09-18,23.75,23.0
24.0,10305825.0,23.85,2013-09-19,24.5,23.7
23.9,8194690.0,24.0,2013-09-20,24.0,23.7
24.0,471380.0,23.8,2013-09-23,24.0,23.8
23.8,918240.0,23.7,2013-09-24,23.8,23.7
23.8,3296560.0,24.0,2013-09-25,24.25,23.8
24.0,4207600.0,24.05,2013-09-26,24.25,24.0
24.1,895105.0,24.1,2013-09-27,24.25,24.1
24.15,5550135.0,24.15,2013-09-30,24.3,24.1
24.3,4175400.0,24.1,2013-10-01,24.3,24.1
24.3,1859810.0,24.5,2013-10-02,24.95,24.1
24.5,848410.0,24.1,2013-10-03,24.5,24.1
24.1,3741560.0,24.15,2013-10-04,24.2,24.1
24.15,124280.0,24.4,2013-10-07,24.5,24.15
24.8,7023625.0,24.4,2013-10-08,24.8,24.4
24.4,12170700.0,24.4,2013-10-09,24.4,24.3
24.15,2479065.0,24.5,2013-10-10,24.5,24.0
24.95,4772660.0,24.25,2013-10-11,24.95,24.15
24.3,1623785.0,24.05,2013-10-14,24.3,24.05
24.5,469300.0,24.2,2013-10-16,24.55,24.2
24.2,569380.0,24.05,2013-10-17,24.2,24.05
24.25,1774535.0,24.05,2013-10-18,24.25,24.0
24.0,242895.0,24.1,2013-10-21,24.1,24.0
24.1,521110.0,24.1,2013-10-22,24.15,24.1
24.5,3213710.0,24.05,2013-10-23,24.5,24.05
24.05,3245250.0,24.05,2013-10-24,24.05,24.0
24.0,1539870.0,24.1,2013-10-25,24.1,24.0
24.1,3689605.0,24.0,2013-10-29,24.1,24.0
24.0,546800.0,24.1,2013-10-30,24.1,24.0
24.0,27897170.0,24.3,2013-10-31,24.3,24.0
24.1,376920.0,24.4,2013-11-04,24.4,24.1
24.4,141040.0,24.4,2013-11-05,24.4,24.2
24.05,7112325.0,24.05,2013-11-06,24.1,24.0
24.0,266620.0,24.2,2013-11-07,24.2,24.0
24.0,673360.0,24.05,2013-11-08,24.05,24.0
24.0,19137800.0,24.0,2013-11-11,24.1,23.95
24.0,23602080.0,23.9,2013-11-12,24.1,23.9
24.0,2182135.0,23.75,2013-11-13,24.0,23.75
24.25,1495225.0,24.0,2013-11-14,24.25,23.75
24.05,7094170.0,23.95,2013-11-15,24.05,23.95
24.0,40800.0,24.0,2013-11-18,24.0,24.0
23.75,407470.0,23.75,2013-11-19,24.0,23.6
23.65,180720.0,24.0,2013-11-20,24.25,23.65
23.65,848670.0,23.7,2013-11-21,24.0,23.6
23.8,317890.0,23.7,2013-11-22,23.8,23.7
23.0,127300.0,23.8,2013-11-25,23.8,23.0
23.8,2082185.0,23.0,2013-11-26,23.9,23.0
23.0,2578910.0,23.05,2013-11-27,23.15,23.0
23.3,23300.0,23.3,2013-11-28,23.3,23.3
23.5,1901015.0,24.35,2013-11-29,24.35,23.5
24.35,975505.0,24.65,2013-12-02,24.7,24.3
24.65,319660.0,24.6,2013-12-03,24.7,24.5
24.6,2836960.0,24.35,2013-12-04,24.95,24.3
24.35,150355.0,24.7,2013-12-05,24.7,24.3
24.05,1481220.0,24.7,2013-12-06,24.7,24.0
24.7,122290.0,24.6,2013-12-09,24.7,24.0
24.0,487780.0,23.9,2013-12-10,24.0,23.9
23.85,182370.0,23.05,2013-12-11,23.85,23.05
23.05,82960.0,23.0,2013-12-12,23.05,23.0
23.05,5218365.0,23.0,2013-12-13,23.05,22.8
23.0,1309355.0,21.6,2013-12-16,23.0,21.6
22.95,50470.0,22.9,2013-12-17,22.95,22.9
22.9,194890.0,23.0,2013-12-18,23.0,22.9
22.95,29550.0,22.0,2013-12-19,22.95,22.0
22.2,70850.0,22.5,2013-12-20,22.5,22.0
22.5,217860.0,22.2,2013-12-23,22.5,22.2
22.3,476090.0,22.3,2013-12-26,22.5,22.3
22.3,662650.0,21.95,2013-12-27,22.8,21.95
21.9,757180.0,22.95,2014-01-02,22.95,21.9
22.75,427215.0,22.95,2014-01-03,22.95,22.75
23.0,36835.0,23.35,2014-01-06,23.35,23.0
22.4,164030.0,22.5,2014-01-07,23.35,21.95
22.5,401805.0,23.4,2014-01-08,23.4,22.5
23.3,421010.0,22.5,2014-01-09,23.3,22.5
22.8,351120.0,22.8,2014-01-10,22.8,22.8
22.5,413260.0,22.5,2014-01-13,22.6,22.5
22.9,2759270.0,23.0,2014-01-14,23.0,22.9
23.0,988400.0,23.0,2014-01-15,23.0,22.8
23.2,2751760.0,23.0,2014-01-16,23.2,23.0
23.3,2430970.0,23.05,2014-01-17,23.3,23.0
23.1,2018820.0,23.3,2014-01-20,23.3,23.05
23.3,883820.0,23.35,2014-01-21,23.35,23.3
23.35,3056605.0,23.5,2014-01-22,23.5,23.35
23.5,458575.0,23.55,2014-01-23,23.6,23.5
23.7,443355.0,23.5,2014-01-24,23.7,23.45
23.0,48500.0,23.5,2014-01-27,23.5,23.0
23.15,233970.0,23.7,2014-01-28,23.7,23.1
23.5,335700.0,23.7,2014-01-29,23.7,23.5
23.8,485910.0,23.1,2014-01-30,23.8,23.1
23.6,94400.0,23.6,2014-02-03,23.6,23.6
23.0,234875.0,23.05,2014-02-04,23.2,23.0
23.05,244300.0,23.0,2014-02-05,23.05,23.0
23.05,212060.0,23.05,2014-02-06,23.05,23.05
23.2,162500.0,23.25,2014-02-07,23.25,23.2
23.35,51445.0,23.35,2014-02-10,23.4,23.35
23.5,346820.0,23.6,2014-02-11,23.6,23.5
23.3,2477530.0,23.4,2014-02-12,23.8,23.3
23.3,74395.0,23.3,2014-02-13,23.3,23.2
23.5,23445.0,23.4,2014-02-14,23.5,23.35
23.35,655640.0,23.0,2014-02-17,23.35,23.0
23.05,1274730.0,23.2,2014-02-18,23.2,23.0
23.35,16160320.0,24.0,2014-02-19,24.0,23.3
24.0,1540100.0,23.7,2014-02-20,24.0,23.7
23.7,2263350.0,23.7,2014-02-21,23.7,23.7
23.4,1844450.0,23.2,2014-02-24,23.4,23.0
23.3,1649290.0,23.15,2014-02-25,23.3,23.15
23.15,842600.0,23.95,2014-02-26,23.95,23.1
23.5,23500.0,23.5,2014-02-27,23.5,23.5
23.15,2619450.0,23.3,2014-02-28,23.8,23.15
24.0,191540.0,23.4,2014-03-03,24.0,23.3
23.2,619460.0,23.3,2014-03-04,23.3,23.2
23.3,236000.0,23.5,2014-03-05,23.8,23.3
24.0,638180.0,23.7,2014-03-06,24.0,23.5
23.6,561740.0,23.4,2014-03-07,23.6,23.4
23.3,2200680.0,23.3,2014-03-10,23.4,23.3
23.75,1944165.0,23.65,2014-03-11,23.75,23.55
23.65,7095.0,23.65,2014-03-12,23.65,23.65
23.65,527545.0,23.8,2014-03-13,23.8,23.65
23.6,705515.0,23.6,2014-03-14,23.6,23.55
23.5,818810.0,23.1,2014-03-17,23.5,23.1
