OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
33.0,29700.0,33.0,2009-08-18,33.0,33.0
33.0,49500.0,33.0,2009-08-24,33.0,33.0
32.0,64000.0,32.0,2009-09-22,32.0,32.0
35.0,3500.0,35.0,2009-10-01,35.0,35.0
40.0,4000.0,40.0,2009-10-09,40.0,40.0
40.0,80000.0,40.0,2009-10-22,40.0,40.0
40.0,12000.0,40.0,2009-10-23,40.0,40.0
42.0,86400.0,44.0,2009-11-03,44.0,42.0
44.0,132000.0,44.0,2009-11-06,44.0,44.0
45.0,40500.0,45.0,2009-11-11,45.0,45.0
28.5,25650.0,28.5,2010-07-01,28.5,28.5
24.5,22050.0,24.5,2010-09-28,24.5,24.5
26.0,26000.0,26.0,2010-10-28,26.0,26.0
25.25,75825.0,25.25,2010-10-29,26.0,25.25
37.85,11355.0,37.85,2010-11-03,37.85,37.85
50.0,185400.0,54.0,2010-11-04,54.0,50.0
54.0,12420.0,54.0,2010-11-08,54.0,54.0
54.0,43200.0,54.0,2010-11-09,54.0,54.0
54.0,10800.0,54.0,2010-11-11,54.0,54.0
60.0,78000.0,60.0,2010-11-26,60.0,60.0
60.0,102600.0,60.0,2010-11-30,60.0,60.0
62.0,130820.0,62.0,2010-12-07,62.0,62.0
55.0,1650.0,55.0,2010-12-16,55.0,55.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
54.0,9180.0,54.0,2010-12-28,54.0,54.0
55.0,33000.0,55.0,2011-01-03,55.0,55.0
55.0,33000.0,55.0,2011-01-03,55.0,55.0
55.0,33000.0,55.0,2011-01-03,55.0,55.0
54.5,21800.0,54.5,2011-01-04,54.5,54.5
54.5,54500.0,54.5,2011-01-05,54.5,54.5
40.5,2025.0,40.5,2011-04-07,40.5,40.5
40.0,4000.0,40.0,2011-05-11,40.0,40.0
40.5,24300.0,40.5,2011-05-16,40.5,40.5
40.0,39000.0,35.0,2011-05-30,40.0,35.0
45.0,267000.0,52.0,2011-05-31,52.0,45.0
55.0,120000.0,50.0,2011-06-01,55.0,50.0
50.5,1358396.5,74.05,2011-06-07,74.05,50.5
80.0,1393040.0,73.0,2011-06-08,85.0,73.0
63.0,269975.0,71.0,2011-06-09,71.0,63.0
68.0,338210.0,67.0,2011-06-10,68.0,65.0
66.0,202490.0,65.5,2011-06-13,66.0,65.5
66.3,80580.0,68.0,2011-06-14,68.0,66.3
66.5,484412.0,69.0,2011-06-15,69.0,66.3
70.0,7000.0,70.0,2011-06-16,70.0,70.0
70.2,89700.0,70.0,2011-06-17,70.2,70.0
67.0,306720.0,68.0,2011-06-22,68.0,67.0
71.5,232420.0,67.5,2011-06-23,71.5,67.5
69.0,671310.0,67.0,2011-06-24,74.5,67.0
66.0,19800.0,66.0,2011-06-27,66.0,66.0
