OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.5,2172500.0,5.5,2009-08-03,5.5,5.5
5.5,7460100.0,5.6,2009-08-04,5.6,5.5
5.6,5340500.0,5.6,2009-08-06,5.6,5.5
5.5,5417500.0,5.5,2009-08-07,5.6,5.4
5.5,2716500.0,5.6,2009-08-10,5.6,5.5
5.7,6983200.0,5.8,2009-08-11,5.8,5.6
5.7,255000.0,5.6,2009-08-12,5.7,5.6
5.6,8161700.0,5.8,2009-08-13,5.9,5.6
5.7,5144600.0,5.6,2009-08-14,5.7,5.5
5.6,16763800.0,5.3,2009-08-17,5.6,5.3
5.3,5898900.0,5.5,2009-08-18,5.5,5.2
5.6,2016100.0,5.6,2009-08-19,5.6,5.3
5.4,3103100.0,5.6,2009-08-20,5.6,5.4
5.5,750200.0,5.5,2009-08-24,5.6,5.5
5.5,385000.0,5.5,2009-08-25,5.5,5.5
5.5,4356000.0,5.5,2009-08-26,5.5,5.5
5.5,2386500.0,5.5,2009-09-03,5.5,5.4
5.5,7916700.0,5.4,2009-09-04,5.5,5.4
5.3,28388400.0,5.2,2009-09-16,5.3,5.2
5.3,4575300.0,5.3,2009-09-17,5.3,5.2
5.3,12991100.0,5.3,2009-09-18,5.3,5.2
5.2,21777500.0,5.2,2009-09-22,5.2,5.1
5.2,5631600.0,5.2,2009-09-23,5.2,5.2
5.1,4282900.0,5.1,2009-09-30,5.1,5.0
5.1,22794400.0,5.0,2009-10-01,5.1,5.0
5.0,9361850.0,5.1,2009-10-02,5.1,4.95
5.1,9217000.0,5.0,2009-10-05,5.1,5.0
5.1,11037900.0,5.0,2009-10-06,5.1,5.0
5.0,31135500.0,5.0,2009-10-07,5.1,5.0
5.0,11905000.0,5.0,2009-10-08,5.0,5.0
5.0,8790000.0,5.0,2009-10-09,5.0,5.0
5.0,4414900.0,5.0,2009-10-12,5.0,4.95
5.0,5250000.0,5.0,2009-10-13,5.0,5.0
5.0,9646550.0,5.0,2009-10-14,5.0,4.95
5.0,19430950.0,4.95,2009-10-15,5.0,4.95
5.0,4184500.0,5.0,2009-10-16,5.0,4.95
5.0,2280000.0,5.0,2009-10-19,5.0,5.0
5.0,375300.0,5.0,2009-10-20,5.1,5.0
5.0,5053100.0,5.1,2009-10-21,5.1,5.0
5.1,3906600.0,5.1,2009-10-22,5.1,5.1
5.1,301000.0,5.2,2009-10-23,5.2,5.1
5.2,1719200.0,5.2,2009-10-26,5.2,5.1
5.1,1139600.0,5.1,2009-10-27,5.2,5.0
5.1,1968400.0,5.2,2009-10-28,5.2,5.0
5.1,4751500.0,5.0,2009-10-29,5.1,5.0
5.0,3305000.0,5.0,2009-10-30,5.0,5.0
5.0,1022200.0,5.0,2009-11-03,5.1,5.0
5.1,3906400.0,5.0,2009-11-04,5.1,5.0
5.0,1080000.0,5.0,2009-11-05,5.0,5.0
5.0,1415400.0,5.0,2009-11-06,5.1,5.0
5.0,1754300.0,5.0,2009-11-09,5.1,5.0
5.1,2717100.0,5.0,2009-11-10,5.1,5.0
5.0,5313700.0,5.1,2009-11-11,5.1,5.0
5.3,2496300.0,5.3,2009-12-15,5.3,5.3
5.3,3127900.0,5.4,2009-12-16,5.4,5.3
5.5,389100.0,5.3,2009-12-17,5.5,5.3
5.3,1277300.0,5.3,2009-12-18,5.3,5.3
5.4,3010700.0,5.3,2009-12-21,5.4,5.3
5.3,1010200.0,5.3,2009-12-22,5.3,5.2
5.2,725500.0,5.3,2009-12-23,5.3,5.2
5.2,1511400.0,5.3,2009-12-29,5.3,5.2
5.3,9709800.0,5.2,2010-01-04,5.3,5.2
5.2,1908500.0,5.2,2010-01-05,5.3,5.2
5.2,1986200.0,5.5,2010-01-06,5.5,5.2
5.4,984500.0,5.5,2010-01-07,5.5,5.3
5.4,596500.0,5.3,2010-01-08,5.4,5.3
5.3,726200.0,5.4,2010-01-11,5.4,5.3
5.3,5215200.0,5.3,2010-01-12,5.3,5.3
5.3,2107000.0,5.2,2010-01-13,5.3,5.2
5.3,3025200.0,5.2,2010-01-14,5.3,5.2
5.4,3159800.0,5.3,2010-01-15,5.4,5.3
5.3,676100.0,5.3,2010-01-18,5.3,5.2
5.3,1286100.0,5.2,2010-01-19,5.3,5.2
5.3,11867700.0,5.1,2010-01-20,5.3,5.1
5.2,282400.0,5.2,2010-01-21,5.2,5.1
5.1,5666200.0,5.0,2010-01-22,5.2,5.0
5.0,254900.0,5.1,2010-01-25,5.1,5.0
5.1,1978800.0,5.1,2010-01-26,5.1,5.1
5.1,3029300.0,5.2,2010-01-27,5.2,5.1
5.1,454000.0,5.1,2010-01-28,5.2,5.1
5.2,2172000.0,5.1,2010-01-29,5.2,5.1
