OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.8,237700.0,5.8,2009-08-03,5.8,5.7
5.9,188800.0,5.9,2009-08-04,5.9,5.9
5.8,392800.0,5.9,2009-08-06,5.9,5.6
5.8,58000.0,5.8,2009-08-07,5.8,5.8
5.8,147400.0,5.9,2009-08-10,5.9,5.8
5.9,194700.0,5.9,2009-08-11,5.9,5.9
5.9,209400.0,5.8,2009-08-13,5.9,5.8
5.9,59000.0,5.9,2009-08-14,5.9,5.9
5.8,333100.0,5.8,2009-08-17,5.8,5.7
5.7,324900.0,5.7,2009-08-18,5.7,5.7
5.8,1456200.0,5.9,2009-08-20,5.9,5.8
6.0,1830200.0,6.2,2009-08-24,6.2,6.0
6.2,608200.0,6.4,2009-08-25,6.4,6.2
6.2,137790900.0,6.8,2009-08-26,7.6,6.2
7.0,140000.0,7.0,2009-09-03,7.0,7.0
7.0,913000.0,7.1,2009-09-04,7.1,7.0
6.8,400700.0,6.8,2009-09-16,6.9,6.7
6.8,326400.0,6.8,2009-09-17,6.8,6.8
6.8,47600.0,6.8,2009-09-18,6.8,6.8
6.6,39500.0,6.5,2009-09-23,6.6,6.5
6.5,19500.0,6.5,2009-10-01,6.5,6.5
6.4,32000.0,6.4,2009-10-02,6.4,6.4
6.4,76800.0,6.4,2009-10-05,6.4,6.4
6.4,19200.0,6.4,2009-10-06,6.4,6.4
6.5,278000.0,6.4,2009-10-07,6.6,6.4
6.4,1455900.0,6.5,2009-10-09,6.5,6.4
6.5,173800.0,6.4,2009-10-12,6.5,6.4
6.5,359500.0,6.5,2009-10-13,6.6,6.5
6.7,1211500.0,6.6,2009-10-14,6.7,6.5
6.6,231300.0,6.7,2009-10-15,6.7,6.6
6.8,639300.0,6.8,2009-10-16,6.9,6.8
6.9,241500.0,6.9,2009-10-20,6.9,6.9
6.6,46200.0,6.6,2009-10-21,6.6,6.6
6.6,264000.0,6.6,2009-10-22,6.6,6.6
6.7,100000.0,6.6,2009-10-26,6.7,6.6
6.6,1028100.0,6.4,2009-10-27,6.6,6.4
6.6,6600.0,6.6,2009-10-28,6.6,6.6
6.4,64000.0,6.4,2009-10-29,6.4,6.4
6.5,278900.0,6.4,2009-10-30,6.5,6.4
6.4,108800.0,6.4,2009-11-03,6.4,6.4
6.4,64000.0,6.4,2009-11-04,6.4,6.4
6.4,44800.0,6.4,2009-11-05,6.4,6.4
6.4,96000.0,6.4,2009-11-06,6.4,6.4
6.4,108800.0,6.4,2009-11-09,6.4,6.4
6.5,65000.0,6.5,2009-11-10,6.5,6.5
6.4,116700.0,6.4,2009-11-11,6.5,6.4
8.1,1675400.0,7.8,2009-12-15,8.1,7.4
7.5,150500.0,7.6,2009-12-16,7.6,7.5
7.8,398700.0,7.9,2009-12-17,7.9,7.7
7.9,1164300.0,7.8,2009-12-18,7.9,7.8
7.6,15200.0,7.6,2009-12-21,7.6,7.6
7.6,147600.0,7.3,2009-12-22,7.6,7.3
7.4,7400.0,7.4,2009-12-29,7.4,7.4
7.5,240100.0,7.6,2010-01-04,7.6,7.5
7.3,140700.0,7.5,2010-01-05,7.5,7.3
