OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
12.0,645743554.0,11.0,2011-10-05,12.0,10.88
11.2,305341878.0,10.68,2011-10-06,11.2,10.68
10.74,70414718.0,10.96,2011-10-07,10.98,10.74
11.02,202542814.0,11.6,2011-10-10,11.6,11.02
11.8,141090158.0,11.36,2011-10-11,11.82,11.34
11.36,15633910.0,11.6,2011-10-12,11.68,11.3
11.52,58812486.0,12.36,2011-10-13,12.36,11.52
12.3,88789480.0,12.1,2011-10-14,12.4,12.0
12.2,86611362.0,12.38,2011-10-17,12.46,12.1
12.38,88507490.0,12.26,2011-10-18,12.38,12.12
12.24,101184396.0,12.2,2011-10-19,12.26,12.2
12.22,48936560.0,12.2,2011-10-20,12.3,12.2
12.24,52250538.0,12.3,2011-10-21,12.34,12.2
12.34,175902084.0,12.2,2011-10-24,12.34,12.2
12.16,45811710.0,12.32,2011-10-25,12.32,12.16
12.18,17098732.0,12.16,2011-10-26,12.24,12.16
12.14,5085446.0,12.22,2011-10-27,12.24,12.14
12.26,140144846.0,12.38,2011-10-28,12.5,12.26
12.26,81729448.0,12.58,2011-11-02,12.58,12.26
12.6,165878004.0,12.74,2011-11-03,12.76,12.5
12.76,238365822.0,14.48,2011-11-04,14.48,12.76
14.46,163709856.0,15.5,2011-11-08,15.94,14.1
15.7,83710682.0,14.8,2011-11-09,15.7,14.3
14.3,97990724.0,14.94,2011-11-10,15.0,14.1
14.94,22707760.0,14.56,2011-11-11,15.0,14.34
14.5,10732538.0,14.68,2011-11-14,15.2,14.5
14.68,128056944.0,14.8,2011-11-15,15.16,14.4
14.92,263932242.0,15.52,2011-11-16,16.2,14.8
15.52,109348832.0,16.32,2011-11-17,17.06,15.52
16.32,157682440.0,16.6,2011-11-18,17.1,16.3
17.1,97740460.0,16.82,2011-11-21,17.1,16.6
16.5,78681390.0,16.16,2011-11-22,16.82,16.02
16.16,162253352.0,14.98,2011-11-23,16.5,14.98
14.94,103981374.0,14.72,2011-11-24,15.0,14.68
14.72,47386662.0,15.36,2011-11-25,15.52,14.72
15.4,24000918.0,15.4,2011-11-28,15.68,15.36
15.62,5428976.0,15.3,2011-11-29,15.62,15.02
15.5,9039398.0,15.3,2011-12-01,15.62,15.3
15.3,68196600.0,15.18,2011-12-02,15.3,15.18
15.1,43709664.0,15.12,2011-12-05,15.18,15.04
15.12,37820316.0,15.0,2011-12-06,15.2,14.98
15.0,233834016.0,15.24,2011-12-07,15.42,15.0
15.3,84015892.0,15.7,2011-12-08,15.88,15.3
15.76,88941120.0,16.72,2011-12-09,16.72,15.76
16.9,135696280.0,17.1,2011-12-12,17.68,16.86
17.1,40602000.0,17.06,2011-12-13,17.36,16.9
17.06,170601976.0,17.1,2011-12-14,17.3,17.0
17.2,48306326.0,17.02,2011-12-15,17.2,17.0
17.04,249909710.0,17.66,2011-12-16,17.84,17.04
17.74,102397940.0,18.2,2011-12-19,18.9,17.66
18.3,186472046.0,18.02,2011-12-20,18.3,18.0
18.4,78012524.0,18.2,2011-12-21,18.6,18.02
18.2,53632960.0,18.06,2011-12-22,18.2,18.04
18.06,100036688.0,18.1,2011-12-23,18.1,18.0
18.06,31178778.0,18.4,2011-12-26,18.52,18.0
18.48,27311654.0,18.34,2011-12-27,18.74,18.12
18.3,18457636.0,18.34,2011-12-28,18.64,18.3
18.34,46044890.0,17.88,2011-12-29,18.34,17.76
18.08,23642346.0,18.02,2012-01-02,18.2,17.78
18.16,26280936.0,18.22,2012-01-03,18.3,18.1
18.28,27205306.0,18.2,2012-01-04,18.44,18.12
18.2,58048756.0,18.08,2012-01-05,18.2,18.0
18.2,35979886.0,18.0,2012-01-06,18.2,18.0
