OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.73,5703300.0,0.7,2009-08-03,0.73,0.67
0.7,3698000.0,0.67,2009-08-04,0.7,0.66
0.69,8699800.0,0.65,2009-08-06,0.69,0.64
0.65,7528800.0,0.62,2009-08-07,0.65,0.62
0.62,17805500.0,0.61,2009-08-10,0.62,0.58
0.6,4238000.0,0.6,2009-08-11,0.63,0.6
0.6,637900.0,0.61,2009-08-12,0.61,0.6
0.61,2143100.0,0.62,2009-08-13,0.62,0.61
0.62,3690400.0,0.63,2009-08-14,0.64,0.62
0.63,286400.0,0.62,2009-08-17,0.63,0.6
0.61,1816300.0,0.62,2009-08-18,0.62,0.6
0.62,2101100.0,0.61,2009-08-19,0.62,0.6
0.61,774700.0,0.61,2009-08-20,0.61,0.61
0.63,2230400.0,0.61,2009-08-24,0.63,0.6
0.61,3245100.0,0.61,2009-08-25,0.62,0.6
0.62,8445700.0,0.62,2009-08-26,0.65,0.61
0.62,4535100.0,0.62,2009-09-03,0.62,0.61
0.62,1534500.0,0.62,2009-09-04,0.63,0.62
0.6,6142100.0,0.57,2009-09-16,0.6,0.56
0.58,5335800.0,0.54,2009-09-17,0.58,0.54
0.55,5001200.0,0.53,2009-09-18,0.55,0.53
0.52,1970600.0,0.53,2009-09-22,0.53,0.52
0.52,2071700.0,0.54,2009-09-23,0.56,0.52
0.55,464700.0,0.54,2009-09-30,0.55,0.54
0.53,528700.0,0.53,2009-10-01,0.55,0.53
0.54,701900.0,0.53,2009-10-02,0.54,0.53
0.54,901800.0,0.54,2009-10-05,0.54,0.54
0.55,2935100.0,0.57,2009-10-06,0.57,0.55
0.58,3325000.0,0.57,2009-10-07,0.59,0.56
0.56,1409700.0,0.55,2009-10-08,0.56,0.55
0.55,936100.0,0.55,2009-10-09,0.56,0.55
0.55,2251200.0,0.57,2009-10-12,0.57,0.54
0.55,759900.0,0.55,2009-10-13,0.56,0.54
0.54,459600.0,0.54,2009-10-14,0.56,0.54
0.54,54000.0,0.54,2009-10-15,0.54,0.54
0.55,1154400.0,0.55,2009-10-16,0.56,0.54
0.55,253100.0,0.55,2009-10-19,0.56,0.55
0.55,512400.0,0.54,2009-10-20,0.55,0.54
0.56,477800.0,0.54,2009-10-21,0.56,0.54
0.54,600000.0,0.54,2009-10-22,0.56,0.54
0.55,186900.0,0.55,2009-10-23,0.55,0.54
0.55,1100800.0,0.55,2009-10-26,0.56,0.54
0.54,1582800.0,0.53,2009-10-27,0.54,0.53
0.54,4074200.0,0.55,2009-10-28,0.56,0.53
0.55,1054900.0,0.54,2009-10-29,0.55,0.54
0.54,442800.0,0.54,2009-10-30,0.54,0.54
0.53,1823700.0,0.52,2009-11-03,0.53,0.52
0.53,306400.0,0.53,2009-11-04,0.53,0.52
0.54,90500.0,0.53,2009-11-05,0.54,0.53
0.52,192600.0,0.53,2009-11-06,0.53,0.52
0.54,595000.0,0.52,2009-11-09,0.54,0.52
0.52,1370400.0,0.52,2009-11-10,0.53,0.5
0.52,3172300.0,0.53,2009-11-11,0.54,0.51
0.39,2783400.0,0.38,2009-12-15,0.39,0.38
0.38,642800.0,0.38,2009-12-16,0.38,0.37
0.38,10232100.0,0.35,2009-12-17,0.38,0.34
0.34,26499300.0,0.36,2009-12-18,0.37,0.34
0.36,2871300.0,0.36,2009-12-21,0.36,0.33
0.35,381600.0,0.36,2009-12-22,0.36,0.35
0.36,536600.0,0.36,2009-12-23,0.37,0.35
0.35,354100.0,0.36,2009-12-29,0.36,0.35
0.35,70100.0,0.35,2010-01-04,0.36,0.35
0.36,8787100.0,0.37,2010-01-05,0.4,0.36
0.38,2133100.0,0.39,2010-01-06,0.39,0.38
0.39,12926900.0,0.36,2010-01-07,0.39,0.35
0.36,785800.0,0.36,2010-01-08,0.37,0.36
0.36,5218500.0,0.35,2010-01-11,0.36,0.35
0.35,683500.0,0.37,2010-01-12,0.37,0.35
0.36,3719500.0,0.37,2010-01-13,0.38,0.36
0.37,9300800.0,0.36,2010-01-14,0.37,0.35
0.35,4852500.0,0.36,2010-01-15,0.36,0.35
0.36,4290500.0,0.34,2010-01-18,0.36,0.34
0.34,6909700.0,0.34,2010-01-19,0.34,0.32
0.34,1194900.0,0.34,2010-01-20,0.34,0.33
0.33,571600.0,0.35,2010-01-21,0.35,0.33
0.33,1796400.0,0.33,2010-01-22,0.34,0.33
0.32,1531800.0,0.33,2010-01-25,0.34,0.32
0.33,1262100.0,0.32,2010-01-26,0.34,0.32
0.32,4296400.0,0.32,2010-01-27,0.32,0.31
0.32,1923800.0,0.33,2010-01-28,0.33,0.31
0.31,1892200.0,0.32,2010-01-29,0.32,0.3
0.3,223300.0,0.32,2010-02-01,0.32,0.3
0.31,122600.0,0.32,2010-02-02,0.32,0.3
0.31,3146400.0,0.3,2010-02-03,0.32,0.3
0.3,1068800.0,0.3,2010-02-04,0.3,0.29
0.28,476900.0,0.29,2010-02-05,0.29,0.28
0.28,756300.0,0.28,2010-02-08,0.29,0.28
0.27,4226200.0,0.25,2010-02-09,0.27,0.24
0.26,1694100.0,0.28,2010-02-10,0.28,0.26
0.28,845600.0,0.28,2010-02-11,0.28,0.26
0.37,4852600.0,0.36,2010-03-08,0.38,0.35
0.35,794700.0,0.35,2010-03-12,0.35,0.34
0.35,2702500.0,0.36,2010-03-15,0.36,0.34
0.35,875200.0,0.34,2010-03-16,0.36,0.34
0.34,1211500.0,0.34,2010-03-17,0.34,0.33
0.32,371200.0,0.32,2010-03-31,0.32,0.32
0.33,1114400.0,0.31,2010-04-20,0.33,0.31
0.31,167400.0,0.31,2010-04-21,0.31,0.31
0.31,155000.0,0.31,2010-04-22,0.31,0.31
0.31,210800.0,0.31,2010-04-23,0.31,0.31
0.31,616200.0,0.31,2010-04-29,0.32,0.31
0.31,394800.0,0.31,2010-04-30,0.31,0.3
0.31,2234700.0,0.3,2010-05-04,0.31,0.29
0.3,382800.0,0.3,2010-05-05,0.31,0.29
0.29,284300.0,0.29,2010-05-13,0.3,0.29
0.29,1497700.0,0.3,2010-05-14,0.3,0.29
0.3,64800.0,0.29,2010-05-17,0.3,0.29
0.3,24000.0,0.3,2010-05-18,0.3,0.3
0.29,13470000.0,0.35,2010-06-29,0.35,0.29
0.34,4275900.0,0.33,2010-07-01,0.35,0.32
0.34,2205400.0,0.32,2010-07-02,0.34,0.32
0.32,9732500.0,0.32,2010-07-06,0.34,0.32
0.32,1085500.0,0.33,2010-07-07,0.33,0.32
0.33,1940800.0,0.33,2010-07-08,0.34,0.32
0.34,6019200.0,0.33,2010-07-09,0.34,0.33
0.32,2671200.0,0.32,2010-07-13,0.32,0.31
0.31,411800.0,0.3,2010-07-14,0.31,0.3
0.3,1077300.0,0.31,2010-07-15,0.31,0.3
0.31,1062400.0,0.32,2010-07-16,0.32,0.3
0.31,626300.0,0.31,2010-07-19,0.31,0.3
0.31,297600.0,0.31,2010-07-20,0.31,0.31
0.31,337100.0,0.31,2010-07-21,0.32,0.3
0.31,124200.0,0.31,2010-07-22,0.31,0.3
0.3,778200.0,0.32,2010-07-23,0.32,0.3
0.31,96150.0,0.31,2010-09-20,0.315,0.31
0.32,627000.0,0.315,2010-09-21,0.32,0.3
0.31,65050.0,0.305,2010-09-22,0.31,0.305
0.3,186600.0,0.295,2010-09-23,0.3,0.295
0.295,710600.0,0.31,2010-09-24,0.32,0.295
0.32,301900.0,0.31,2010-09-27,0.32,0.31
0.31,6250.0,0.315,2010-09-28,0.315,0.31
0.31,12400.0,0.31,2010-09-29,0.31,0.31
0.295,129850.0,0.295,2010-09-30,0.3,0.295
0.31,53050.0,0.315,2010-10-01,0.315,0.31
0.3,18450.0,0.315,2010-10-04,0.315,0.3
0.31,40300.0,0.31,2010-10-05,0.31,0.31
0.31,129800.0,0.3,2010-10-06,0.31,0.3
0.295,478350.0,0.295,2010-10-07,0.3,0.295
0.29,242600.0,0.285,2010-10-08,0.29,0.285
0.29,439700.0,0.295,2010-10-12,0.295,0.28
0.28,247200.0,0.29,2010-10-13,0.295,0.28
0.295,429050.0,0.29,2010-10-14,0.295,0.28
0.29,144000.0,0.29,2010-10-15,0.29,0.28
0.285,88400.0,0.29,2010-10-19,0.29,0.285
0.28,949500.0,0.28,2010-10-20,0.28,0.275
0.28,564000.0,0.275,2010-10-21,0.28,0.27
0.28,427250.0,0.275,2010-10-22,0.28,0.275
0.275,172500.0,0.28,2010-10-26,0.28,0.275
0.275,39050.0,0.28,2010-10-27,0.28,0.275
0.27,106850.0,0.28,2010-10-28,0.28,0.27
0.27,121600.0,0.275,2010-11-02,0.275,0.27
0.27,266450.0,0.275,2010-11-03,0.275,0.27
0.275,534200.0,0.275,2010-11-04,0.28,0.275
0.27,437200.0,0.275,2010-11-08,0.275,0.27
0.27,143700.0,0.275,2010-11-09,0.275,0.27
0.275,186750.0,0.275,2010-11-10,0.275,0.27
0.27,202550.0,0.275,2010-11-11,0.275,0.27
0.27,346100.0,0.275,2010-11-12,0.275,0.265
0.27,120100.0,0.27,2010-11-15,0.27,0.265
0.26,142400.0,0.265,2010-11-17,0.27,0.26
0.27,76700.0,0.27,2010-11-18,0.27,0.26
0.26,22175600.0,0.27,2010-11-19,0.27,0.26
0.27,80000.0,0.27,2010-11-22,0.27,0.265
0.265,320750.0,0.265,2010-11-23,0.275,0.265
0.26,78000.0,0.26,2010-11-25,0.26,0.26
0.26,466600.0,0.26,2010-11-26,0.26,0.255
0.25,174150.0,0.265,2010-11-30,0.265,0.25
0.26,13000.0,0.26,2010-12-01,0.26,0.26
0.265,428050.0,0.26,2010-12-02,0.265,0.25
0.265,83700.0,0.26,2010-12-03,0.265,0.255
0.25,150200.0,0.25,2010-12-06,0.26,0.25
0.255,89750.0,0.26,2010-12-08,0.26,0.255
0.245,130100.0,0.245,2010-12-16,0.245,0.24
0.245,17241000.0,0.26,2010-12-22,0.26,0.245
0.26,390000.0,0.26,2010-12-23,0.27,0.255
0.26,383500.0,0.25,2010-12-28,0.26,0.25
0.26,383500.0,0.25,2010-12-28,0.26,0.25
0.26,383500.0,0.25,2010-12-28,0.26,0.25
