OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.16,444150.0,0.19,2009-08-03,0.19,0.16
0.18,506650.0,0.19,2009-08-04,0.19,0.16
0.19,830000.0,0.15,2009-08-06,0.19,0.15
0.165,221400.0,0.165,2009-08-07,0.165,0.15
0.165,149150.0,0.16,2009-08-10,0.165,0.16
0.16,3200.0,0.16,2009-08-12,0.16,0.16
0.16,4600.0,0.14,2009-08-14,0.16,0.14
0.14,256900.0,0.14,2009-08-17,0.16,0.14
0.14,11200.0,0.14,2009-08-18,0.14,0.14
0.14,22400.0,0.14,2009-08-19,0.14,0.14
0.14,182000.0,0.14,2009-08-24,0.14,0.14
0.15,7500.0,0.15,2009-08-26,0.15,0.15
0.14,42000.0,0.14,2009-09-03,0.14,0.14
0.115,23200.0,0.135,2009-09-16,0.135,0.115
0.12,117600.0,0.13,2009-09-17,0.13,0.11
0.11,2400.0,0.13,2009-09-18,0.13,0.11
0.135,23400.0,0.12,2009-09-22,0.135,0.12
0.1,121000.0,0.11,2009-09-30,0.11,0.1
0.105,127150.0,0.115,2009-10-01,0.12,0.105
0.115,1150.0,0.115,2009-10-06,0.115,0.115
0.115,23000.0,0.115,2009-10-08,0.115,0.115
0.11,104550.0,0.115,2009-10-09,0.115,0.11
0.115,78000.0,0.11,2009-10-14,0.115,0.11
0.115,646450.0,0.12,2009-10-15,0.125,0.105
0.125,391500.0,0.125,2009-10-16,0.125,0.12
0.12,144000.0,0.12,2009-10-19,0.12,0.12
0.12,95250.0,0.125,2009-10-20,0.125,0.11
0.12,297600.0,0.12,2009-10-26,0.12,0.12
0.125,372350.0,0.12,2009-10-27,0.13,0.12
0.13,90800.0,0.13,2009-10-28,0.14,0.12
0.12,144800.0,0.12,2009-10-29,0.125,0.115
0.11,410000.0,0.12,2009-10-30,0.13,0.11
0.13,148150.0,0.12,2009-11-03,0.13,0.115
0.115,121900.0,0.12,2009-11-05,0.12,0.115
0.12,16800.0,0.12,2009-11-06,0.12,0.12
0.115,85150.0,0.12,2009-11-09,0.12,0.115
0.115,36350.0,0.12,2009-11-10,0.12,0.115
0.105,9450.0,0.105,2009-12-21,0.105,0.105
0.105,22050.0,0.105,2009-12-22,0.105,0.105
0.105,16800.0,0.105,2009-12-29,0.105,0.105
0.105,6350.0,0.11,2010-01-04,0.11,0.105
0.105,52750.0,0.11,2010-01-05,0.11,0.105
0.1,51100.0,0.11,2010-01-06,0.11,0.1
0.11,67750.0,0.12,2010-01-07,0.12,0.105
0.105,3300.0,0.12,2010-01-11,0.12,0.105
0.115,75350.0,0.12,2010-01-12,0.125,0.115
0.11,55000.0,0.11,2010-01-13,0.11,0.11
0.11,4400.0,0.11,2010-01-15,0.11,0.11
0.11,2200.0,0.11,2010-01-18,0.11,0.11
0.105,3150.0,0.105,2010-01-20,0.105,0.105
0.105,82950.0,0.105,2010-01-25,0.105,0.105
0.1,1000.0,0.1,2010-01-26,0.1,0.1
