OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
8.3,83000.0,8.3,2009-08-03,8.3,8.3
8.3,132800.0,8.3,2009-08-04,8.3,8.3
8.4,126000.0,8.4,2009-08-06,8.4,8.4
8.3,141100.0,8.3,2009-08-07,8.3,8.3
8.4,168000.0,8.4,2009-08-11,8.4,8.4
8.4,420000.0,8.4,2009-08-13,8.4,8.4
8.5,169000.0,8.4,2009-08-14,8.5,8.4
8.3,167000.0,8.4,2009-08-18,8.4,8.3
8.4,67700.0,8.5,2009-08-19,8.5,8.4
8.5,94000.0,8.6,2009-08-20,8.6,8.5
8.6,225100.0,8.7,2009-08-25,8.7,8.6
8.7,217500.0,8.7,2009-08-26,8.7,8.7
8.8,301300.0,8.9,2009-09-03,8.9,8.8
9.2,233300.0,10.0,2009-09-04,10.5,9.2
9.1,72600.0,9.1,2009-09-17,9.1,9.0
9.1,273000.0,9.1,2009-09-18,9.1,9.1
9.3,186000.0,9.3,2009-09-22,9.3,9.3
9.2,165600.0,9.2,2009-09-23,9.2,9.2
9.0,80600.0,8.9,2009-10-06,9.0,8.9
9.1,367500.0,9.2,2009-10-07,9.2,9.1
9.0,73400.0,9.2,2009-10-08,9.2,9.0
9.2,36800.0,9.2,2009-10-12,9.2,9.2
9.4,329000.0,9.4,2009-10-13,9.4,9.4
9.3,28100.0,9.4,2009-10-14,9.4,9.3
9.4,294300.0,9.5,2009-10-19,9.5,9.4
9.6,290000.0,9.7,2009-10-20,9.7,9.6
9.7,48500.0,9.7,2009-10-21,9.7,9.7
9.5,285000.0,9.5,2009-10-28,9.5,9.5
9.2,36800.0,9.2,2009-11-04,9.2,9.2
9.2,239200.0,9.2,2009-11-05,9.2,9.2
9.2,181200.0,9.0,2009-11-06,9.2,9.0
9.1,9100.0,9.1,2009-11-09,9.1,9.1
9.1,182000.0,9.1,2009-12-15,9.1,9.1
9.0,135000.0,9.0,2009-12-16,9.0,9.0
9.1,1256400.0,9.1,2009-12-22,9.2,9.0
9.2,1250000.0,9.5,2009-12-23,9.5,9.2
9.8,1707800.0,9.9,2009-12-29,10.0,9.8
10.0,60000.0,10.0,2010-01-04,10.0,10.0
10.0,50000.0,10.0,2010-01-06,10.0,10.0
9.8,49200.0,10.0,2010-01-07,10.0,9.8
9.8,245000.0,9.8,2010-01-14,9.8,9.8
9.8,59300.0,9.9,2010-01-15,9.9,9.8
9.9,109400.0,9.9,2010-01-26,10.0,9.9
9.7,87300.0,9.7,2010-01-27,9.7,9.7
9.9,108100.0,9.5,2010-01-28,9.9,9.5
9.6,115200.0,9.6,2010-02-01,9.6,9.6
9.9,9900.0,9.9,2010-02-02,9.9,9.9
9.0,18000.0,9.0,2010-02-03,9.0,9.0
9.5,9500.0,9.5,2010-02-04,9.5,9.5
9.5,95000.0,9.5,2010-02-05,9.5,9.5
9.4,18900.0,9.5,2010-02-08,9.5,9.4
9.5,95000.0,9.5,2010-02-09,9.5,9.5
9.6,192000.0,9.6,2010-02-10,9.6,9.6
9.5,95000.0,9.5,2010-02-11,9.5,9.5
10.0,8000.0,10.0,2010-03-15,10.0,10.0
10.25,534250.0,10.5,2010-03-31,10.5,10.25
10.0,400000.0,10.0,2010-04-20,10.0,10.0
10.0,100000.0,10.0,2010-04-21,10.0,10.0
10.0,100000.0,10.0,2010-04-22,10.0,10.0
9.7,9700.0,9.7,2010-04-23,9.7,9.7
10.0,120000.0,10.0,2010-05-05,10.0,10.0
10.0,1160000.0,10.0,2010-05-14,10.0,10.0
10.0,670000.0,10.0,2010-05-17,10.0,10.0
10.0,490000.0,10.0,2010-05-18,10.0,10.0
9.9,29700.0,9.9,2010-05-19,9.9,9.9
9.8,294000.0,9.8,2010-05-25,9.8,9.8
9.8,147000.0,9.8,2010-06-04,9.8,9.8
9.7,29100.0,9.7,2010-06-09,9.7,9.7
9.7,291000.0,9.7,2010-06-15,9.7,9.7
9.7,271600.0,9.7,2010-06-16,9.7,9.7
10.0,50000.0,10.0,2010-06-21,10.0,10.0
10.0,50000.0,10.0,2010-06-22,10.0,10.0
9.7,9700.0,9.7,2010-06-24,9.7,9.7
9.6,403200.0,9.6,2010-06-25,9.6,9.6
9.6,288000.0,9.6,2010-06-28,9.6,9.6
10.0,20000.0,10.0,2010-06-29,10.0,10.0
9.5,190000.0,9.5,2010-07-02,9.5,9.5
9.5,342000.0,9.5,2010-07-07,9.5,9.5
9.5,294500.0,9.5,2010-07-08,9.5,9.5
9.5,95000.0,9.5,2010-07-13,9.5,9.5
9.5,85500.0,9.5,2010-07-14,9.5,9.5
9.5,95000.0,9.5,2010-07-15,9.5,9.5
9.4,207200.0,9.5,2010-07-16,9.5,9.4
9.4,188000.0,9.4,2010-07-20,9.4,9.4
9.4,47000.0,9.4,2010-07-21,9.4,9.4
9.4,84600.0,9.4,2010-07-23,9.4,9.4
9.75,29250.0,9.75,2010-09-20,9.75,9.75
9.75,565500.0,9.75,2010-09-21,9.75,9.75
9.7,97000.0,9.7,2010-09-22,9.7,9.7
9.75,387500.0,10.0,2010-09-23,10.0,9.75
10.0,425000.0,10.0,2010-09-24,10.0,10.0
10.0,2000.0,10.0,2010-09-27,10.0,10.0
10.0,97080.0,10.02,2010-09-28,10.02,10.0
11.0,337118.0,12.0,2010-09-29,13.0,10.06
12.5,258750.0,13.0,2010-09-30,15.0,12.5
13.5,236250.0,13.5,2010-10-01,13.5,13.5
13.9,12350.0,13.5,2010-10-04,13.9,13.5
10.04,16348.0,13.0,2010-10-05,13.4,10.04
13.0,19428.0,12.28,2010-10-06,13.0,12.28
12.3,194934.0,12.24,2010-10-07,12.3,12.24
12.24,1224.0,12.24,2010-10-08,12.24,12.24
11.0,44000.0,11.0,2010-10-12,11.0,11.0
12.0,62000.0,11.0,2010-10-13,12.0,11.0
11.1,17100.0,12.0,2010-10-14,12.0,11.1
11.0,33000.0,11.0,2010-10-15,11.0,11.0
11.5,33900.0,11.2,2010-10-18,11.5,11.2
11.2,137300.0,11.0,2010-10-19,11.2,10.8
11.0,74800.0,11.0,2010-10-21,11.0,11.0
10.8,59040.0,10.8,2010-10-22,10.8,10.6
11.02,110020.0,11.0,2010-10-27,11.02,11.0
11.0,5500.0,11.0,2010-10-28,11.0,11.0
11.0,5500.0,11.0,2010-10-29,11.0,11.0
11.0,42460.0,11.2,2010-11-02,11.2,11.0
11.8,16520.0,11.8,2010-11-03,11.8,11.8
11.4,2280.0,11.4,2010-11-08,11.4,11.4
11.44,11440.0,11.44,2010-11-09,11.44,11.44
11.8,11800.0,11.8,2010-11-10,11.8,11.8
11.42,15988.0,11.42,2010-11-12,11.42,11.42
11.2,162400.0,11.2,2010-11-15,11.2,11.2
11.5,20300.0,11.0,2010-11-22,11.5,11.0
11.0,192500.0,11.0,2010-11-23,11.0,11.0
11.0,121000.0,11.0,2010-11-24,11.0,11.0
11.0,122896.0,10.7,2010-11-25,11.0,10.7
10.74,53130.0,10.6,2010-11-30,10.74,10.6
10.62,249160.0,11.0,2010-12-01,11.0,10.62
11.0,16350.0,10.7,2010-12-02,11.0,10.7
10.7,107000.0,10.7,2010-12-03,10.7,10.7
11.0,264660.0,10.6,2010-12-06,11.0,10.6
10.9,69150.0,11.0,2010-12-07,11.0,10.9
10.98,54910.0,11.0,2010-12-08,11.0,10.98
11.8,5900.0,11.8,2010-12-22,11.8,11.8
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
11.7,17550.0,11.7,2010-12-28,11.7,11.7
10.8,146410.0,11.6,2010-12-29,11.6,10.5
10.8,146410.0,11.6,2010-12-29,11.6,10.5
11.5,27740.0,11.6,2011-01-04,11.6,11.5
11.5,23030.0,11.6,2011-01-06,11.6,11.5
11.5,6900.0,11.5,2011-01-10,11.5,11.5
11.6,4640.0,11.6,2011-01-12,11.6,11.6
11.6,34570.0,11.6,2011-01-13,11.6,11.1
11.6,5800.0,11.6,2011-01-14,11.6,11.6
11.5,29760.0,11.6,2011-01-17,11.6,11.4
11.2,4480.0,11.2,2011-01-18,11.2,11.2
11.5,122450.0,11.7,2011-01-19,11.7,11.5
11.5,122450.0,11.7,2011-01-19,11.7,11.5
11.7,16420.0,11.8,2011-01-20,11.8,11.7
11.7,16420.0,11.8,2011-01-20,11.8,11.7
11.3,2260.0,11.3,2011-01-24,11.3,11.3
12.4,74400.0,12.4,2011-01-25,12.4,12.4
11.8,17700.0,11.8,2011-01-27,11.8,11.8
12.0,10800.0,12.0,2011-01-31,12.0,12.0
12.0,10800.0,12.0,2011-01-31,12.0,12.0
12.9,7740.0,12.9,2011-02-01,12.9,12.9
12.9,7740.0,12.9,2011-02-01,12.9,12.9
11.7,7020.0,11.7,2011-02-03,11.7,11.7
11.7,31590.0,11.7,2011-02-14,11.7,11.7
11.5,1150.0,11.5,2011-02-18,11.5,11.5
11.7,30420.0,11.7,2011-02-22,11.7,11.7
11.7,30420.0,11.7,2011-02-22,11.7,11.7
12.6,15120.0,12.6,2011-02-23,12.6,12.6
12.6,15120.0,12.6,2011-02-23,12.6,12.6
11.9,211810.0,11.5,2011-02-24,11.9,11.5
11.9,211810.0,11.5,2011-02-24,11.9,11.5
11.6,18000.0,12.6,2011-02-25,12.6,11.6
11.8,18270.0,12.5,2011-02-28,12.5,11.8
11.7,12870.0,11.7,2011-03-02,11.7,11.7
11.9,73050.0,12.0,2011-03-04,12.0,11.9
11.9,73050.0,12.0,2011-03-04,12.0,11.9
12.2,397720.0,12.2,2011-03-08,12.2,12.2
12.2,397720.0,12.2,2011-03-08,12.2,12.2
11.8,59000.0,11.8,2011-03-17,11.8,11.8
11.8,332760.0,11.8,2011-03-18,11.8,11.8
13.0,36400.0,13.0,2011-03-22,13.0,13.0
14.0,14000.0,14.0,2011-03-25,14.0,14.0
13.8,14980.0,13.6,2011-03-28,13.8,13.6
13.3,132900.0,12.5,2011-03-29,13.3,12.5
12.1,22990.0,12.1,2011-03-30,12.1,12.1
12.5,543940.0,12.4,2011-03-31,12.5,12.4
12.4,12400.0,12.4,2011-04-01,12.4,12.4
12.4,6210.0,12.5,2011-04-04,12.5,12.4
12.5,12500.0,12.5,2011-04-05,12.5,12.5
12.3,6150.0,12.3,2011-04-06,12.3,12.3
12.3,270000.0,12.2,2011-04-07,12.3,12.2
12.1,26800.0,12.3,2011-04-11,12.3,12.0
12.2,153680.0,12.2,2011-04-14,12.2,12.0
12.24,37948.0,12.26,2011-04-15,12.26,12.24
12.44,283306.0,13.0,2011-04-26,13.0,12.44
13.0,48314.0,12.42,2011-04-27,13.0,12.42
12.36,103944.0,12.36,2011-04-28,12.4,12.36
12.52,100060.0,12.5,2011-04-29,12.52,12.5
12.5,165830.0,12.8,2011-05-02,13.1,12.32
12.52,91320.0,12.8,2011-05-03,12.8,12.52
13.0,222654.0,13.2,2011-05-04,13.2,13.0
13.2,192100.0,13.4,2011-05-05,13.4,13.2
13.4,333040.0,13.2,2011-05-06,13.4,13.2
13.2,423320.0,13.2,2011-05-09,13.5,13.16
13.5,427834.0,13.48,2011-05-10,13.5,13.4
13.5,131634.0,13.6,2011-05-11,13.74,13.5
13.3,6734.0,13.72,2011-05-12,13.72,13.3
13.8,17700.0,13.6,2011-05-13,13.8,13.6
13.8,60900.0,13.5,2011-05-16,13.8,13.5
13.8,20700.0,13.8,2011-05-17,13.8,13.8
13.5,118400.0,13.2,2011-05-18,13.7,13.2
13.5,330940.0,13.2,2011-05-19,13.6,13.2
13.2,124836.0,13.12,2011-05-20,13.2,13.12
13.12,131200.0,13.12,2011-05-23,13.12,13.12
13.3,433580.0,13.3,2011-05-27,13.3,13.3
13.3,73150.0,13.3,2011-05-30,13.3,13.3
13.3,301502.0,13.26,2011-05-31,13.3,13.08
13.1,323588.0,12.8,2011-06-01,13.1,12.8
12.3,274112.0,12.3,2011-06-03,12.3,12.28
12.2,657160.0,12.5,2011-06-06,12.5,12.2
12.5,196250.0,12.5,2011-06-07,12.5,12.5
12.5,388984.0,12.14,2011-06-08,12.5,12.12
13.0,2600.0,13.0,2011-06-09,13.0,13.0
13.0,65000.0,13.0,2011-06-13,13.0,13.0
13.0,270400.0,13.0,2011-06-14,13.0,13.0
13.0,130000.0,13.0,2011-06-16,13.0,13.0
13.0,71500.0,13.0,2011-06-17,13.0,13.0
13.0,32500.0,13.0,2011-06-21,13.0,13.0
13.7,39400.0,12.5,2011-06-30,13.7,12.5
13.0,2600.0,13.0,2011-07-01,13.0,13.0
13.0,3900.0,13.0,2011-07-04,13.0,13.0
12.3,40590.0,12.3,2011-07-05,12.3,12.3
13.0,3900.0,13.0,2011-07-11,13.0,13.0
13.0,120950.0,13.5,2011-07-12,13.5,13.0
13.5,17320.0,13.3,2011-07-13,13.5,13.3
13.48,157732.0,13.6,2011-07-14,13.7,13.48
