OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.58,13140780.0,2.68,2011-11-24,2.8,2.53
2.7,8508000.0,2.75,2011-11-25,2.75,2.55
2.75,4520180.0,2.85,2011-11-28,2.85,2.7
2.85,2461220.0,2.8,2011-11-29,2.88,2.8
2.82,528060.0,2.75,2011-12-01,2.82,2.71
2.75,1298220.0,2.64,2011-12-02,2.78,2.64
2.64,2076860.0,2.64,2011-12-05,2.74,2.6
2.62,271400.0,2.6,2011-12-06,2.62,2.6
2.59,1622410.0,2.27,2011-12-07,2.59,2.24
2.3,306040.0,2.39,2011-12-08,2.39,2.29
2.33,456540.0,2.28,2011-12-09,2.36,2.28
2.28,381000.0,2.25,2011-12-12,2.28,2.25
2.25,122700.0,2.32,2011-12-13,2.32,2.25
2.35,202300.0,2.35,2011-12-14,2.36,2.35
2.36,908430.0,2.24,2011-12-15,2.36,2.24
2.24,125990.0,2.25,2011-12-16,2.25,2.24
2.4,379550.0,2.4,2011-12-19,2.4,2.32
2.32,58000.0,2.32,2011-12-20,2.32,2.32
2.3,27600.0,2.3,2011-12-21,2.3,2.3
2.3,384100.0,2.3,2011-12-22,2.3,2.3
2.3,58500.0,2.4,2011-12-23,2.4,2.3
2.28,39920.0,2.39,2011-12-26,2.4,2.28
2.39,23900.0,2.39,2011-12-27,2.39,2.39
2.3,93940.0,2.29,2011-12-28,2.3,2.29
2.3,896910.0,2.47,2011-12-29,2.49,2.3
2.35,246750.0,2.35,2012-01-02,2.35,2.35
2.35,70500.0,2.35,2012-01-03,2.35,2.35
2.35,32860.0,2.34,2012-01-04,2.35,2.34
2.33,79980.0,2.4,2012-01-05,2.4,2.3
2.33,307410.0,2.32,2012-01-06,2.33,2.32
2.32,20880.0,2.32,2012-01-09,2.32,2.32
2.39,40500.0,2.33,2012-01-10,2.39,2.32
2.33,62880.0,2.33,2012-01-11,2.33,2.32
2.33,194080.0,2.32,2012-01-12,2.39,2.3
2.32,194680.0,2.28,2012-01-13,2.32,2.28
2.29,91600.0,2.29,2012-01-16,2.29,2.29
2.35,425620.0,2.35,2012-01-17,2.45,2.33
2.34,35160.0,2.35,2012-01-18,2.35,2.34
2.32,93710.0,2.35,2012-01-19,2.35,2.32
2.33,156230.0,2.45,2012-01-20,2.45,2.32
2.4,33600.0,2.4,2012-01-25,2.4,2.4
2.4,24000.0,2.4,2012-01-26,2.4,2.4
2.25,56180.0,2.35,2012-01-27,2.39,2.25
2.26,463610.0,2.25,2012-02-01,2.27,2.25
2.26,130300.0,2.3,2012-02-02,2.3,2.26
2.3,181580.0,2.29,2012-02-03,2.3,2.29
2.3,34500.0,2.3,2012-02-06,2.3,2.3
2.4,203100.0,2.25,2012-02-07,2.4,2.25
2.4,60000.0,2.4,2012-02-08,2.4,2.4
2.4,119700.0,2.38,2012-02-09,2.4,2.38
2.38,404980.0,2.35,2012-02-10,2.4,2.35
2.25,11250.0,2.25,2012-02-13,2.25,2.25
2.25,621250.0,2.28,2012-02-15,2.3,2.25
2.28,114000.0,2.28,2012-02-16,2.28,2.28
2.27,335189.99999999994,2.28,2012-02-17,2.32,2.27
2.28,308340.0,2.29,2012-02-20,2.32,2.28
2.31,798060.0,2.31,2012-02-21,2.31,2.29
