OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.78,11096560.0,1.76,2009-08-03,1.8,1.76
1.8,15791500.0,1.8,2009-08-04,1.82,1.78
1.82,9142620.0,1.82,2009-08-06,1.84,1.8
1.82,5966880.0,1.84,2009-08-07,1.84,1.78
1.86,3570800.0,1.84,2009-08-10,1.86,1.82
1.84,3685120.0,1.86,2009-08-11,1.86,1.8
1.84,1699740.0,1.84,2009-08-12,1.86,1.84
1.86,4212340.0,1.84,2009-08-13,1.86,1.84
1.84,2354960.0,1.84,2009-08-14,1.84,1.8
1.82,5979040.0,1.8,2009-08-17,1.82,1.78
1.78,24091260.0,1.76,2009-08-18,1.78,1.74
1.78,12586720.0,1.76,2009-08-19,1.78,1.76
1.78,5332160.0,1.76,2009-08-20,1.78,1.74
1.8,54749880.0,1.82,2009-08-24,1.86,1.8
1.82,9083780.0,1.84,2009-08-25,1.84,1.82
1.86,55531880.0,2.1,2009-08-26,2.12,1.84
2.2,16049040.0,2.18,2009-09-03,2.2,2.16
2.2,12399580.0,2.24,2009-09-04,2.24,2.2
2.22,10308540.0,2.14,2009-09-16,2.22,2.1
2.16,4454920.0,2.14,2009-09-17,2.18,2.14
2.18,7317160.0,2.2,2009-09-18,2.24,2.16
2.24,8348160.0,2.22,2009-09-22,2.24,2.2
2.24,7780460.0,2.24,2009-09-23,2.26,2.22
2.3,32403720.0,2.46,2009-09-30,2.46,2.3
2.5,25451180.0,2.44,2009-10-01,2.55,2.44
2.4,13596480.0,2.48,2009-10-02,2.5,2.36
2.48,9594400.0,2.42,2009-10-05,2.5,2.42
2.42,6704740.0,2.44,2009-10-06,2.46,2.42
2.46,13183500.0,2.44,2009-10-07,2.46,2.42
2.44,9628300.0,2.46,2009-10-08,2.46,2.44
2.46,23395520.0,2.48,2009-10-09,2.5,2.46
2.4,14524020.0,2.3,2009-10-12,2.4,2.28
2.26,9528520.0,2.24,2009-10-13,2.26,2.2
2.24,4957540.0,2.22,2009-10-14,2.24,2.2
2.24,7546380.0,2.2,2009-10-15,2.26,2.2
2.2,5959820.0,2.22,2009-10-16,2.22,2.18
2.18,5314960.0,2.22,2009-10-19,2.22,2.18
2.24,6093820.0,2.18,2009-10-20,2.24,2.18
2.2,6646800.0,2.16,2009-10-21,2.22,2.16
2.16,4974260.0,2.14,2009-10-22,2.2,2.12
2.16,5722200.0,2.12,2009-10-23,2.16,2.1
2.1,15063660.0,2.16,2009-10-26,2.18,2.04
2.16,6298640.0,2.16,2009-10-27,2.18,2.14
2.12,9662740.0,2.12,2009-10-28,2.18,2.12
2.12,4068600.0,2.08,2009-10-29,2.12,2.06
2.12,1483460.0,2.1,2009-10-30,2.12,2.1
2.1,6674820.0,2.04,2009-11-03,2.1,2.04
2.02,2312540.0,2.04,2009-11-04,2.06,2.02
2.06,1090400.0,2.06,2009-11-05,2.06,2.02
2.06,2005880.0,2.04,2009-11-06,2.06,2.04
2.04,2430460.0,2.0,2009-11-09,2.04,2.0
2.0,5396100.0,2.04,2009-11-10,2.06,2.0
2.04,4660340.0,2.02,2009-11-11,2.04,2.0
2.36,1451160.0,2.34,2009-12-15,2.36,2.32
2.36,1876420.0,2.32,2009-12-16,2.36,2.3
2.3,2852580.0,2.32,2009-12-17,2.36,2.3
2.3,326680.0,2.34,2009-12-18,2.34,2.3
2.32,1481320.0,2.3,2009-12-21,2.32,2.3
2.3,847020.0,2.3,2009-12-22,2.3,2.28
2.32,2382360.0,2.34,2009-12-23,2.34,2.3
2.34,6713140.0,2.34,2009-12-29,2.36,2.34
2.32,360340.0,2.36,2010-01-04,2.36,2.32
2.36,8761600.0,2.38,2010-01-05,2.38,2.36
2.38,2501920.0,2.38,2010-01-06,2.38,2.36
2.38,13819420.0,2.4,2010-01-07,2.42,2.36
2.4,1779680.0,2.38,2010-01-08,2.4,2.38
2.38,2342360.0,2.38,2010-01-11,2.38,2.36
2.38,5913700.0,2.36,2010-01-12,2.38,2.34
2.36,4726620.0,2.36,2010-01-13,2.38,2.34
2.36,669480.0,2.36,2010-01-14,2.36,2.34
2.36,123334440.0,2.32,2010-01-15,2.36,2.3
2.3,14224260.0,2.3,2010-01-18,2.36,2.3
2.3,25725300.0,2.3,2010-01-19,2.3,2.28
