OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
12.0,601798366.0,12.1,2016-12-15,12.36,11.66
12.16,257122106.0,12.24,2016-12-16,12.26,11.78
12.24,89706998.0,11.98,2016-12-19,12.24,11.88
11.98,158797938.0,11.58,2016-12-20,11.98,11.5
11.62,72076374.0,11.7,2016-12-21,11.82,11.62
11.7,95139982.0,11.24,2016-12-22,11.7,11.24
11.24,46189582.0,11.2,2016-12-23,11.26,10.9
11.22,13709476.0,11.3,2016-12-27,11.34,11.22
11.32,27524800.0,11.3,2016-12-28,11.4,11.28
11.3,124937164.0,11.5,2016-12-29,11.68,11.2
11.58,8327698.0,11.48,2017-01-03,11.58,11.38
11.48,38000558.0,11.68,2017-01-04,11.9,11.48
11.76,32872910.0,11.68,2017-01-05,11.76,11.6
11.76,47196744.0,11.66,2017-01-06,11.76,11.56
11.6,21465768.0,11.66,2017-01-09,11.68,11.54
11.66,119090816.0,11.5,2017-01-10,11.92,11.5
11.6,89145256.0,11.68,2017-01-11,11.92,11.54
11.7,49767258.0,11.6,2017-01-12,11.84,11.6
11.68,27193126.0,11.76,2017-01-13,11.76,11.62
11.76,236580278.0,12.28,2017-01-16,12.48,11.76
12.28,74623944.0,12.4,2017-01-17,12.6,12.14
12.36,56601840.0,12.0,2017-01-18,12.36,11.96
12.2,46825382.0,12.24,2017-01-19,12.36,12.1
12.24,92852082.0,12.56,2017-01-20,12.66,12.24
12.6,35267700.0,12.38,2017-01-23,12.6,12.32
12.4,78961068.0,12.36,2017-01-24,12.56,12.3
12.38,101826252.0,12.6,2017-01-25,12.8,12.34
12.76,67615756.0,12.7,2017-01-26,12.88,12.56
12.8,75363632.0,12.9,2017-01-27,12.98,12.66
12.96,13177250.0,12.82,2017-01-30,13.0,12.8
12.7,51483916.0,12.82,2017-01-31,12.82,12.58
12.82,20452494.0,12.9,2017-02-01,12.94,12.68
12.9,58484092.0,12.86,2017-02-02,13.12,12.84
12.84,44417642.0,12.7,2017-02-03,12.86,12.64
12.7,50859830.0,12.76,2017-02-06,12.86,12.6
12.76,28776418.0,12.66,2017-02-07,12.76,12.66
12.66,78153490.0,12.28,2017-02-08,12.66,12.24
12.28,12582086.0,12.36,2017-02-09,12.46,12.26
12.48,6413060.0,12.36,2017-02-10,12.48,12.2
12.48,6413060.0,12.36,2017-02-10,12.48,12.2
12.36,6846550.0,12.3,2017-02-13,12.5,12.3
12.36,6846550.0,12.3,2017-02-13,12.5,12.3
12.32,45611712.0,12.7,2017-02-14,12.78,12.32
12.7,26033404.0,12.68,2017-02-15,12.84,12.66
12.68,4795926.0,12.6,2017-02-16,12.68,12.56
12.6,28363684.0,12.68,2017-02-17,12.7,12.5
12.68,3180926.0,12.7,2017-02-20,12.72,12.54
12.72,4319914.0,12.64,2017-02-21,12.72,12.58
12.64,60637118.0,12.1,2017-02-22,12.68,12.1
12.08,45857500.0,12.2,2017-02-23,12.3,12.0
12.2,21609652.0,12.1,2017-02-24,12.28,12.06
12.2,65996454.0,12.28,2017-02-27,12.4,12.18
12.28,54609658.0,12.3,2017-02-28,12.34,12.1
12.3,15341818.0,12.42,2017-03-01,12.42,12.28
