OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
6.5,32500.0,6.5,2009-08-10,6.5,6.5
6.2,254200.0,6.2,2009-08-20,6.2,6.2
6.5,32500.0,6.5,2009-09-16,6.5,6.5
6.5,32500.0,6.5,2009-10-02,6.5,6.5
6.5,32500.0,6.5,2009-10-14,6.5,6.5
6.6,13200.0,6.6,2009-10-15,6.6,6.6
6.5,19500.0,6.5,2009-10-26,6.5,6.5
6.5,32500.0,6.5,2009-10-27,6.5,6.5
6.5,32500.0,6.5,2009-10-28,6.5,6.5
6.5,52000.0,6.5,2009-10-29,6.5,6.5
6.5,19500.0,6.5,2009-12-15,6.5,6.5
6.5,32500.0,6.5,2009-12-16,6.5,6.5
6.5,162500.0,6.5,2009-12-17,6.5,6.5
6.5,32500.0,6.5,2009-12-18,6.5,6.5
6.5,32500.0,6.5,2009-12-22,6.5,6.5
6.5,32500.0,6.5,2009-12-23,6.5,6.5
6.5,32500.0,6.5,2010-01-04,6.5,6.5
6.5,32500.0,6.5,2010-01-08,6.5,6.5
6.5,13000.0,6.5,2010-03-31,6.5,6.5
7.0,140000.0,7.0,2010-05-27,7.0,7.0
6.3,31500.0,6.3,2010-06-02,6.3,6.3
6.3,18900.0,6.3,2010-06-04,6.3,6.3
6.3,18900.0,6.3,2010-06-07,6.3,6.3
6.3,81900.0,6.3,2010-06-21,6.3,6.3
6.3,18900.0,6.3,2010-06-23,6.3,6.3
6.5,32500.0,6.5,2010-07-02,6.5,6.5
6.5,32500.0,6.5,2010-07-09,6.5,6.5
7.0,464100.0,7.0,2010-09-22,7.0,7.0
7.0,193900.0,7.0,2010-09-23,7.0,7.0
6.5,13650.0,6.5,2010-09-24,6.5,6.5
6.5,2600.0,6.5,2010-10-04,6.5,6.5
6.5,33150.0,6.5,2010-10-14,6.5,6.5
6.5,18850.0,6.5,2010-10-19,6.5,6.5
6.5,16250.0,6.5,2010-10-26,6.5,6.5
6.0,12000.0,6.0,2011-02-24,6.0,6.0
6.0,12000.0,6.0,2011-02-24,6.0,6.0
6.0,24000.0,6.0,2011-02-25,6.0,6.0
6.0,12000.0,6.0,2011-02-28,6.0,6.0
6.0,24000.0,6.0,2011-03-02,6.0,6.0
6.0,36000.0,6.0,2011-03-03,6.0,6.0
6.0,12000.0,6.0,2011-05-02,6.0,6.0
4.5,90000.0,4.5,2011-05-09,4.5,4.5
4.5,4500.0,4.5,2011-05-30,4.5,4.5
5.5,11000.0,5.5,2011-08-01,5.5,5.5
5.5,11000.0,5.5,2011-08-19,5.5,5.5
5.6,11200.0,5.6,2011-08-25,5.6,5.6
5.9,11800.0,5.9,2011-09-15,5.9,5.9
5.75,155250.0,5.75,2011-09-16,5.75,5.75
6.5,115050.0,6.5,2011-10-18,6.5,6.5
6.5,650.0,6.5,2011-10-19,6.5,6.5
6.5,1298.0,6.48,2011-10-20,6.5,6.48
6.5,11050.0,6.5,2011-11-17,6.5,6.5
6.0,18000.0,6.0,2012-01-27,6.0,6.0
5.8,580.0,5.8,2012-02-22,5.8,5.8
5.6,3360.0,5.6,2012-03-15,5.6,5.6
5.6,96366.0,5.61,2012-03-16,6.75,5.6
6.0,42000.0,6.0,2012-03-19,6.0,6.0
6.0,28800.0,5.6,2012-03-21,6.0,5.6
6.75,28530.0,5.4,2012-03-23,6.75,5.4
5.45,1090.0,5.45,2012-03-26,5.45,5.45
6.0,600.0,6.0,2012-03-27,6.0,6.0
5.9,9630.0,6.5,2012-03-29,6.5,5.9
5.9,16935.0,6.5,2012-04-20,6.75,5.9
6.5,29140.0,6.75,2012-04-23,6.75,6.3
6.01,6005.0,6.0,2012-04-24,6.01,6.0
5.4,64260.00000000001,5.4,2012-04-26,5.4,5.4
5.75,279720.0,6.4,2012-05-02,6.75,5.75
3.2,3265.0,6.45,2012-05-07,6.45,3.2
6.7,17355.0,6.65,2012-05-10,6.7,6.65
6.4,86460.0,6.4,2012-05-11,6.4,5.41
3.51,59860.0,6.6,2012-05-16,6.6,3.51
6.45,645.0,6.45,2012-05-30,6.45,6.45
6.0,53990.0,5.4,2012-06-01,6.0,3.9
5.2,18720.0,5.2,2012-06-04,5.2,5.2
4.8,18240.0,4.8,2012-06-05,4.8,4.8
4.5,4500.0,4.5,2012-06-06,4.5,4.5
4.55,22750.0,4.55,2012-06-27,4.55,4.55
4.5,4500.0,4.5,2012-08-08,4.5,4.5
5.0,10000.0,5.0,2012-08-10,5.0,5.0
5.0,7500.0,5.0,2012-08-13,5.0,5.0
4.8,11520.0,4.8,2012-08-15,4.8,4.8
5.0,34200.0,4.8,2012-08-22,5.0,4.8
4.85,4850.0,4.85,2012-08-31,4.85,4.85
6.0,66000.0,6.0,2012-09-21,6.0,6.0
5.05,4040.0,5.05,2012-10-17,5.05,5.05
5.05,15150.0,5.05,2012-11-08,5.05,5.05
5.2,26000.0,5.2,2012-11-12,5.2,5.2
6.0,600.0,6.0,2012-11-22,6.0,6.0
6.09,7929.0,6.1,2013-01-04,6.1,6.09
6.1,610.0,6.1,2013-01-10,6.1,6.1
4.5,4588200.0,4.5,2013-01-17,4.5,4.5
4.5,18500.0,5.0,2013-02-05,5.0,4.5
4.8,480.0,4.8,2013-02-14,4.8,4.8
4.75,142500.0,4.75,2013-02-19,4.75,4.75
5.0,500000.0,5.0,2013-02-20,5.0,5.0
5.0,25000.0,5.0,2013-02-22,5.0,5.0
5.35,535.0,5.35,2013-03-13,5.35,5.35
5.7,100785.0,6.5,2013-03-15,6.75,5.7
5.49,3297.0,5.49,2013-04-03,5.5,5.49
6.0,600.0,6.0,2013-04-15,6.0,6.0
5.99,2249.0,5.5,2013-04-24,5.99,5.5
5.5,2750.0,5.5,2013-04-25,5.5,5.5
6.65,19322.0,5.41,2013-04-30,6.65,5.41
5.42,1626.0,5.42,2013-05-03,5.42,5.42
5.25,30304.0,5.42,2013-05-08,5.42,5.0
5.5,1100.0,5.5,2013-05-16,5.5,5.5
5.5,550.0,5.5,2013-05-17,5.5,5.5
5.8,1160.0,5.8,2013-05-21,5.8,5.8
5.8,580.0,5.8,2013-05-22,5.8,5.8
5.85,4781.0,5.99,2013-05-24,6.0,5.85
5.99,599.0,5.99,2013-05-27,5.99,5.99
6.0,600.0,6.0,2013-05-28,6.0,6.0
6.0,600.0,6.0,2013-06-11,6.0,6.0
5.2,6760.0,5.2,2013-06-13,5.2,5.2
5.2,1040.0,5.2,2013-06-14,5.2,5.2
6.0,1720.0,5.2,2013-06-18,6.0,5.2
6.08,3562.0,5.22,2013-06-20,6.08,5.22
6.08,2484.0,6.6,2013-06-25,6.6,6.08
6.5,64350.0,6.5,2013-07-04,6.5,6.5
6.4,1280.0,6.4,2013-07-05,6.4,6.4
5.21,1563.0,5.21,2013-07-22,5.21,5.21
5.21,521.0,5.21,2013-09-03,5.21,5.21
5.21,15601.0,5.2,2013-09-04,5.21,5.2
5.01,13025.0,5.0,2013-09-05,5.01,5.0
6.5,7307239.0,6.5,2013-09-19,6.75,6.5
6.45,32250.0,6.45,2013-09-20,6.45,6.45
5.04,10600.0,5.2,2013-10-18,5.2,5.04
5.03,503.0,5.03,2013-10-30,5.03,5.03
5.04,504.0,5.04,2013-11-06,5.04,5.04
6.23,8099.0,6.23,2013-11-07,6.23,6.23
6.19,19879.0,6.25,2013-11-19,6.25,6.19
5.7,385890.0,5.7,2013-12-09,5.7,5.7
6.25,6899.0,6.49,2013-12-13,6.49,6.25
5.5,550.0,5.5,2014-01-08,5.5,5.5
6.29,629.0,6.29,2014-01-20,6.29,6.29
6.25,6250.0,6.25,2014-01-23,6.25,6.25
5.64,24153.0,5.6,2014-03-10,5.64,5.6
5.6,51668.0,5.1,2014-03-11,5.6,5.1
5.8,37335.0,5.75,2014-03-12,5.8,5.5
5.5,186800.0,5.5,2014-03-13,5.5,5.4
5.5,16210.000000000002,5.4,2014-03-17,5.5,5.4
5.4,6480.0,5.4,2014-03-18,5.4,5.4
5.4,39960.0,5.4,2014-03-19,5.4,5.4
5.5,12650.0,5.5,2014-03-20,5.5,5.5
5.5,2200.0,5.5,2014-03-21,5.5,5.5
5.2,340760.0,5.3,2014-03-25,5.3,5.0
5.1,13770.0,5.1,2014-03-26,5.1,5.1
5.1,10200.0,5.1,2014-03-27,5.1,5.1
5.1,27030.0,5.1,2014-03-28,5.1,5.1
5.1,11220.0,5.1,2014-03-31,5.1,5.1
5.1,509.99999999999994,5.1,2014-04-01,5.1,5.1
4.91,2307350.0,4.9,2014-04-02,5.0,4.9
5.0,50000.0,5.0,2014-04-03,5.0,5.0
4.9,98110.0,4.98,2014-04-07,4.98,4.5
4.5,459100.0,4.5,2014-04-08,4.51,4.5
4.5,90000.0,4.5,2014-04-10,4.5,4.5
4.45,244350.0,4.41,2014-04-14,4.45,4.41
4.9,340200.0,4.5,2014-04-15,4.9,4.41
4.4,376500.0,4.4,2014-04-16,4.5,4.4
4.5,148500.0,4.5,2014-04-21,4.5,4.5
4.41,321960.0,4.4,2014-04-23,4.42,4.4
4.98,234160.0,4.8,2014-04-24,5.0,4.8
4.39,247830.0,4.49,2014-04-25,4.6,4.39
4.4,255200.0,4.4,2014-04-28,4.4,4.4
