OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
23.75,46646600.0,23.0,2009-08-03,24.25,22.75
23.5,38443750.0,23.25,2009-08-04,24.0,23.0
24.0,57160050.0,24.5,2009-08-06,24.5,23.75
24.5,37324450.0,23.5,2009-08-07,24.75,23.25
23.75,27273350.0,24.5,2009-08-10,24.5,23.75
24.5,28769825.0,24.0,2009-08-11,24.5,23.75
24.0,20777350.0,23.5,2009-08-12,24.0,23.5
23.5,33922300.0,23.25,2009-08-13,23.75,23.0
23.5,26873275.0,23.25,2009-08-14,23.75,23.0
23.0,23990300.0,22.75,2009-08-17,23.0,22.75
22.0,23910750.0,22.25,2009-08-18,22.5,22.0
22.5,2889025.0,22.75,2009-08-19,22.75,22.5
23.0,6873600.0,22.75,2009-08-20,23.25,22.5
23.0,13021925.0,23.25,2009-08-24,23.75,22.75
23.0,11580550.0,23.25,2009-08-25,23.5,23.0
23.25,5976050.0,23.75,2009-08-26,23.75,23.25
23.5,14544500.0,23.5,2009-09-03,23.75,23.25
23.5,11888175.0,23.75,2009-09-04,24.0,23.5
23.5,77222775.0,23.75,2009-09-16,24.5,23.25
24.25,114216425.0,25.5,2009-09-17,26.0,24.0
26.0,91247200.0,25.5,2009-09-18,26.5,25.0
25.5,12164025.0,25.0,2009-09-22,25.5,24.75
25.0,20778200.0,25.0,2009-09-23,25.5,25.0
24.0,33073650.0,23.5,2009-09-30,24.0,23.25
23.5,12396825.0,24.0,2009-10-01,24.0,23.5
23.5,3933500.0,23.75,2009-10-02,23.75,23.25
23.5,5451925.0,23.75,2009-10-05,23.75,23.25
24.0,9029900.0,24.0,2009-10-06,24.0,23.75
24.0,52561400.0,24.5,2009-10-07,24.75,24.0
24.5,49970800.0,24.75,2009-10-08,25.0,24.5
25.0,30049975.0,24.75,2009-10-09,25.0,24.75
24.75,16734775.0,24.5,2009-10-12,25.0,24.5
24.5,11544750.0,24.25,2009-10-13,24.5,24.25
24.5,6988500.0,24.5,2009-10-14,24.75,24.25
24.75,12216425.0,24.5,2009-10-15,24.75,24.25
24.5,2583500.0,24.5,2009-10-16,24.5,24.25
24.25,6486875.0,24.25,2009-10-19,24.25,24.25
24.25,7150000.0,24.25,2009-10-20,24.5,24.0
24.25,6468100.0,24.0,2009-10-21,24.25,24.0
24.0,17449900.0,23.5,2009-10-22,24.0,23.5
23.5,18988650.0,23.5,2009-10-23,23.75,23.25
23.5,7246525.0,24.0,2009-10-26,24.0,23.5
