OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.8,767700.0,5.8,2009-08-03,5.9,5.8
5.9,625300.0,5.9,2009-08-04,5.9,5.7
5.8,359600.0,5.8,2009-08-06,5.8,5.7
5.7,296200.0,5.7,2009-08-07,5.7,5.6
5.7,205800.0,5.7,2009-08-10,5.8,5.7
5.7,79800.0,5.7,2009-08-11,5.7,5.7
5.6,184900.0,5.7,2009-08-12,5.7,5.6
5.6,393200.0,5.4,2009-08-13,5.7,5.2
5.6,181600.0,5.6,2009-08-14,5.6,5.4
5.6,599100.0,5.6,2009-08-17,5.6,5.5
5.2,742000.0,5.5,2009-08-18,5.5,5.2
5.5,613600.0,5.6,2009-08-19,5.6,5.5
5.6,705600.0,5.6,2009-08-20,5.6,5.6
5.6,444100.0,5.5,2009-08-24,5.6,5.5
5.5,412500.0,5.5,2009-08-25,5.5,5.5
5.4,1581400.0,5.3,2009-08-26,5.4,5.3
5.1,348000.0,5.1,2009-09-03,5.2,5.1
5.1,453900.0,5.1,2009-09-04,5.1,5.1
5.2,388200.0,5.2,2009-09-16,5.2,5.1
5.2,1866800.0,5.2,2009-09-17,5.2,5.2
5.2,2839200.0,5.2,2009-09-18,5.2,5.2
5.2,426700.0,5.3,2009-09-22,5.3,5.2
5.3,3542100.0,5.4,2009-09-23,5.4,5.3
5.4,1782000.0,5.4,2009-09-30,5.4,5.4
5.2,1685900.0,5.4,2009-10-01,5.4,5.2
5.2,1361400.0,5.4,2009-10-02,5.4,5.2
5.4,2754000.0,5.4,2009-10-05,5.4,5.4
5.4,1836000.0,5.4,2009-10-06,5.4,5.4
5.2,2283600.0,5.3,2009-10-07,5.4,5.2
5.3,2853000.0,5.2,2009-10-08,5.3,5.2
5.3,2056200.0,5.3,2009-10-09,5.3,5.2
5.3,1738400.0,5.3,2009-10-12,5.3,5.3
5.3,1726900.0,5.4,2009-10-13,5.4,5.3
5.3,1764900.0,5.3,2009-10-14,5.3,5.3
5.2,1700400.0,5.2,2009-10-15,5.2,5.2
5.2,1632800.0,5.2,2009-10-16,5.2,5.2
5.1,4060200.0,5.2,2009-10-19,5.2,5.0
5.2,2396100.0,5.2,2009-10-20,5.2,5.1
5.1,2446400.0,5.1,2009-10-21,5.2,5.1
5.1,2769000.0,5.2,2009-10-22,5.2,5.0
5.2,2669000.0,5.3,2009-10-23,5.4,5.2
5.2,2634000.0,5.4,2009-10-26,5.5,5.2
5.5,2885900.0,5.5,2009-10-27,5.6,5.4
5.4,2989600.0,5.5,2009-10-28,5.5,5.4
5.4,2534000.0,5.4,2009-10-29,5.4,5.3
5.4,2049000.0,5.5,2009-10-30,5.5,5.4
5.5,3624400.0,5.5,2009-11-03,5.5,5.3
5.6,3656700.0,5.7,2009-11-04,5.7,5.5
5.5,2101000.0,5.5,2009-11-05,5.5,5.5
5.5,3332200.0,5.3,2009-11-06,5.5,5.2
5.3,1385900.0,5.5,2009-11-09,5.6,5.3
5.5,7743700.0,5.7,2009-11-10,5.9,5.4
5.7,17198300.0,6.0,2009-11-11,6.6,5.7
6.4,13060000.0,6.5,2009-12-15,6.5,6.3
6.3,13744200.0,6.5,2009-12-16,6.5,6.3
6.4,8660200.0,6.6,2009-12-17,6.6,6.4
6.5,9982000.0,6.6,2009-12-18,6.6,6.5
6.5,3250000.0,6.5,2009-12-21,6.5,6.5
6.5,6701000.0,6.6,2009-12-22,6.6,6.5
6.5,30450600.0,6.8,2009-12-23,6.8,6.5
6.9,39501800.0,7.0,2009-12-29,7.1,6.9
7.0,2831500.0,7.0,2010-01-04,7.0,6.9
7.0,22826900.0,7.1,2010-01-05,7.2,6.9
7.0,4904000.0,7.0,2010-01-06,7.0,6.9
6.9,4536800.0,7.0,2010-01-07,7.0,6.9
6.9,8779200.0,6.9,2010-01-08,7.0,6.7
6.9,2100400.0,6.9,2010-01-11,7.0,6.8
6.8,9258900.0,6.9,2010-01-12,6.9,6.7
6.8,3041400.0,6.9,2010-01-13,7.0,6.7
6.7,5270400.0,6.9,2010-01-14,6.9,6.7
6.9,7221600.0,7.1,2010-01-15,7.1,6.8
7.0,1677500.0,7.0,2010-01-18,7.0,6.9
7.0,1447900.0,7.0,2010-01-19,7.0,6.9
6.7,30404500.0,7.1,2010-01-20,7.1,6.6
6.9,2127800.0,7.0,2010-01-21,7.0,6.9
6.9,980000.0,7.1,2010-01-22,7.1,6.9
6.9,102900.0,7.0,2010-01-25,7.1,6.8
7.0,3977400.0,7.0,2010-01-26,7.1,6.9
6.6,34180300.0,7.0,2010-01-27,7.1,6.6
7.0,1086700.0,7.0,2010-01-28,7.0,6.9
6.9,1054000.0,7.0,2010-01-29,7.0,6.9
6.9,222100.0,7.0,2010-02-01,7.0,6.9
6.9,2238700.0,7.0,2010-02-02,7.0,6.7
