OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
104.0,1944530.0,103.9,2015-12-18,104.5,103.0
104.0,1917020.0,104.0,2015-12-21,104.3,104.0
103.0,3657500.0,103.5,2015-12-22,103.5,103.0
103.9,1095262.0,103.5,2015-12-23,103.9,103.5
103.0,772500.0,103.0,2015-12-29,103.0,103.0
103.0,172880.0,104.0,2016-01-04,104.0,103.0
103.0,173380.0,103.5,2016-01-05,103.5,103.0
104.0,1988860.0,104.0,2016-01-06,104.0,103.2
104.0,821600.0,104.0,2016-01-07,104.0,104.0
104.0,1135680.0,104.0,2016-01-08,104.0,104.0
104.0,1060740.0,103.7,2016-01-11,104.0,103.7
104.0,562640.0,104.0,2016-01-12,104.0,104.0
104.1,468450.0,104.1,2016-01-13,104.1,104.1
104.1,1423490.0,103.7,2016-01-14,104.1,103.7
104.1,416800.0,104.3,2016-01-15,104.3,104.1
104.1,7542250.0,104.0,2016-01-18,104.1,104.0
103.7,21260000.0,104.0,2016-01-19,104.0,103.7
104.5,664220.0,104.0,2016-01-20,104.5,104.0
106.0,1060.0,106.0,2016-01-25,106.0,106.0
105.0,52500.0,105.0,2016-01-28,105.0,105.0
105.0,210000.0,105.0,2016-01-29,105.0,105.0
105.0,1050000.0,105.0,2016-02-02,105.0,105.0
105.0,17020500.0,105.0,2016-02-10,105.0,105.0
105.0,17020500.0,105.0,2016-02-11,105.0,105.0
105.9,31770.0,105.9,2016-02-15,105.9,105.9
105.0,3097500.0,105.0,2016-02-17,105.0,105.0
104.1,228920.0,104.0,2016-02-22,104.1,104.0
103.7,912560.0,103.7,2016-02-23,103.7,103.7
103.8,248430.0,103.5,2016-02-24,103.8,103.5
105.9,1059.0,105.9,2016-02-29,105.9,105.9
105.9,59304.0,105.9,2016-03-03,105.9,105.9
103.6,259142.0,104.8,2016-03-14,104.9,103.5
103.6,414100.0,103.5,2016-03-15,103.6,103.5
104.0,624000.0,104.0,2016-03-16,104.0,104.0
103.5,187350.0,105.0,2016-03-22,105.0,103.5
105.0,49350.0,105.0,2016-03-23,105.0,105.0
105.0,107590.0,103.6,2016-03-29,105.0,103.6
103.6,20720.0,103.6,2016-04-01,103.6,103.6
103.7,103700.0,103.7,2016-04-06,103.7,103.7
103.6,229145.0,104.5,2016-04-08,104.5,103.6
103.6,238280.0,103.6,2016-04-11,103.6,103.6
103.7,1628090.0,103.7,2016-04-12,103.7,103.7
